,Concept_ID,hy,hi
0,Auge::N,աչք,आँख
1,Auge::N,աչք,चक्षु
2,Ohr::N,ականջ,कान
3,Ohr::N,ականջ,कर्ण
4,Nase::N,քիթ,नाक
5,Nase::N,քիթ,नासा
6,Mund::N,բերան,मुख
7,Mund::N,բերան,मुँह
8,Zahn::N,ատամ,दंत
9,Zahn::N,ատամ,दाँत
10,Zunge::N,լեզու,जीभ
11,Zunge::N,լեզու,ज़बान
12,Zunge::N,լեզու,जिह्वा
13,Lippe::N,շրթունք,ओंठ
14,Lippe::N,շրթունք,होंठ
15,Wange::N,այտ,गाल
16,Wange::N,այտ,कपोल
17,Wange::N,թուշ,गाल
18,Wange::N,թուշ,कपोल
19,Gesicht::N,դեմք,मुँह
20,Gesicht::N,դեմք,चेहरा
21,Stirn::N,ճակատ,माथा
22,Stirn::N,ճակատ,मस्तक
23,Haar::N,մազ,बाल
24,Schnurrbart::N,բեղ,मूँछें
25,Bart::N,մորուք,दाढ़ी
26,Kinn::N,կզակ,चिबुक
27,Kiefer[Anatomie]::N,ծնոտ,जबड़ा
28,Kehle::N,կոկորդ,गला
29,Hals::N,վիզ,गला
30,Hals::N,վիզ,गरदन
31,Hals::N,պարանոց,गला
32,Hals::N,պարանոց,गरदन
33,Genick::N,ծոծրակ,गरदन
34,Genick::N,ծոծրակ,ग्रीवा
35,Kopf::N,գլուխ,सिर
36,Kopf::N,գլուխ,शीर्ष
37,Rücken::N,մեջք,पीठ
38,Bauch::N,փոր,उदर
39,Bauch::N,որովայն,उदर
40,Nabel::N,պորտ,नाभि
41,Nabel::N,պորտ,ढोंढी
42,Busen::N,ծոց,कुच
43,Busen::N,ծոց,स्तन
44,Brust::N,կուրծք,वक्ष
45,Schulter::N,ուս,कंधा
46,Schulter::N,ուս,स्कंध
47,Arm::N,թեւ,बाँह
48,Arm::N,թեւ,बाज़ू
49,Arm::N,բազուկ,बाँह
50,Arm::N,բազուկ,बाज़ू
51,Ellenbogen::N,արմունկ,कुहनी
52,Hand::N,ձեռք,हाथ
53,Hand::N,ձեռք,हस्त
54,Handfläche::N,ափ,हथेली
55,Finger::N,մատ,उँगली
56,Finger::N,մատ,अँगुली
57,Fingernagel::N,եղունգ,नख
58,Fingernagel::N,եղունգ,नाख़ून
59,Nagel[Anatomie]::N,եղունգ,नख
60,Nagel[Anatomie]::N,եղունգ,नाख़ून
61,Zeh::N,ոտքի մատ,उँगली
62,Zeh::N,ոտքի մատ,पाँव की उँगली
63,Fuß::N,ոտք,चरण
64,Fuß::N,ոտք,पाँव
65,Ferse::N,գարշապար,एड़ी
66,Knie::N,ծունկ,जानु
67,Knie::N,ծունկ,घुटना
68,Oberschenkel::N,ազդր,उरु
69,Bein::N,ոտք,टाँग
70,Körper::N,մարմին,तन
71,Körper::N,մարմին,देह
72,Körper::N,մարմին,शरीर
73,Haut::N,մաշկ,चर्म
74,Haut::N,մաշկ,त्वचा
75,Blut::N,արյուն,लहू
76,Blut::N,արյուն,ख़ून
77,Ader::N,երակ,रग
78,Ader::N,երակ,शिरा
79,Sehne::N,ջիղ,कंडरा
80,Sehne::N,ջիղ,स्नायु
81,Sehne::N,ձգտան,कंडरा
82,Sehne::N,ձգտան,स्नायु
83,Knochen::N,ոսկոր,अस्थि
84,Gehirn::N,խելք,दिमाग़
85,Gehirn::N,խելք,मस्तिष्क
86,Herz::N,սիրտ,दिल
87,Herz::N,սիրտ,हृदय
88,Magen::N,ստամոքս,मेदा
89,Magen::N,ստամոքս,अमाशय
90,Leber::N,լյարդ,जिगर
91,Leber::N,լյարդ,यकृत्
92,Atem::N,շունչ,दम
93,Atem::N,շունչ,साँस
94,Atem::N,շունչ,श्वास
95,Hunger::N,քաղց,भूख
96,Hunger::N,քաղց,क्षुधा
97,Träne::N,արտասուք,आँसू
98,Träne::N,արտասուք,अश्रु
99,Geschmack::N,համ,स्वाद
100,Geschmack::N,համ,ज़ायक़ा
101,Geschmack::N,բուրմունք,स्वाद
102,Geschmack::N,բուրմունք,ज़ायक़ा
103,Geruch::N,հոտ,बू
104,Geruch::N,հոտ,गंध
105,Geruch::N,բուրում,बू
106,Geruch::N,բուրում,गंध
107,Schlaf::N,քուն,नींद
108,Schlaf::N,քուն,निद्रा
109,Traum::N,երազ,सपना
110,Traum::N,երազ,स्वप्न
111,Himmel::N,երկինք,आकाश
112,Himmel::N,երկինք,आसमान
113,Sonne::N,արեւ,रवि
114,Sonne::N,արեւ,सूरज
115,Sonne::N,արեւ,सूर्य
116,Mond::N,լուսին,चाँद
117,Mond::N,լուսին,चंद्र
118,Stern::N,աստղ,तारा
119,Stern::N,աստղ,सितारा
120,Luft::N,օդ,हवा
121,Luft::N,օդ,वायु
122,Wind::N,քամի,पाद
123,Welle::N,ալիք,लहर
124,Welle::N,ալիք,तरंग
125,Wasser::N,ջուր,जल
126,Wasser::N,ջուր,पानी
127,Stein::N,քար,पत्थर
128,Boden::N,գետին,मिट्टी
129,Erde::N,հող,भूमि
130,Erde::N,հող,ज़मीन
131,Staub::N,փոշի,धूल
132,Rauch::N,ծուխ,धूआँ
133,Rauch::N,ծուխ,धुम्र
134,Funke::N,կայծ,चिनगारी
135,Funke::N,կայծ,स्फुलिंग
136,Feuer::N,կրակ,आग
137,Feuer::N,կրակ,आतिश
138,Feuer::N,կրակ,अग्नि
139,Feuer::N,հրդեհ,आग
140,Feuer::N,հրդեհ,आतिश
141,Feuer::N,հրդեհ,अग्नि
142,Licht::N,լույս,रोशनी
143,Licht::N,լույս,प्रकाश
144,Schatten::N,ստվեր,छाया
145,Schatten::N,ստվեր,परछाई
146,Wetter::N,եղանակ,ऋतु
147,Wetter::N,եղանակ,मौसम
148,Nebel::N,մեգ,धुँध
149,Nebel::N,մեգ,कुहरा
150,Nebel::N,մառախուղ,धुँध
151,Nebel::N,մառախուղ,कुहरा
152,Wolke::N,ամպ,मेघ
153,Wolke::N,ամպ,अभ्र
154,Regen::N,անձրև,मेंह
155,Regen::N,անձրև,बारिश
156,Schnee::N,ձյուն,हिम
157,Schnee::N,ձյուն,बर्फ़
158,Eis::N,սառույց,हिम
159,Eis::N,սառույց,बर्फ़
160,Frost::N,սառնամանիք,ठंड
161,Kälte::N,դող,सर्दी
162,Kälte::N,դող,शीतलता
163,Hitze::N,շոգ,ताप
164,Hitze::N,շոգ,गरमी
165,Raureif::N,ցօղեղեամ,पाला
166,Regenbogen::N,ծիածան,इंद्र-धनुष
167,Donner::N,որոտ,गरज
168,Donner::N,որոտ,मेघ-गर्जन
169,Strömung::N,հոսանք,बहाव
170,Strömung::N,հոսանք,प्रवाह
171,Tropfen::N,կաթիլ,बूँद
172,Schaum::N,փրփուր,झाग
