,Concept_ID,es,ro
0,Auge::N,ojo,ochi
1,Ohr::N,oreja,ureche
2,Nase::N,nariz,nas
3,Mund::N,boca,gură
4,Zahn::N,diente,dinte
5,Zunge::N,lengua,limbă
6,Lippe::N,labio,buză
7,Wange::N,mejilla,bucă
8,Wange::N,mejilla,obraz
9,Gesicht::N,cara,față
10,Gesicht::N,cara,figură
11,Stirn::N,frente,frunte
12,Haar::N,cabello,păr
13,Schnurrbart::N,bigote,mustață
14,Bart::N,barba,barbă
15,Kinn::N,barbilla,bărbie
16,Kiefer[Anatomie]::N,mandíbula,falcă
17,Kehle::N,garganta,beregată
18,Hals::N,cuello,gât
19,Genick::N,nuca,ceafă
20,Genick::N,cerviz,ceafă
21,Kopf::N,cabeza,cap
22,Rücken::N,espalda,dos
23,Rücken::N,espalda,spate
24,Rücken::N,espalda,spinare
25,Bauch::N,vientre,burtă
26,Bauch::N,vientre,pântece
27,Nabel::N,ombligo,buric
28,Busen::N,pecho,sân
29,Brust::N,pecho,piept
30,Schulter::N,hombro,umăr
31,Schulter::N,hombro,spate
32,Arm::N,brazo,braț
33,Ellenbogen::N,codo,cot
34,Hand::N,mano,mână
35,Handfläche::N,palma,palmă
36,Finger::N,dedo,deget
37,Fingernagel::N,uña,unghie
38,Nagel[Anatomie]::N,uña,unghie
39,Zeh::N,dedo del pie,deget de la picior
40,Fuß::N,pie,picior
41,Ferse::N,talón,călcâi
42,Knie::N,rodilla,genunchi
43,Oberschenkel::N,muslo,coapsă
44,Bein::N,pierna,picior
45,Körper::N,cuerpo,corp
46,Haut::N,piel,piele
47,Blut::N,sangre,sânge
48,Ader::N,vena,vână
49,Ader::N,vena,arteră
50,Sehne::N,tendón,tendon
51,Knochen::N,hueso,os
52,Gehirn::N,cerebro,creier
53,Gehirn::N,encéfalo,creier
54,Herz::N,corazón,inimă
55,Magen::N,estómago,stomac
56,Leber::N,hígado,ficat
57,Atem::N,aliento,răsuflare
58,Atem::N,aliento,respirație
59,Hunger::N,hambre,foame
60,Träne::N,lágrima,lacrimă
61,Geschmack::N,gusto,gust
62,Geruch::N,olor,miros
63,Schlaf::N,sueño,somn
64,Traum::N,sueño,vis
65,Traum::N,ensueño,vis
66,Himmel::N,cielo,cer
67,Sonne::N,sol,soare
68,Mond::N,luna,lună
69,Stern::N,estrella,stea
70,Luft::N,aire,aer
71,Wind::N,viento,vânt
72,Welle::N,ola,val
73,Welle::N,ola,undă
74,Welle::N,onda,val
75,Welle::N,onda,undă
76,Wasser::N,agua,apă
77,Stein::N,piedra,piatră
78,Boden::N,suelo,sol
79,Boden::N,suelo,pământ
80,Erde::N,tierra,pământ
81,Staub::N,polvo,praf
82,Rauch::N,humo,fum
83,Funke::N,chispa,scânteie
84,Feuer::N,fuego,foc
85,Licht::N,luz,lumină
86,Schatten::N,sombra,umbră
87,Wetter::N,tiempo,timp
88,Wetter::N,tiempo,vreme
89,Nebel::N,niebla,ceață
90,Nebel::N,niebla,negură
91,Wolke::N,nube,nor
92,Regen::N,lluvia,ploaie
93,Schnee::N,nieve,zăpadă
94,Eis::N,hielo,gheață
95,Frost::N,helada,ger
96,Kälte::N,frío,frig
97,Hitze::N,calor,arșiță
98,Hitze::N,calor,căldură
99,Raureif::N,escarcha,chiciură
100,Regenbogen::N,arco iris,curcubeu
101,Donner::N,trueno,tunet
102,Strömung::N,corriente,curent
103,Tropfen::N,gota,picătură
104,Schaum::N,espuma,spumă
105,Schmutz::N,suciedad,murdărie
106,See::N,lago,lac
107,Sumpf::N,pantano,mlaștină
108,Moor::N,turbera,bărăgan
109,Wiese::N,prado,fânaț
110,Wiese::N,prado,livadă
111,Wiese::N,pradera,fânaț
112,Wiese::N,pradera,livadă
113,Wald::N,bosque,codru
114,Wald::N,bosque,pădure
115,Hügel::N,colina,deal
116,Hügel::N,colina,movilă
117,Anhöhe::N,cerro,deal
