,Concept_ID,ja,en
0,Auge::N,目,eye
1,Ohr::N,耳,ear
2,Nase::N,鼻,nose
3,Mund::N,口,mouth
4,Zahn::N,歯,tooth
5,Zunge::N,舌,tongue
6,Lippe::N,唇,lip
7,Wange::N,頬,cheek
8,Gesicht::N,顔,face
9,Stirn::N,額,forehead
10,Haar::N,髪,hair
11,Schnurrbart::N,口髭,moustache
12,Bart::N,髭,beard
13,Kinn::N,顎,chin
14,Kiefer[Anatomie]::N,顎,jaw
15,Kehle::N,喉,throat
16,Hals::N,首,neck
17,Genick::N,首,nape
18,Kopf::N,頭,head
19,Rücken::N,背中,back
20,Rücken::N,背中,spine
21,Bauch::N,腹,belly
22,Bauch::N,お腹,belly
23,Nabel::N,へそ,navel
24,Busen::N,乳房,bosom
25,Brust::N,胸,chest
26,Brust::N,胸,breast
27,Schulter::N,肩,shoulder
28,Arm::N,腕,arm
29,Ellenbogen::N,肘,elbow
30,Hand::N,手,hand
31,Handfläche::N,手のひら,palm
32,Finger::N,指,finger
33,Fingernagel::N,爪,fingernail
34,Nagel[Anatomie]::N,爪,nail
35,Zeh::N,足の指,toe
36,Fuß::N,足,foot
37,Ferse::N,かかと,heel
38,Knie::N,膝,knee
39,Oberschenkel::N,上腿,thigh
40,Bein::N,足,leg
41,Körper::N,体,body
42,Haut::N,皮膚,skin
43,Blut::N,血,blood
44,Ader::N,血管,vein
45,Sehne::N,腱,sinew
46,Knochen::N,骨,bone
47,Gehirn::N,脳,brain
48,Herz::N,心,heart
49,Herz::N,心臓,heart
50,Magen::N,胃,stomach
51,Leber::N,肝臓,liver
52,Atem::N,息,breath
53,Atem::N,呼吸,breath
54,Hunger::N,空腹,hunger
55,Träne::N,涙,tear
56,Geschmack::N,味,flavour
57,Geschmack::N,味,flavor
58,Geruch::N,匂い,odour
59,Geruch::N,匂い,odor
60,Schlaf::N,睡眠,sleep
61,Traum::N,夢,dream
62,Himmel::N,空,sky
63,Sonne::N,太陽,sun
64,Mond::N,月,moon
65,Stern::N,星,star
66,Luft::N,空気,air
67,Wind::N,風,wind
68,Welle::N,波,wave
69,Wasser::N,水,water
70,Stein::N,石,stone
71,Boden::N,土地,soil
72,Boden::N,土地,ground
73,Erde::N,土,earth
74,Staub::N,埃,dust
75,Rauch::N,煙,smoke
76,Funke::N,火花,spark
77,Feuer::N,火,fire
78,Licht::N,光,light
79,Schatten::N,陰,shadow
80,Wetter::N,天気,weather
81,Nebel::N,霧,fog
82,Wolke::N,雲,cloud
83,Regen::N,雨,rain
84,Schnee::N,雪,snow
85,Eis::N,氷,ice
86,Frost::N,霜,frost
87,Kälte::N,寒さ,chill
88,Hitze::N,暑さ,heat
89,Raureif::N,霧氷,hoarfrost
90,Regenbogen::N,虹,rainbow
91,Donner::N,雷,thunder
92,Strömung::N,流れ,current
93,Tropfen::N,滴,drop
94,Schaum::N,泡,foam
95,Schmutz::N,汚れ,dirt
96,See::N,湖,lake
97,Sumpf::N,沼,swamp
98,Moor::N,湿原,moor
99,Wiese::N,草原,meadow
100,Wald::N,森,forest
101,Hügel::N,丘,hill
102,Anhöhe::N,高み,elevation
103,Berg::N,山,mountain
104,Gipfel::N,頂上,summit
105,Höhle::N,洞窟,cave
106,Abhang::N,斜面,slope
107,Quelle::N,泉,source
108,Bach::N,小川,brook
109,Fluss::N,川,river
110,Ufer::N,岸,shore
111,Küste::N,海岸,coast
112,Festland::N,陸,land
113,Meer::N,海,sea
114,Bucht::N,湾,cove
115,Insel::N,島,island
116,Blume::N,花,flower
117,Gras::N,草,grass
118,Wurzel::N,根,root
119,Baum::N,木,tree
120,Stamm::N,幹,trunk
121,Rinde::N,皮層,bark
122,Ast::N,枝,limb
123,Zweig::N,小枝,branch
124,Blatt::N,葉,leaf
125,Birke::N,樺,birch
126,Kiefer[Baum]::N,松,pine
127,Weide[Baum]::N,柳,willow
128,Tanne::N,樅,fir
129,Horn::N,角,horn
130,Feder::N,羽根,feather
131,Fell::N,毛皮,fur
132,Flügel::N,羽,wing
133,Klaue::N,鉤爪,claw
134,Kralle::N,爪,claw
135,Schwanz::N,尻尾,tail
136,Ei::N,卵,egg
137,Nest::N,巣,nest
138,Bau::N,穴,lair
139,Tier::N,動物,animal
140,Herde::N,群れ,flock
141,Kuh::N,牛,cow
142,Bulle::N,雄牛,bull
143,Pferd::N,馬,horse
144,Schaf::N,羊,sheep
145,Schwein::N,豚,pig
146,Hund::N,犬,dog
147,Katze::N,猫,cat
148,Bär::N,熊,bear
149,Eichhörnchen::N,栗鼠,squirrel
150,Elch::N,ヘラジカ,elk
151,Fuchs::N,狐,fox
152,Hase::N,兎,hare
153,Maus::N,鼠,mouse
154,Wolf::N,狼,wolf
155,Vogel::N,鳥,bird
156,Schwarm::N,群れ,swarm
157,Huhn::N,鶏,chicken
158,Hahn::N,雄鶏,cock
159,Gans::N,ガチョウ,goose
160,Adler::N,鷲,eagle
161,Ente::N,鴨,duck
162,Eule::N,フクロウ,owl
163,Kranich::N,鶴,crane
164,Krähe::N,烏,crow
165,Kuckuck::N,郭公,cuckoo
166,Schwan::N,白鳥,swan
167,Fisch::N,魚,fish
168,Barsch::N,鱸,perch
169,Hecht::N,川魳,pike
170,Schlange[Tier]::N,蛇,snake
171,Wurm::N,虫,worm
172,Spinne::N,蜘蛛,spider
173,Ameise::N,蟻,ant
174,Laus::N,虱,louse
175,Mücke::N,蚊,midge
176,Fliege::N,蝿,fly
177,Schmetterling::N,蝶,butterfly
178,Beere::N,漿果,berry
179,Apfel::N,林檎,apple
180,Pilz::N,茸,mushroom
181,Zwiebel::N,玉葱,onion
182,Saat::N,種,seed
183,Korn::N,粒,grain
184,Heu::N,干し草,hay
185,Schale::N,皮,husk
186,Grube::N,穴,pit
187,Falle::N,わな,trap
188,Schlinge::N,輪,noose
189,Spur::N,跡,track
190,Asche::N,灰,ashes
191,Dreck::N,泥,filth
192,Eisen::N,鉄,iron
193,Gold::N,金,gold
194,Silber::N,銀,silver
195,Kohle::N,炭,coal
196,Glas::N,ガラス,glass
197,Lehm::N,ローム,clay
198,Sand::N,砂,sand
199,Mensch::N,人,human
200,Mann::N,男,man
201,Mann::N,男性,man
202,Frau::N,女,woman
203,Frau::N,女性,woman
204,Kind::N,子,child
205,Kind::N,子供,child
206,Junge::N,男の子,boy
207,Mädchen::N,女の子,girl
208,Familie::N,家族,family
209,Großvater::N,祖父,grandfather
210,Großvater::N,おじいさん,grandfather
211,Großmutter::N,祖母,grandmother
212,Großmutter::N,おばあさん,grandmother
213,Eltern::N,親,parents
214,Eltern::N,両親,parents
215,Vater::N,父,father
216,Vater::N,お父さん,father
217,Mutter::N,母,mother
218,Mutter::N,お母さん,mother
219,Sohn::N,息子,son
220,Sohn::N,息子さん,son
221,Tochter::N,娘,daughter
222,Tochter::N,お嬢さん,daughter
223,Bruder::N,弟,brother
224,Schwester::N,妹,sister
225,Onkel::N,伯父,uncle
226,Onkel::N,伯父さん,uncle
227,Tante::N,叔母,aunt
228,Tante::N,叔母さん,aunt
229,Ehemann::N,夫,husband
230,Ehemann::N,主人,husband
231,Ehefrau::N,妻,wife
232,Ehefrau::N,奥さん,wife
233,Freude::N,喜び,joy
234,Gelächter::N,笑い,laughter
235,Glück::N,幸せ,happiness
236,Kummer::N,悩み,grief
237,Wunsch::N,希望,wish
238,Lust::N,気,desire
239,Geist::N,精神,spirit
240,Gedanke::N,考え,thought
241,Gedächtnis::N,記憶,memory
242,Verstand::N,理解力,mind
243,Sinn::N,意味,meaning
244,Grund::N,理由,reason
245,Wahrheit::N,真実,truth
246,Gespräch::N,会話,talk
247,Märchen::N,童話,fairy tale
248,Erzählung::N,物語,story
249,Nachricht::N,報告,message
250,Neuigkeit::N,ニュース,news
251,Name::N,名前,name
252,Rätsel::N,謎,puzzle
253,Rede::N,演説,speech
254,Sprache::N,言語,language
255,Stimme::N,声,voice
256,Wort::N,言葉,word
257,Zeichen::N,記号,sign
258,Ruf::N,呼び声,call
259,Lärm::N,騒音,noise
260,Laut::N,音,sound
261,Ton::N,音,tone
262,Lied::N,歌,song
263,Ruhe::N,静けさ,calm
264,Leute::N,人々,people
265,Volk::N,民族,nation
266,Arbeit::N,仕事,work
267,Gast::N,客,guest
268,Geschenk::N,贈り物,gift
269,Spiel::N,遊び,game
270,Gesellschaft::N,社会,company
271,Hilfe::N,援助,help
272,Freund::N,友達,friend
273,Kamerad::N,同志,companion
274,Angelegenheit::N,件,matter
275,Anzahl::N,数,count
276,Art::N,種類,sort
277,Stück::N,部分,piece
278,Teil::N,部分,part
279,Hälfte::N,半分,half
280,Kreis::N,円,circle
281,Kreuz::N,十字,cross
282,Linie::N,線,line
283,Strich::N,線,stroke
284,Abstand::N,距離,gap
285,Entfernung::N,距離,distance
286,Gegend::N,辺,area
287,Gegend::N,地域,area
288,Platz::N,ゆとり,space
289,Ort::N,所,place
290,Ort::N,場所,place
291,Seite::N,横,side
292,Mitte::N,真ん中,middle
293,Gegenstand::N,物件,item
294,Sache::N,物,thing
295,Rand::N,端,fringe
296,Kante::N,縁,edge
297,Ecke::N,角,corner
298,Spitze::N,先頭,tip
299,Ende::N,端,end
300,Loch::N,穴,hole
301,Winkel::N,片隅,angle
302,Muster::N,模様,pattern
303,Größe::N,大きさ,size
304,Länge::N,長さ,length
305,Höhe::N,高さ,height
306,Gewicht::N,重さ,weight
307,Menge::N,量,amount
308,Haufen::N,堆積,heap
309,Reihe::N,並び,row
310,Boot::N,ボート,boat
311,Ruder::N,オール,oar
312,Schlitten::N,そり,sleigh
313,Ski::N,スキー,ski
314,Lagerfeuer::N,篝火,campfire
315,Last::N,荷物,load
316,Gang::N,歩み,walk
317,Schritt::N,歩,step
318,Norden::N,北,north
319,Süden::N,南,south
320,Westen::N,西,west
321,Osten::N,東,east
322,Holz::N,木,wood
323,Holz::N,木材,wood
324,Brett::N,板,board
325,Platte::N,盤,slab
326,Stütze::N,支柱,bracket
327,Stange::N,棒,pole
328,Stock::N,杖,stick
329,Stab::N,棒,staff
330,Rohr::N,管,pipe
331,Haus::N,家,house
332,Heim::N,家,home
333,Ofen::N,ストーブ,stove
334,Fußboden::N,床,floor
335,Tisch::N,机,table
336,Stuhl::N,椅子,chair
337,Wiege::N,揺籃,cradle
338,Bett::N,ベッド,bed
339,Regal::N,棚,shelf
340,Kiste::N,箱,box
341,Fenster::N,窓,window
342,Tür::N,戸,door
343,Tür::N,ドア,door
344,Tor::N,門,gate
345,Zaun::N,垣根,fence
346,Dach::N,屋根,roof
347,Leiter::N,梯子,ladder
348,Besen::N,ほうき,broom
349,Spaten::N,スコップ,spade
350,Schaufel::N,シャベル,shovel
351,Gabel::N,フォーク,fork
352,Löffel::N,スプーン,spoon
353,Messer::N,ナイフ,knife
354,Nagel::N,釘,nail
355,Netz::N,網,net
356,Haken::N,鉤,hook
357,Haken::N,フック,hook
358,Griff::N,取っ手,handle
359,Schloss::N,錠,lock
360,Bild::N,絵,picture
361,Figur::N,像,figure
362,Puppe::N,人形,doll
363,Beutel::N,袋,pouch
364,Bündel::N,束,bundle
365,Bündel::N,包み,bundle
366,Tasche::N,かばん,bag
367,Eimer::N,バケツ,bucket
368,Deckel::N,蓋,cover
369,Geschirr::N,食器,dishes
370,Sack::N,袋,sack
371,Tasse::N,カップ,cup
372,Topf::N,鍋,pot
373,Kessel::N,釜,kettle
374,Essen::N,食事,meal
375,Nahrung::N,食物,food
376,Speise::N,料理,dish
377,Fleisch::N,肉,meat
378,Getreide::N,麦,corn
379,Getreide::N,穀物,corn
380,Brei::N,粥,mush
381,Brot::N,パン,bread
