,Concept_ID,zh,tr
0,Auge::N,眼睛,göz
1,Ohr::N,耳朵,kulak
2,Nase::N,鼻子,burun
3,Mund::N,嘴,ağız
4,Zahn::N,牙齿,diş
5,Zunge::N,舌头,dil
6,Lippe::N,嘴唇,dudak
7,Wange::N,面颊,yanak
8,Gesicht::N,脸,yüz
9,Stirn::N,额,alın
10,Haar::N,头发,saç
11,Schnurrbart::N,髭须,bıyık
12,Bart::N,胡子,sakal
13,Kinn::N,下巴,çene
14,Kiefer[Anatomie]::N,颌,çene
15,Kehle::N,嗓子,boğaz
16,Hals::N,颈,boyun
17,Hals::N,颈,gerdan
18,Genick::N,后颈,ense
19,Kopf::N,头,baş
20,Kopf::N,头,kafa
21,Rücken::N,背,arka
22,Bauch::N,肚子,karın
23,Nabel::N,肚脐,göbek
24,Busen::N,胸脯,koyun
25,Brust::N,胸,göğüs
26,Schulter::N,肩膀,omuz
27,Arm::N,臂膀,kol
28,Ellenbogen::N,肘,dirsek
29,Hand::N,手,el
30,Handfläche::N,手掌,avuç
31,Handfläche::N,手掌,el ayası
32,Finger::N,手指,parmak
33,Fingernagel::N,指甲,el tırnağı
34,Nagel[Anatomie]::N,指甲,tırnak
35,Zeh::N,脚趾,ayak parmağı
36,Fuß::N,脚,ayak
37,Ferse::N,后跟,topuk
38,Knie::N,膝,diz
39,Oberschenkel::N,大腿,uyluk
40,Bein::N,腿,bacak
41,Körper::N,身体,vücut
42,Haut::N,皮肤,cilt
43,Blut::N,血,kan
44,Ader::N,血管,damar
45,Sehne::N,腱,kiriş
46,Knochen::N,骨,kemik
47,Gehirn::N,脑,beyin
48,Herz::N,心,kalp
49,Herz::N,心,yürek
50,Magen::N,胃,mide
51,Leber::N,肝,karaciğer
52,Atem::N,呼吸,nefes
53,Hunger::N,饿,açlık
54,Träne::N,眼泪,gözyaşı
55,Geschmack::N,味道,tat
56,Geschmack::N,味道,lezzet
57,Geruch::N,气味,koku
58,Schlaf::N,睡眠,uyku
59,Traum::N,梦,düş
60,Traum::N,梦,rüya
61,Himmel::N,天空,gök
62,Sonne::N,太阳,güneş
63,Mond::N,月亮,ay
64,Stern::N,星,yıldız
65,Luft::N,空气,hava
66,Wind::N,风,yel
67,Wind::N,风,rüzgâr
68,Welle::N,波,dalga
69,Wasser::N,水,su
70,Stein::N,石头,taş
71,Boden::N,地面,yer
72,Boden::N,地面,zemin
73,Erde::N,地,toprak
74,Staub::N,灰尘,toz
75,Rauch::N,烟,duman
76,Funke::N,火花,kıvılcım
77,Feuer::N,火,ateş
78,Licht::N,光,ışık
79,Schatten::N,影子,gölge
80,Wetter::N,天气,hava
81,Nebel::N,雾,pus
82,Wolke::N,云,bulut
83,Regen::N,雨,yağmur
84,Schnee::N,雪,kar
85,Eis::N,冰,buz
86,Frost::N,霜冻,don
87,Kälte::N,寒冷,soğukluk
88,Hitze::N,炎热,sıcaklık
89,Raureif::N,霜,kırç
90,Regenbogen::N,虹,gökkuşağı
91,Donner::N,雷,gök gürlemesi
92,Strömung::N,水流,akıntı
93,Strömung::N,水流,cereyan
94,Tropfen::N,滴,damla
95,Schaum::N,泡沫,köpük
96,Schmutz::N,赃物,çamur
97,Schmutz::N,赃物,pislik
98,See::N,湖,göl
99,Sumpf::N,沼泽,batak
100,Moor::N,沼泽,cılgıt
101,Wiese::N,草地,çimen
102,Wald::N,森林,koru
103,Wald::N,森林,orman
104,Hügel::N,丘陵,tepe
105,Anhöhe::N,山丘,tümsek
106,Anhöhe::N,山丘,yükseklik
107,Berg::N,山,dağ
108,Gipfel::N,峰,zirve
109,Höhle::N,洞穴,in
110,Höhle::N,洞穴,mağara
111,Abhang::N,斜坡,bayır
112,Quelle::N,泉,pınar
113,Quelle::N,泉,kaynak
114,Bach::N,溪,çay
115,Bach::N,溪,dere
116,Fluss::N,河流,nehir
117,Ufer::N,岸,kıyı
118,Ufer::N,岸,sahil
119,Küste::N,海岸,kıyı
120,Küste::N,海岸,sahil
121,Festland::N,大陆,kara
122,Meer::N,海,deniz
123,Bucht::N,海湾,koy
124,Bucht::N,海湾,körfez
125,Insel::N,岛,ada
126,Blume::N,花,çiçek
127,Gras::N,草,ot
128,Gras::N,草,çim
129,Wurzel::N,根,kök
130,Baum::N,树,ağaç
131,Stamm::N,树干,gövde
132,Rinde::N,树皮,kabuk
133,Ast::N,树枝,dal
134,Ast::N,树枝,budak
135,Zweig::N,树枝,dal
136,Blatt::N,叶子,yaprak
137,Birke::N,桦木,huş
138,Kiefer[Baum]::N,松树,çam
139,Weide[Baum]::N,柳树,söğüt
140,Tanne::N,冷杉,çam
141,Tanne::N,冷杉,köknar
142,Horn::N,角,boynuz
143,Feder::N,羽毛,tüy
144,Fell::N,皮毛,post
145,Flügel::N,翅膀,kanat
146,Klaue::N,爪子,pençe
147,Kralle::N,爪子,tırnak
148,Schwanz::N,尾巴,kuyruk
149,Ei::N,蛋,yumurta
150,Nest::N,巢,yuva
151,Bau::N,穴,in
152,Tier::N,动物,hayvan
153,Herde::N,群,sürü
154,Kuh::N,母牛,inek
155,Bulle::N,公牛,boğa
156,Pferd::N,马,at
157,Pferd::N,马,beygir
158,Schaf::N,羊,koyun
159,Schwein::N,猪,domuz
160,Hund::N,狗,it
161,Hund::N,狗,köpek
162,Katze::N,猫,kedi
163,Bär::N,熊,ayı
164,Eichhörnchen::N,松鼠,sincap
165,Elch::N,麋鹿,büyük kuzey geyiği
166,Fuchs::N,狐狸,tilki
167,Hase::N,兔子,tavşan
168,Maus::N,老鼠,fare
169,Maus::N,老鼠,sıçan
170,Wolf::N,狼,kurt
171,Vogel::N,鸟,kuş
172,Schwarm::N,群,sürü
173,Huhn::N,鸡,tavuk
174,Hahn::N,公鸡,horoz
175,Gans::N,鹅,kaz
176,Adler::N,鹰,kartal
177,Adler::N,鹰,karakuş
178,Ente::N,鸭,ördek
179,Eule::N,猫头鹰,baykuş
180,Kranich::N,鹤,turna
181,Krähe::N,乌鸦,karga
182,Kuckuck::N,布谷鸟,guguk
183,Schwan::N,天鹅,kuğu
184,Fisch::N,鱼,balık
185,Barsch::N,鲈鱼,hani
186,Barsch::N,鲈鱼,levrek
187,Hecht::N,狗鱼,turnabalığı
188,Schlange[Tier]::N,蛇,yılan
189,Wurm::N,蠕虫,kurt
190,Wurm::N,蠕虫,solucan
191,Spinne::N,蜘蛛,örümcek
192,Ameise::N,蚂蚁,karınca
193,Laus::N,虱子,bit
194,Mücke::N,蚊子,sivrisinek
195,Fliege::N,苍蝇,sinek
196,Schmetterling::N,蝴蝶,kelebek
197,Beere::N,将果,tane
198,Apfel::N,苹果,elma
199,Pilz::N,蘑菇,mantar
200,Zwiebel::N,洋葱,soğan
201,Saat::N,种子,ekin
202,Korn::N,谷粒,tane
203,Heu::N,干草,kuru ot
204,Schale::N,壳,kabuk
205,Grube::N,坑,çukur
206,Falle::N,圈套,tuzak
207,Schlinge::N,活扣,ilmik
208,Spur::N,踪迹,iz
209,Asche::N,灰烬,kül
210,Dreck::N,污垢,pislik
211,Eisen::N,铁,demir
212,Gold::N,金子,altın
213,Silber::N,银,gümüş
214,Kohle::N,煤,kömür
215,Glas::N,玻璃,cam
216,Lehm::N,粘土,balçık
217,Sand::N,沙,kum
218,Mensch::N,人,insan
219,Mann::N,男子,adam
220,Mann::N,男子,erkek
221,Frau::N,妇女,bayan
222,Kind::N,小孩,çocuk
223,Junge::N,男孩,erkek çocuk
224,Mädchen::N,女孩,kız
225,Familie::N,家庭,aile
226,Großvater::N,祖父,dede
227,Großvater::N,祖父,büyükbaba
228,Großmutter::N,祖母,nine
229,Großmutter::N,祖母,büyükanne
230,Eltern::N,父母,ebeveyn
231,Eltern::N,父母,ana baba
232,Vater::N,父亲,ata
233,Vater::N,父亲,baba
234,Mutter::N,母亲,ana
235,Mutter::N,母亲,anne
236,Sohn::N,儿子,oğul
237,Tochter::N,女儿,kız
238,Tochter::N,女儿,kız evlât
239,Bruder::N,兄弟,abi
240,Bruder::N,兄弟,erkek kardeş
241,Schwester::N,姐妹,abla
242,Schwester::N,姐妹,kız kardeş
243,Onkel::N,伯父,dayı
244,Tante::N,阿姨,hala
245,Tante::N,阿姨,teyze
246,Ehemann::N,丈夫,koca
247,Ehefrau::N,妻子,karı
248,Freude::N,愉快,neşe
249,Freude::N,愉快,sevinç
250,Gelächter::N,大笑,gülme
251,Gelächter::N,大笑,kahkaha
252,Glück::N,运气,mutluluk
253,Kummer::N,苦恼,dert
254,Kummer::N,苦恼,keder
255,Wunsch::N,愿望,arzu
256,Wunsch::N,愿望,istek
257,Lust::N,乐趣,arzu
258,Lust::N,乐趣,heves
259,Geist::N,精神,tin
260,Gedanke::N,思想,fikir
261,Gedanke::N,思想,düşünce
262,Gedächtnis::N,记性,bellek
263,Verstand::N,理智,zekâ
264,Sinn::N,感觉,anlam
265,Grund::N,理由,sebep
266,Wahrheit::N,真理,doğruluk
267,Wahrheit::N,真理,gerçeklik
268,Gespräch::N,谈话,görüşme
