,Concept_ID,av,os
0,Ohr::N,гӏин,хъус
1,Nase::N,мегӏер,фындз
2,Mund::N,кӏал,дзых
3,Zahn::N,гӏус,дӕндаг
4,Zunge::N,мацӏ,ӕвзаг
5,Lippe::N,кӏветӏ,был
6,Wange::N,гӏоно,рус
7,Wange::N,гӏоно,уадул
8,Wange::N,гӏоно,ӕхсӕрфарс
9,Gesicht::N,гьумер,цӕсгом
10,Stirn::N,нодо,ных
11,Haar::N,рас,хил
12,Schnurrbart::N,михъ,рихи
13,Bart::N,мегеж,зачъе
14,Kinn::N,нилъу,роцъо
15,Kiefer[Anatomie]::N,чанагъ,ӕфсӕр
16,Kehle::N,щекъер,хъуыр
17,Hals::N,габур,къубал
18,Genick::N,гъванща,къӕбут
19,Kopf::N,бетӏер,сӕр
20,Rücken::N,мугъ,фӕсонтӕ
21,Bauch::N,чехь,гуыбын
22,Nabel::N,цӏину,бикъ
23,Busen::N,керен,дзидзи
24,Brust::N,керен,риу
25,Schulter::N,гъажазубетӏер,уӕхск
26,Arm::N,гъеж,цонг
27,Ellenbogen::N,гӏункӏрукь,рæмбын
28,Hand::N,квер,къух
29,Handfläche::N,огъохъат,армытъӕпӕн
30,Handfläche::N,жанисахъат,армытъӕпӕн
31,Finger::N,килищ,ӕнруылдз
32,Fingernagel::N,малъ,ных
33,Nagel[Anatomie]::N,малъ,ных
34,Zeh::N,килищ,къух
35,Fuß::N,хӏетӏ,фад
36,Fuß::N,хӏетӏе,фад
37,Ferse::N,эгъе,зӕвӕт
38,Knie::N,наку,уӕраг
39,Oberschenkel::N,мачӏ,агъд
40,Bein::N,бох,зӕнг
41,Körper::N,къаркъала,буар
42,Haut::N,тӏом,царм
43,Blut::N,би,туг
44,Ader::N,бидурихь,дадзин
45,Ader::N,бидурихь,тугдадзин
46,Knochen::N,ракьа,стӕг
47,Gehirn::N,гӏадалнах,магъз
48,Herz::N,ракӏ,зӕрдӕ
49,Magen::N,кванирукъ,ахсӕн
50,Leber::N,тӏул,игæр
51,Atem::N,хӏухь,улӕфт
52,Hunger::N,ракъи,стонг
53,Träne::N,магӏу,цæссыг
54,Geschmack::N,тату,ад
55,Geruch::N,махӏ,смаг
56,Schlaf::N,макьу,хуыссӕг
57,Traum::N,макьу,фын
58,Himmel::N,зоб,арв
59,Himmel::N,зоб,уӕларв
60,Sonne::N,бакъ,хур
61,Mond::N,моцӏ,мӕй
62,Stern::N,цӏва,стъалы
63,Luft::N,гьава,уӕлдӕф
64,Wind::N,гьури,дымгӕ
65,Welle::N,карачел,уылӕн
66,Wasser::N,лъим,дон
67,Stein::N,гьецӏо,дур
68,Boden::N,ракь,зӕхх
69,Erde::N,ракь,сыджыт
