,Concept_ID,ar,ar
0,Auge::N,عين,عين
1,Ohr::N,أذن,أذن
2,Nase::N,أنف,أنف
3,Mund::N,فم,فم
4,Zahn::N,سن,سن
5,Zunge::N,لسان,لسان
6,Lippe::N,شفة,شفة
7,Wange::N,خد,خد
8,Wange::N,خد,وجنة
9,Wange::N,وجنة,خد
10,Wange::N,وجنة,وجنة
11,Gesicht::N,وجه,وجه
12,Stirn::N,جبين,جبين
13,Haar::N,شعر,شعر
14,Schnurrbart::N,شارب,شارب
15,Bart::N,لحية,لحية
16,Kinn::N,ذقن,ذقن
17,Kiefer[Anatomie]::N,فك,فك
18,Kehle::N,حلق,حلق
19,Hals::N,عنق,عنق
20,Hals::N,عنق,رقبة
21,Hals::N,رقبة,عنق
22,Hals::N,رقبة,رقبة
23,Genick::N,قفا,قفا
24,Kopf::N,رأس,رأس
25,Rücken::N,ظهر,ظهر
26,Bauch::N,بطن,بطن
27,Nabel::N,سرة,سرة
28,Busen::N,ثدي,ثدي
29,Brust::N,صدر,صدر
30,Schulter::N,كتف,كتف
31,Arm::N,ذراع,ذراع
32,Ellenbogen::N,كوع,كوع
33,Hand::N,يد,يد
34,Handfläche::N,كف,كف
35,Finger::N,إصبع,إصبع
36,Fingernagel::N,ظفر,ظفر
37,Nagel[Anatomie]::N,ظفر,ظفر
38,Zeh::N,إصبع القدم,إصبع القدم
39,Fuß::N,قدم,قدم
40,Ferse::N,كعب,كعب
41,Knie::N,ركبة,ركبة
42,Oberschenkel::N,فخذ,فخذ
43,Bein::N,ساق,ساق
44,Körper::N,جسم,جسم
45,Haut::N,بشرة,بشرة
46,Blut::N,دم,دم
47,Ader::N,عرق,عرق
48,Sehne::N,طنب,طنب
49,Knochen::N,عظم,عظم
50,Gehirn::N,دماغ,دماغ
51,Herz::N,قلب,قلب
52,Magen::N,معدة,معدة
53,Leber::N,كبد,كبد
54,Atem::N,نفس,نفس
55,Hunger::N,جوع,جوع
56,Träne::N,دمعة,دمعة
57,Geschmack::N,طعم,طعم
58,Geschmack::N,طعم,مذاق
59,Geschmack::N,مذاق,طعم
60,Geschmack::N,مذاق,مذاق
61,Geruch::N,رائحة,رائحة
62,Schlaf::N,نوم,نوم
63,Schlaf::N,نوم,منام
64,Schlaf::N,منام,نوم
65,Schlaf::N,منام,منام
66,Traum::N,حلم,حلم
67,Himmel::N,سماء,سماء
68,Sonne::N,شمس,شمس
69,Mond::N,قمر,قمر
70,Stern::N,نجم,نجم
71,Stern::N,نجم,كوكب
72,Stern::N,كوكب,نجم
73,Stern::N,كوكب,كوكب
74,Luft::N,هواء,هواء
75,Wind::N,ريح,ريح
76,Welle::N,موجة,موجة
77,Wasser::N,ماء,ماء
78,Stein::N,حجر,حجر
79,Boden::N,تراب,تراب
80,Erde::N,أرض,أرض
81,Staub::N,غبار,غبار
82,Rauch::N,دخان,دخان
83,Funke::N,شرارة,شرارة
84,Feuer::N,نار,نار
85,Licht::N,نور,نور
86,Licht::N,نور,ضوء
87,Licht::N,ضوء,نور
88,Licht::N,ضوء,ضوء
89,Schatten::N,ظل,ظل
90,Schatten::N,ظل,فيء
91,Schatten::N,فيء,ظل
92,Schatten::N,فيء,فيء
93,Wetter::N,جو,جو
94,Wetter::N,جو,طقس
95,Wetter::N,طقس,جو
96,Wetter::N,طقس,طقس
97,Nebel::N,ضباب,ضباب
98,Wolke::N,غيمة,غيمة
99,Wolke::N,غيمة,سحابة
100,Wolke::N,سحابة,غيمة
101,Wolke::N,سحابة,سحابة
102,Regen::N,مطر,مطر
103,Schnee::N,ثلج,ثلج
104,Eis::N,جليد,جليد
105,Frost::N,صقيع,صقيع
106,Kälte::N,برد,برد
107,Hitze::N,حر,حر
108,Hitze::N,حر,حرارة
109,Hitze::N,حرارة,حر
110,Hitze::N,حرارة,حرارة
111,Raureif::N,صقيع,صقيع
112,Regenbogen::N,قوس قزح,قوس قزح
113,Donner::N,رعد,رعد
114,Strömung::N,تيار,تيار
115,Tropfen::N,قطرة,قطرة
116,Schaum::N,زبد,زبد
117,Schaum::N,زبد,رغوة
118,Schaum::N,رغوة,زبد
119,Schaum::N,رغوة,رغوة
120,Schmutz::N,وسخ,وسخ
121,See::N,بحيرة,بحيرة
122,Sumpf::N,مستنقع,مستنقع
123,Moor::N,مستنقع,مستنقع
124,Wiese::N,مرج,مرج
125,Wald::N,غابة,غابة
126,Hügel::N,تل,تل
127,Anhöhe::N,تل,تل
128,Berg::N,جبل,جبل
129,Gipfel::N,قمة,قمة
130,Höhle::N,كهف,كهف
131,Abhang::N,منحدر,منحدر
132,Quelle::N,منبع,منبع
133,Bach::N,مجرى,مجرى
134,Fluss::N,نهر,نهر
135,Ufer::N,ضفة,ضفة
136,Küste::N,ساحل,ساحل
137,Festland::N,بر,بر
138,Meer::N,بحر,بحر
139,Bucht::N,خليج,خليج
140,Insel::N,جزيرة,جزيرة
141,Blume::N,زهرة,زهرة
142,Gras::N,حشيش,حشيش
143,Wurzel::N,أصل,أصل
144,Baum::N,شجرة,شجرة
145,Stamm::N,جذع,جذع
146,Rinde::N,قشرة,قشرة
147,Ast::N,فرع,فرع
148,Zweig::N,غصن,غصن
149,Blatt::N,ورقة,ورقة
150,Birke::N,قضبان,قضبان
151,Kiefer[Baum]::N,صنوبرة,صنوبرة
152,Weide[Baum]::N,صفصاف,صفصاف
153,Tanne::N,شوح,شوح
154,Tanne::N,شوح,تبوب
155,Tanne::N,تبوب,شوح
156,Tanne::N,تبوب,تبوب
157,Horn::N,قرن,قرن
158,Feder::N,ريشة,ريشة
159,Fell::N,فرو,فرو
160,Flügel::N,جناح,جناح
161,Klaue::N,مخلب,مخلب
162,Kralle::N,مخلب,مخلب
163,Schwanz::N,ذيل,ذيل
164,Ei::N,بيض,بيض
165,Nest::N,عش,عش
166,Bau::N,جحر,جحر
167,Tier::N,حيوان,حيوان
168,Herde::N,قطيع,قطيع
169,Kuh::N,بقرة,بقرة
170,Bulle::N,ثور,ثور
171,Pferd::N,خيل,خيل
172,Schaf::N,شاة,شاة
173,Schwein::N,خنزير,خنزير
174,Hund::N,كلب,كلب
175,Katze::N,قطة,قطة
176,Bär::N,دب,دب
177,Eichhörnchen::N,سنجاب,سنجاب
178,Elch::N,موظ,موظ
179,Fuchs::N,ثعلب,ثعلب
180,Hase::N,أرنب,أرنب
181,Maus::N,فأرة,فأرة
182,Wolf::N,ذئب,ذئب
183,Vogel::N,طير,طير
184,Schwarm::N,سرب,سرب
185,Huhn::N,دجاجة,دجاجة
186,Hahn::N,ديك,ديك
187,Gans::N,وزة,وزة
188,Adler::N,نسر,نسر
189,Ente::N,بطة,بطة
190,Eule::N,بوم,بوم
191,Kranich::N,كركي,كركي
