,Concept_ID,es,no
0,Auge::N,ojo,øye
1,Ohr::N,oreja,øre
2,Nase::N,nariz,nese
3,Mund::N,boca,munn
4,Zahn::N,diente,tann
5,Zunge::N,lengua,tunge
6,Lippe::N,labio,leppe
7,Wange::N,mejilla,kinn
8,Gesicht::N,cara,fjes
9,Gesicht::N,cara,ansikt
10,Stirn::N,frente,panne
11,Haar::N,cabello,hår
12,Schnurrbart::N,bigote,bart
13,Bart::N,barba,skjegg
14,Kinn::N,barbilla,hake
15,Kiefer[Anatomie]::N,mandíbula,kjeve
16,Kehle::N,garganta,strupe
17,Hals::N,cuello,hals
18,Genick::N,nuca,nakke
19,Genick::N,cerviz,nakke
20,Kopf::N,cabeza,hode
21,Rücken::N,espalda,rygg
22,Bauch::N,vientre,buk
23,Bauch::N,vientre,mage
24,Nabel::N,ombligo,navle
25,Busen::N,pecho,barm
26,Brust::N,pecho,bryst
27,Schulter::N,hombro,skulder
28,Arm::N,brazo,arm
29,Ellenbogen::N,codo,albue
30,Hand::N,mano,hånd
31,Handfläche::N,palma,håndflate
32,Finger::N,dedo,finger
33,Fingernagel::N,uña,fingernegl
34,Nagel[Anatomie]::N,uña,negl
35,Zeh::N,dedo del pie,tå
36,Fuß::N,pie,fot
37,Ferse::N,talón,hæl
38,Knie::N,rodilla,kne
39,Oberschenkel::N,muslo,lår
40,Bein::N,pierna,bein
41,Körper::N,cuerpo,kropp
42,Körper::N,cuerpo,legeme
43,Haut::N,piel,hud
44,Haut::N,piel,skinn
45,Blut::N,sangre,blod
46,Ader::N,vena,åre
47,Sehne::N,tendón,sene
48,Knochen::N,hueso,bein
49,Knochen::N,hueso,knokkel
50,Gehirn::N,cerebro,hjerne
51,Gehirn::N,encéfalo,hjerne
52,Herz::N,corazón,hjerte
53,Magen::N,estómago,mage
54,Leber::N,hígado,lever
55,Atem::N,aliento,pust
56,Hunger::N,hambre,sult
57,Träne::N,lágrima,tåre
58,Geschmack::N,gusto,smak
59,Geruch::N,olor,lukt
60,Schlaf::N,sueño,søvn
61,Traum::N,sueño,drøm
62,Traum::N,ensueño,drøm
63,Himmel::N,cielo,himmel
64,Sonne::N,sol,sol
65,Mond::N,luna,måne
66,Stern::N,estrella,stjerne
67,Luft::N,aire,luft
68,Wind::N,viento,vind
69,Welle::N,ola,bølge
70,Welle::N,onda,bølge
71,Wasser::N,agua,vann
72,Stein::N,piedra,stein
73,Boden::N,suelo,bakke
74,Erde::N,tierra,jord
75,Staub::N,polvo,støv
76,Rauch::N,humo,røyk
77,Funke::N,chispa,gnist
78,Feuer::N,fuego,ild
79,Licht::N,luz,lys
80,Schatten::N,sombra,skygge
81,Wetter::N,tiempo,vær
82,Nebel::N,niebla,tåke
83,Wolke::N,nube,sky
84,Regen::N,lluvia,regn
85,Schnee::N,nieve,snø
86,Eis::N,hielo,is
87,Frost::N,helada,frost
88,Kälte::N,frío,kulde
89,Hitze::N,calor,hete
90,Raureif::N,escarcha,rimfrost
91,Regenbogen::N,arco iris,regnbue
92,Donner::N,trueno,torden
93,Strömung::N,corriente,strømning
94,Tropfen::N,gota,dråpe
95,Schaum::N,espuma,skum
96,Schmutz::N,suciedad,søl
97,Schmutz::N,suciedad,skitt
98,See::N,lago,sjø
99,Sumpf::N,pantano,sump
100,Sumpf::N,pantano,myrlende
101,Moor::N,turbera,myr
102,Moor::N,turbera,myrhei
103,Wiese::N,prado,eng
104,Wiese::N,pradera,eng
105,Wald::N,bosque,skog
106,Hügel::N,colina,haug
107,Hügel::N,colina,bakke
108,Anhöhe::N,cerro,haug
109,Anhöhe::N,cerro,bakke
110,Berg::N,monte,berg
111,Berg::N,monte,fjell
112,Berg::N,montaña,berg
113,Berg::N,montaña,fjell
114,Gipfel::N,cima,topp
115,Gipfel::N,cumbre,topp
116,Höhle::N,cueva,hule
117,Höhle::N,caverna,hule
118,Abhang::N,cuesta,li
119,Abhang::N,cuesta,skråning
120,Abhang::N,declive,li
121,Abhang::N,declive,skråning
122,Quelle::N,fuente,kilde
123,Quelle::N,manantial,kilde
124,Bach::N,arroyo,bekk
125,Fluss::N,río,elv
126,Ufer::N,orilla,bredd
127,Küste::N,costa,kyst
128,Festland::N,tierra firme,fastland
129,Meer::N,mar,hav
130,Bucht::N,cala,bukt
131,Bucht::N,bahía,bukt
132,Insel::N,isla,øy
133,Blume::N,flor,blomst
134,Gras::N,hierba,gress
135,Wurzel::N,raíz,rot
136,Baum::N,árbol,tre
137,Stamm::N,tronco,stamme
138,Rinde::N,corteza,bark
139,Ast::N,rama,gren
140,Zweig::N,ramo,kvist
141,Blatt::N,hoja,blad
142,Birke::N,abedul,bjørk
143,Kiefer[Baum]::N,pino,furu
144,Weide[Baum]::N,sauce,selje
145,Weide[Baum]::N,sauce,piletre
146,Tanne::N,abeto,gran
147,Horn::N,asta,horn
148,Horn::N,cuerno,horn
149,Feder::N,pluma,fjær
150,Fell::N,piel,skinn
151,Flügel::N,ala,vinge
152,Klaue::N,garra,klauv
153,Kralle::N,uña,klo
154,Kralle::N,garra,klo
155,Schwanz::N,cola,hale
156,Ei::N,huevo,egg
157,Nest::N,nido,rede
158,Bau::N,madriguera,hi
159,Tier::N,animal,dyr
160,Herde::N,rebaño,flokk
161,Kuh::N,vaca,ku
162,Bulle::N,toro,tyr
163,Pferd::N,caballo,hest
164,Schaf::N,oveja,får
165,Schwein::N,cerdo,gris
166,Hund::N,perro,hund
167,Katze::N,gato,katt
168,Bär::N,oso,bjørn
169,Eichhörnchen::N,ardilla,ekorn
