,Concept_ID,lt,tr
0,Auge::N,akis,göz
1,Ohr::N,ausis,kulak
2,Nase::N,nosis,burun
3,Mund::N,burna,ağız
4,Zahn::N,dantis,diş
5,Zunge::N,liežuvis,dil
6,Lippe::N,lūpa,dudak
7,Wange::N,žandas,yanak
8,Wange::N,skruostas,yanak
9,Gesicht::N,veidas,yüz
10,Stirn::N,kakta,alın
11,Haar::N,plaukai,saç
12,Schnurrbart::N,ūsai,bıyık
13,Bart::N,barzda,sakal
14,Kinn::N,smakras,çene
15,Kiefer[Anatomie]::N,žandikaulis,çene
16,Kehle::N,gerklė,boğaz
17,Hals::N,kaklas,boyun
18,Hals::N,kaklas,gerdan
19,Genick::N,sprandas,ense
20,Kopf::N,galva,baş
21,Kopf::N,galva,kafa
22,Rücken::N,nugara,arka
23,Bauch::N,pilvas,karın
24,Nabel::N,bamba,göbek
25,Busen::N,krūtinė,koyun
26,Brust::N,krūtis,göğüs
27,Schulter::N,petys,omuz
28,Arm::N,ranka,kol
29,Ellenbogen::N,alkūnė,dirsek
30,Hand::N,ranka,el
31,Hand::N,plaštaka,el
32,Handfläche::N,delnas,avuç
33,Handfläche::N,delnas,el ayası
34,Handfläche::N,plaštaka,avuç
35,Handfläche::N,plaštaka,el ayası
36,Finger::N,pirštas,parmak
37,Fingernagel::N,nagas,el tırnağı
38,Nagel[Anatomie]::N,nagas,tırnak
39,Zeh::N,pirštas,ayak parmağı
40,Fuß::N,pėda,ayak
41,Ferse::N,kulnas,topuk
42,Knie::N,kelis,diz
43,Oberschenkel::N,kulšis,uyluk
44,Oberschenkel::N,šlaunis,uyluk
45,Bein::N,koja,bacak
46,Körper::N,kūnas,vücut
47,Haut::N,oda,cilt
48,Blut::N,kraujas,kan
49,Ader::N,kraujagyslė,damar
50,Sehne::N,sausgyslė,kiriş
51,Knochen::N,kaulas,kemik
52,Gehirn::N,smegenys,beyin
53,Herz::N,širdis,kalp
54,Herz::N,širdis,yürek
55,Magen::N,skrandis,mide
56,Leber::N,kepenys,karaciğer
57,Atem::N,kvapas,nefes
58,Hunger::N,badas,açlık
59,Hunger::N,alkis,açlık
60,Träne::N,ašara,gözyaşı
61,Geschmack::N,skonis,tat
62,Geschmack::N,skonis,lezzet
63,Geruch::N,kvapas,koku
64,Schlaf::N,miegas,uyku
65,Traum::N,sapnas,düş
66,Traum::N,sapnas,rüya
67,Himmel::N,dangus,gök
68,Sonne::N,saulė,güneş
69,Mond::N,mėnulis,ay
70,Stern::N,žvaigždė,yıldız
71,Luft::N,oras,hava
72,Wind::N,vėjas,yel
73,Wind::N,vėjas,rüzgâr
74,Welle::N,banga,dalga
75,Welle::N,vilnis,dalga
76,Wasser::N,vanduo,su
77,Stein::N,akmuo,taş
78,Boden::N,žemė,yer
79,Boden::N,žemė,zemin
80,Boden::N,dugnas,yer
81,Boden::N,dugnas,zemin
82,Erde::N,žemė,toprak
83,Staub::N,dulkės,toz
84,Rauch::N,dūmai,duman
85,Funke::N,kibirkštis,kıvılcım
86,Feuer::N,ugnis,ateş
87,Licht::N,šviesa,ışık
88,Schatten::N,paūksmė,gölge
89,Wetter::N,oras,hava
90,Nebel::N,migla,pus
91,Nebel::N,rūkas,pus
92,Wolke::N,debesis,bulut
