,Concept_ID,kv,en
0,Auge::N,син,eye
1,Ohr::N,пель,ear
2,Nase::N,ныр,nose
3,Mund::N,ӧм,mouth
4,Zahn::N,пинь,tooth
5,Zunge::N,кыв,tongue
6,Lippe::N,тырп,lip
7,Wange::N,рожабан,cheek
8,Gesicht::N,бан,face
9,Stirn::N,кымӧс,forehead
10,Haar::N,юрси,hair
11,Schnurrbart::N,уссэз,moustache
12,Bart::N,тош,beard
13,Kinn::N,тшӧка,chin
14,Kiefer[Anatomie]::N,ан,jaw
15,Kehle::N,юан,throat
16,Hals::N,юан,neck
17,Genick::N,юр бӧр,nape
18,Kopf::N,юр,head
19,Rücken::N,мышк,back
20,Rücken::N,мышк,spine
21,Bauch::N,кынӧм,belly
22,Nabel::N,гӧг,navel
23,Busen::N,морос,bosom
24,Brust::N,морос,chest
25,Brust::N,морос,breast
26,Schulter::N,пельпон,shoulder
27,Arm::N,ки,arm
28,Ellenbogen::N,гырдзза,elbow
29,Hand::N,кикар,hand
30,Handfläche::N,ки пыдӧс,palm
31,Finger::N,чунь,finger
32,Fingernagel::N,гыж,fingernail
33,Nagel[Anatomie]::N,гыж,nail
34,Zeh::N,чунь,toe
35,Fuß::N,кокпыдӧс,foot
36,Ferse::N,кокдзир,heel
37,Knie::N,пидзӧс,knee
38,Oberschenkel::N,лядьбей,thigh
39,Bein::N,кок,leg
40,Körper::N,вывтыр,body
41,Haut::N,кучик,skin
42,Blut::N,вир,blood
43,Ader::N,сӧн,vein
44,Sehne::N,жила,sinew
45,Knochen::N,коска,bone
46,Gehirn::N,вем,brain
47,Herz::N,сьӧлӧм,heart
48,Magen::N,жӧвдӧк,stomach
49,Leber::N,мус,liver
50,Atem::N,лолалӧм,breath
51,Hunger::N,тшыг,hunger
52,Träne::N,синва,tear
53,Geschmack::N,кӧр,flavour
54,Geschmack::N,кӧр,flavor
55,Geruch::N,дук,odour
56,Geruch::N,дук,odor
57,Schlaf::N,он,sleep
58,Traum::N,вӧт,dream
59,Himmel::N,небо,sky
60,Sonne::N,шондi,sun
61,Mond::N,тӧлiсь,moon
62,Stern::N,кӧдзыв,star
63,Luft::N,ру,air
64,Wind::N,тӧв,wind
65,Welle::N,гы,wave
66,Wasser::N,ва,water
67,Stein::N,из,stone
68,Boden::N,му,soil
69,Boden::N,му,ground
70,Erde::N,му,earth
71,Staub::N,бус,dust
72,Rauch::N,тшын,smoke
73,Funke::N,бичир,spark
74,Feuer::N,би,fire
75,Licht::N,би,light
76,Schatten::N,вуджӧр,shadow
77,Wetter::N,погоддя,weather
78,Nebel::N,туман,fog
79,Wolke::N,кымӧр,cloud
80,Regen::N,зэр,rain
81,Schnee::N,лым,snow
82,Eis::N,йы,ice
83,Frost::N,мороз,frost
84,Kälte::N,кӧдзыт,chill
85,Hitze::N,ӧд,heat
86,Raureif::N,кижа,hoarfrost
87,Regenbogen::N,енӧшка,rainbow
88,Donner::N,гым,thunder
89,Strömung::N,визывтӧм,current
90,Tropfen::N,тёп,drop
91,Schaum::N,быг,foam
92,Schmutz::N,нять,dirt
93,See::N,ты,lake
94,Sumpf::N,арай,swamp
95,Moor::N,нюр,moor
96,Wiese::N,видз,meadow
97,Wald::N,вӧр,forest
98,Hügel::N,мыльк,hill
99,Anhöhe::N,вывтас,elevation
100,Anhöhe::N,вылынін,elevation
101,Berg::N,керӧс,mountain
102,Gipfel::N,йыв,summit
103,Höhle::N,нора,cave
104,Abhang::N,покат,slope
105,Quelle::N,больган,source
106,Bach::N,шор,brook
107,Fluss::N,ю,river
108,Ufer::N,берег,shore
109,Küste::N,берег,coast
