,Concept_ID,lv,ga
0,Auge::N,син,súil
1,Auge::N,acs,súil
2,Ohr::N,пель,cluas
3,Ohr::N,auss,cluas
4,Nase::N,ныр,soc
5,Nase::N,deguns,soc
6,Mund::N,вом,béal
7,Mund::N,mute,béal
8,Zahn::N,пинь,fiacail
9,Zahn::N,zobs,fiacail
10,Zunge::N,кыв,teanga
11,Zunge::N,mēle,teanga
12,Lippe::N,вом дор,liopa
13,Lippe::N,lūpa,liopa
14,Wange::N,бан,grua
15,Wange::N,бан,leiceann
16,Wange::N,vaigs,grua
17,Wange::N,vaigs,leiceann
18,Gesicht::N,чужӧм,éadan
19,Gesicht::N,чужӧм,aghaidh
20,Gesicht::N,seja,éadan
21,Gesicht::N,seja,aghaidh
22,Gesicht::N,ģīmis,éadan
23,Gesicht::N,ģīmis,aghaidh
24,Stirn::N,плеш,baithis
25,Stirn::N,плеш,clár éadain
26,Stirn::N,кымӧс,baithis
27,Stirn::N,кымӧс,clár éadain
28,Stirn::N,piere,baithis
29,Stirn::N,piere,clár éadain
30,Haar::N,си,gruaig
31,Haar::N,юрси,gruaig
32,Haar::N,mats,gruaig
33,Schnurrbart::N,ус,croiméal
34,Schnurrbart::N,пыртсим,croiméal
35,Schnurrbart::N,ūsas,croiméal
36,Bart::N,тош,féasóg
37,Bart::N,bārda,féasóg
38,Kinn::N,тшӧка,smig
39,Kinn::N,zods,smig
40,Kinn::N,smakrs,smig
41,Kiefer[Anatomie]::N,черлы,giall
42,Kiefer[Anatomie]::N,алака лы,giall
43,Kiefer[Anatomie]::N,вомкӧтш лы,giall
44,Kiefer[Anatomie]::N,žoklis,giall
45,Kehle::N,голя,scornach
46,Kehle::N,rīkle,scornach
47,Hals::N,сьылі,muinéal
48,Hals::N,kakls,muinéal
49,Genick::N,юрбӧр,baic
50,Genick::N,балябӧж,baic
51,Genick::N,sprands,baic
52,Kopf::N,юр,ceann
53,Kopf::N,galva,ceann
54,Rücken::N,мыш,droim
55,Rücken::N,mugura,droim
56,Bauch::N,рушку,bolg
57,Bauch::N,vēders,bolg
58,Nabel::N,гӧг,imleacán
59,Nabel::N,naba,imleacán
60,Busen::N,морӧс,cíoch
61,Busen::N,krūts,cíoch
62,Brust::N,морӧс,brollach
63,Brust::N,krūts,brollach
64,Schulter::N,пельпом,gualainn
65,Schulter::N,plecs,gualainn
66,Arm::N,ки,lámh
67,Arm::N,roka,lámh
68,Arm::N,delms,lámh
69,Ellenbogen::N,гырддза,uillinn
70,Ellenbogen::N,elkonis,uillinn
71,Hand::N,ки,lámh
72,Hand::N,roka,lámh
73,Hand::N,plauksta,lámh
74,Handfläche::N,ки пыдӧс,bos
75,Handfläche::N,delna,bos
76,Handfläche::N,plauksta,bos
77,Finger::N,чунь,méar
78,Finger::N,pirksts,méar
79,Fingernagel::N,гыж,ionga
80,Fingernagel::N,nags,ionga
81,Nagel[Anatomie]::N,гыж,ionga
82,Nagel[Anatomie]::N,nags,ionga
83,Zeh::N,кок чунь,ladhar
84,Zeh::N,pirksts,ladhar
85,Fuß::N,кок,cos
86,Fuß::N,кок,troigh
87,Fuß::N,kāja,cos
88,Fuß::N,kāja,troigh
89,Ferse::N,кокбӧр,sáil
90,Ferse::N,papēdis,sáil
91,Knie::N,пидзӧс,glúin
92,Knie::N,celis,glúin
93,Oberschenkel::N,лядьвей,ceathrú
94,Oberschenkel::N,бек,ceathrú
95,Oberschenkel::N,ciska,ceathrú
96,Oberschenkel::N,augšstilbs,ceathrú
97,Bein::N,кок,cos
98,Bein::N,kāja,cos
99,Körper::N,туша,corp
100,Körper::N,туша,colainn
101,Körper::N,вывтыр,corp
102,Körper::N,вывтыр,colainn
103,Körper::N,miesa,corp
104,Körper::N,miesa,colainn
105,Körper::N,ķermenis,corp
106,Körper::N,ķermenis,colainn
107,Haut::N,ку,cneas
108,Haut::N,ку,craiceann
109,Haut::N,āda,cneas
110,Haut::N,āda,craiceann
111,Blut::N,вир,fuil
112,Blut::N,asins,fuil
113,Ader::N,сӧн,
114,Ader::N,asinsvads,
115,Sehne::N,вез,teannán
116,Sehne::N,вез,féitheog
117,Sehne::N,dzīsla,teannán
118,Sehne::N,dzīsla,féitheog
119,Knochen::N,лы,cnámh
120,Knochen::N,kauls,cnámh
121,Gehirn::N,вем,inchinn
122,Gehirn::N,smadzenes,inchinn
123,Herz::N,сьӧлӧм,croí
124,Herz::N,sirds,croí
125,Magen::N,кынӧм,bolg
126,Magen::N,кынӧм,goile
127,Magen::N,kuņģis,bolg
128,Magen::N,kuņģis,goile
129,Leber::N,мус,ae
130,Leber::N,aknas,ae
131,Atem::N,лов,anáil
132,Atem::N,elpa,anáil
133,Hunger::N,тшыг,ocras
134,Hunger::N,bads,ocras
135,Hunger::N,izsalkums,ocras
136,Träne::N,синва,deoir
137,Träne::N,asara,deoir
138,Geschmack::N,кӧр,blas
139,Geschmack::N,чӧсмӧс,blas
140,Geschmack::N,garša,blas
141,Geruch::N,зын,boladh
142,Geruch::N,дук,boladh
143,Geruch::N,smaka,boladh
144,Schlaf::N,узьӧм,suan
145,Schlaf::N,узьӧм,codladh
146,Schlaf::N,miegs,suan
147,Schlaf::N,miegs,codladh
148,Traum::N,вӧт,taibhreamh
149,Traum::N,вӧтасьӧм,taibhreamh
150,Traum::N,sapnis,taibhreamh
151,Himmel::N,енэж,spéir
152,Himmel::N,debess,spéir
153,Sonne::N,шонді,grian
154,Sonne::N,saule,grian
155,Mond::N,тӧлысь,ré
156,Mond::N,тӧлысь,gealach
157,Mond::N,mēness,ré
158,Mond::N,mēness,gealach
159,Stern::N,кодзув,rinn
160,Stern::N,кодзув,réalta
161,Stern::N,zvaigzne,rinn
162,Stern::N,zvaigzne,réalta
163,Luft::N,сынӧд,aer
164,Luft::N,gaiss,aer
165,Wind::N,тӧв,gaoth
166,Wind::N,vējš,gaoth
167,Welle::N,гы,tonn
168,Welle::N,vilnis,tonn
169,Wasser::N,ва,uisce
170,Wasser::N,ūdens,uisce
171,Stein::N,из,cloch
172,Stein::N,akmens,cloch
173,Boden::N,му,talamh
174,Boden::N,augsne,talamh
175,Erde::N,му,cré
176,Erde::N,му,ithir
177,Erde::N,му-ва,cré
178,Erde::N,му-ва,ithir
179,Erde::N,zeme,cré
180,Erde::N,zeme,ithir
181,Staub::N,бус,dusta
182,Staub::N,бус,deannach
183,Staub::N,putekļi,dusta
184,Staub::N,putekļi,deannach
185,Rauch::N,тшын,toit
186,Rauch::N,тшын,deatach
187,Rauch::N,dūmi,toit
188,Rauch::N,dūmi,deatach
189,Funke::N,кинь,drithle
190,Funke::N,би кинь,drithle
191,Funke::N,dzirkstele,drithle
192,Feuer::N,би,tine
193,Feuer::N,uguns,tine
194,Licht::N,югӧр,solas
195,Licht::N,gaisma,solas
196,Schatten::N,вуджӧр,scáth
197,Schatten::N,ēna,scáth
198,Wetter::N,поводдя,aimsir
199,Wetter::N,laiks,aimsir
200,Nebel::N,ру,ceo
201,Nebel::N,онь,ceo
202,Nebel::N,migla,ceo
203,Wolke::N,кымӧр,néal
204,Wolke::N,кымӧр,scamall
205,Wolke::N,mākonis,néal
206,Wolke::N,mākonis,scamall
207,Regen::N,зэр,báisteach
208,Regen::N,зэр,fearthainn
209,Regen::N,lietus,báisteach
210,Regen::N,lietus,fearthainn
211,Schnee::N,лым,sneachta
212,Schnee::N,sniegs,sneachta
213,Eis::N,йи,oighear
214,Eis::N,ledus,oighear
215,Frost::N,кӧдзыд,sioc
216,Frost::N,sals,sioc
217,Kälte::N,кӧдзыд,fuacht
218,Kälte::N,saltums,fuacht
219,Kälte::N,aukstums,fuacht
220,Hitze::N,пӧсь,teas
221,Hitze::N,пӧсь,teocht
222,Hitze::N,гожӧд,teas
223,Hitze::N,гожӧд,teocht
224,Hitze::N,karstums,teas
225,Hitze::N,karstums,teocht
226,Raureif::N,пуж,sioc bán
227,Raureif::N,гыӧр,sioc bán
228,Raureif::N,sarma,sioc bán
229,Regenbogen::N,ӧшкамӧшка,stua ceatha
230,Regenbogen::N,ӧшкамӧшка,bogha báistí
231,Regenbogen::N,varavīksne,stua ceatha
232,Regenbogen::N,varavīksne,bogha báistí
233,Donner::N,гым,toirneach
234,Donner::N,pērkons,toirneach
235,Strömung::N,ва ныр,sruth
236,Strömung::N,визувтӧм,sruth
237,Strömung::N,straume,sruth
238,Strömung::N,strāvojums,sruth
239,Tropfen::N,войт,deoir
240,Tropfen::N,lāse,deoir
241,Schaum::N,быг,cúr
242,Schaum::N,быгзьӧм,cúr
243,Schaum::N,putas,cúr
244,Schmutz::N,няйт,salachar
245,Schmutz::N,dubļi,salachar
246,See::N,ты,loch
247,See::N,ezers,loch
248,Sumpf::N,гыбад,portach
249,Sumpf::N,кад,portach
250,Sumpf::N,dumbrājs,portach
251,Sumpf::N,staignājs,portach
252,Moor::N,нюр,caorán
253,Moor::N,нюр,móinteán
254,Moor::N,purvs,caorán
255,Moor::N,purvs,móinteán
256,Moor::N,muklājs,caorán
257,Moor::N,muklājs,móinteán
258,Wiese::N,видз,cluain
259,Wiese::N,видз,móinéar
260,Wiese::N,pļava,cluain
261,Wiese::N,pļava,móinéar
262,Wald::N,вӧр,coill
263,Wald::N,вӧр,foraois
264,Wald::N,mežs,coill
265,Wald::N,mežs,foraois
266,Hügel::N,дзиб,ard
267,Hügel::N,мыльк,ard
268,Hügel::N,нӧрыс,ard
269,Hügel::N,paugurs,ard
270,Anhöhe::N,мыльк,ard
271,Anhöhe::N,мыльк,ardán
272,Anhöhe::N,нӧрыс,ard
273,Anhöhe::N,нӧрыс,ardán
274,Anhöhe::N,paugurs,ard
275,Anhöhe::N,paugurs,ardán
276,Berg::N,чой,sliabh
277,Berg::N,керӧс,sliabh
278,Berg::N,kalns,sliabh
279,Gipfel::N,чук,barr
280,Gipfel::N,чук,mullach
281,Gipfel::N,virsotne,barr
282,Gipfel::N,virsotne,mullach
283,Höhle::N,рудӧг,uaimh
284,Höhle::N,рудӧг,pluais
285,Höhle::N,ala,uaimh
286,Höhle::N,ala,pluais
287,Abhang::N,ньывк,fána
288,Abhang::N,бокша,fána
289,Abhang::N,nogāze,fána
290,Quelle::N,ӧшмӧс,foinse
291,Quelle::N,avots,foinse
292,Bach::N,шор,sruthán
293,Bach::N,urga,sruthán
294,Bach::N,strauts,sruthán
295,Fluss::N,ю,abhainn
296,Fluss::N,upe,abhainn
297,Ufer::N,вадор,bruach
298,Ufer::N,krasts,bruach
299,Küste::N,вадор,cósta
300,Küste::N,вадор,cladach
301,Küste::N,piekraste,cósta
302,Küste::N,piekraste,cladach
303,Festland::N,му,míntír
304,Festland::N,sauszeme,míntír
305,Meer::N,саридз,muir
306,Meer::N,саридз,farraige
307,Meer::N,jūra,muir
308,Meer::N,jūra,farraige
309,Bucht::N,куръя,bá
310,Bucht::N,куръя,cuan
311,Bucht::N,līcis,bá
312,Bucht::N,līcis,cuan
313,Insel::N,ді,inis
314,Insel::N,ді,oileán
315,Insel::N,sala,inis
316,Insel::N,sala,oileán
317,Blume::N,дзоридз,bláth
318,Blume::N,puķe,bláth
319,Blume::N,zieds,bláth
320,Gras::N,турун,féar
321,Gras::N,zāle,féar
322,Wurzel::N,вуж,rúta
323,Wurzel::N,вуж,fréamh
324,Wurzel::N,sakne,rúta
325,Wurzel::N,sakne,fréamh
326,Baum::N,пу,crann
327,Baum::N,koks,crann
328,Stamm::N,пучер,stoc
329,Stamm::N,пучер,tamhan
330,Stamm::N,stumbrs,stoc
331,Stamm::N,stumbrs,tamhan
332,Rinde::N,кырсь,coirt
333,Rinde::N,кырсь,craiceann
334,Rinde::N,miza,coirt
335,Rinde::N,miza,craiceann
336,Ast::N,ув,géag
337,Ast::N,zars,géag
338,Zweig::N,вож,géag
339,Zweig::N,вож,craobh
340,Zweig::N,nozare,géag
341,Zweig::N,nozare,craobh
342,Blatt::N,кор,duille
343,Blatt::N,кор,duilleog
344,Blatt::N,lapa,duille
345,Blatt::N,lapa,duilleog
346,Birke::N,кыдз,beith
347,Birke::N,кыдз,crann beithe
348,Birke::N,bērzs,beith
349,Birke::N,bērzs,crann beithe
350,Kiefer[Baum]::N,пожӧм,péine
351,Kiefer[Baum]::N,priede,péine
352,Weide[Baum]::N,бадь,saileach
353,Weide[Baum]::N,kārkls,saileach
354,Tanne::N,коз,giúis
355,Tanne::N,egle,giúis
356,Horn::N,сюр,adharc
357,Horn::N,rags,adharc
358,Feder::N,гӧн,cleite
359,Feder::N,тывборд,cleite
360,Feder::N,spalva,cleite
361,Fell::N,ку,clúmh
362,Fell::N,āda,clúmh
363,Flügel::N,борд,eite
364,Flügel::N,борд,sciathán
365,Flügel::N,spārns,eite
366,Flügel::N,spārns,sciathán
367,Klaue::N,гыж,crúb
368,Klaue::N,гыж,crobh
369,Klaue::N,nags,crúb
370,Klaue::N,nags,crobh
371,Kralle::N,гыж,crobh
372,Kralle::N,nags,crobh
373,Schwanz::N,бӧж,eireaball
374,Schwanz::N,ļipa,eireaball
375,Ei::N,кольк,ubh
376,Ei::N,ola,ubh
377,Nest::N,поз,nead
378,Nest::N,ligzda,nead
379,Bau::N,горс,brocais
380,Bau::N,пырмӧс,brocais
381,Bau::N,гу,brocais
382,Bau::N,ala,brocais
383,Tier::N,пемӧс,ainmhí
384,Tier::N,пемӧс,beithíoch
385,Tier::N,dzīvnieks,ainmhí
386,Tier::N,dzīvnieks,beithíoch
