,Concept_ID,hy,ja
0,Auge::N,աչք,目
1,Ohr::N,ականջ,耳
2,Nase::N,քիթ,鼻
3,Mund::N,բերան,口
4,Zahn::N,ատամ,歯
5,Zunge::N,լեզու,舌
6,Lippe::N,շրթունք,唇
7,Wange::N,այտ,頬
8,Wange::N,թուշ,頬
9,Gesicht::N,դեմք,顔
10,Stirn::N,ճակատ,額
11,Haar::N,մազ,髪
12,Schnurrbart::N,բեղ,口髭
13,Bart::N,մորուք,髭
14,Kinn::N,կզակ,顎
15,Kiefer[Anatomie]::N,ծնոտ,顎
16,Kehle::N,կոկորդ,喉
17,Hals::N,վիզ,首
18,Hals::N,պարանոց,首
19,Genick::N,ծոծրակ,首
20,Kopf::N,գլուխ,頭
21,Rücken::N,մեջք,背中
22,Bauch::N,փոր,腹
23,Bauch::N,փոր,お腹
24,Bauch::N,որովայն,腹
25,Bauch::N,որովայն,お腹
26,Nabel::N,պորտ,へそ
27,Busen::N,ծոց,乳房
28,Brust::N,կուրծք,胸
29,Schulter::N,ուս,肩
30,Arm::N,թեւ,腕
31,Arm::N,բազուկ,腕
32,Ellenbogen::N,արմունկ,肘
33,Hand::N,ձեռք,手
34,Handfläche::N,ափ,手のひら
35,Finger::N,մատ,指
36,Fingernagel::N,եղունգ,爪
37,Nagel[Anatomie]::N,եղունգ,爪
38,Zeh::N,ոտքի մատ,足の指
39,Fuß::N,ոտք,足
40,Ferse::N,գարշապար,かかと
41,Knie::N,ծունկ,膝
42,Oberschenkel::N,ազդր,上腿
43,Bein::N,ոտք,足
44,Körper::N,մարմին,体
45,Haut::N,մաշկ,皮膚
46,Blut::N,արյուն,血
47,Ader::N,երակ,血管
48,Sehne::N,ջիղ,腱
49,Sehne::N,ձգտան,腱
50,Knochen::N,ոսկոր,骨
51,Gehirn::N,խելք,脳
52,Herz::N,սիրտ,心
53,Herz::N,սիրտ,心臓
54,Magen::N,ստամոքս,胃
55,Leber::N,լյարդ,肝臓
56,Atem::N,շունչ,息
57,Atem::N,շունչ,呼吸
58,Hunger::N,քաղց,空腹
59,Träne::N,արտասուք,涙
60,Geschmack::N,համ,味
61,Geschmack::N,բուրմունք,味
62,Geruch::N,հոտ,匂い
63,Geruch::N,բուրում,匂い
64,Schlaf::N,քուն,睡眠
65,Traum::N,երազ,夢
66,Himmel::N,երկինք,空
67,Sonne::N,արեւ,太陽
68,Mond::N,լուսին,月
69,Stern::N,աստղ,星
70,Luft::N,օդ,空気
71,Wind::N,քամի,風
72,Welle::N,ալիք,波
73,Wasser::N,ջուր,水
74,Stein::N,քար,石
75,Boden::N,գետին,土地
76,Erde::N,հող,土
77,Staub::N,փոշի,埃
