,Concept_ID,el,et
0,Auge::N,μάτι,silm
1,Auge::N,οφθαλμός,silm
2,Ohr::N,αυτί,kõrv
3,Nase::N,μύτη,nina
4,Mund::N,στόμα,suu
5,Zahn::N,δόντι,hammas
6,Zunge::N,γλώσσα,keel
7,Lippe::N,χείλος,huul
8,Wange::N,παρειά,põsk
9,Wange::N,μάγουλο,põsk
10,Gesicht::N,πρόσωπο,nägu
11,Stirn::N,μέτωπο,otsmik
12,Haar::N,μαλλιά,juus
13,Schnurrbart::N,μουστάκι,vurrud
14,Schnurrbart::N,μουστάκι,vuntsid
15,Bart::N,γένια,habe
16,Kinn::N,πιγούνι,lõug
17,Kiefer[Anatomie]::N,σαγόνι,lõualuu
18,Kehle::N,λαρύγγι,kõri
19,Hals::N,λαιμός,kael
20,Genick::N,σβέρκος,kukal
21,Kopf::N,κεφάλι,pea
22,Rücken::N,ράχη,selg
23,Bauch::N,κοιλιά,kõht
24,Nabel::N,αφαλός,naba
25,Busen::N,στήθος,rind
26,Brust::N,στήθος,rind
27,Schulter::N,ώμος,õlg
28,Arm::N,χέρι,käsivars
29,Arm::N,μπράτςο,käsivars
30,Ellenbogen::N,αγκώνας,küünarnukk
31,Hand::N,χέρι,käsi
32,Handfläche::N,παλάμη,pihk
33,Finger::N,δάχτυλο,sõrm
34,Fingernagel::N,νύχι,küüs
35,Nagel[Anatomie]::N,νύχι,küüs
36,Zeh::N,δάχτυλο του ποδιού,varvas
37,Fuß::N,πόδι,jalg
38,Ferse::N,φτέρνα,kand
39,Knie::N,γόνατο,põlv
40,Oberschenkel::N,μηρός,reis
41,Bein::N,πόδι,jalg
42,Körper::N,σώμα,ihu
43,Körper::N,σώμα,keha
44,Körper::N,κορμί,ihu
45,Körper::N,κορμί,keha
46,Haut::N,πετσί,nahk
47,Blut::N,αίμα,veri
48,Ader::N,φλέβα,veen
49,Sehne::N,νεύρο,kõõlus
50,Sehne::N,τένοντας,kõõlus
51,Knochen::N,οστό,luu
52,Knochen::N,κόκκαλο,luu
53,Gehirn::N,μυαλό,aju
54,Gehirn::N,εγκέφαλος,aju
55,Herz::N,καρδιά,süda
56,Magen::N,στομάχι,magu
57,Leber::N,ήπαρ,maks
58,Leber::N,συκωτί,maks
59,Atem::N,αναπνοή,hingeõhk
60,Atem::N,αναπνοή,hingamine
61,Hunger::N,πείνα,nälg
62,Träne::N,δάκρυ,pisar
63,Geschmack::N,γεύση,maitse
64,Geruch::N,οσμή,lõhn
65,Geruch::N,μυρωδία,lõhn
66,Schlaf::N,ύπνος,uni
67,Traum::N,όνειρο,unenägu
68,Himmel::N,ουρανός,taevas
69,Sonne::N,ήλιος,päike
70,Mond::N,σελήνη,kuu
71,Mond::N,φεγγάρι,kuu
72,Stern::N,άστρο,täht
73,Stern::N,αστέρι,täht
74,Luft::N,αέρας,õhk
75,Wind::N,αέρας,tuul
76,Wind::N,άνεμος,tuul
77,Welle::N,κύμα,laine
78,Wasser::N,νερό,vesi
79,Stein::N,πέτρα,kivi
80,Boden::N,χώμα,maa
81,Boden::N,χώμα,pinnas
82,Erde::N,γη,maa
83,Staub::N,σκόνη,põrm
84,Rauch::N,καπνός,suits
85,Funke::N,σπίθα,säde
86,Funke::N,σπινθήρας,säde
87,Feuer::N,φωτιά,tuli
88,Licht::N,φως,valgus
89,Schatten::N,σκιά,vari
90,Schatten::N,ίσκιος,vari
91,Wetter::N,καιρός,ilm
92,Nebel::N,ομίχλη,udu
93,Wolke::N,σύννεφο,pilv
94,Regen::N,βροχή,sadu
95,Schnee::N,χιόνι,lumi
96,Eis::N,πάγος,jää
97,Frost::N,παγωνία,pakane
98,Kälte::N,κρύο,külm
99,Kälte::N,κρύο,külmus
100,Kälte::N,ψύχος,külm
101,Kälte::N,ψύχος,külmus
102,Hitze::N,ζέστη,kuumus
103,Hitze::N,ζέστη,palavus
104,Raureif::N,πάχνη,härmatis
105,Regenbogen::N,ουράνιο τόξο,vikerkaar
106,Donner::N,βροντή,kõu
107,Donner::N,βροντή,müristamine
108,Strömung::N,ρεύμα,voolus
109,Strömung::N,ρεύμα,jõevool
110,Tropfen::N,στάλα,tilk
111,Schaum::N,αφρός,vaht
112,Schmutz::N,βρωμιά,pori
113,Schmutz::N,βρωμιά,mustus
114,See::N,λίμνη,järv
115,Sumpf::N,βάλτος,soo
116,Moor::N,έλος,raba
117,Wiese::N,λιβάδι,aas
118,Wiese::N,λιβάδι,nurm
119,Wald::N,δάσος,mets
120,Hügel::N,λόφος,küngas
121,Anhöhe::N,ύψωμα,küngas
122,Berg::N,όρος,mägi
123,Berg::N,βουνό,mägi
124,Gipfel::N,κορυφή,mäetipp
125,Höhle::N,σπηλιά,koobas
126,Abhang::N,πλαγιά,nõlvak
127,Quelle::N,πηγή,allikas
128,Quelle::N,βρύση,allikas
129,Bach::N,ρυάκι,oja
130,Fluss::N,ποτάμι,jõgi
131,Fluss::N,ποταμός,jõgi
132,Ufer::N,όχθη,kallas
133,Küste::N,ακτή,rannik
134,Küste::N,ακρογιαλιά,rannik
135,Festland::N,στεριά,mander
136,Festland::N,στεριά,maismaa
137,Meer::N,θάλασσα,meri
138,Bucht::N,κόλπος,laht
139,Insel::N,νησί,saar
140,Insel::N,νήσος,saar
141,Blume::N,άνθος,lill
142,Blume::N,λουλούδι,lill
143,Gras::N,χόρτο,rohi
144,Gras::N,χορτάρι,rohi
145,Wurzel::N,ρίζα,juur
146,Baum::N,δέντρο,puu
147,Stamm::N,κορμός,tüvi
148,Rinde::N,φλούδα,koor
149,Ast::N,κλαδί,oks
150,Zweig::N,κλαδί,oks
151,Zweig::N,κλάδος,oks
152,Blatt::N,φύλλο,leht
153,Birke::N,σημύδα,kask
154,Kiefer[Baum]::N,πεύκο,mänd
155,Weide[Baum]::N,ιτιά,paju
156,Tanne::N,έλατο,nulg
157,Horn::N,κέρας,sarv
158,Horn::N,κέρατο,sarv
159,Feder::N,φτερό,sulg
160,Fell::N,δέρμα,karvkate
161,Fell::N,δέρμα,karusnahk
162,Fell::N,τομάρι,karvkate
163,Fell::N,τομάρι,karusnahk
164,Flügel::N,πτερύγιο,tiib
165,Flügel::N,πτερύγιο,tiivik
166,Klaue::N,κουλό,küüs
167,Kralle::N,νύχι,küünis
168,Schwanz::N,ουρά,saba
169,Ei::N,αβγό,muna
170,Nest::N,φωλιά,pesa
171,Bau::N,φωλιά,urg
172,Tier::N,ζώο,loom
173,Herde::N,κοπάδι,kari
174,Kuh::N,αγελάδα,lehm
175,Bulle::N,ταύρος,pull
176,Pferd::N,άλογο,hobune
177,Schaf::N,πρόβατο,lammas
178,Schwein::N,γουρούνι,siga
179,Hund::N,σκυλί,koer
180,Hund::N,σκύλος,koer
181,Katze::N,γάτα,kass
182,Bär::N,άρκτος,karu
183,Bär::N,αρκούδα,karu
184,Eichhörnchen::N,βερβερίτσα,orav
185,Elch::N,άλκη,põder
186,Fuchs::N,αλεπού,rebane
187,Hase::N,λαγός,jänes
188,Maus::N,ποντικός,hiir
189,Wolf::N,λύκος,hunt
