,Concept_ID,uz,sv
0,Auge::N,ko'z,öga
1,Ohr::N,quloq,öra
2,Nase::N,burun,näsa
3,Mund::N,og'iz,mun
4,Zahn::N,tish,tand
5,Zunge::N,til,tunga
6,Lippe::N,dudoq,läpp
7,Wange::N,bet,kind
8,Gesicht::N,yuz,syn
9,Gesicht::N,yuz,ansikte
10,Stirn::N,manglay,panna
11,Haar::N,soch,hår
12,Schnurrbart::N,mo'ylov,mustasch
13,Bart::N,soqol,skägg
14,Kinn::N,ängak,haka
15,Kiefer[Anatomie]::N,iyak,käke
16,Kehle::N,bo'g'iz,strupe
17,Hals::N,bo'yin,hals
18,Genick::N,gardan,nacke
19,Kopf::N,bosh,huvud
20,Rücken::N,orqa,rygg
21,Bauch::N,qorin,buk
22,Bauch::N,qorin,mage
23,Nabel::N,kindik,navel
24,Busen::N,ämchak,barm
25,Brust::N,ko'krak,bröst
26,Schulter::N,elka,skuldra
27,Arm::N,bilak,arm
28,Ellenbogen::N,tirsak,armbåge
29,Hand::N,qo'l,hand
30,Handfläche::N,kaft,handflata
31,Finger::N,barmoq,finger
32,Fingernagel::N,tirnoq,fingernagel
33,Nagel[Anatomie]::N,tirnoq,nagel
34,Zeh::N,oyoq barmog'i,tå
35,Fuß::N,oyoq,fot
36,Ferse::N,tovon,häl
37,Knie::N,tiz,knä
38,Oberschenkel::N,son,lår
39,Bein::N,oyoq,ben
40,Körper::N,badna,kropp
41,Haut::N,teri,hud
42,Haut::N,teri,skinn
43,Blut::N,qon,blod
44,Ader::N,qon tomir,åder
45,Sehne::N,tomir,sena
46,Knochen::N,suyak,ben
47,Gehirn::N,miya,hjärna
48,Herz::N,qalb,hjärta
49,Magen::N,oshqozon,mage
50,Leber::N,bag'ir,lever
51,Atem::N,dam,anda
52,Atem::N,dam,andedräkt
53,Hunger::N,ochlik,svält
54,Hunger::N,ochlik,hunger
55,Träne::N,yosh,tår
56,Geschmack::N,tam,smak
57,Geruch::N,jid,lukt
58,Schlaf::N,uyqu,sömn
59,Traum::N,tush,dröm
60,Himmel::N,osmon,himmel
61,Sonne::N,quyosh,sol
62,Mond::N,oy,måne
63,Stern::N,yulduz,stjärna
64,Luft::N,havo,luft
65,Wind::N,el,vind
66,Welle::N,to'lqin,våg
67,Welle::N,to'lqin,bölja
68,Wasser::N,suv,vatten
69,Stein::N,tosh,sten
70,Boden::N,tuproq,mark
71,Erde::N,er,jord
72,Staub::N,chang,damm
73,Rauch::N,tutun,rök
74,Funke::N,yalt,gnista
75,Feuer::N,o't,eld
76,Licht::N,yorug',ljus
77,Schatten::N,soya,skugga
78,Wetter::N,havo,väder
79,Nebel::N,tuman,dimma
80,Nebel::N,tuman,töcken
81,Wolke::N,bulut,sky
82,Wolke::N,bulut,moln
83,Regen::N,yomg'ir,regn
84,Schnee::N,qor,snö
85,Eis::N,muz,is
86,Frost::N,ajoz,frost
87,Kälte::N,ajoz,köld
88,Hitze::N,issiq,hetta
89,Raureif::N,qirov,rimfrost
90,Regenbogen::N,kamalak,regnbåge
91,Donner::N,guldur,åska
92,Donner::N,guldur,dunder
93,Strömung::N,oqim,strömning
94,Tropfen::N,tomchi,dropper
95,Schaum::N,ko'pik,skum
96,Schmutz::N,gard,lort
97,Schmutz::N,gard,smuts
98,See::N,ko'l,sjö
99,Sumpf::N,botqoq,träsk
100,Moor::N,qir-adir,myr
101,Moor::N,qir-adir,mosse
102,Wiese::N,o'tzor,äng
103,Wald::N,o'rmon,skog
104,Hügel::N,tepa,höjd
105,Hügel::N,tepa,kulle
106,Anhöhe::N,adir,höjd
107,Anhöhe::N,adir,backe
108,Berg::N,tog',berg
109,Berg::N,tog',fjäll
110,Gipfel::N,cho'qqi,topp
111,Höhle::N,kavak,håla
112,Höhle::N,kavak,grotta
113,Abhang::N,to'sh,slänt
114,Abhang::N,to'sh,sluttning
115,Quelle::N,buloq,källa
116,Bach::N,o'zan,bäck
117,Fluss::N,daryo,älv
118,Fluss::N,daryo,flod
119,Ufer::N,sohil,strand
120,Küste::N,qirg'oq,kust
121,Festland::N,materik,fastland
122,Meer::N,dengiz,hav
123,Bucht::N,qo'ltiq,vik
124,Bucht::N,qo'ltiq,bukt
125,Insel::N,orol,ö
126,Blume::N,gul,blomma
127,Blume::N,gul,blomster
128,Gras::N,sabza,gräs
129,Wurzel::N,tub,rot
130,Wurzel::N,tomir,rot
131,Baum::N,daraxt,träd
132,Stamm::N,o'simta,stam
133,Rinde::N,qobiq,bark
134,Ast::N,shox,gren
135,Zweig::N,butoq,kvist
136,Blatt::N,barg,löv
137,Blatt::N,barg,blad
138,Birke::N,qayin,björk
139,Kiefer[Baum]::N,qarag'ay,tall
140,Weide[Baum]::N,shum,pil
141,Weide[Baum]::N,shum,vide
142,Tanne::N,archa,gran
143,Horn::N,mugiz,horn
144,Feder::N,par,fjäder
145,Fell::N,mo'yna,fäll
146,Fell::N,mo'yna,skinn
147,Flügel::N,qanot,vinge
148,Klaue::N,tirnoq,klöv
149,Kralle::N,tirnoq,klo
150,Schwanz::N,quyruq,svans
151,Schwanz::N,quyruq,stjärt
152,Ei::N,tuxum,ägg
153,Nest::N,oshyon,rede
154,Nest::N,oshyon,näste
155,Bau::N,o'pqon,bo
156,Tier::N,hayvon,djur
157,Herde::N,gala,flock
158,Kuh::N,inak,ko
159,Bulle::N,ho'kiz,tjur
160,Pferd::N,ot,häst
161,Schaf::N,qo'y,får
162,Schwein::N,cho'chqa,svin
163,Hund::N,it,hund
164,Katze::N,mushuk,katt
165,Bär::N,ayiq,björn
166,Eichhörnchen::N,tiyin,ekorre
167,Elch::N,los,älg
168,Fuchs::N,tulki,räv
169,Hase::N,kuyon,hare
170,Maus::N,sichqon,mus
171,Wolf::N,bo'ri,varg
172,Vogel::N,qush,fågel
173,Schwarm::N,to'da,svärm
174,Huhn::N,tovuq,höns
175,Hahn::N,xo'roz,tupp
176,Gans::N,g'oz,gås
177,Adler::N,burgut,örn
178,Ente::N,o'rdak,anka
179,Eule::N,boyo'g'li,uggla
180,Kranich::N,turna,trana
181,Krähe::N,qarg'a,kråka
182,Kuckuck::N,kakku,gök
183,Schwan::N,oqkush,svan
184,Fisch::N,baliq,fisk
185,Barsch::N,olabug'a,abborre
186,Hecht::N,cho'rtan,gädda
187,Schlange[Tier]::N,ilon,orm
188,Wurm::N,qurt,mask
189,Spinne::N,o'rgimchak,spindel
190,Ameise::N,chumoli,myra
191,Laus::N,bit,lus
192,Mücke::N,chivin,mygga
193,Fliege::N,pashsha,fluga
194,Schmetterling::N,kapalak,fjäril
195,Beere::N,meva,bär
196,Apfel::N,olma,äpple
197,Pilz::N,qo'ziqorin,svamp
198,Zwiebel::N,piyoz,lök
199,Saat::N,äkin,sådd
200,Korn::N,zarra,korn
201,Heu::N,xashak,hö
202,Schale::N,po'choq,skal
203,Grube::N,co'ra,grop
204,Falle::N,qopqon,fälla
205,Schlinge::N,sirtmoq,snara
206,Spur::N,iz,spår
207,Asche::N,kul,aska
208,Dreck::N,kir,lort
209,Eisen::N,temir,järn
210,Gold::N,tilla,guld
211,Silber::N,kumush,silver
212,Kohle::N,ko'mir,kol
213,Glas::N,oyna,glas
214,Lehm::N,loy,lera
215,Sand::N,qum,sand
216,Mensch::N,odam,människa
217,Mann::N,ärkak,man
218,Frau::N,ayol,kvinna
219,Kind::N,bola,barn
220,Kind::N,kichkintoy,barn
221,Junge::N,bola,pojke
222,Mädchen::N,qiz,flicka
223,Familie::N,oila,familj
224,Großvater::N,buva,morfar
225,Großvater::N,katta ota,morfar
226,Großmutter::N,buvi,farmor
227,Großmutter::N,katta oyi,farmor
228,Eltern::N,ota-ona,föräldrar
229,Vater::N,ota,far
230,Mutter::N,ona,mor
231,Sohn::N,o'g'il,son
232,Tochter::N,qiz,dotter
233,Bruder::N,og'a,bror
234,Bruder::N,uka,bror
235,Schwester::N,opa,syster
236,Schwester::N,singil,syster
237,Onkel::N,amaki,morbror
238,Tante::N,amma,tant
239,Tante::N,xola,tant
240,Ehemann::N,är,äkta man
241,Ehefrau::N,rafiqa,hustru
242,Freude::N,ayish,fröjd
243,Freude::N,ayish,glädje
244,Gelächter::N,kulgi,åtlöje
245,Glück::N,saodat,lycka
