,Concept_ID,ps,os
0,Auge::N,سترګه,цӕст
1,Ohr::N,غوږ,хъус
2,Nase::N,پوزه,фындз
3,Mund::N,خوله,дзых
4,Zahn::N,غاښ,дӕндаг
5,Zunge::N,جبه,ӕвзаг
6,Lippe::N,شونډه,был
7,Wange::N,باړخو,рус
8,Wange::N,باړخو,уадул
9,Wange::N,باړخو,ӕхсӕрфарс
10,Gesicht::N,مخ,цӕсгом
11,Stirn::N,تندی,ных
12,Stirn::N,وچولی,ных
13,Haar::N,وېښته,хил
14,Schnurrbart::N,برېت,рихи
15,Bart::N,ږیره,зачъе
16,Kinn::N,زنه,роцъо
17,Kiefer[Anatomie]::N,جامه,ӕфсӕр
18,Kehle::N,غاړه,хъуыр
19,Hals::N,غاړه,къубал
20,Genick::N,ورمېږ,къӕбут
21,Kopf::N,سر,сӕр
22,Rücken::N,شا,фӕсонтӕ
23,Bauch::N,نس,гуыбын
24,Bauch::N,ګېډه,гуыбын
25,Nabel::N,نوم,бикъ
26,Busen::N,تی,дзидзи
27,Brust::N,سینه,риу
28,Schulter::N,اوږه,уӕхск
29,Arm::N,لاس,цонг
30,Ellenbogen::N,څنګل,рæмбын
31,Hand::N,لاس,къух
32,Handfläche::N,ورغوی,армытъӕпӕн
33,Finger::N,ګوته,ӕнруылдз
34,Fingernagel::N,نوک,ных
35,Nagel[Anatomie]::N,نوک,ных
36,Zeh::N,ګوته,къух
37,Fuß::N,پښه,фад
38,Ferse::N,پونده,зӕвӕт
39,Knie::N,زنګون,уӕраг
40,Oberschenkel::N,پتون,агъд
41,Bein::N,پښه,зӕнг
42,Körper::N,ځان,буар
43,Haut::N,پوټکی,царм
44,Blut::N,وینه,туг
45,Ader::N,رګ,дадзин
46,Ader::N,رګ,тугдадзин
47,Sehne::N,پله,хъиутæ
48,Sehne::N,پله,нуар
49,Knochen::N,هډوکی,стӕг
50,Gehirn::N,ماغزه,магъз
51,Herz::N,زړه,зӕрдӕ
52,Magen::N,معده,ахсӕн
53,Leber::N,ينه,игæр
54,Leber::N,ځیګر,игæр
55,Atem::N,نفس,улӕфт
56,Hunger::N,ولږه,стонг
57,Träne::N,اوښکه,цæссыг
58,Geschmack::N,مزه,ад
59,Geschmack::N,خوند,ад
60,Geruch::N,بوی,смаг
61,Schlaf::N,خوب,хуыссӕг
62,Traum::N,خوب,фын
63,Himmel::N,اسمان,арв
64,Himmel::N,اسمان,уӕларв
65,Sonne::N,لمر,хур
66,Mond::N,سپوږمۍ,мӕй
67,Stern::N,ستوری,стъалы
68,Luft::N,هوا,уӕлдӕф
69,Wind::N,ورښ,дымгӕ
70,Welle::N,موج,уылӕн
71,Wasser::N,اوبه,дон
72,Stein::N,ډبره,дур
73,Boden::N,مځکه,зӕхх
74,Erde::N,خاوره,сыджыт
75,Staub::N,ګرد,рыг
76,Staub::N,خاوره,рыг
77,Rauch::N,دود,фӕздӕг
78,Rauch::N,لوګی,фӕздӕг
79,Funke::N,سپرغۍ,цӕхӕр
80,Feuer::N,اور,зынг
81,Licht::N,رڼا,рухс
82,Schatten::N,سیوری,аууон
83,Wetter::N,هوا,боныхъӕд
84,Nebel::N,لړه,мигъ
