,Concept_ID,la,da
0,Auge::N,oculus,øje
1,Ohr::N,auris,øre
2,Nase::N,nasus,næse
3,Mund::N,os,mund
4,Zahn::N,dens,tand
5,Zunge::N,lingua,tunge
6,Lippe::N,labrum,læbe
7,Wange::N,gena,kind
8,Gesicht::N,vultus,ansigt
9,Stirn::N,frons,pande
10,Haar::N,capillus,hår
11,Schnurrbart::N,barba labri superioris,overskæg
12,Bart::N,barba,skæg
13,Kinn::N,mentum,hage
14,Kiefer[Anatomie]::N,mala,kæbe
15,Kehle::N,iugulums,strube
16,Hals::N,collum,hals
17,Genick::N,cervices,nakke
18,Kopf::N,caput,hoved
19,Rücken::N,tergum,ryg
20,Bauch::N,venter,mave
21,Nabel::N,umbilicus,navle
22,Busen::N,sinus,barm
23,Brust::N,pectus,bryst
24,Schulter::N,umerus,skulder
25,Arm::N,bracchium,arm
26,Ellenbogen::N,cubitum,albue
27,Hand::N,manus,hånd
28,Handfläche::N,palma,håndflade
29,Finger::N,digitus,finger
30,Fingernagel::N,unguiculus,fingernegl
31,Nagel[Anatomie]::N,unguis,negl
32,Zeh::N,digitus,tå
33,Fuß::N,pes,fod
34,Ferse::N,calx,hæl
35,Knie::N,genu,knæ
36,Oberschenkel::N,femur,lår
37,Bein::N,crus,ben
38,Körper::N,corpus,krop
39,Körper::N,corpus,legeme
40,Haut::N,cutis,hud
41,Haut::N,pellis,hud
42,Blut::N,sanguis,blod
43,Ader::N,vena,åre
44,Sehne::N,nervus,sene
45,Knochen::N,os,ben
46,Gehirn::N,cerebrum,hjerne
47,Herz::N,cor,hjerte
48,Herz::N,animus,hjerte
49,Magen::N,stomachus,mave
50,Leber::N,iecur,lever
51,Atem::N,spiritus,ånde
52,Hunger::N,fames,sult
53,Träne::N,lacrima,tåre
54,Geschmack::N,sapor,smag
55,Geschmack::N,gustus,smag
56,Geruch::N,odor,lugt
57,Schlaf::N,somnus,søvn
58,Traum::N,somnium,drøm
59,Himmel::N,caelum,himmel
60,Sonne::N,sol,sol
61,Mond::N,luna,måne
62,Stern::N,sidus,stjerne
63,Stern::N,stella,stjerne
64,Luft::N,aer,luft
65,Wind::N,ventus,vind
66,Welle::N,unda,bølge
67,Wasser::N,aqua,vand
68,Stein::N,lapis,sten
69,Boden::N,solum,jord
70,Erde::N,terra,jord
71,Staub::N,pulvis,støv
72,Rauch::N,fumus,røg
73,Funke::N,scintilla,gnist
74,Feuer::N,ignis,ild
75,Licht::N,lux,lys
76,Licht::N,lumen,lys
77,Schatten::N,umbra,skygge
78,Wetter::N,caelum,vejr
79,Wetter::N,tempestas,vejr
80,Nebel::N,nebula,tåge
81,Wolke::N,nubes,sky
82,Regen::N,imber,regn
83,Regen::N,pluvia,regn
84,Schnee::N,nix,sne
85,Eis::N,glacies,is
86,Frost::N,gelu,frost
87,Kälte::N,frigus,kulde
88,Hitze::N,calor,hede
89,Hitze::N,aestus,hede
90,Raureif::N,pruina,rimfrost
91,Regenbogen::N,arcus,regnbue
92,Donner::N,tonitrus,torden
93,Strömung::N,fluctus,strømning
94,Tropfen::N,gutta,dråbe
95,Schaum::N,spuma,skum
96,Schmutz::N,sordes,snavs
97,Schmutz::N,squalor,snavs
98,See::N,lacus,sø
99,Sumpf::N,palus,sump
100,Moor::N,palus,mose
101,Wiese::N,pratum,eng
102,Wald::N,silva,skov
103,Hügel::N,collis,høj
104,Hügel::N,collis,bakke
105,Anhöhe::N,specula,høj
106,Anhöhe::N,specula,bakke
107,Berg::N,mons,bjerg
108,Gipfel::N,vertex,top
109,Höhle::N,caverna,hule
110,Höhle::N,spelunca,hule
111,Abhang::N,declivum,skrænt
112,Abhang::N,declivum,skråning
113,Quelle::N,fons,kilde
114,Bach::N,rivus,bæk
115,Fluss::N,flumen,flod
116,Ufer::N,ripa,bred
117,Küste::N,litus,kyst
118,Festland::N,continens,fastland
119,Meer::N,mare,hav
120,Bucht::N,sinus,bugt
121,Insel::N,insula,ø
122,Blume::N,flos,blomst
123,Gras::N,herba,græs
124,Gras::N,gramen,græs
125,Wurzel::N,radix,rod
126,Baum::N,arbor,træ
127,Stamm::N,truncus,stamme
128,Rinde::N,cortex,bark
129,Ast::N,ramus,gren
130,Zweig::N,ramus,kvist
131,Blatt::N,folium,blad
132,Birke::N,betulla,birk
133,Kiefer[Baum]::N,pinus,fyrretræ
134,Weide[Baum]::N,salix,piletræ
135,Tanne::N,abies,gran
136,Horn::N,cornu,horn
137,Feder::N,penna,fjer
138,Fell::N,pellis,skind
139,Flügel::N,ala,vinge
140,Klaue::N,unguis,klov
141,Kralle::N,unguis,klo
142,Schwanz::N,cauda,hale
143,Ei::N,ovum,æg
144,Nest::N,nidus,rede
145,Bau::N,cavum,bo
146,Bau::N,latibulum,bo
147,Tier::N,bestia,dyr
148,Herde::N,grex,flok
149,Kuh::N,vacca,ko
