,Concept_ID,udm,myv
0,Auge::N,син,сельме
1,Ohr::N,пель,пиле
2,Nase::N,ныр,судо
3,Mund::N,ым,курго
4,Zahn::N,пинь,пей
5,Zunge::N,кыл,кель
6,Lippe::N,ымдур,турва
7,Wange::N,бам,чамабока
8,Wange::N,бам,чамаумарь
9,Gesicht::N,ымныр,чама
10,Stirn::N,кымес,коня
11,Haar::N,йырси,черь
12,Schnurrbart::N,мыйык,ус
13,Schnurrbart::N,мыйык,муюк
14,Bart::N,туш,сакал
15,Kinn::N,ангес,уло
16,Kiefer[Anatomie]::N,ан,пейпакар
17,Kiefer[Anatomie]::N,ан,пейловажа
18,Kiefer[Anatomie]::N,анлы,пейпакар
19,Kiefer[Anatomie]::N,анлы,пейловажа
20,Kehle::N,гульым,кирьгапарь
21,Hals::N,чырты,кирьга
22,Genick::N,йырбер,човонь
23,Kopf::N,йыр,пря
24,Rücken::N,мыш,копорь
25,Bauch::N,кӧт,пеке
26,Nabel::N,гогы,почо
27,Busen::N,ноны,поте
28,Brust::N,мӧля,меште
29,Schulter::N,пельпум,лавтов
30,Arm::N,суй,кедь
31,Ellenbogen::N,гырпум,кенерепакарь
32,Hand::N,ки,кедь
33,Handfläche::N,ки пыдэс,кедькуншка
34,Handfläche::N,ки пыдэс,кедьлапушка
35,Handfläche::N,кырым пыдэс,кедькуншка
36,Handfläche::N,кырым пыдэс,кедьлапушка
37,Finger::N,чиньы,сур
38,Fingernagel::N,гижы,кенже
39,Fingernagel::N,гиждӥнь,кенже
40,Nagel[Anatomie]::N,гижы,кенже
41,Zeh::N,пыдчиньы,пильге сур
42,Fuß::N,пыд,пильге
43,Ferse::N,пыдбер,кочкаря
44,Knie::N,пыдес,эле
45,Knie::N,пыдес,эзне
46,Knie::N,пыдес,кумажа
47,Oberschenkel::N,макес,качо
48,Bein::N,пыд,пильге
49,Körper::N,мугор,рунго
50,Körper::N,вылтыр,рунго
51,Haut::N,ку,киське
52,Blut::N,вир,верь
53,Ader::N,вирсэр,сан
54,Sehne::N,вуж,коське сан
55,Knochen::N,лы,пакарь
56,Gehirn::N,вим,удем
57,Herz::N,сюлэм,седей
58,Magen::N,ӝуш,пеке
59,Leber::N,мус,максо
60,Atem::N,лул,лексема
61,Atem::N,лул,оймень таргсема
62,Atem::N,шокан,лексема
63,Atem::N,шокан,оймень таргсема
64,Hunger::N,кӧтсюман,вачочи
65,Träne::N,синкыли,селведь
66,Geschmack::N,шӧм,тансть
67,Geruch::N,зын,чине
68,Schlaf::N,вӧт,удома
69,Traum::N,уйвӧт,он
70,Himmel::N,ин,менель
71,Sonne::N,шунды,чи
72,Mond::N,толэзь,ков
73,Stern::N,кизили,теште
74,Luft::N,омыр,кошт
75,Wind::N,тӧл,варма
76,Welle::N,тулкым,толкун
77,Wasser::N,ву,ведь
78,Stein::N,из,кев
79,Boden::N,музъем,мода
80,Erde::N,му,мастор
81,Staub::N,пыль,пуль
82,Rauch::N,ӵын,качамо
83,Funke::N,гизьы,сятко
84,Feuer::N,тыл,тол
85,Licht::N,тыл,валдо
86,Schatten::N,вужер,сулей
87,Schatten::N,вужер,сулейкс
88,Wetter::N,куазь,ушо
89,Nebel::N,бус,сув
90,Wolke::N,пилем,пель
91,Regen::N,зор,пиземс
92,Schnee::N,лымы,лов
93,Eis::N,йӧ,эй
94,Frost::N,кезьыт,кельме
95,Kälte::N,кезьыт,якшамо
96,Hitze::N,пӧсь,пси
97,Raureif::N,гӧр,лекш
98,Regenbogen::N,вуюись,пурьгинечирьке
99,Regenbogen::N,вуюись,пурьгинеёнкс
100,Donner::N,гудыри,пурьгине
101,Strömung::N,бызён,чудема
102,Strömung::N,бызён,чудевкс
103,Tropfen::N,шапык,петнявкс
104,Schaum::N,шукы,чов
105,Schmutz::N,нӧд,рудаз
106,Schmutz::N,дэри,рудаз
107,See::N,ты,эрьке
108,Sumpf::N,нюр,чей
109,Moor::N,нюр,чей
110,Wiese::N,возь,луга
111,Wiese::N,возьвыл,луга
112,Wald::N,сик,вирь
113,Wald::N,нюлэс,вирь
114,Hügel::N,выр,губорь
115,Hügel::N,выр,пандыне
116,Hügel::N,вырйыл,губорь
117,Hügel::N,вырйыл,пандыне
118,Anhöhe::N,выр,губорь
119,Anhöhe::N,выр,пандыне
120,Anhöhe::N,вырйыл,губорь
121,Anhöhe::N,вырйыл,пандыне
122,Berg::N,гурезь,пандо
123,Gipfel::N,йыл,пря
124,Höhle::N,гу,пещера
125,Abhang::N,бам,пандочама
126,Quelle::N,ошмес,ушодкс
127,Bach::N,пичи шур,чудикерькс
128,Fluss::N,шур,лей
129,Ufer::N,ярдур,чире
130,Küste::N,вудур,лейчире
131,Festland::N,мувыр,мода
132,Meer::N,зарезь,моря
133,Bucht::N,вукож,усия
134,Insel::N,вумуӵ,усия
135,Insel::N,шормуӵ,усия
136,Blume::N,сяська,цеця
137,Gras::N,турын,тикше
138,Wurzel::N,выжы,юр
139,Wurzel::N,выжы,ундокс
140,Baum::N,пу,чувто
141,Stamm::N,модос,рунго
142,Rinde::N,сул,суд
143,Rinde::N,сул,керь
144,Ast::N,ул,морго
145,Zweig::N,вай,тарад
146,Blatt::N,куар,лопа
147,Birke::N,кызьпу,килей
148,Kiefer[Baum]::N,пужым,пиче
149,Weide[Baum]::N,бадьпу,каль
150,Tanne::N,кыз,куз
151,Horn::N,сюр,сюро
152,Feder::N,тылы,толга
153,Fell::N,ку,пона
154,Flügel::N,бурд,сёлмо
155,Klaue::N,гижы,кенже
156,Kralle::N,пыд,кенже
157,Schwanz::N,быж,пуло
158,Ei::N,пуз,ал
159,Ei::N,кукей,ал
160,Nest::N,кар,пизэ
161,Nest::N,пузкар,пизэ
162,Bau::N,кар,варя
163,Bau::N,кар,пизе
164,Bau::N,гу,варя
165,Bau::N,гу,пизе
166,Tier::N,пӧйшур,ракша
167,Herde::N,уллё,стада
168,Kuh::N,скал,скал
169,Bulle::N,ош,бука
170,Bulle::N,пороз,бука
171,Pferd::N,вал,лишме
172,Schaf::N,ыж,реве
173,Schwein::N,парсь,туво
174,Hund::N,пуны,пине
175,Hund::N,пуны,киска
176,Katze::N,коӵыш,псака
177,Bär::N,гондыр,овто
178,Eichhörnchen::N,коньы,ур
179,Elch::N,койык,сярдо
180,Fuchs::N,ӟичы,ривезь
181,Hase::N,кеч,нумоло
182,Maus::N,шыр,чеерь
183,Wolf::N,кион,верьгиз
184,Vogel::N,тылобурдо,нармунь
185,Schwarm::N,уллё,полк
186,Schwarm::N,уллё,стада
187,Huhn::N,курег,сараз
188,Hahn::N,атас,атякш
189,Gans::N,ӟазег,гала
190,Gans::N,ӟазег,мацей
191,Adler::N,ӧрзи,куцькан
192,Adler::N,ӧрзи,тумоатякш
193,Ente::N,ӵӧж,яксярго
194,Eule::N,кучыран,корж
195,Kranich::N,тури,карго
196,Krähe::N,куака,варака
197,Kuckuck::N,кикы,куко
198,Schwan::N,юсь,локсей
199,Fisch::N,чорыг,кал
200,Barsch::N,юш,окунь
201,Hecht::N,чипей,щука
202,Schlange[Tier]::N,кый,гуй
203,Wurm::N,нумыр,сукс
204,Spinne::N,чонари,шанжав
205,Ameise::N,кузьыли,коткудав
206,Laus::N,тэй,сий
207,Mücke::N,нымы,сеське
208,Mücke::N,чибинь,сеське
209,Fliege::N,кут,карво
210,Schmetterling::N,бубыли,нимиляв
211,Beere::N,узы-боры,умарь
212,Apfel::N,яблок,умарь
213,Pilz::N,губи,панго
214,Zwiebel::N,сугон,чурька
215,Saat::N,кидыс,видьметь
216,Korn::N,тысь,сюро
217,Heu::N,турын,тикше
218,Schale::N,кыд,кедь
219,Schale::N,кыд,ваткавкс
220,Grube::N,гу,латко
221,Grube::N,гоп,латко
222,Falle::N,налик,тувор
223,Falle::N,налик,кундамка
224,Schlinge::N,гиӟ,килькш
225,Schlinge::N,герд,килькш
226,Spur::N,пытьы,челькс
227,Spur::N,пытьы,пильгеки
228,Spur::N,бервыл,челькс
229,Spur::N,бервыл,пильгеки
230,Asche::N,пень,кулов
231,Dreck::N,дэри,рудаз
232,Eisen::N,корт,кшни
233,Gold::N,зарни,сырне
234,Silber::N,азвесь,сия
235,Kohle::N,эгыр,сэдь
236,Kohle::N,эгыр,уголия
237,Glas::N,стекло,сулика
238,Glas::N,пияла,сулика
239,Lehm::N,сюй,сёвонь
240,Sand::N,луо,човар
241,Mensch::N,мурт,ломань
242,Mensch::N,адями,ломань
243,Mann::N,воргорон,аля
244,Mann::N,воргорон,цёраломань
245,Frau::N,кышномурт,ава
246,Kind::N,нуны,эйкакш
247,Kind::N,пинал,эйкакш
248,Junge::N,пи,цёрыне
249,Mädchen::N,ныл,тейтерне
250,Familie::N,семья,семия
251,Großvater::N,песятай,покштя
252,Großvater::N,пересь атай,покштя
253,Großmutter::N,песянай,баба
254,Großmutter::N,пересь анай,баба
255,Eltern::N,атай-анай,тетят-ават
