,Concept_ID,sv,kk
0,Auge::N,öga,көз
1,Ohr::N,öra,құлақ
2,Nase::N,näsa,мұрын
3,Mund::N,mun,ауыз
4,Zahn::N,tand,тіс
5,Zunge::N,tunga,тіл
6,Lippe::N,läpp,ерін
7,Wange::N,kind,ұрт
8,Gesicht::N,syn,бет-аузы
9,Gesicht::N,ansikte,бет-аузы
10,Stirn::N,panna,маңдай
11,Haar::N,hår,қыл
12,Schnurrbart::N,mustasch,мұрт
13,Bart::N,skägg,сақал
14,Kinn::N,haka,иек
15,Kiefer[Anatomie]::N,käke,жақ
16,Kehle::N,strupe,алқым
17,Hals::N,hals,мойын
18,Genick::N,nacke,желке
19,Kopf::N,huvud,кәллә
20,Rücken::N,rygg,арқа
21,Bauch::N,buk,қарын
22,Bauch::N,mage,қарын
23,Nabel::N,navel,кіндік
24,Busen::N,barm,омырау
25,Brust::N,bröst,кеуде
26,Schulter::N,skuldra,иық
27,Arm::N,arm,қол
28,Ellenbogen::N,armbåge,шынтақ
29,Hand::N,hand,қол
30,Handfläche::N,handflata,алақан
31,Finger::N,finger,саусақ
32,Fingernagel::N,fingernagel,тырнақ
33,Nagel[Anatomie]::N,nagel,тырнақ
34,Zeh::N,tå,тырнақ
35,Zeh::N,tå,тұяқ
36,Fuß::N,fot,аяқ-басы
37,Ferse::N,häl,өкше
38,Ferse::N,häl,өкшелік
39,Knie::N,knä,тізе
40,Oberschenkel::N,lår,жамбас
41,Bein::N,ben,аяқ
42,Körper::N,kropp,дене
43,Haut::N,hud,тері
44,Haut::N,skinn,тері
45,Blut::N,blod,қан
46,Ader::N,åder,көктамыр
47,Ader::N,åder,күретамыр
48,Sehne::N,sena,сіңір
49,Knochen::N,ben,жілік
50,Gehirn::N,hjärna,ми
51,Herz::N,hjärta,жүрек
52,Magen::N,mage,асқазан
53,Leber::N,lever,бауыр
54,Atem::N,anda,леп
55,Atem::N,andedräkt,леп
56,Hunger::N,svält,ашаршылық
57,Hunger::N,hunger,ашаршылық
58,Träne::N,tår,жас
59,Geschmack::N,smak,дәм
60,Geschmack::N,smak,татым
61,Geschmack::N,smak,талғам
62,Geruch::N,lukt,иіс
63,Schlaf::N,sömn,ұйқы
64,Schlaf::N,sömn,ұйықтау
65,Traum::N,dröm,түс
66,Himmel::N,himmel,аспан
67,Himmel::N,himmel,көқ
68,Himmel::N,himmel,таңдай
69,Sonne::N,sol,күн
70,Mond::N,måne,ай
71,Stern::N,stjärna,жұлдыз
72,Luft::N,luft,әуе
73,Wind::N,vind,жел
74,Welle::N,våg,толқын
75,Welle::N,bölja,толқын
76,Wasser::N,vatten,су
77,Stein::N,sten,тас
78,Boden::N,mark,қыртыс
79,Erde::N,jord,топырақ
80,Staub::N,damm,шаң
81,Rauch::N,rök,түтін
82,Funke::N,gnista,ұшқын
83,Feuer::N,eld,алау
84,Licht::N,ljus,шұғыла
85,Schatten::N,skugga,көлеңке
86,Wetter::N,väder,ауа райы
87,Nebel::N,dimma,тұман
88,Nebel::N,töcken,тұман
89,Wolke::N,sky,бұлт
90,Wolke::N,moln,бұлт
91,Regen::N,regn,жаңбыр
92,Schnee::N,snö,қар
93,Eis::N,is,мұз
94,Frost::N,frost,суық
95,Kälte::N,köld,ызғар
96,Kälte::N,köld,суықтық
97,Hitze::N,hetta,аптап
98,Raureif::N,rimfrost,қырау
99,Regenbogen::N,regnbåge,кемпірқосақ
100,Donner::N,åska,күн күркіреу
101,Donner::N,dunder,күн күркіреу
102,Strömung::N,strömning,ағын
103,Tropfen::N,dropper,тамшы
104,Schaum::N,skum,көбік
105,Schmutz::N,lort,кір
106,Schmutz::N,smuts,кір
107,See::N,sjö,көл
108,Sumpf::N,träsk,саз
109,Moor::N,myr,саз
110,Moor::N,mosse,саз
111,Wiese::N,äng,шалғын
112,Wald::N,skog,орман
113,Hügel::N,höjd,төбе
114,Hügel::N,höjd,белес
115,Hügel::N,höjd,белес-белес
116,Hügel::N,kulle,төбе
117,Hügel::N,kulle,белес
118,Hügel::N,kulle,белес-белес
119,Anhöhe::N,höjd,дөң
120,Anhöhe::N,höjd,адыр
121,Anhöhe::N,höjd,қырат
122,Anhöhe::N,backe,дөң
123,Anhöhe::N,backe,адыр
124,Anhöhe::N,backe,қырат
125,Berg::N,berg,тау
126,Berg::N,fjäll,тау
127,Gipfel::N,topp,төбе
128,Höhle::N,håla,үңгір
129,Höhle::N,grotta,үңгір
130,Abhang::N,slänt,бауыр
131,Abhang::N,sluttning,бауыр
132,Quelle::N,källa,қайнар
