,Concept_ID,bg,fr
0,Auge::N,око,œil
1,Ohr::N,ухо,oreille
2,Nase::N,нос,nez
3,Mund::N,уста,bouche
4,Zahn::N,зъб,dent
5,Zunge::N,език,langue
6,Lippe::N,устна,lèvre
7,Wange::N,буза,joue
8,Gesicht::N,лице,face
9,Gesicht::N,лице,visage
10,Gesicht::N,образ,face
11,Gesicht::N,образ,visage
12,Stirn::N,чело,front
13,Haar::N,коса,cheveu
14,Haar::N,косъм,cheveu
15,Schnurrbart::N,мустаци,moustache
16,Bart::N,брада,barbe
17,Kinn::N,брада,menton
18,Kinn::N,брадичка,menton
19,Kiefer[Anatomie]::N,челюст,mâchoire
20,Kehle::N,гърло,gorge
21,Hals::N,врат,cou
22,Genick::N,тил,nuque
23,Kopf::N,глава,tête
24,Rücken::N,гръб,dos
25,Bauch::N,корем,ventre
26,Nabel::N,пъп,nombril
27,Busen::N,бозка,sein
28,Brust::N,гръд,poitrine
29,Schulter::N,рамо,épaule
30,Schulter::N,плещи,épaule
31,Arm::N,ръка,bras
32,Ellenbogen::N,лакът,coude
33,Hand::N,ръка,main
34,Hand::N,китка,main
35,Handfläche::N,длан,paume
36,Finger::N,пръст,doigt
37,Fingernagel::N,нокът,ongle
38,Nagel[Anatomie]::N,нокът,ongle
39,Zeh::N,пръст на крак,orteil
40,Zeh::N,пръст на крак,doigt de pied
41,Fuß::N,крак,pied
42,Fuß::N,нога,pied
43,Ferse::N,пета,talon
44,Knie::N,коляно,genou
45,Oberschenkel::N,бедро,cuisse
46,Bein::N,крак,jambe
47,Bein::N,нога,jambe
48,Körper::N,тяло,corps
49,Haut::N,кожа,peau
50,Blut::N,кръв,sang
51,Ader::N,вена,veine
52,Ader::N,артерия,veine
53,Sehne::N,жила,tendon
54,Sehne::N,сухожилие,tendon
55,Knochen::N,кост,os
56,Gehirn::N,мозък,cerveau
57,Herz::N,сърце,cœur
58,Magen::N,стомах,estomac
59,Leber::N,черен дроб,foie
60,Atem::N,дишане,haleine
61,Hunger::N,глад,faim
62,Träne::N,сълза,larme
63,Geschmack::N,вкус,goût
64,Geschmack::N,вкус,saveur
65,Geruch::N,миризма,odeur
66,Schlaf::N,сън,sommeil
67,Traum::N,сън,songe
68,Himmel::N,небе,ciel
69,Sonne::N,слънце,soleil
70,Mond::N,луна,lune
71,Mond::N,месец,lune
72,Stern::N,звезда,étoile
73,Luft::N,въздух,air
74,Wind::N,вятър,vent
75,Welle::N,вълна,vague
76,Wasser::N,вода,eau
77,Stein::N,камък,pierre
78,Boden::N,земя,sol
79,Boden::N,земя,terrain
80,Boden::N,почва,sol
81,Boden::N,почва,terrain
82,Erde::N,земя,terre
83,Erde::N,почва,terre
84,Staub::N,прах,poussière
85,Rauch::N,дим,fumée
86,Rauch::N,пушек,fumée
87,Funke::N,искра,étincelle
88,Feuer::N,огън,feu
89,Licht::N,светлина,lumière
90,Schatten::N,сянка,ombre
91,Wetter::N,време,temps
92,Nebel::N,мъгла,brume
93,Nebel::N,мъгла,brouillard
94,Wolke::N,облак,nuage
95,Regen::N,дъжд,pluie
96,Schnee::N,сняг,neige
97,Eis::N,лед,glace
98,Frost::N,мраз,gel
99,Frost::N,мраз,gelée
100,Kälte::N,студ,froid
101,Hitze::N,жега,chaleur
102,Hitze::N,горещина,chaleur
103,Raureif::N,скреж,givre
104,Raureif::N,слана,givre
105,Regenbogen::N,дъга,arc-en-ciel
106,Donner::N,гръм,tonnerre
107,Strömung::N,течение,courant
108,Tropfen::N,капка,goutte
109,Schaum::N,пяна,écume
110,Schaum::N,пяна,mousse
111,Schmutz::N,кал,boue
112,Schmutz::N,кал,saleté
113,Schmutz::N,мръсотия,boue
114,Schmutz::N,мръсотия,saleté
115,See::N,езеро,lac
116,Sumpf::N,блато,marais
117,Sumpf::N,блато,marécage
118,Moor::N,мочурище,tourbière
119,Wiese::N,ливада,pré
120,Wald::N,гора,bois
121,Wald::N,гора,forêt
122,Hügel::N,рид,coteau
123,Hügel::N,рид,colline
124,Hügel::N,хълм,coteau
125,Hügel::N,хълм,colline
126,Anhöhe::N,могила,éminence
127,Anhöhe::N,могила,élévation
128,Anhöhe::N,възвишение,éminence
129,Anhöhe::N,възвишение,élévation
130,Berg::N,планина,mont
131,Berg::N,планина,montagne
132,Gipfel::N,връх,cime
133,Gipfel::N,връх,sommet
134,Höhle::N,пещера,caverne
135,Abhang::N,склон,pente
136,Abhang::N,склон,versant
137,Abhang::N,стръмнина,pente
138,Abhang::N,стръмнина,versant
139,Quelle::N,извор,source
140,Quelle::N,извор,fontaine
141,Bach::N,поток,ruisseau
142,Fluss::N,река,fleuve
143,Fluss::N,река,rivière
144,Ufer::N,бряг,bord
145,Ufer::N,бряг,rivage
146,Küste::N,бряг,côte
147,Küste::N,крайбрежие,côte
148,Festland::N,суша,terre ferme
149,Meer::N,море,mer
150,Bucht::N,залив,baie
151,Insel::N,остров,île
152,Blume::N,цвете,fleur
153,Gras::N,трева,herbe
154,Wurzel::N,корен,racine
155,Baum::N,дърво,arbre
156,Stamm::N,стъбло,tronc
157,Rinde::N,кора,écorce
158,Ast::N,клон,branche
159,Zweig::N,клон,rameau
160,Blatt::N,лист,feuille
161,Birke::N,бреза,bouleau
162,Kiefer[Baum]::N,бор,pin
163,Weide[Baum]::N,върба,saule
164,Tanne::N,ела,sapin
165,Horn::N,рог,corne
166,Feder::N,перо,plume
167,Fell::N,кожа,peau
168,Flügel::N,крило,aile
169,Klaue::N,нокът,serre
170,Kralle::N,нокът,ongle
171,Kralle::N,нокът,griffe
172,Schwanz::N,опашка,queue
173,Ei::N,яйце,œuf
174,Nest::N,гнездо,nid
175,Bau::N,дупка,terrier
176,Tier::N,животно,animal
177,Herde::N,стадо,troupeau
178,Kuh::N,крава,vache
179,Bulle::N,бик,taureau
180,Pferd::N,кон,cheval
181,Schaf::N,овца,mouton
182,Schwein::N,свиня,porc
183,Schwein::N,свиня,cochon
184,Hund::N,куче,chien
185,Katze::N,котка,chat
186,Bär::N,мечка,ours
187,Eichhörnchen::N,катерица,écureuil
188,Elch::N,лос,élan
189,Fuchs::N,лисица,renard
190,Hase::N,заек,lièvre
191,Maus::N,мишка,souris
192,Wolf::N,вълк,loup
193,Vogel::N,птица,oiseau
194,Schwarm::N,рой,nuée
195,Schwarm::N,рой,volée
196,Schwarm::N,рояк,nuée
197,Schwarm::N,рояк,volée
198,Huhn::N,кокошка,poule
199,Hahn::N,петел,coq
200,Gans::N,гъска,oie
201,Adler::N,орел,aigle
202,Ente::N,патица,canard
203,Eule::N,сова,hibou
204,Kranich::N,жерав,grue
205,Krähe::N,врана,corneille
206,Kuckuck::N,кукувица,coucou
207,Schwan::N,лебед,cygne
208,Fisch::N,риба,poisson
209,Barsch::N,костур,perche
210,Hecht::N,щука,brochet
211,Schlange[Tier]::N,змия,serpent
212,Wurm::N,червей,ver
213,Spinne::N,паяк,araignée
214,Ameise::N,мравка,fourmi
215,Laus::N,въшка,pou
216,Mücke::N,комар,moucheron
217,Fliege::N,муха,mouche
218,Schmetterling::N,пеперуда,papillon
219,Beere::N,плод,baie
220,Apfel::N,ябълка,pomme
221,Pilz::N,гъба,champignon
222,Zwiebel::N,лук,oignon
223,Zwiebel::N,кромид,oignon
224,Saat::N,семе,semence
225,Korn::N,зърно,grain
226,Heu::N,сено,foin
227,Schale::N,кора,pelure
228,Grube::N,яма,fosse
229,Grube::N,дупка,fosse
230,Falle::N,примка,piège
231,Schlinge::N,клуп,lacs
232,Spur::N,диря,trace
233,Spur::N,следа,trace
234,Asche::N,пепел,cendre
235,Dreck::N,кал,crotte
236,Eisen::N,желязо,fer
237,Gold::N,злато,or
238,Silber::N,сребро,argent
239,Kohle::N,въглища,charbon
240,Glas::N,стъкло,verre
241,Lehm::N,глина,glaise
242,Sand::N,пясък,sable
243,Mensch::N,човек,homme
244,Mann::N,мъж,homme
245,Frau::N,жена,femme
246,Kind::N,дете,enfant
247,Junge::N,момче,garçon
248,Mädchen::N,момиче,fille
249,Mädchen::N,момиче,jeune fille
250,Familie::N,фамилия,famille
251,Familie::N,семейство,famille
252,Großvater::N,дядо,grand-père
253,Großmutter::N,баба,grand-mère
254,Eltern::N,родители,parents
255,Vater::N,баща,père
256,Mutter::N,майка,mère
257,Sohn::N,син,fils
258,Tochter::N,дъщеря,fille
259,Bruder::N,брат,frère
260,Schwester::N,сестра,sœur
261,Onkel::N,чичо,oncle
262,Onkel::N,вуйчо,oncle
263,Tante::N,леля,tante
264,Ehemann::N,съпруг,mari
265,Ehemann::N,съпруг,époux
266,Ehefrau::N,съпруга,femme
267,Ehefrau::N,съпруга,épouse
268,Freude::N,радост,joie
269,Freude::N,радост,plaisir
270,Gelächter::N,смях,rires
271,Glück::N,щастие,bonheur
272,Kummer::N,тъга,peine
273,Kummer::N,тъга,chagrin
274,Wunsch::N,желание,désir
275,Lust::N,желание,envie
276,Geist::N,дух,esprit
277,Gedanke::N,мисъл,idée
278,Gedanke::N,мисъл,pensée
279,Gedächtnis::N,памет,mémoire
280,Verstand::N,ум,raison
281,Verstand::N,разум,raison
282,Sinn::N,смисъл,sens
283,Grund::N,причина,cause
284,Grund::N,причина,raison
285,Wahrheit::N,правда,vérité
286,Gespräch::N,разговор,conversation
287,Märchen::N,приказка,conte
288,Märchen::N,приказка,conte de fées
289,Erzählung::N,разказ,conte
290,Erzählung::N,разказ,narration
291,Nachricht::N,вест,message
292,Nachricht::N,известие,message
293,Neuigkeit::N,новина,nouvelle
294,Name::N,име,nom
295,Rätsel::N,гатанка,énigme
296,Rätsel::N,гатанка,devinette
297,Rede::N,реч,parole
298,Rede::N,реч,discours
299,Rede::N,слово,parole
300,Rede::N,слово,discours
301,Sprache::N,език,langue
302,Sprache::N,език,langage
303,Stimme::N,глас,voix
304,Wort::N,дума,mot
305,Zeichen::N,знак,signe
306,Ruf::N,зов,cri
307,Ruf::N,зов,appel
308,Lärm::N,шум,bruit
309,Lärm::N,глъчка,bruit
310,Laut::N,звук,son
311,Ton::N,тон,ton
312,Lied::N,песен,chant
313,Lied::N,песен,chanson
314,Ruhe::N,тишина,calme
315,Ruhe::N,тишина,tranquillité
316,Ruhe::N,спокойствие,calme
317,Ruhe::N,спокойствие,tranquillité
318,Leute::N,хора,gens
319,Volk::N,народ,peuple
320,Arbeit::N,труд,travail
321,Arbeit::N,работа,travail
322,Gast::N,гост,hôte
323,Gast::N,гост,invité
324,Geschenk::N,дар,cadeau
325,Geschenk::N,дар,présent
326,Geschenk::N,подарък,cadeau
327,Geschenk::N,подарък,présent
328,Spiel::N,игра,jeu
329,Gesellschaft::N,общество,compagnie
330,Hilfe::N,помощ,aide
331,Hilfe::N,помощ,secours
332,Freund::N,приятел,ami
333,Kamerad::N,другар,copain
334,Kamerad::N,другар,camarade
335,Angelegenheit::N,работа,affaire
336,Anzahl::N,брой,nombre
337,Anzahl::N,количество,nombre
338,Art::N,вид,sorte
339,Art::N,вид,espèce
340,Stück::N,къс,morceau
341,Stück::N,парче,morceau
342,Teil::N,дял,part
343,Teil::N,дял,partie
344,Teil::N,част,part
345,Teil::N,част,partie
346,Hälfte::N,половина,moitié
347,Kreis::N,кръг,cercle
348,Kreuz::N,кръст,croix
349,Linie::N,черта,ligne
350,Strich::N,щрих,trait
351,Strich::N,черта,trait
352,Abstand::N,дистанция,écart
353,Abstand::N,разстояние,écart
354,Entfernung::N,разстояние,distance
355,Gegend::N,местност,région
356,Gegend::N,местност,contrée
357,Platz::N,място,place
358,Ort::N,място,lieu
359,Ort::N,място,endroit
360,Seite::N,страна,côté
361,Mitte::N,среда,milieu
362,Gegenstand::N,предмет,objet
363,Sache::N,вещ,chose
364,Rand::N,ръб,bord
365,Kante::N,ръб,arête
366,Kante::N,кант,arête
367,Ecke::N,ъгъл,coin
368,Ecke::N,ъгъл,tournant
369,Spitze::N,връх,cime
370,Spitze::N,връх,pointe
371,Spitze::N,острие,cime
372,Spitze::N,острие,pointe
373,Ende::N,край,bout
374,Loch::N,дупка,trou
375,Winkel::N,кът,coin
376,Winkel::N,кът,réduit
377,Winkel::N,ъгъл,coin
378,Winkel::N,ъгъл,réduit
379,Muster::N,десен,dessin
380,Muster::N,образец,dessin
381,Größe::N,големина,grandeur
382,Länge::N,дължина,longueur
383,Höhe::N,висота,hauteur
384,Höhe::N,висота,altitude
385,Höhe::N,височина,hauteur
386,Höhe::N,височина,altitude
387,Gewicht::N,тегло,poids
388,Gewicht::N,тежест,poids
389,Menge::N,количество,quantité
390,Haufen::N,куп,tas
391,Haufen::N,грамада,tas
392,Reihe::N,ред,file
393,Reihe::N,ред,rangée
394,Reihe::N,редица,file
395,Reihe::N,редица,rangée
396,Boot::N,лодка,canot
397,Boot::N,лодка,bateau
398,Ruder::N,весло,rame
399,Ruder::N,весло,aviron
400,Ruder::N,гребло,rame
401,Ruder::N,гребло,aviron
402,Schlitten::N,шейна,traîneau
403,Ski::N,ски,ski
404,Lagerfeuer::N,огнище,feu de camp
405,Last::N,товар,charge
406,Last::N,товар,fardeau
407,Gang::N,ход,tour
408,Gang::N,ход,marche
409,Gang::N,вървеж,tour
410,Gang::N,вървеж,marche
411,Schritt::N,стъпка,pas
412,Norden::N,север,nord
413,Süden::N,юг,sud
414,Westen::N,запад,ouest
415,Westen::N,запад,occident
416,Osten::N,изток,est
417,Osten::N,изток,orient
418,Holz::N,дърво,bois
419,Brett::N,дъска,planche
420,Stange::N,прът,barre
421,Stange::N,прът,perche
422,Stange::N,върлина,barre
423,Stange::N,върлина,perche
424,Stock::N,прът,canne
425,Stock::N,тояга,canne
426,Stab::N,прът,bâton
427,Rohr::N,цев,tube
