,Concept_ID,br,kl
0,Auge::N,lagad,isi
1,Ohr::N,skouarn,siut
2,Nase::N,fri,
3,Mund::N,genoù,paaq
4,Mund::N,genoù,qaneq
5,Zahn::N,dant,kigut
6,Zunge::N,teod,oqaq
7,Lippe::N,muzell,qarloq
8,Wange::N,chot,ersaq
9,Gesicht::N,dremm,kiinaq
10,Stirn::N,tal,qaaq
11,Haar::N,blev,meqqoq
12,Schnurrbart::N,mourenn,
13,Bart::N,barv,umik
14,Kinn::N,groñj,talloq
15,Kiefer[Anatomie]::N,javed,alleroq
16,Kehle::N,gouzoug,malaq
17,Hals::N,gouzoug,qungaseq
18,Genick::N,choug,pukusuk
19,Kopf::N,penn,niaqoq
20,Rücken::N,kein,qimerlut
21,Bauch::N,kof,naaq
22,Nabel::N,begel,qalaseq
23,Busen::N,bronn,iviangeq
24,Brust::N,bruched,iviangeq
25,Schulter::N,skoaz,ersik
26,Schulter::N,skoaz,assaqqoq
27,Arm::N,brec'h,taleq
28,Ellenbogen::N,ilin,ikusik
29,Hand::N,dorn,assak
30,Handfläche::N,palv,itumak
31,Finger::N,biz,inuak
32,Fingernagel::N,ivin,kikiak
33,Nagel[Anatomie]::N,ivin,kukik
34,Zeh::N,biz-troad,isigak
35,Fuß::N,troad,
36,Ferse::N,seul,kimmik
37,Knie::N,glin,seeqqoq
38,Oberschenkel::N,morzhed,uppat
39,Oberschenkel::N,morzhed,quttoraq
40,Bein::N,gar,isigak
41,Körper::N,korf,timi
42,Haut::N,kroc'hen,mattak
43,Blut::N,gwad,aak
44,Ader::N,gwazhi,taqaq
45,Sehne::N,stir,ujalu
46,Sehne::N,stir,ujaloq
47,Knochen::N,askorn,saanikut
48,Gehirn::N,empenn,qarasaq
49,Herz::N,kalon,uummat
50,Magen::N,stomog,aqajaroq
51,Leber::N,avu,tinguk
52,Atem::N,anal,anerneq
53,Hunger::N,naon,kaanneq
54,Träne::N,daer,qia
55,Träne::N,daer,qiak
56,Geschmack::N,blaz,qilanaartuut
57,Geruch::N,c'hwezh,tipi
58,Geruch::N,c'hwezh,tipik
59,Schlaf::N,kousked,
60,Traum::N,hune,sinnattoq
61,Traum::N,hune,sinnattugaq
62,Himmel::N,oabl,qilak
63,Sonne::N,heol,seqineq
64,Mond::N,loar,qaammat
65,Stern::N,steredenn,ulloriaq
66,Luft::N,aer,silaannaq
67,Wind::N,avel,anori
68,Wind::N,avel,anorsarik
69,Welle::N,houlenn,aalappaa
70,Wasser::N,dour,imeq
71,Stein::N,maen,ujarak
72,Boden::N,tachenn,nateq
73,Erde::N,douar,issoq
74,Staub::N,poultr,pujualanerit
75,Staub::N,poultr,pujoralanerit
76,Rauch::N,moged,iseq
77,Rauch::N,moged,pujoq
78,Funke::N,ful,illoorneq
79,Feuer::N,tan,inneq
80,Licht::N,gouloù,qaamaneq
81,Schatten::N,disheol,tarraq
82,Wetter::N,amzer,sila
83,Nebel::N,brumenn,pujoq
84,Wolke::N,koumoulenn,nuia
85,Regen::N,glav,sialuk
86,Schnee::N,erc'h,aput
87,Eis::N,skorn,siku
88,Frost::N,rev,issi
89,Frost::N,rev,issik
90,Kälte::N,yen,issi
91,Hitze::N,tommder,kianneq
92,Hitze::N,tommder,kiassuseq
93,Raureif::N,frim,kaneq
94,Regenbogen::N,gwareg-ar-glav,neriusaaq
95,Donner::N,kurun,kalleq
96,Strömung::N,red,
97,Tropfen::N,bannac'h,kuseriarneq
98,Tropfen::N,takenn,kuseriarneq
99,Schaum::N,spoum,qapuk
100,Schmutz::N,fank,minguk
101,See::N,lenn,taseq
102,Sumpf::N,gwern,maqulluk
103,Moor::N,taouarc'heg,
104,Wiese::N,prad,masarsuk
105,Wald::N,koad,
106,Hügel::N,torgenn,qattuneq
107,Hügel::N,torgenn,majuariaq
108,Hügel::N,torgenn,majorajaaq
109,Hügel::N,torgenn,qaqqannguaq
110,Anhöhe::N,run,
111,Berg::N,menez,qaqqaq
112,Gipfel::N,barr,
113,Höhle::N,kav,qaarusuk
114,Abhang::N,naou,ippik
115,Abhang::N,naou,sivinganeq
116,Abhang::N,naou,sivingajaaq
117,Abhang::N,naou,kussangajaaq
118,Quelle::N,feunteun,
119,Bach::N,gwazh,kuunnguaq
120,Fluss::N,stêr,kuuk
121,Ufer::N,ribl,sissap sinaa
122,Küste::N,aod,sineriak
123,Festland::N,douar,
124,Meer::N,mor,imaq
