,Concept_ID,kv,bn
0,Auge::N,син,চক্ষু
1,Ohr::N,пель,কর্ণ
2,Nase::N,ныр,নাক
3,Mund::N,ӧм,মুখ
4,Zahn::N,пинь,দাঁত
5,Zunge::N,кыв,জিহবা
6,Lippe::N,тырп,অধর
7,Wange::N,рожабан,গণ্ড
8,Gesicht::N,бан,মুখমণ্ডল
9,Stirn::N,кымӧс,কপাল
10,Haar::N,юрси,চুল
11,Schnurrbart::N,уссэз,গোঁফ
12,Bart::N,тош,শ্মশ্রু
13,Kinn::N,тшӧка,চিবুক
14,Kiefer[Anatomie]::N,ан,চোয়াল
15,Kehle::N,юан,কণ্ঠ
16,Hals::N,юан,গল
17,Genick::N,юр бӧр,ঘাড়
18,Kopf::N,юр,মাথা
19,Rücken::N,мышк,পৃষ্ঠ
20,Bauch::N,кынӧм,উদর
21,Nabel::N,гӧг,নাভি
22,Busen::N,морос,স্তন
23,Brust::N,морос,বুক
24,Schulter::N,пельпон,স্কন্ধ
25,Arm::N,ки,বাহু
26,Ellenbogen::N,гырдзза,কনুই
27,Hand::N,кикар,হাত
28,Handfläche::N,ки пыдӧс,করতল
29,Finger::N,чунь,আঙ্গুল
30,Fingernagel::N,гыж,হাতের নখ
31,Nagel[Anatomie]::N,гыж,নখ
32,Zeh::N,чунь,আঙ্গুল
33,Fuß::N,кокпыдӧс,পা
34,Ferse::N,кокдзир,গোড়ালি
35,Knie::N,пидзӧс,হাঁটু
36,Oberschenkel::N,лядьбей,ঊরু
37,Bein::N,кок,পা
38,Körper::N,вывтыр,দেহ
39,Haut::N,кучик,ত্বক
40,Blut::N,вир,রক্ত
41,Ader::N,сӧн,শিরা
42,Sehne::N,жила,কণ্ডরা
43,Knochen::N,коска,অস্থি
44,Gehirn::N,вем,মস্তিষ্ক
45,Herz::N,сьӧлӧм,হৃৎপিণ্ড
46,Magen::N,жӧвдӧк,পাকস্থলী
47,Leber::N,мус,যকৃৎ
48,Atem::N,лолалӧм,শ্বাস
49,Hunger::N,тшыг,ক্ষুধা
50,Träne::N,синва,অশ্রু
51,Geschmack::N,кӧр,স্বাদ
52,Geruch::N,дук,গন্ধ
53,Schlaf::N,он,ঘুম
54,Traum::N,вӧт,স্বপ্ন
55,Himmel::N,небо,আকাশ
56,Sonne::N,шондi,সূর্য
57,Mond::N,тӧлiсь,চন্দ্র
58,Stern::N,кӧдзыв,নক্ষত্র
59,Luft::N,ру,বায়ু
60,Wind::N,тӧв,বাতাস
61,Welle::N,гы,ঢেউ
62,Welle::N,гы,তরঙ্গ
63,Wasser::N,ва,জল
64,Stein::N,из,ঢিল
65,Stein::N,из,প্রস্তর
66,Boden::N,му,ভূতল
67,Erde::N,му,ভূমি
68,Staub::N,бус,ধুলা
69,Rauch::N,тшын,ধোঁয়া
70,Funke::N,бичир,স্ফুলিঙ্গ
71,Feuer::N,би,অগ্নি
72,Licht::N,би,আলো
73,Schatten::N,вуджӧр,ছায়া
74,Wetter::N,погоддя,আবহাওয়া
75,Nebel::N,туман,কুহেলিকা
76,Wolke::N,кымӧр,মেঘ
77,Regen::N,зэр,বৃষ্টি
78,Schnee::N,лым,তুষার
79,Eis::N,йы,বরফ
80,Frost::N,мороз,তুষার
81,Kälte::N,кӧдзыт,শৈত্য
82,Hitze::N,ӧд,তাপ
83,Raureif::N,кижа,তুহিন
84,Regenbogen::N,енӧшка,রামধনু
85,Donner::N,гым,বজ্রধ্বনি
86,Strömung::N,визывтӧм,স্রোত
87,Tropfen::N,тёп,ফোঁটা
88,Schaum::N,быг,ফেনা
89,Schmutz::N,нять,ধুলা
90,See::N,ты,হ্রদ
91,Sumpf::N,арай,জলা
92,Moor::N,нюр,মাঠ
93,Wiese::N,видз,তৃণভূমি
94,Wald::N,вӧр,বন
95,Hügel::N,мыльк,পাহাড়
96,Anhöhe::N,вывтас,টিলা
97,Anhöhe::N,вылынін,টিলা
98,Berg::N,керӧс,পর্বত
99,Gipfel::N,йыв,শীর্ষ
100,Höhle::N,нора,গুহা
101,Abhang::N,покат,ঢাল
102,Quelle::N,больган,উৎস
103,Bach::N,шор,ক্ষুদ্র নদী
104,Fluss::N,ю,নদী
105,Ufer::N,берег,উপকূল
106,Küste::N,берег,তীর
107,Festland::N,му,ভূমি
108,Meer::N,море,সমুদ্র
109,Bucht::N,курья,উপসাগর
110,Blume::N,цветок,ফুল
111,Gras::N,турун,ঘাস
112,Wurzel::N,вуж,শিকড়
113,Baum::N,пу,গাছ
114,Stamm::N,мыр,স্কন্ধ
115,Stamm::N,кер,স্কন্ধ
116,Rinde::N,кач,বল্কল
117,Ast::N,ув,শাখা
118,Zweig::N,ув,ডাল
119,Blatt::N,лист,পর্ণ
120,Birke::N,кыдз,ভুর্জ
121,Kiefer[Baum]::N,пожум,পাইন গাছ
122,Weide[Baum]::N,бадь,উইলো
123,Tanne::N,кӧз,দেবদারূ গাছ
124,Horn::N,сюр,শিং
125,Feder::N,гӧн,পালক
126,Fell::N,кучик,রোম
127,Flügel::N,борд,ডানা
128,Klaue::N,гыж,নখর
129,Kralle::N,кабыр,নখর
130,Schwanz::N,бӧж,লেজ
131,Ei::N,кольть,ডিম
132,Nest::N,поз,কুলায়
133,Bau::N,осьта,ডেরা
134,Bau::N,нора,ডেরা
135,Tier::N,зверь,জন্তু
136,Herde::N,гурт,ঝাঁক
137,Kuh::N,мӧс,গোরু
138,Bulle::N,ӧшка,বৃষ
139,Pferd::N,вӧв,ঘোড়া
140,Schaf::N,баля,ভেড়া
141,Schwein::N,порсь,শূকর
142,Hund::N,пон,কুকুর
143,Katze::N,кань,বেড়াল
144,Bär::N,ош,ভল্লুক
145,Eichhörnchen::N,ур,কাঠবিড়াল
146,Elch::N,вӧр мӧс,হরিণবিশেষ
147,Fuchs::N,руч,পাঁতিশিয়াল
148,Hase::N,кӧч,শশক
149,Maus::N,шыр,নেংটি ইঁদুর
150,Wolf::N,кӧин,নেকড়ে
151,Vogel::N,кай,পক্ষী
152,Schwarm::N,стая,ঝাঁক
153,Schwarm::N,чукӧр,ঝাঁক
154,Huhn::N,курӧг,মোরগ
155,Hahn::N,петух,কুক্কুট
156,Hahn::N,ай курӧг,কুক্কুট
157,Gans::N,дзодзог,হংসী
158,Adler::N,куч,ইগল
159,Adler::N,кутш,ইগল
160,Ente::N,утка,হংসী
161,Eule::N,тупка,পেচক
162,Kranich::N,тури,সারস
163,Krähe::N,рака,কাক
164,Kuckuck::N,кӧк,কোকিল
165,Schwan::N,юсь,মরাল
166,Fisch::N,чери,মাছ
167,Barsch::N,ёкыш,মৎন্যবিশেষ
168,Hecht::N,сирпинь,বানমাছ
169,Schlange[Tier]::N,змей,সর্প
170,Wurm::N,номыр,কীট
171,Spinne::N,черань,মাকড়সা
172,Ameise::N,кӧдзывкар,পিপীলিকা
173,Laus::N,ляпа той,উকুন
174,Mücke::N,ном,মশা
175,Fliege::N,гут,মাছি
176,Schmetterling::N,бабыв,প্রজাপতি
177,Beere::N,ягӧд,বেরি
178,Apfel::N,яблоко,আপেল
179,Pilz::N,тшак,ছত্রক
180,Zwiebel::N,грез,পিয়াজ
181,Saat::N,кӧдзыс,বীজ
182,Korn::N,сю,শস্য
183,Heu::N,турун,খড়
