,Concept_ID,eu,mhr
0,Auge::N,begi,шинча́
1,Ohr::N,belarri,пы́лыш
2,Nase::N,sudur,нер
3,Mund::N,aho,умша́
4,Zahn::N,hortz,пӱй
5,Zunge::N,mihi,йы́лме
6,Lippe::N,ezpain,тӱ́рвӧ
7,Wange::N,masail,шӱ́ргӧ
8,Gesicht::N,aurpegi,чури́й
9,Stirn::N,bekoki,саҥга́
10,Haar::N,ile,ӱп
11,Haar::N,bilo,ӱп
12,Schnurrbart::N,bibote,ӧ́рыш
13,Schnurrbart::N,sudurpeko,ӧ́рыш
14,Bart::N,bizar,понда́ш
15,Kinn::N,kokots,оҥыла́ш
16,Kiefer[Anatomie]::N,masailezur,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,masailezur,пӱйората́
18,Kehle::N,eztarri,лога́р
19,Hals::N,sama,шӱй
20,Genick::N,garondo,шӱйло́дыш
21,Kopf::N,buru,вуй
22,Rücken::N,bizkar,туп
23,Bauch::N,sabel,мӱ́шкыр
24,Nabel::N,zilbor,кы́лымде
25,Busen::N,titi,чы́зе
26,Busen::N,ugatz,чы́зе
27,Brust::N,bular,оҥ
28,Schulter::N,besaburu,ва́че
29,Arm::N,beso,кид
30,Ellenbogen::N,ukondo,кынерву́й
31,Hand::N,esku,кид
32,Hand::N,esku,копа́
33,Handfläche::N,ahur,со́во
34,Finger::N,hatz,парня́
35,Fingernagel::N,azazkal,кидкӱ́ч
36,Fingernagel::N,azazkal,парнягӱ́ч
37,Nagel[Anatomie]::N,azazkal,кӱч
38,Zeh::N,behatz,йолварня́
39,Fuß::N,oin,йол
40,Fuß::N,oin,йолкопа́
41,Ferse::N,orpo,тага́н
42,Ferse::N,oinburu,тага́н
43,Knie::N,belaun,пулву́й
44,Oberschenkel::N,izter,э́рде
45,Bein::N,zango,йол
46,Körper::N,soin,кап
47,Haut::N,azal,кова́ште
48,Blut::N,odol,вӱр
49,Ader::N,zain,шӧн
50,Sehne::N,gihar-zain,шӧн
51,Sehne::N,gihar-zain,кӱсе́н
52,Knochen::N,hezur,лу
53,Gehirn::N,garun,вем
54,Gehirn::N,garun,вуйве́м
55,Gehirn::N,burmuin,вем
56,Gehirn::N,burmuin,вуйве́м
57,Herz::N,bihotz,шӱм
58,Magen::N,urdail,пага́р
59,Leber::N,gibel,мокш
60,Atem::N,hats,шӱ́лыш
61,Atem::N,arnasa,шӱ́лыш
62,Hunger::N,gose,шужыма́ш
63,Träne::N,malko,шинчавӱ́д
64,Geschmack::N,dasta,там
65,Geruch::N,usain,пуш
66,Schlaf::N,lo,о́мо
67,Traum::N,amets,йӱдо́мо
68,Himmel::N,zeru,кава́
69,Sonne::N,eguzki,ке́че
70,Mond::N,ilargi,ты́лзе
71,Stern::N,izar,шӱ́дыр
72,Luft::N,aire,юж
73,Wind::N,haize,марде́ж
74,Welle::N,uhin,то́лкын
75,Welle::N,olatu,то́лкын
76,Wasser::N,ur,вӱд
77,Stein::N,harri,кӱ
78,Boden::N,lur,рок
79,Boden::N,zoru,рок
80,Erde::N,lur,мла́нде
81,Staub::N,hauts,пура́к
82,Rauch::N,ke,шикш
83,Funke::N,zirta,сеске́м
84,Funke::N,zirta,тулйы́п
85,Funke::N,txinparta,сеске́м
86,Funke::N,txinparta,тулйы́п
87,Feuer::N,su,тул
88,Licht::N,argi,со́то
89,Schatten::N,itzal,ӱ́мыл
90,Schatten::N,geriza,ӱ́мыл
91,Wetter::N,eguraldi,иге́че
92,Nebel::N,laino,тӱтыра́
93,Wolke::N,hodei,пыл
94,Regen::N,euri,йӱр
95,Schnee::N,elur,лум
96,Eis::N,horma,ий
97,Frost::N,izotzaldi,чатлама́
98,Kälte::N,hotz,йӱ́штӧ
99,Hitze::N,bero,шо́кшо
100,Raureif::N,antzigar,пӧрш
101,Raureif::N,antzigar,по́кшым
102,Regenbogen::N,ostadar,шонанпы́л
103,Regenbogen::N,ortzadar,шонанпы́л
104,Donner::N,ostots,кӱ́дырчӧ
105,Donner::N,ihurtzuri,кӱ́дырчӧ
106,Strömung::N,laster,йо́гын
107,Tropfen::N,xorta,чӱча́лтыш
108,Schaum::N,bits,шоҥ
109,Schmutz::N,lohi,лавыра́
110,Schmutz::N,zikin,лавыра́
111,See::N,laku,ер
112,See::N,aintzira,ер
113,Sumpf::N,zingira,лӱ́кӧ
114,Moor::N,zohikaztegi,куп
115,Wiese::N,larre,о́лык
116,Wiese::N,belardi,о́лык
117,Wald::N,baso,чодыра́
118,Wald::N,oihan,чодыра́
119,Hügel::N,muino,арка́
120,Hügel::N,pentoka,арка́
121,Anhöhe::N,garai,тӧва́
122,Anhöhe::N,garai,кӱкшака́
123,Anhöhe::N,goragune,тӧва́
124,Anhöhe::N,goragune,кӱкшака́
125,Berg::N,mendi,ку́рык
126,Gipfel::N,gain,чаҥга́
127,Gipfel::N,gain,курыкву́й
128,Gipfel::N,tontor,чаҥга́
129,Gipfel::N,tontor,курыкву́й
130,Höhle::N,kobazulo,пеще́р
131,Höhle::N,kobazulo,курыкпо́мыш
132,Abhang::N,aldapa,та́йыл
133,Quelle::N,iturri,важ
134,Quelle::N,iturri,вӱдшинча́
135,Quelle::N,iturbegi,важ
136,Quelle::N,iturbegi,вӱдшинча́
137,Bach::N,lats,изэҥе́р
138,Bach::N,erreka,изэҥе́р
139,Fluss::N,ibai,эҥе́р
140,Fluss::N,uhaitz,эҥе́р
141,Ufer::N,bazter,сер
142,Küste::N,itsasalde,вӱдтӱ́р
143,Festland::N,lehor,мла́нде
144,Meer::N,itsaso,те́ҥыз
145,Bucht::N,golko,икса́
146,Insel::N,irla,отро́
147,Insel::N,uharte,отро́
148,Blume::N,lili,пеле́дыш
149,Gras::N,belar,шу́до
150,Wurzel::N,zuztar,вож
151,Wurzel::N,sustrai,вож
152,Baum::N,zuhaitz,пуше́ҥге
153,Stamm::N,enbor,йы́тыр
154,Rinde::N,azal,шӱм
155,Ast::N,adar,укш
156,Zweig::N,abar,торма́к
157,Blatt::N,hosto,лышта́ш
158,Birke::N,urki,куэ́
159,Kiefer[Baum]::N,ler,пӱ́нчӧ
160,Weide[Baum]::N,zume,уа́
161,Weide[Baum]::N,sahats,уа́
162,Tanne::N,izei,кож
163,Horn::N,adar,шур
164,Feder::N,luma,пы́стыл
165,Feder::N,hegaki,пы́стыл
166,Fell::N,ile,кова́ште
167,Fell::N,larru,кова́ште
168,Flügel::N,hego,шу́лдыр
169,Klaue::N,atzapar,кӱч
170,Kralle::N,erpe,ла́па
171,Kralle::N,erpe,копа́
172,Kralle::N,atzapar,ла́па
173,Kralle::N,atzapar,копа́
174,Schwanz::N,isats,поч
175,Schwanz::N,buztan,поч
176,Ei::N,arrautza,му́но
177,Nest::N,habia,пыжа́ш
178,Bau::N,ohantze,пыжа́ш
179,Tier::N,abere,я́нлык
180,Tier::N,abere,живо́тный
181,Tier::N,piztia,я́нлык
182,Tier::N,piztia,живо́тный
183,Herde::N,saldo,кӱ́тӱ
184,Herde::N,saldo,тӱшка́
185,Herde::N,abere talde,кӱ́тӱ
186,Herde::N,abere talde,тӱшка́
187,Kuh::N,behi,ушка́л
188,Bulle::N,zezen,ӱ́шкыж
189,Pferd::N,zaldi,и́мне
190,Schaf::N,ardi,шо́рык
191,Schwein::N,urde,сӧсна́
192,Schwein::N,txerri,сӧсна́
193,Hund::N,txakur,пий
194,Katze::N,katu,пы́рыс
195,Bär::N,hartz,маска́
196,Eichhörnchen::N,urtxintxa,ур
197,Elch::N,altze,шо́рдо
198,Fuchs::N,azeri,ры́выж
199,Hase::N,erbi,мера́ҥ
200,Maus::N,sagu,коля́
201,Wolf::N,otso,пи́ре
202,Vogel::N,txori,ка́йык
203,Vogel::N,hegazti,ка́йык
204,Schwarm::N,aldra,каша́к
205,Huhn::N,oilo,чы́ве
206,Hahn::N,oilar,агыта́н
207,Gans::N,antzara,ко́мбо
208,Adler::N,arrano,карагу́ш
209,Ente::N,ahate,лу́до
210,Eule::N,hontza,тумна́
211,Kranich::N,kurrilo,турня́
212,Krähe::N,bele,кора́к
213,Kuckuck::N,kuku,куку́
214,Schwan::N,beltxarga,йӱ́ксӧ
215,Fisch::N,arrain,кол
216,Barsch::N,perka,ола́ҥге
217,Hecht::N,lutxo,нуж
218,Hecht::N,lutxo,чорта́н
219,Schlange[Tier]::N,suge,ки́шке
220,Wurm::N,har,шукш
221,Spinne::N,armiarma,эҥыре́мыш
222,Ameise::N,inurri,ку́тко
223,Laus::N,zorri,тий
224,Mücke::N,eltxo,шыҥа́
225,Fliege::N,euli,ка́рме
226,Schmetterling::N,pinpirin,лы́ве
227,Schmetterling::N,tximeleta,лы́ве
228,Beere::N,baia,мӧр
229,Apfel::N,sagar,олма́
230,Pilz::N,onddo,по́ҥго
231,Pilz::N,perretxiko,по́ҥго
232,Zwiebel::N,tipula,шога́н
233,Saat::N,haziak,нӧ́шмӧ
234,Saat::N,haziak,туш
235,Korn::N,ale,шу́рно
236,Korn::N,pikor,шу́рно
237,Heu::N,belar ondu,шу́до
238,Schale::N,azal,шӱм
239,Grube::N,hobi,выне́м
240,Falle::N,harrapagailu,лӧ́дӧ
241,Schlinge::N,bilur,о́птыш
242,Schlinge::N,bilur,шӧрга́лтыш
243,Schlinge::N,xedera,о́птыш
244,Schlinge::N,xedera,шӧрга́лтыш
245,Spur::N,lorratz,кыша́
246,Asche::N,errauts,ло́мыж
247,Dreck::N,satsukeria,лавыра́
248,Eisen::N,burdina,кӱ́ртньӧ
249,Gold::N,urre,шӧ́ртньӧ
250,Gold::N,urregorri,шӧ́ртньӧ
251,Silber::N,zilar,ший
252,Silber::N,urrezuri,ший
253,Kohle::N,ikatz,мландышӱ́й
254,Glas::N,beira,янда́
255,Lehm::N,buztin,шун
256,Sand::N,harea,ошма́
257,Sand::N,hondar,ошма́
258,Mensch::N,gizaki,еҥ
259,Mensch::N,gizaki,айде́ме
260,Mann::N,gizon,пӧръе́ҥ
261,Frau::N,andere,ӱдырама́ш
262,Frau::N,emakume,ӱдырама́ш
263,Kind::N,haur,аза́
264,Junge::N,mutil,рве́зе
265,Mädchen::N,neska,ӱдыра́ш
266,Familie::N,sendi,еш
267,Familie::N,familia,еш
268,Großvater::N,aitona,коча́
269,Großvater::N,aitatxi,коча́
270,Großmutter::N,amona,кова́
271,Großmutter::N,amatxi,кова́
272,Eltern::N,gurasoak,ача́-ава́
273,Vater::N,aita,ача́
274,Mutter::N,ama,ава́
275,Sohn::N,seme,э́рге
276,Tochter::N,alaba,ӱ́дыр
277,Bruder::N,neba,иза́
278,Bruder::N,neba,шо́льо
279,Bruder::N,anaia,иза́
280,Bruder::N,anaia,шо́льо
281,Schwester::N,ahizpa,ака́
282,Onkel::N,osaba,иза́
283,Tante::N,izeba,кока́
284,Ehemann::N,senar,мари́й
285,Ehefrau::N,emazte,ва́те
286,Freude::N,poz,куа́н
287,Freude::N,poz,куаныма́ш
288,Freude::N,pozkari,куа́н
289,Freude::N,pozkari,куаныма́ш
290,Gelächter::N,barre,во́штылтыш
291,Gelächter::N,karkara,во́штылтыш
292,Glück::N,zori,пиа́л
293,Kummer::N,xangrin,о́йго
294,Kummer::N,atsekabe,о́йго
295,Wunsch::N,nahi,ку́мыл
296,Wunsch::N,nahikunde,ку́мыл
297,Lust::N,gogo,ку́мыл
298,Geist::N,gogo,ӧрт
299,Geist::N,gogo,чон
300,Gedanke::N,gogoeta,ой
301,Gedanke::N,gogoeta,шоныма́ш
302,Gedächtnis::N,oroimen,шарныма́ш
303,Gedächtnis::N,gogoramen,шарныма́ш
304,Verstand::N,adimen,уш
305,Verstand::N,ulermen,уш
306,Sinn::N,zentzu,смысл
307,Grund::N,zergati,ама́л
308,Wahrheit::N,egia,чын
309,Gespräch::N,hizketa,мутланыма́ш
310,Gespräch::N,elkarrizketa,мутланыма́ш
311,Märchen::N,ipuin,йома́к
312,Erzählung::N,edesti,ойлыма́ш
313,Erzählung::N,kontakizun,ойлыма́ш
314,Nachricht::N,albiste,увертарыма́ш
315,Neuigkeit::N,berri,уве́р
316,Name::N,izen,лӱм
317,Rätsel::N,asmakizun,ту́што
318,Rede::N,hitzaldi,ойлыма́ш
319,Rede::N,mintzaldi,ойлыма́ш
320,Sprache::N,hizkuntza,йы́лме
321,Stimme::N,ahots,йӱк
322,Wort::N,hitz,ой
323,Wort::N,hitz,мут
324,Zeichen::N,agerbide,ти́ште
325,Zeichen::N,agerbide,знак
326,Zeichen::N,agergarri,ти́ште
327,Zeichen::N,agergarri,знак
328,Ruf::N,dei,ӱжма́ш
329,Lärm::N,zarata,лӱшкыма́ш
330,Lärm::N,zarata,йӱк-йӱа́н
331,Lärm::N,harrabots,лӱшкыма́ш
332,Lärm::N,harrabots,йӱк-йӱа́н
333,Laut::N,hots,йӱк
