,Concept_ID,ml,mrj
0,Auge::N,കണ്ണ്,сӹнзӓ
1,Ohr::N,ചെവി,пӹлӹш
2,Nase::N,മൂക്ക്,нер
3,Mund::N,വായ,ышма
4,Zahn::N,പല്ല്,пӱ
5,Zunge::N,നാക്ക്,йӹлмӹ
6,Lippe::N,ചുണ്ട്,тӹрвӹ
7,Wange::N,കവിൾത്തടം,шӹргӹ
8,Gesicht::N,മുഖം,лицӓ
9,Stirn::N,നെറ്റി,лепкӓ
10,Haar::N,തലമുടി,ӱп
11,Schnurrbart::N,മീശ,öрш
12,Bart::N,താടിരോമം,пандаш
13,Kinn::N,താടി,онгылаш
14,Kiefer[Anatomie]::N,താടിയെല്ല്,пӱ арата
15,Kehle::N,കണ്ഠനാളം,логер
16,Hals::N,കഴുത്ത്,шӱ
17,Genick::N,പിടലി,ланга
18,Kopf::N,തല,вуй
19,Rücken::N,മുതുക്,туп
20,Bauch::N,നയറ്,мӹшкӹр
21,Nabel::N,നാഭി,кӹлӹмдӹ
22,Busen::N,സ്തനം,цӹзӹ
23,Brust::N,സ്തനം,мел
24,Schulter::N,തോൾ,ӹнгӹжӓ
25,Arm::N,കൈ,кид
26,Ellenbogen::N,കൈമുട്ട്,кӹнервуй
27,Hand::N,കൈ,лапа
28,Handfläche::N,ഉള്ളം കൈ,кид лапа
29,Finger::N,വിരൽ,парня
30,Fingernagel::N,നഖം,кӹч
31,Nagel[Anatomie]::N,നഖം,кӹч
32,Zeh::N,കാൽവിരൽ,парня
33,Fuß::N,കാൽപ്പാദം,ял лапа
34,Ferse::N,ഉപ്പൂറ്റി,ялгавал
35,Ferse::N,ഉപ്പൂറ്റി,ял кавал
36,Knie::N,കാൽമുട്ട്,пылвуй
37,Oberschenkel::N,തുട,ӓрдӹ
38,Bein::N,കാൽ,ял
39,Körper::N,ശരീരം,монгыр
40,Haut::N,ചർമ്മം,кавашты
41,Blut::N,രക്തം,вӹр
42,Ader::N,ഞരമ്പ്,вӹршӓр
43,Sehne::N,സ്നായു,кукшышӱн
44,Knochen::N,അസ്ഥി,лу
45,Gehirn::N,തലച്ചോറ്,вим
46,Herz::N,ഹൃദയം,шӱм
47,Magen::N,വയർ,шӱм
48,Leber::N,കരൾ,мокш
49,Atem::N,ശ്വാസം,шӱлӹш
50,Hunger::N,വിശപ്പ്,шужымаш
51,Träne::N,കണ്ണീർ,сӹнзӓвӹд
52,Geschmack::N,രുചി,тот
53,Geruch::N,ഗന്ധം,пыш
54,Schlaf::N,ഉറകും,ом
55,Traum::N,സ്വപ്നം,ом
56,Himmel::N,ആകാശം,пӹлгом
57,Sonne::N,സൂര്യൻ,кечӹ
58,Mond::N,ചന്ദ്രൻ,тӹлзӹ
59,Stern::N,നക്ഷത്രം,шӹдӹр
60,Luft::N,കാറ്റ്,юж
61,Luft::N,കാറ്റ്,воздух
62,Wind::N,കാറ്റ്,мардеж
63,Welle::N,തിരമാല,ко
64,Welle::N,തിരമാല,коэ
65,Wasser::N,വെള്ളം,вӹд
66,Stein::N,ശില,кӱ
67,Stein::N,കല്ല്,кӱ
68,Boden::N,തറ,рок
69,Boden::N,നിലം,рок
70,Erde::N,മണ്ണ്,свет
71,Staub::N,പൊടി,пырак
72,Rauch::N,പുക,шӹкш
73,Funke::N,തീപ്പൊരി,ип
74,Funke::N,തീപ്പൊരി,тылип
75,Feuer::N,തീ,тыл
76,Licht::N,വിളക്ക്,соты
77,Licht::N,വിളക്ക്,валгыды
78,Licht::N,സൂര്യപ്രകാശം,соты
79,Licht::N,സൂര്യപ്രകാശം,валгыды
80,Schatten::N,തണൽ,ӹмӹл
81,Wetter::N,കാലാവസ്ഥ,игечӹ
82,Nebel::N,മൂടൽമഞ്ഞ്,тӹтӹрӓ
83,Wolke::N,മേഘം,пӹл
84,Regen::N,മഴ,юр
85,Schnee::N,മഞ്ഞ്,лым
86,Eis::N,ഐസ്,и
87,Frost::N,മൂടൽമഞ്ഞ്,ӱштӹ
88,Kälte::N,തണുപ്പ്,ӱштӹ
89,Hitze::N,ചൂട്,шокшы
90,Raureif::N,കോടമഞ്ഞ്,пöрш
91,Regenbogen::N,മഴവില്ല്,шанавӹл
92,Donner::N,ഇടി,хӹдӹртӹш
93,Strömung::N,പ്രവാഹം,йогы
94,Tropfen::N,തുള്ളി,капльы
95,Tropfen::N,തുള്ളി,капльык
96,Schaum::N,നുര,шонг
97,Schmutz::N,അഴുക്ക്,лявӹрӓ
98,See::N,തടാകം,йӓр
99,Sumpf::N,ചതുപ്പുനിലം,лӱкӹ
100,Moor::N,പാഴ്നിലം,куп
101,Wiese::N,പുൽത്തകിടി,алык
102,Wald::N,വനം,шӹргӹ
103,Wald::N,കാട്,шӹргӹ
104,Hügel::N,കുന്ന്,пӱгӹрикӓ
105,Anhöhe::N,ഉയർന്ന ഭൂമി,кӱкшикӓ
106,Berg::N,പർവ്വതം,кырык
107,Gipfel::N,ഉച്ചകോടി,неркӓ
108,Höhle::N,ഗുഹ,ы́раж
109,Abhang::N,ചരിവ്,полом
110,Quelle::N,ഉറവിടം,вӹдсӹнзӓ
111,Bach::N,അരുവി,ӓнгӹр
112,Fluss::N,നദി,вӹд
113,Ufer::N,തീരം,сир
114,Küste::N,കടൽത്തീരം,сир
115,Festland::N,കര,мӱлӓндӹ
116,Meer::N,കടൽ,тангыж
117,Bucht::N,ഉൾക്കടല്,вӹдъял
118,Insel::N,ദ്വീപ്,острок
119,Blume::N,പൂവ്,пеледӹш
120,Gras::N,പുല്ല്,шуды
121,Wurzel::N,വേര്,важ
122,Baum::N,മരം,пушӓнгӹ
123,Stamm::N,തായ്ത്തടി,пушӓнгӹ тӹнг
124,Rinde::N,പട്ട,каргыж
125,Ast::N,ശാഖ,укш
126,Zweig::N,ശാഖ,укш
127,Blatt::N,ഇല,листӹ
128,Birke::N,പൂവരശ്,куги
129,Kiefer[Baum]::N,പൈൻമരം,йӓктӹ
130,Weide[Baum]::N,വില്ലോ,уа
131,Tanne::N,ദേവദാരു,кож
132,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,шур
133,Feder::N,തൂവൽ,пын
134,Fell::N,മൃദുരോമം,кавашты
135,Flügel::N,ചിറക്,шылдыр
136,Klaue::N,നഖം,кӹч
137,Kralle::N,നഖം,лапа
138,Schwanz::N,വാൽ,пач
139,Ei::N,മുട്ട,мыны
140,Nest::N,കൂട്,пӹжӓш
141,Bau::N,മാളം,ыраж
142,Tier::N,മൃഗം,во́льык
143,Herde::N,കൂട്ടം,кӹтö
144,Kuh::N,പശു,ышкал
145,Bulle::N,കാള,ӱшкӱж
146,Pferd::N,കുതിര,имни
147,Schaf::N,ആട്,шарык
148,Schwein::N,പന്നി,сасна
149,Hund::N,നായ്,пи
150,Katze::N,പൂച്ച,коти
151,Bär::N,കരടി,мöскӓ
152,Eichhörnchen::N,അണ്ണാൻ,ур
153,Elch::N,കടമാന്,шарды
154,Fuchs::N,കുറുക്കൻ,рӹвӹж
155,Hase::N,മുയൽ,морен
156,Maus::N,ചുണ്ടലി,каля
157,Wolf::N,ചെന്നായ,пирӹ
158,Vogel::N,പക്ഷി,кек
159,Schwarm::N,കൂട്ടം,цуца
160,Huhn::N,കോഴി,цӹвӹ
161,Hahn::N,പൂവൻകോഴി,ӓптӓн
162,Gans::N,അരയന്നം,комбы
163,Adler::N,കഴുകൻ,кучкыж
164,Ente::N,താറാവ്,лыды
165,Eule::N,മൂങ്ങ,тымана
166,Kranich::N,കൊക്ക്,тырня
167,Kranich::N,കൊക്ക്,тыртня
168,Krähe::N,കാക്ക,лудыгарак
169,Kuckuck::N,കുയിൽ,куку
170,Schwan::N,അരയന്നം,йӱксӹ
171,Fisch::N,മത്സ്യം,кол
172,Barsch::N,ഒരിനം മത്സ്യം,алангы
173,Hecht::N,ഒരു മത്സ്യം,нуж
174,Hecht::N,ഒരു മത്സ്യം,нужгол
175,Schlange[Tier]::N,പാമ്പ്,кӹшкы
176,Wurm::N,വിര,шукш
177,Spinne::N,ചിലന്തി,ӓнгӹремшӹ
178,Ameise::N,ഉറുമ്പ്,кыткы
179,Laus::N,പേന്,ти
180,Mücke::N,മശകം,кужнер
181,Mücke::N,മശകം,кужынер
182,Fliege::N,ഈച്ച,шӹнгӓ
183,Schmetterling::N,ചിത്രശലഭം,лӹпӹ
184,Beere::N,ബെറി,мöр
185,Apfel::N,ആപ്പിൾ,олма
186,Pilz::N,കൂൺ,понгы
187,Zwiebel::N,സവാള,охыра
188,Saat::N,വിത്ത്,нӱшмӹ
189,Saat::N,വിത്ത്,нӱшмӱ
190,Korn::N,ധാന്യം,пӹрцӹ
191,Heu::N,വയ്ക്കോൽ,шуды
192,Schale::N,തൊലി,аваха
193,Schale::N,തൊലി,карлангы
194,Grube::N,കുഴി,йӓм
195,Falle::N,കെണി,лӱдӹ
196,Falle::N,കെണി,лӱдӹш
197,Schlinge::N,കുടുക്ക്,онгы
198,Spur::N,ചുവട്,кишӓ
199,Asche::N,ചാരം,ломых
200,Asche::N,ചാരം,ломпыж
201,Dreck::N,അഴുക്ക്,лявӹрӓ
202,Eisen::N,ഇരുമ്പ്,кӹртни
203,Gold::N,സ്വർണ്ണം,шöртни
204,Gold::N,സ്വർണ്ണം,шöртньӹ
205,Silber::N,വെള്ളി,ши
206,Kohle::N,കൽക്കരി,шӱ
207,Glas::N,ഗ്ലാസ്,охоница
208,Lehm::N,കളിമണ്ണ്,шун
209,Sand::N,മണൽ,ошма
210,Mensch::N,മനുഷ്യർ,эдем
211,Mann::N,പുരുഷൻ,пӱэргӹ
212,Frau::N,സ്ത്രീ,ӹдӹрӓмӓш
213,Kind::N,കുഞ്ഞ്,ӓзӓ
214,Kind::N,കുഞ്ഞ്,шачшы
215,Junge::N,ആൺകുട്ടി,рвезӹ
216,Junge::N,ആൺകുട്ടി,ӹрвезӹ
217,Mädchen::N,പെൺകുട്ടി,ӹдӹрӓш
218,Familie::N,കുടുംബം,йиш
219,Familie::N,കുടുംബം,семня
