,Concept_ID,ca,uz
0,Auge::N,ull,ko'z
1,Ohr::N,orella,quloq
2,Nase::N,nas,burun
3,Mund::N,boca,og'iz
4,Zahn::N,dent,tish
5,Zunge::N,llēngua,til
6,Lippe::N,llavi,dudoq
7,Wange::N,galta,bet
8,Gesicht::N,cara,yuz
9,Stirn::N,front,manglay
10,Haar::N,cabēll,soch
11,Schnurrbart::N,bigoti,mo'ylov
12,Bart::N,barba,soqol
13,Kinn::N,mentó,ängak
14,Kinn::N,barbeta,ängak
15,Kiefer[Anatomie]::N,queix,iyak
16,Kiefer[Anatomie]::N,mandíbula,iyak
17,Kehle::N,gola,bo'g'iz
18,Kehle::N,gorja,bo'g'iz
19,Hals::N,coll,bo'yin
20,Genick::N,nuca,gardan
21,Kopf::N,cap,bosh
22,Rücken::N,esquena,orqa
23,Bauch::N,panxa,qorin
24,Nabel::N,llombrígol,kindik
25,Busen::N,pit,ämchak
26,Busen::N,mama,ämchak
27,Brust::N,pit,ko'krak
28,Schulter::N,espatlla,elka
29,Arm::N,braç,bilak
30,Ellenbogen::N,colze,tirsak
31,Hand::N,mà,qo'l
32,Handfläche::N,palma,kaft
33,Finger::N,dit,barmoq
34,Fingernagel::N,ungla,tirnoq
35,Nagel[Anatomie]::N,ungla,tirnoq
36,Zeh::N,dit del peu,oyoq barmog'i
37,Fuß::N,peu,oyoq
38,Ferse::N,taló,tovon
39,Knie::N,genoll,tiz
40,Oberschenkel::N,cuixa,son
41,Bein::N,cama,oyoq
42,Körper::N,cos,badna
43,Haut::N,pell,teri
44,Blut::N,sang,qon
45,Ader::N,vena,qon tomir
46,Sehne::N,tendó,tomir
47,Knochen::N,os,suyak
48,Gehirn::N,cervell,miya
49,Herz::N,cor,qalb
50,Magen::N,estómac,oshqozon
51,Leber::N,fetge,bag'ir
52,Atem::N,alè,dam
53,Atem::N,hàlit,dam
54,Hunger::N,fam,ochlik
55,Hunger::N,gana,ochlik
56,Träne::N,llàgrima,yosh
57,Geschmack::N,gust,tam
58,Geschmack::N,sabor,tam
59,Geruch::N,olor,jid
60,Schlaf::N,son,uyqu
61,Traum::N,somni,tush
62,Himmel::N,celm,osmon
