,Concept_ID,sv,uz
0,Auge::N,öga,ko'z
1,Ohr::N,öra,quloq
2,Nase::N,näsa,burun
3,Mund::N,mun,og'iz
4,Zahn::N,tand,tish
5,Zunge::N,tunga,til
6,Lippe::N,läpp,dudoq
7,Wange::N,kind,bet
8,Gesicht::N,syn,yuz
9,Gesicht::N,ansikte,yuz
10,Stirn::N,panna,manglay
11,Haar::N,hår,soch
12,Schnurrbart::N,mustasch,mo'ylov
13,Bart::N,skägg,soqol
14,Kinn::N,haka,ängak
15,Kiefer[Anatomie]::N,käke,iyak
16,Kehle::N,strupe,bo'g'iz
17,Hals::N,hals,bo'yin
18,Genick::N,nacke,gardan
19,Kopf::N,huvud,bosh
20,Rücken::N,rygg,orqa
21,Bauch::N,buk,qorin
22,Bauch::N,mage,qorin
23,Nabel::N,navel,kindik
24,Busen::N,barm,ämchak
25,Brust::N,bröst,ko'krak
26,Schulter::N,skuldra,elka
27,Arm::N,arm,bilak
28,Ellenbogen::N,armbåge,tirsak
29,Hand::N,hand,qo'l
30,Handfläche::N,handflata,kaft
31,Finger::N,finger,barmoq
32,Fingernagel::N,fingernagel,tirnoq
33,Nagel[Anatomie]::N,nagel,tirnoq
34,Zeh::N,tå,oyoq barmog'i
35,Fuß::N,fot,oyoq
36,Ferse::N,häl,tovon
37,Knie::N,knä,tiz
38,Oberschenkel::N,lår,son
39,Bein::N,ben,oyoq
40,Körper::N,kropp,badna
41,Haut::N,hud,teri
42,Haut::N,skinn,teri
43,Blut::N,blod,qon
44,Ader::N,åder,qon tomir
45,Sehne::N,sena,tomir
46,Knochen::N,ben,suyak
47,Gehirn::N,hjärna,miya
48,Herz::N,hjärta,qalb
49,Magen::N,mage,oshqozon
50,Leber::N,lever,bag'ir
51,Atem::N,anda,dam
52,Atem::N,andedräkt,dam
53,Hunger::N,svält,ochlik
54,Hunger::N,hunger,ochlik
55,Träne::N,tår,yosh
56,Geschmack::N,smak,tam
57,Geruch::N,lukt,jid
58,Schlaf::N,sömn,uyqu
59,Traum::N,dröm,tush
60,Himmel::N,himmel,osmon
61,Sonne::N,sol,quyosh
62,Mond::N,måne,oy
63,Stern::N,stjärna,yulduz
64,Luft::N,luft,havo
65,Wind::N,vind,el
66,Welle::N,våg,to'lqin
67,Welle::N,bölja,to'lqin
68,Wasser::N,vatten,suv
69,Stein::N,sten,tosh
70,Boden::N,mark,tuproq
71,Erde::N,jord,er
72,Staub::N,damm,chang
73,Rauch::N,rök,tutun
74,Funke::N,gnista,yalt
75,Feuer::N,eld,o't
76,Licht::N,ljus,yorug'
77,Schatten::N,skugga,soya
78,Wetter::N,väder,havo
79,Nebel::N,dimma,tuman
80,Nebel::N,töcken,tuman
81,Wolke::N,sky,bulut
82,Wolke::N,moln,bulut
83,Regen::N,regn,yomg'ir
84,Schnee::N,snö,qor
85,Eis::N,is,muz
86,Frost::N,frost,ajoz
87,Kälte::N,köld,ajoz
88,Hitze::N,hetta,issiq
89,Raureif::N,rimfrost,qirov
90,Regenbogen::N,regnbåge,kamalak
91,Donner::N,åska,guldur
92,Donner::N,dunder,guldur
93,Strömung::N,strömning,oqim
94,Tropfen::N,dropper,tomchi
95,Schaum::N,skum,ko'pik
96,Schmutz::N,lort,gard
97,Schmutz::N,smuts,gard
98,See::N,sjö,ko'l
99,Sumpf::N,träsk,botqoq
100,Moor::N,myr,qir-adir
