,Concept_ID,pl,kn
0,Auge::N,oko,ಕಣ್ಣು
1,Ohr::N,ucho,ಕಿವಿ
2,Nase::N,nos,ಮೂಗು
3,Mund::N,usta,ಬಾಯಿ
4,Zahn::N,ząb,ಹಲ್ಲು
5,Zunge::N,język,ನಾಲಿಗೆ
6,Lippe::N,warga,ತುಟಿ
7,Wange::N,policzek,ಗಲ್ಲ
8,Gesicht::N,twarz,ಮುಖ
9,Stirn::N,czoło,ಹಣೆ
10,Haar::N,włos,ಕೂದಲು
11,Haar::N,włosy,ಕೂದಲು
12,Schnurrbart::N,wąsy,ಮೀಸೆ
13,Bart::N,broda,ಗಡ್ಡ
14,Kinn::N,podbródek,ಗದ್ದ
15,Kiefer[Anatomie]::N,czeluść,ದವಡೆ
16,Kehle::N,gardło,ಗಂಟಲು
17,Hals::N,szyja,ಕೊರಳು
18,Genick::N,kark,ಹಿಂಗತ್ತು
19,Kopf::N,głowa,ತಲೆ
20,Rücken::N,plecy,ಬೆನ್ನು
21,Rücken::N,grzbiet,ಬೆನ್ನು
22,Bauch::N,brzuch,ಹೊಟ್ಟೆ
23,Nabel::N,pępek,ಹೊಕ್ಕುಳು
24,Busen::N,biust,ಸ್ತನ
25,Brust::N,pierś,ಎದೆ
26,Schulter::N,bark,ಭುಜ
27,Schulter::N,ramię,ಭುಜ
28,Arm::N,ręka,ತೋಳು
29,Arm::N,ramię,ತೋಳು
30,Ellenbogen::N,łokieć,ಮೊಣಕೈ
31,Hand::N,dłoń,ಕೈ
32,Handfläche::N,dłoń,ಅಂಗೈ
33,Finger::N,palec,ಕೈಬೆರಳು
34,Fingernagel::N,paznokieć,ಉಗುರು
35,Nagel[Anatomie]::N,paznokieć,ಉಗುರು
36,Zeh::N,palec,ಕಾಲ್ಬೆರಳು
37,Fuß::N,stopa,ಪಾದ
38,Ferse::N,pięta,ಹಿಮ್ಮಡಿ
39,Knie::N,kolano,ಮಂಡಿ
40,Oberschenkel::N,udo,ತೊಡೆ
41,Bein::N,noga,ಕಾಲು
42,Körper::N,ciało,ದೇಹ
43,Haut::N,skóra,ಚರ್ಮ
44,Blut::N,krew,ರಕ್ತ
45,Ader::N,żyła,ನರ
46,Sehne::N,ścięgno,ನರ
47,Knochen::N,kość,ಮೂಳೆ
48,Gehirn::N,mózg,ಮಿದುಳು
49,Herz::N,serce,ಹೃದಯ
50,Magen::N,żołądek,ಉದರ
51,Leber::N,wątroba,ಯಕೃತ್ತು
52,Atem::N,dech,ಉಸಿರು
53,Atem::N,oddech,ಉಸಿರು
54,Hunger::N,głód,ಹಸಿವು
