,Concept_ID,kk,cs
0,Auge::N,көз,oko
1,Ohr::N,құлақ,ucho
2,Nase::N,мұрын,nos
3,Mund::N,ауыз,pusa
4,Zahn::N,тіс,zub
5,Zunge::N,тіл,jazyk
6,Lippe::N,ерін,ret
7,Wange::N,ұрт,tvář
8,Gesicht::N,бет-аузы,obličej
9,Stirn::N,маңдай,čelo
10,Haar::N,қыл,vlas
11,Haar::N,қыл,vlasy
12,Schnurrbart::N,мұрт,kníry
13,Bart::N,сақал,vousy
14,Kinn::N,иек,brada
15,Kiefer[Anatomie]::N,жақ,čelist
16,Kehle::N,алқым,hrdlo
17,Hals::N,мойын,krk
18,Genick::N,желке,týl
19,Kopf::N,кәллә,hlava
20,Rücken::N,арқа,záda
21,Rücken::N,арқа,hřbet
22,Bauch::N,қарын,břicho
23,Nabel::N,кіндік,pupek
24,Busen::N,омырау,ňadra
25,Brust::N,кеуде,prsa
26,Schulter::N,иық,plece
27,Schulter::N,иық,rameno
28,Arm::N,қол,ruka
29,Ellenbogen::N,шынтақ,loket
30,Hand::N,қол,ruka
31,Handfläche::N,алақан,dlaň
32,Finger::N,саусақ,prst
33,Fingernagel::N,тырнақ,nehet
34,Nagel[Anatomie]::N,тырнақ,nehet
35,Zeh::N,тырнақ,prst u nohy
36,Zeh::N,тұяқ,prst u nohy
37,Fuß::N,аяқ-басы,noha
38,Ferse::N,өкше,pata
39,Ferse::N,өкшелік,pata
40,Knie::N,тізе,koleno
41,Oberschenkel::N,жамбас,stehno
42,Bein::N,аяқ,noha
43,Körper::N,дене,tělo
44,Haut::N,тері,kůže
45,Blut::N,қан,krev
46,Ader::N,көктамыр,céva
47,Ader::N,күретамыр,céva
48,Sehne::N,сіңір,šlacha
49,Knochen::N,жілік,kost
50,Gehirn::N,ми,mozek
51,Herz::N,жүрек,srdce
52,Magen::N,асқазан,žaludek
53,Leber::N,бауыр,játra
54,Atem::N,леп,dech
55,Hunger::N,ашаршылық,hlad
56,Träne::N,жас,slza
57,Geschmack::N,дәм,vkus
58,Geschmack::N,татым,vkus
59,Geschmack::N,талғам,vkus
60,Geruch::N,иіс,vůně
61,Geruch::N,иіс,zápach
62,Schlaf::N,ұйқы,spánek
63,Schlaf::N,ұйықтау,spánek
64,Traum::N,түс,sen
65,Himmel::N,аспан,nebe
66,Himmel::N,көқ,nebe
67,Himmel::N,таңдай,nebe
68,Sonne::N,күн,slunce
69,Mond::N,ай,měsíc
70,Stern::N,жұлдыз,hvězda
71,Luft::N,әуе,vzduch
72,Wind::N,жел,vítr
73,Welle::N,толқын,vlna
74,Wasser::N,су,voda
75,Stein::N,тас,kámen
76,Boden::N,қыртыс,půda
77,Erde::N,топырақ,země
78,Staub::N,шаң,prach
79,Rauch::N,түтін,dým
80,Rauch::N,түтін,kouř
81,Funke::N,ұшқын,jiskra
82,Feuer::N,алау,oheň
83,Licht::N,шұғыла,světlo
84,Schatten::N,көлеңке,stín
85,Wetter::N,ауа райы,počasí
86,Nebel::N,тұман,mlha
87,Wolke::N,бұлт,mrak
88,Wolke::N,бұлт,oblak
89,Regen::N,жаңбыр,déšť
90,Schnee::N,қар,sníh
91,Eis::N,мұз,led
92,Frost::N,суық,mráz
93,Kälte::N,ызғар,chlad
94,Kälte::N,суықтық,chlad
95,Hitze::N,аптап,horko
96,Raureif::N,қырау,jinovatka
97,Regenbogen::N,кемпірқосақ,duha
98,Donner::N,күн күркіреу,hrom
99,Strömung::N,ағын,proudění
100,Tropfen::N,тамшы,kapka
101,Schaum::N,көбік,pěna
102,Schmutz::N,кір,špína
103,See::N,көл,jezero
