,Concept_ID,he,pl
0,Auge::N,עין,oko
1,Ohr::N,אזן,ucho
2,Nase::N,אף,nos
3,Nase::N,חטם,nos
4,Mund::N,פה,usta
5,Zahn::N,שן,ząb
6,Zunge::N,לשון,język
7,Lippe::N,שפה,warga
8,Wange::N,לחי,policzek
9,Gesicht::N,פנים,twarz
10,Stirn::N,מצח,czoło
11,Haar::N,שערה,włos
12,Haar::N,שערה,włosy
13,Schnurrbart::N,שפם,wąsy
14,Bart::N,זקן,broda
15,Kinn::N,סנטר,podbródek
16,Kiefer[Anatomie]::N,לסת,czeluść
17,Kehle::N,גרון,gardło
18,Hals::N,צואר,szyja
19,Genick::N,ערף,kark
20,Kopf::N,ראש,głowa
21,Rücken::N,גב,plecy
22,Rücken::N,גב,grzbiet
23,Bauch::N,בטן,brzuch
24,Nabel::N,טבור,pępek
25,Busen::N,שד,biust
26,Brust::N,חזה,pierś
27,Schulter::N,כתף,bark
28,Schulter::N,כתף,ramię
29,Arm::N,זרוע,ręka
30,Arm::N,זרוע,ramię
31,Ellenbogen::N,מרפק,łokieć
32,Hand::N,יד,dłoń
33,Handfläche::N,כף יד,dłoń
34,Finger::N,אצבע,palec
35,Fingernagel::N,צפרן,paznokieć
36,Nagel[Anatomie]::N,צפרן,paznokieć
37,Zeh::N,אצבע,palec
38,Fuß::N,רגל,stopa
39,Ferse::N,עקב,pięta
40,Knie::N,ברך,kolano
41,Oberschenkel::N,ירך,udo
42,Bein::N,רגל,noga
43,Körper::N,גוף,ciało
44,Haut::N,עור,skóra
45,Blut::N,דם,krew
46,Ader::N,וריד,żyła
47,Sehne::N,גיד,ścięgno
48,Knochen::N,עצם,kość
49,Gehirn::N,מוח,mózg
50,Herz::N,לב,serce
51,Magen::N,קבה,żołądek
52,Leber::N,כבד,wątroba
53,Atem::N,נשימה,dech
54,Atem::N,נשימה,oddech
55,Hunger::N,רעב,głód
56,Träne::N,דמעה,łza
57,Geschmack::N,טעם,smak
58,Geruch::N,ריח,woń
59,Geruch::N,ריח,zapach
60,Schlaf::N,שנה,sen
61,Traum::N,חלום,sen
62,Himmel::N,שמים,niebo
63,Sonne::N,שמש,słońce
64,Mond::N,ירח,księżyc
65,Stern::N,כוכב,gwiazda
66,Luft::N,אויר,powietrze
67,Wind::N,רוח,wiatr
68,Welle::N,גל,fala
69,Wasser::N,מים,woda
70,Stein::N,אבן,kamień
71,Boden::N,קרקע,grunt
72,Erde::N,אדמה,ziemia
73,Staub::N,אבק,pył
74,Staub::N,אבק,kurz
75,Rauch::N,עשן,dym
76,Funke::N,ניצוץ,iskra
77,Feuer::N,אש,ogień
78,Licht::N,אור,światło
79,Schatten::N,צל,cień
80,Wetter::N,מזג אויר,pogoda
81,Nebel::N,ערפל,mgła
82,Wolke::N,ענן,obłok
83,Wolke::N,ענן,chmura
84,Regen::N,גשם,deszcz
85,Schnee::N,שלג,śnieg
86,Eis::N,קרח,lód
87,Frost::N,צנה,mróz
88,Kälte::N,קר,chłód
89,Hitze::N,חם,gorąco
90,Raureif::N,כפור,szron
91,Regenbogen::N,קשת,tęcza
92,Donner::N,רעם,grzmot
93,Strömung::N,זרימה,nurt
94,Tropfen::N,טפה,kropla
95,Schaum::N,קצף,piana
96,Schmutz::N,לכלוך,brud
97,See::N,אגם,jezioro
98,Sumpf::N,בצה,bagno
99,Moor::N,בצה,bagno
100,Wiese::N,מרעה,łąka
101,Wald::N,יער,las
102,Hügel::N,תל,pagórek
103,Anhöhe::N,מעלה,wzgórze
104,Berg::N,הר,góra
105,Gipfel::N,פסגה,szczyt
106,Gipfel::N,פסגה,wierzchołek
107,Höhle::N,מערה,pieczara
108,Abhang::N,מדרון,stok
109,Abhang::N,מדרון,zbocze
110,Abhang::N,שפוע,stok
111,Abhang::N,שפוע,zbocze
112,Quelle::N,מעין,zdrój
113,Quelle::N,מעין,źródło
114,Bach::N,נחל,potok
115,Bach::N,נחל,strumień
116,Fluss::N,נהר,rzeka
117,Ufer::N,גדה,brzeg
118,Küste::N,חוף,wybrzeże
119,Festland::N,יבשה,ląd
120,Meer::N,ים,morze
121,Bucht::N,מפרץ,zatoka
122,Insel::N,אי,wyspa
