,Concept_ID,lbe,fi
0,Auge::N,я,silmä
1,Ohr::N,вичӏи,korva
2,Nase::N,май,nenä
3,Mund::N,кьацӏ,suu
4,Zahn::N,ккарччи,hammas
5,Zunge::N,маз,kieli
6,Lippe::N,мурччи,huuli
7,Wange::N,чӏав,poski
8,Gesicht::N,лажин,naama
9,Gesicht::N,лажин,kasvot
10,Stirn::N,ненттабакӏ,otsa
11,Haar::N,чӏара,hius
12,Haar::N,чӏара,tukka
13,Schnurrbart::N,ссирссилтту,viikset
14,Bart::N,чӏири,parta
15,Kinn::N,лунттубакӏ,leuka
16,Kiefer[Anatomie]::N,ххинчулул,leukaluu
17,Kehle::N,кьакьари,kurkku
18,Hals::N,ссурссу,kaula
19,Genick::N,махъабакӏ,niska
20,Kopf::N,бакӏ,pää
21,Rücken::N,ттиликӏ,selkä
22,Bauch::N,лякьа,maha
23,Bauch::N,лякьа,vatsa
24,Nabel::N,цӏумуккутӏ,napa
25,Busen::N,ккукку,rinta
26,Brust::N,хъазам,rinta
27,Schulter::N,хъачӏ,olka
28,Schulter::N,хъачӏ,hartia
29,Schulter::N,хъачӏ,olkapää
30,Arm::N,ка,käsivarsi
31,Ellenbogen::N,ссюрхъ,kyynärpää
32,Hand::N,бартка,käsi
33,Handfläche::N,хъат,kämmen
34,Handfläche::N,битӏянхъ,kämmen
35,Finger::N,кӏисса,sormi
36,Fingernagel::N,михь,kynsi
37,Nagel[Anatomie]::N,михь,kynsi
38,Zeh::N,кӏисса,varvas
39,Fuß::N,чӏанччан,jalka
40,Ferse::N,никъа,kantapää
41,Knie::N,ник,polvi
42,Oberschenkel::N,жира,reisi
43,Bein::N,ччан,jalka
44,Körper::N,чурх,keho
45,Körper::N,чурх,ruumis
46,Haut::N,бурчу,iho
47,Blut::N,оь,veri
48,Ader::N,тунну,suoni
49,Sehne::N,хьхьа,jänne
50,Knochen::N,ттаркӏ,luu
51,Gehirn::N,ня,aivot
52,Herz::N,дакӏ,sydän
53,Herz::N,къюкӏ,sydän
54,Magen::N,лякьа,maha
55,Magen::N,лякьа,vatsa
56,Atem::N,ссихӏ ласаву,henki
57,Atem::N,ссихӏ ласаву,hengitys
58,Atem::N,ссихӏ бигьаву,henki
59,Atem::N,ссихӏ бигьаву,hengitys
60,Hunger::N,ккаши,nälkä
61,Träne::N,макь,kyynel
62,Geschmack::N,тӏин,maku
63,Geschmack::N,тӏааьн,maku
64,Geruch::N,кьанкь,haju
65,Schlaf::N,шану,uni
66,Traum::N,макӏру,uni
67,Himmel::N,ссав,taivas
68,Sonne::N,баргъ,aurinko
69,Mond::N,барз,kuu
70,Stern::N,цӏуку,tähti
71,Luft::N,гьава,ilma
72,Wind::N,марч,tuuli
73,Welle::N,щатӏи,aalto
74,Wasser::N,щин,vesi
75,Stein::N,чару,kivi
76,Boden::N,аьрщи,maa
77,Boden::N,аьрщи,maaperä
78,Erde::N,аьрщи,maa
79,Staub::N,ххит,pöly
80,Rauch::N,пуркӏу,savu
81,Funke::N,пиягь,kipinä
82,Feuer::N,цӏу,tuli
83,Licht::N,чани,valo
84,Schatten::N,ххют,varjo
85,Wetter::N,гьава,sää
86,Nebel::N,шархь ттурлу,sumu
87,Wolke::N,ттурлу,pilvi
88,Regen::N,гъарал,sade
89,Schnee::N,марххала,lumi
90,Eis::N,микӏ,jää
91,Frost::N,дяркъу,halla
92,Frost::N,дяркъу,pakkanen
93,Frost::N,замгьар,halla
94,Frost::N,замгьар,pakkanen
