,Concept_ID,ga,uz
0,Auge::N,súil,ko'z
1,Ohr::N,cluas,quloq
2,Nase::N,soc,burun
3,Mund::N,béal,og'iz
4,Zahn::N,fiacail,tish
5,Zunge::N,teanga,til
6,Lippe::N,liopa,dudoq
7,Wange::N,grua,bet
8,Wange::N,leiceann,bet
9,Gesicht::N,éadan,yuz
10,Gesicht::N,aghaidh,yuz
11,Stirn::N,baithis,manglay
12,Stirn::N,clár éadain,manglay
13,Haar::N,gruaig,soch
14,Schnurrbart::N,croiméal,mo'ylov
15,Bart::N,féasóg,soqol
16,Kinn::N,smig,ängak
17,Kiefer[Anatomie]::N,giall,iyak
18,Kehle::N,scornach,bo'g'iz
19,Hals::N,muinéal,bo'yin
20,Genick::N,baic,gardan
21,Kopf::N,ceann,bosh
22,Rücken::N,droim,orqa
23,Bauch::N,bolg,qorin
24,Nabel::N,imleacán,kindik
25,Busen::N,cíoch,ämchak
26,Brust::N,brollach,ko'krak
27,Schulter::N,gualainn,elka
28,Arm::N,lámh,bilak
29,Ellenbogen::N,uillinn,tirsak
30,Hand::N,lámh,qo'l
31,Handfläche::N,bos,kaft
32,Finger::N,méar,barmoq
33,Fingernagel::N,ionga,tirnoq
34,Nagel[Anatomie]::N,ionga,tirnoq
35,Zeh::N,ladhar,oyoq barmog'i
36,Fuß::N,cos,oyoq
37,Fuß::N,troigh,oyoq
38,Ferse::N,sáil,tovon
39,Knie::N,glúin,tiz
40,Oberschenkel::N,ceathrú,son
41,Bein::N,cos,oyoq
42,Körper::N,corp,badna
43,Körper::N,colainn,badna
44,Haut::N,cneas,teri
45,Haut::N,craiceann,teri
46,Blut::N,fuil,qon
47,Sehne::N,teannán,tomir
48,Sehne::N,féitheog,tomir
49,Knochen::N,cnámh,suyak
50,Gehirn::N,inchinn,miya
51,Herz::N,croí,qalb
52,Magen::N,bolg,oshqozon
53,Magen::N,goile,oshqozon
54,Leber::N,ae,bag'ir
55,Atem::N,anáil,dam
56,Hunger::N,ocras,ochlik
57,Träne::N,deoir,yosh
58,Geschmack::N,blas,tam
59,Geruch::N,boladh,jid
60,Schlaf::N,suan,uyqu
61,Schlaf::N,codladh,uyqu
62,Traum::N,taibhreamh,tush
63,Himmel::N,spéir,osmon
64,Sonne::N,grian,quyosh
65,Mond::N,ré,oy
66,Mond::N,gealach,oy
67,Stern::N,rinn,yulduz
68,Stern::N,réalta,yulduz
69,Luft::N,aer,havo
70,Wind::N,gaoth,el
71,Welle::N,tonn,to'lqin
72,Wasser::N,uisce,suv
73,Stein::N,cloch,tosh
74,Boden::N,talamh,tuproq
75,Erde::N,cré,er
76,Erde::N,ithir,er
77,Staub::N,dusta,chang
78,Staub::N,deannach,chang
79,Rauch::N,toit,tutun
80,Rauch::N,deatach,tutun
81,Funke::N,drithle,yalt
82,Feuer::N,tine,o't
83,Licht::N,solas,yorug'
84,Schatten::N,scáth,soya
85,Wetter::N,aimsir,havo
86,Nebel::N,ceo,tuman
87,Wolke::N,néal,bulut
88,Wolke::N,scamall,bulut
89,Regen::N,báisteach,yomg'ir
90,Regen::N,fearthainn,yomg'ir
91,Schnee::N,sneachta,qor
92,Eis::N,oighear,muz
93,Frost::N,sioc,ajoz
94,Kälte::N,fuacht,ajoz
95,Hitze::N,teas,issiq
96,Hitze::N,teocht,issiq
97,Raureif::N,sioc bán,qirov
98,Regenbogen::N,stua ceatha,kamalak
99,Regenbogen::N,bogha báistí,kamalak
100,Donner::N,toirneach,guldur
101,Strömung::N,sruth,oqim
102,Tropfen::N,deoir,tomchi
103,Schaum::N,cúr,ko'pik
104,Schmutz::N,salachar,gard
105,See::N,loch,ko'l
106,Sumpf::N,portach,botqoq
107,Moor::N,caorán,qir-adir
108,Moor::N,móinteán,qir-adir
109,Wiese::N,cluain,o'tzor
110,Wiese::N,móinéar,o'tzor
111,Wald::N,coill,o'rmon
112,Wald::N,foraois,o'rmon
113,Hügel::N,ard,tepa
114,Anhöhe::N,ard,adir
115,Anhöhe::N,ardán,adir
116,Berg::N,sliabh,tog'
117,Gipfel::N,barr,cho'qqi
118,Gipfel::N,mullach,cho'qqi
119,Höhle::N,uaimh,kavak
120,Höhle::N,pluais,kavak
121,Abhang::N,fána,to'sh
122,Quelle::N,foinse,buloq
123,Bach::N,sruthán,o'zan
124,Fluss::N,abhainn,daryo
125,Ufer::N,bruach,sohil
126,Küste::N,cósta,qirg'oq
127,Küste::N,cladach,qirg'oq
128,Festland::N,míntír,materik
129,Meer::N,muir,dengiz
130,Meer::N,farraige,dengiz
131,Bucht::N,bá,qo'ltiq
132,Bucht::N,cuan,qo'ltiq
133,Insel::N,inis,orol
134,Insel::N,oileán,orol
135,Blume::N,bláth,gul
136,Gras::N,féar,sabza
137,Wurzel::N,rúta,tub
138,Wurzel::N,rúta,tomir
139,Wurzel::N,fréamh,tub
140,Wurzel::N,fréamh,tomir
141,Baum::N,crann,daraxt
142,Stamm::N,stoc,o'simta
143,Stamm::N,tamhan,o'simta
144,Rinde::N,coirt,qobiq
145,Rinde::N,craiceann,qobiq
146,Ast::N,géag,shox
147,Zweig::N,géag,butoq
148,Zweig::N,craobh,butoq
149,Blatt::N,duille,barg
150,Blatt::N,duilleog,barg
151,Birke::N,beith,qayin
152,Birke::N,crann beithe,qayin
153,Kiefer[Baum]::N,péine,qarag'ay
154,Weide[Baum]::N,saileach,shum
155,Tanne::N,giúis,archa
156,Horn::N,adharc,mugiz
157,Feder::N,cleite,par
158,Fell::N,clúmh,mo'yna
159,Flügel::N,eite,qanot
160,Flügel::N,sciathán,qanot
161,Klaue::N,crúb,tirnoq
162,Klaue::N,crobh,tirnoq
163,Kralle::N,crobh,tirnoq
164,Schwanz::N,eireaball,quyruq
165,Ei::N,ubh,tuxum
166,Nest::N,nead,oshyon
167,Bau::N,brocais,o'pqon
168,Tier::N,ainmhí,hayvon
169,Tier::N,beithíoch,hayvon
170,Herde::N,tréad,gala
171,Kuh::N,bó,inak
172,Bulle::N,tarbh,ho'kiz
173,Pferd::N,each,ot
174,Pferd::N,capall,ot
175,Schaf::N,caora,qo'y
176,Schwein::N,muc,cho'chqa
177,Hund::N,madra,it
178,Katze::N,cat,mushuk
179,Bär::N,béar,ayiq
180,Eichhörnchen::N,iora,tiyin
181,Elch::N,eilc,los
182,Fuchs::N,sionnach,tulki
183,Fuchs::N,madra rua,tulki
184,Hase::N,giorria,kuyon
185,Maus::N,luch,sichqon
186,Wolf::N,mac tíre,bo'ri
187,Vogel::N,éan,qush
188,Schwarm::N,saithe,to'da
189,Huhn::N,cearc,tovuq
190,Hahn::N,coileach,xo'roz
191,Gans::N,gé,g'oz
192,Adler::N,iolar,burgut
193,Ente::N,lacha,o'rdak
194,Eule::N,ulchabhán,boyo'g'li
195,Kranich::N,grús,turna
196,Krähe::N,caróg,qarg'a
197,Krähe::N,préachán,qarg'a
198,Kuckuck::N,cuach,kakku
199,Schwan::N,eala,oqkush
200,Fisch::N,iasc,baliq
201,Barsch::N,péirse,olabug'a
202,Hecht::N,liús,cho'rtan
203,Schlange[Tier]::N,nathair,ilon
204,Wurm::N,péist,qurt
205,Spinne::N,damhán alla,o'rgimchak
206,Ameise::N,seangán,chumoli
207,Laus::N,míol,bit
208,Mücke::N,muiscít,chivin
209,Mücke::N,corrmhíol,chivin
210,Fliege::N,cuil,pashsha
211,Fliege::N,cuileog,pashsha
212,Schmetterling::N,féileacán,kapalak
213,Beere::N,caor,meva
214,Apfel::N,úll,olma
215,Pilz::N,beacán,qo'ziqorin
216,Pilz::N,muisiriún,qo'ziqorin
217,Zwiebel::N,oinniún,piyoz
218,Saat::N,síol,äkin
219,Korn::N,gráinne,zarra
220,Heu::N,féar,xashak
221,Schale::N,scaimh,po'choq
222,Grube::N,poll,co'ra
223,Falle::N,gaiste,qopqon
224,Schlinge::N,sealán,sirtmoq
225,Spur::N,rian,iz
226,Asche::N,luaith,kul
227,Dreck::N,salachar,kir
228,Eisen::N,iarann,temir
229,Gold::N,ór,tilla
230,Silber::N,airgead,kumush
231,Kohle::N,gual,ko'mir
232,Glas::N,gloine,oyna
233,Lehm::N,cré,loy
234,Sand::N,gaineamh,qum
235,Mensch::N,duine,odam
236,Mann::N,fear,ärkak
237,Frau::N,bean,ayol
238,Kind::N,gasúr,bola
239,Kind::N,gasúr,kichkintoy
240,Kind::N,páiste,bola
241,Kind::N,páiste,kichkintoy
242,Junge::N,buachaill,bola
243,Mädchen::N,cailín,qiz
244,Familie::N,teaghlach,oila
245,Familie::N,comhluadar,oila
246,Großvater::N,seanathair,buva
247,Großvater::N,seanathair,katta ota
248,Großmutter::N,seanmháthair,buvi
249,Großmutter::N,seanmháthair,katta oyi
250,Eltern::N,tuismitheoirí,ota-ona
251,Vater::N,athair,ota
252,Mutter::N,máthair,ona
253,Sohn::N,mac,o'g'il
254,Tochter::N,iníon,qiz
255,Bruder::N,deartháir,og'a
256,Bruder::N,deartháir,uka
257,Schwester::N,deirfiúr,opa
258,Schwester::N,deirfiúr,singil
259,Onkel::N,uncail,amaki
260,Tante::N,aintín,amma
261,Tante::N,aintín,xola
262,Ehemann::N,fear céile,är
263,Ehefrau::N,bean chéile,rafiqa
264,Freude::N,áthas,ayish
265,Gelächter::N,gáire,kulgi
266,Glück::N,séan,saodat
267,Glück::N,sonas,saodat
268,Kummer::N,brón,g'am
269,Kummer::N,buairt,g'am
270,Wunsch::N,guí,orzu
271,Wunsch::N,achainí,orzu
272,Lust::N,fonn,rag'bat
273,Geist::N,meon,ruh
274,Geist::N,spiorad,ruh
275,Gedanke::N,smaoineamh,fikr
276,Gedächtnis::N,cuimhne,äs
