,Concept_ID,mrj,kn
0,Auge::N,сӹнзӓ,ಕಣ್ಣು
1,Ohr::N,пӹлӹш,ಕಿವಿ
2,Nase::N,нер,ಮೂಗು
3,Mund::N,ышма,ಬಾಯಿ
4,Zahn::N,пӱ,ಹಲ್ಲು
5,Zunge::N,йӹлмӹ,ನಾಲಿಗೆ
6,Lippe::N,тӹрвӹ,ತುಟಿ
7,Wange::N,шӹргӹ,ಗಲ್ಲ
8,Gesicht::N,лицӓ,ಮುಖ
9,Stirn::N,лепкӓ,ಹಣೆ
10,Haar::N,ӱп,ಕೂದಲು
11,Schnurrbart::N,öрш,ಮೀಸೆ
12,Bart::N,пандаш,ಗಡ್ಡ
13,Kinn::N,онгылаш,ಗದ್ದ
14,Kiefer[Anatomie]::N,пӱ арата,ದವಡೆ
15,Kehle::N,логер,ಗಂಟಲು
16,Hals::N,шӱ,ಕೊರಳು
17,Genick::N,ланга,ಹಿಂಗತ್ತು
18,Kopf::N,вуй,ತಲೆ
19,Rücken::N,туп,ಬೆನ್ನು
20,Bauch::N,мӹшкӹр,ಹೊಟ್ಟೆ
21,Nabel::N,кӹлӹмдӹ,ಹೊಕ್ಕುಳು
22,Busen::N,цӹзӹ,ಸ್ತನ
23,Brust::N,мел,ಎದೆ
24,Schulter::N,ӹнгӹжӓ,ಭುಜ
25,Arm::N,кид,ತೋಳು
26,Ellenbogen::N,кӹнервуй,ಮೊಣಕೈ
27,Hand::N,лапа,ಕೈ
28,Handfläche::N,кид лапа,ಅಂಗೈ
29,Finger::N,парня,ಕೈಬೆರಳು
30,Fingernagel::N,кӹч,ಉಗುರು
31,Nagel[Anatomie]::N,кӹч,ಉಗುರು
32,Zeh::N,парня,ಕಾಲ್ಬೆರಳು
33,Fuß::N,ял лапа,ಪಾದ
34,Ferse::N,ялгавал,ಹಿಮ್ಮಡಿ
35,Ferse::N,ял кавал,ಹಿಮ್ಮಡಿ
36,Knie::N,пылвуй,ಮಂಡಿ
37,Oberschenkel::N,ӓрдӹ,ತೊಡೆ
38,Bein::N,ял,ಕಾಲು
39,Körper::N,монгыр,ದೇಹ
40,Haut::N,кавашты,ಚರ್ಮ
41,Blut::N,вӹр,ರಕ್ತ
42,Ader::N,вӹршӓр,ನರ
43,Sehne::N,кукшышӱн,ನರ
44,Knochen::N,лу,ಮೂಳೆ
45,Gehirn::N,вим,ಮಿದುಳು
46,Herz::N,шӱм,ಹೃದಯ
47,Magen::N,шӱм,ಉದರ
48,Leber::N,мокш,ಯಕೃತ್ತು
49,Atem::N,шӱлӹш,ಉಸಿರು
50,Hunger::N,шужымаш,ಹಸಿವು
51,Träne::N,сӹнзӓвӹд,ಕಣ್ಣೀರು
52,Geschmack::N,тот,ರುಚಿ
53,Geruch::N,пыш,ವಾಸನೆ
54,Schlaf::N,ом,ನಿದ್ರೆ
55,Traum::N,ом,ಕನಸು
56,Himmel::N,пӹлгом,ಬಾನು
57,Sonne::N,кечӹ,ಸೂರ್ಯ
58,Mond::N,тӹлзӹ,ಚಂದ್ರ
59,Stern::N,шӹдӹр,ಚುಕ್ಕಿ
60,Luft::N,юж,ವಾಯು
61,Luft::N,воздух,ವಾಯು
62,Wind::N,мардеж,ಗಾಳಿ
63,Welle::N,ко,ಅಲೆ
64,Welle::N,коэ,ಅಲೆ
65,Wasser::N,вӹд,ನೀರು
66,Stein::N,кӱ,ಕಲ್ಲು
67,Boden::N,рок,ನೆಲ
68,Erde::N,свет,ಭೂಮಿ
69,Staub::N,пырак,ದೂಳು
70,Rauch::N,шӹкш,ಹೊಗೆ
71,Funke::N,ип,ಕಿಡಿ
72,Funke::N,тылип,ಕಿಡಿ
73,Feuer::N,тыл,ಬೆಂಕಿ
74,Licht::N,соты,ಬೆಳಕು
75,Licht::N,валгыды,ಬೆಳಕು
76,Schatten::N,ӹмӹл,ನೆರಳು
77,Wetter::N,игечӹ,ಹವ
78,Nebel::N,тӹтӹрӓ,ಮಂಜು
79,Wolke::N,пӹл,ಮೋಡ
80,Regen::N,юр,ಮಳೆ
81,Schnee::N,лым,ಹಿಮ
82,Eis::N,и,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,ӱштӹ,ಮಂಜು
84,Kälte::N,ӱштӹ,ಹಿಮ
85,Hitze::N,шокшы,ಉಷ್ಣ
86,Raureif::N,пöрш,ಇಬ್ಬನಿ
87,Regenbogen::N,шанавӹл,ಇಂದ್ರಚಾಪ
88,Donner::N,хӹдӹртӹш,ಗುಡುಗು
89,Strömung::N,йогы,ಪ್ರವಾಹ
90,Tropfen::N,капльы,ತೊಟ್ಟು
91,Tropfen::N,капльык,ತೊಟ್ಟು
92,Schaum::N,шонг,ನೊರೆ
93,Schmutz::N,лявӹрӓ,ಕಸ
94,See::N,йӓр,ಸರೋವರ
95,Sumpf::N,лӱкӹ,ಜೌಗುಸ್ಥಳ
96,Moor::N,куп,ಬಂಜರು ಭೂಮಿ
97,Wiese::N,алык,ಹುಲ್ಲುಗಾವಲು
98,Wald::N,шӹргӹ,ಕಾಡು
99,Hügel::N,пӱгӹрикӓ,ಗುಡ್ಡೆ
100,Anhöhe::N,кӱкшикӓ,ದಿಬ್ಬ
101,Berg::N,кырык,ಮಲೆ
102,Berg::N,кырык,ಪರ್ವತ
103,Gipfel::N,неркӓ,ಶೃಂಗ
104,Höhle::N,ы́раж,ಗುಹೆ
105,Abhang::N,полом,ಇಳಿಜಾರು
106,Quelle::N,вӹдсӹнзӓ,ಮೂಲ
107,Bach::N,ӓнгӹр,ತೊರೆ
108,Fluss::N,вӹд,ನದಿ
109,Ufer::N,сир,ತೀರ
110,Küste::N,сир,ದಂಡೆ
111,Festland::N,мӱлӓндӹ,ಭೂಮಿ
112,Meer::N,тангыж,ಕಡಲು
113,Bucht::N,вӹдъял,ಖಾರಿ
114,Insel::N,острок,ದ್ವೀಪ
115,Blume::N,пеледӹш,ಸುಮ
116,Gras::N,шуды,ಹುಲ್ಲು
117,Wurzel::N,важ,ಬೇರು
118,Baum::N,пушӓнгӹ,ಮರ
119,Stamm::N,пушӓнгӹ тӹнг,ಕಾಂಡ
