,Concept_ID,hu,br
0,Auge::N,szem,lagad
1,Ohr::N,fül,skouarn
2,Nase::N,orr,fri
3,Mund::N,száj,genoù
4,Zahn::N,fog,dant
5,Zunge::N,nyelv,teod
6,Lippe::N,ajak,muzell
7,Wange::N,orca,chot
8,Gesicht::N,arc,dremm
9,Stirn::N,homlok,tal
10,Haar::N,haj,blev
11,Schnurrbart::N,bajusz,mourenn
12,Bart::N,szakáll,barv
13,Kinn::N,áll,groñj
14,Kiefer[Anatomie]::N,állkapocs,javed
15,Kehle::N,gége,gouzoug
16,Kehle::N,torok,gouzoug
17,Hals::N,nyak,gouzoug
18,Genick::N,tarkó,choug
19,Kopf::N,fő,penn
20,Kopf::N,fej,penn
21,Rücken::N,hát,kein
22,Bauch::N,has,kof
23,Nabel::N,köldök,begel
24,Busen::N,mell,bronn
25,Busen::N,kebel,bronn
26,Brust::N,mell,bruched
27,Schulter::N,váll,skoaz
28,Arm::N,kar,brec'h
29,Ellenbogen::N,könyök,ilin
30,Hand::N,kéz,dorn
31,Handfläche::N,tenyér,palv
32,Finger::N,ujj,biz
33,Fingernagel::N,köröm,ivin
34,Nagel[Anatomie]::N,köröm,ivin
35,Zeh::N,lábujj,biz-troad
36,Fuß::N,láb,troad
37,Ferse::N,sarok,seul
38,Knie::N,térd,glin
39,Oberschenkel::N,comb,morzhed
40,Bein::N,láb,gar
41,Bein::N,lábszár,gar
42,Körper::N,test,korf
43,Haut::N,bőr,kroc'hen
44,Blut::N,vér,gwad
45,Ader::N,ér,gwazhi
46,Sehne::N,ín,stir
47,Knochen::N,csont,askorn
48,Gehirn::N,agy,empenn
49,Gehirn::N,agyvelő,empenn
50,Herz::N,szív,kalon
51,Magen::N,gyomor,stomog
52,Leber::N,máj,avu
53,Atem::N,lehelet,anal
54,Atem::N,lélegzet,anal
55,Hunger::N,éhség,naon
56,Träne::N,könny,daer
57,Geschmack::N,íz,blaz
58,Geruch::N,szag,c'hwezh
59,Schlaf::N,álom,kousked
60,Schlaf::N,alvás,kousked
61,Traum::N,álom,hune
62,Himmel::N,ég,oabl
63,Himmel::N,menny,oabl
64,Sonne::N,nap,heol
65,Mond::N,hold,loar
66,Stern::N,csillag,steredenn
67,Luft::N,levegő,aer
68,Wind::N,szél,avel
69,Welle::N,hullám,houlenn
70,Wasser::N,víz,dour
71,Stein::N,kő,maen
72,Boden::N,föld,tachenn
73,Boden::N,talaj,tachenn
74,Erde::N,föld,douar
75,Staub::N,por,poultr
76,Rauch::N,füst,moged
77,Funke::N,szikra,ful
78,Feuer::N,tűz,tan
79,Licht::N,fény,gouloù
80,Schatten::N,árnyék,disheol
81,Wetter::N,idő,amzer
82,Wetter::N,időjárás,amzer
83,Nebel::N,köd,brumenn
84,Wolke::N,felhő,koumoulenn
85,Regen::N,eső,glav
86,Schnee::N,hó,erc'h
87,Eis::N,jég,skorn
88,Frost::N,fagy,rev
89,Kälte::N,hideg,yen
90,Hitze::N,hő,tommder
91,Hitze::N,hőség,tommder
92,Raureif::N,zúzmara,frim
93,Regenbogen::N,szivárvány,gwareg-ar-glav
94,Donner::N,dörgés,kurun
95,Donner::N,mennydörgés,kurun
96,Strömung::N,áramlat,red
97,Tropfen::N,csepp,bannac'h
98,Tropfen::N,csepp,takenn
99,Schaum::N,hab,spoum
100,Schaum::N,tajték,spoum
101,Schmutz::N,piszok,fank
102,See::N,tó,lenn
103,Sumpf::N,mocsár,gwern
104,Moor::N,láp,taouarc'heg
105,Wiese::N,rét,prad
106,Wiese::N,mező,prad
107,Wald::N,erdő,koad
108,Hügel::N,domb,torgenn
109,Anhöhe::N,magaslat,run
110,Berg::N,hegy,menez
111,Gipfel::N,csúcs,barr
112,Höhle::N,barlang,kav
113,Abhang::N,lejtő,naou
114,Quelle::N,forrás,feunteun
115,Bach::N,patak,gwazh
116,Fluss::N,folyó,stêr
117,Ufer::N,part,ribl
118,Küste::N,tengerpart,aod
119,Festland::N,szárazföld,douar
120,Meer::N,tenger,mor
121,Bucht::N,öböl,mor-bihan
122,Insel::N,sziget,enez
123,Blume::N,virág,bleunienn
124,Gras::N,fű,geot
125,Wurzel::N,gyökér,gwrizienn
126,Baum::N,fa,gwezenn
127,Stamm::N,tő,kef
128,Stamm::N,törzs,kef
129,Rinde::N,kéreg,rusk
130,Ast::N,ág,barr
131,Zweig::N,gally,bod
132,Blatt::N,levél,delienn
133,Birke::N,nyír,bezvenn
134,Kiefer[Baum]::N,fenyő,pinenn
135,Weide[Baum]::N,fűz,halegenn
136,Tanne::N,fenyő,sapenn
