,Concept_ID,et,os
0,Auge::N,silm,цӕст
1,Ohr::N,kõrv,хъус
2,Nase::N,nina,фындз
3,Mund::N,suu,дзых
4,Zahn::N,hammas,дӕндаг
5,Zunge::N,keel,ӕвзаг
6,Lippe::N,huul,был
7,Wange::N,põsk,рус
8,Wange::N,põsk,уадул
9,Wange::N,põsk,ӕхсӕрфарс
10,Gesicht::N,nägu,цӕсгом
11,Stirn::N,otsmik,ных
12,Haar::N,juus,хил
13,Schnurrbart::N,vurrud,рихи
14,Schnurrbart::N,vuntsid,рихи
15,Bart::N,habe,зачъе
16,Kinn::N,lõug,роцъо
17,Kiefer[Anatomie]::N,lõualuu,ӕфсӕр
18,Kehle::N,kõri,хъуыр
19,Hals::N,kael,къубал
20,Genick::N,kukal,къӕбут
21,Kopf::N,pea,сӕр
22,Rücken::N,selg,фӕсонтӕ
23,Bauch::N,kõht,гуыбын
24,Nabel::N,naba,бикъ
25,Busen::N,rind,дзидзи
26,Brust::N,rind,риу
27,Schulter::N,õlg,уӕхск
28,Arm::N,käsivars,цонг
29,Ellenbogen::N,küünarnukk,рæмбын
30,Hand::N,käsi,къух
31,Handfläche::N,pihk,армытъӕпӕн
32,Finger::N,sõrm,ӕнруылдз
33,Fingernagel::N,küüs,ных
34,Nagel[Anatomie]::N,küüs,ных
35,Zeh::N,varvas,къух
36,Fuß::N,jalg,фад
37,Ferse::N,kand,зӕвӕт
38,Knie::N,põlv,уӕраг
39,Oberschenkel::N,reis,агъд
40,Bein::N,jalg,зӕнг
41,Körper::N,ihu,буар
42,Körper::N,keha,буар
43,Haut::N,nahk,царм
44,Blut::N,veri,туг
45,Ader::N,veen,дадзин
46,Ader::N,veen,тугдадзин
47,Sehne::N,kõõlus,хъиутæ
48,Sehne::N,kõõlus,нуар
49,Knochen::N,luu,стӕг
50,Gehirn::N,aju,магъз
51,Herz::N,süda,зӕрдӕ
52,Magen::N,magu,ахсӕн
53,Leber::N,maks,игæр
54,Atem::N,hingeõhk,улӕфт
55,Atem::N,hingamine,улӕфт
56,Hunger::N,nälg,стонг
57,Träne::N,pisar,цæссыг
58,Geschmack::N,maitse,ад
59,Geruch::N,lõhn,смаг
60,Schlaf::N,uni,хуыссӕг
61,Traum::N,unenägu,фын
62,Himmel::N,taevas,арв
63,Himmel::N,taevas,уӕларв
64,Sonne::N,päike,хур
65,Mond::N,kuu,мӕй
66,Stern::N,täht,стъалы
67,Luft::N,õhk,уӕлдӕф
68,Wind::N,tuul,дымгӕ
69,Welle::N,laine,уылӕн
70,Wasser::N,vesi,дон
71,Stein::N,kivi,дур
72,Boden::N,maa,зӕхх
73,Boden::N,pinnas,зӕхх
