,Concept_ID,mn,vep
0,Auge::N,нүд,sil'm
1,Ohr::N,чих,korv
2,Nase::N,хамар,nena
3,Mund::N,ам,su
4,Zahn::N,шүд,pi
5,Zahn::N,шүд,hambaz
6,Zunge::N,хэл,kel'
7,Lippe::N,уруул,hul'
8,Wange::N,хацар,modpolišk
9,Gesicht::N,царай,mod
10,Gesicht::N,нүүр,mod
11,Stirn::N,дух,oc
12,Haar::N,үс,tuk
13,Haar::N,үс,hibuz
14,Schnurrbart::N,дээд сахал,habinod
15,Schnurrbart::N,живэр сахал,habinod
16,Bart::N,сахал,bard
17,Kinn::N,эрүү,löug
18,Kiefer[Anatomie]::N,эрүү,hambazlu
19,Kehle::N,хоолой,kurk
20,Hals::N,хүзүү,kagl
21,Genick::N,шил,tagarai
22,Genick::N,хүзүү,tagarai
23,Kopf::N,толгой,pä
24,Rücken::N,ар,sel'g
25,Rücken::N,нуруу,sel'g
26,Bauch::N,хэвлий,vac
27,Bauch::N,хэвлий,koht
28,Bauch::N,гэдэс,vac
29,Bauch::N,гэдэс,koht
30,Nabel::N,хүйс,naba
31,Busen::N,хөх,niža
32,Brust::N,цээж,rind
33,Schulter::N,мөр,oug
34,Schulter::N,бугалга,oug
35,Arm::N,гар,käzi
36,Ellenbogen::N,тохой,künambruz
37,Hand::N,гар,käzi
38,Hand::N,гар,käzitera
39,Hand::N,алга,käzi
40,Hand::N,алга,käzitera
41,Handfläche::N,алга,kämen
42,Finger::N,хуруу,sor'm
43,Fingernagel::N,хурууны хумс,künz'
44,Nagel[Anatomie]::N,хумс,künz'
45,Zeh::N,хуруу,barbaz
46,Fuß::N,хөл,jaug
47,Ferse::N,өсгий,kand
48,Knie::N,өвдөг,komb
49,Knie::N,өвдөг,pol'v
50,Oberschenkel::N,гуя,riiže
51,Bein::N,хөл,jaug
52,Körper::N,бие,hibj
53,Haut::N,арьс,nahk
54,Blut::N,цус,čak
55,Blut::N,цус,veri
56,Ader::N,судас,son'
57,Sehne::N,бүлх,jände
58,Sehne::N,шандас,jände
59,Knochen::N,яс,lu
60,Gehirn::N,тархи,aivod
61,Herz::N,зүрх,südäin
62,Magen::N,ходоод,südäikoht
63,Leber::N,элэг,maks
64,Atem::N,амьсгаа,hengaiduz
65,Hunger::N,өлсгөлөн,näl'g
66,Träne::N,нулимс,kündal'
67,Geschmack::N,амт,magu
68,Geruch::N,үнэр,haju
69,Schlaf::N,нойр,uni
70,Traum::N,зүүд,unikuva
71,Himmel::N,тэнгэр,taivaz
72,Himmel::N,огторгуй,taivaz
73,Sonne::N,нар,päiväine
74,Mond::N,сар,kudmaine
75,Stern::N,од,tähtaz
76,Luft::N,агаар,il'm
77,Wind::N,салхи,döl
78,Wind::N,салхи,tullei
79,Welle::N,долгио,ald
80,Welle::N,долгио,laineh
81,Welle::N,давалгаа,ald
82,Welle::N,давалгаа,laineh
83,Wasser::N,ус,vezi
84,Stein::N,чулуу,kivi
85,Boden::N,хөрс,ma
86,Boden::N,хөрс,pohj
87,Erde::N,газар,ma
88,Erde::N,шороо,ma
89,Staub::N,тоос,pölü
90,Rauch::N,утаа,savu
91,Funke::N,оч,kibin
92,Feuer::N,гал,lämoi
93,Licht::N,гэрэл,vauktuz
94,Licht::N,гэгээ,vauktuz
95,Schatten::N,сүүдэр,pil'vez
96,Schatten::N,сүүдэр,kuvahaine
97,Wetter::N,тэнгэр,sä
98,Wetter::N,цаг уур,sä
99,Nebel::N,будан,sumeg
100,Wolke::N,үүл,pil'v
101,Regen::N,бороо,vihm
102,Schnee::N,цас,lumi
103,Eis::N,мөс,jä
104,Frost::N,хүйт,hala
105,Frost::N,хүйт,pakaine
106,Kälte::N,хүйт,vilu
107,Hitze::N,халуун,räk
108,Raureif::N,цан,hüde
109,Raureif::N,хяруу,hüde
110,Regenbogen::N,солонго,jumalanbembel'
111,Donner::N,тэнгэрийн дуу,juru
112,Donner::N,тэнгэрийн дуу,jumalanjuru
113,Strömung::N,урсгал,joksmuz
114,Tropfen::N,дусал,tilkuine
115,Schaum::N,хөөс,vaht
116,Schmutz::N,хир,redu
117,Schmutz::N,хир,pačak
118,Schmutz::N,шавхай,redu
119,Schmutz::N,шавхай,pačak
120,See::N,нуур,järv
121,Sumpf::N,намаг,so
122,Sumpf::N,балчиг,so
123,Moor::N,хүлрийн намаг,so
124,Wiese::N,нуга,nit
125,Wald::N,ой,mec
126,Hügel::N,болдог,kukaz
127,Anhöhe::N,гүвээ,kukaz
128,Berg::N,уул,mägi
129,Gipfel::N,орой,ladv
130,Gipfel::N,оргил,ladv
131,Höhle::N,агуй,mägionduz
132,Abhang::N,хүр,paute
133,Quelle::N,булаг,lähte
134,Bach::N,горхи,oja
135,Fluss::N,гол,jogi
136,Fluss::N,мөрөн,jogi
137,Ufer::N,эрэг,rand
138,Küste::N,эрэг,randišt
139,Festland::N,хуурай газар,kuivma
140,Meer::N,далай,meri
141,Meer::N,тэнгис,meri
142,Bucht::N,булан,laht
143,Bucht::N,далайн тохой,laht
144,Insel::N,арал,sar'
145,Blume::N,цэцэг,änik
146,Gras::N,өвс,hein
147,Gras::N,ногоо,hein
148,Wurzel::N,үндэс,jur'
149,Baum::N,мод,pu
150,Stamm::N,иш,tüvi
151,Stamm::N,гуалин,tüvi
152,Rinde::N,холтос,kor'
153,Ast::N,гишүү,oks
154,Zweig::N,салаа,oks
155,Zweig::N,салаа,barb
156,Blatt::N,навч,lehtez
157,Birke::N,хус,koiv
158,Kiefer[Baum]::N,нарс,pedai
159,Weide[Baum]::N,уд,raid
160,Weide[Baum]::N,бургас,raid
161,Tanne::N,гачуур,kuz'
162,Horn::N,эвэр,sar'v
163,Feder::N,өд,höuneh
164,Fell::N,арьс,nahk
165,Flügel::N,жигүүр,suug
166,Flügel::N,далавч,suug
167,Klaue::N,савар,künz'
168,Klaue::N,хумс,künz'
169,Kralle::N,савар,künz'
170,Schwanz::N,сүүл,händ
171,Ei::N,өндөг,muna
172,Nest::N,үүр,peza
173,Bau::N,нүх,uru
174,Bau::N,элүү,uru
175,Tier::N,амьтан,živat
176,Tier::N,адгуус,živat
177,Herde::N,сүрэг,kogo
178,Kuh::N,үнээ,lehm
179,Bulle::N,бух,härg
180,Pferd::N,морь,hebo
181,Pferd::N,адуу,hebo
182,Schaf::N,хонь,lambaz
183,Schwein::N,гахай,siga
184,Hund::N,нохой,koir
185,Katze::N,муур,kaži
186,Katze::N,мигуй,kaži
187,Bär::N,баавгай,kondi
188,Eichhörnchen::N,хэрэм,orav
189,Elch::N,хандгай,hirb'
190,Fuchs::N,үнэг,reboi
191,Hase::N,туулай,jäniš
192,Maus::N,хулгана,hir'
193,Wolf::N,чоно,händikaz
194,Vogel::N,шувуу,lind
195,Schwarm::N,сүрэг,parveh
196,Huhn::N,тахиа,kana
197,Hahn::N,эр тахиа,kukoi
198,Gans::N,галуу,hanh'
199,Adler::N,бүргэд,orl
200,Ente::N,нугас,sorz
201,Eule::N,ууль,hir'pulo
202,Kranich::N,тогоруу,kurg
203,Krähe::N,хэрээ,variš
204,Kuckuck::N,хөхөө,kägi
205,Schwan::N,хун,joucen
206,Fisch::N,загас,kala
207,Barsch::N,алгана,ahven
208,Hecht::N,цурхай,haug'
209,Schlange[Tier]::N,могой,kü
210,Schlange[Tier]::N,могой,mado
211,Wurm::N,өт,mado
212,Wurm::N,хорхой,mado
213,Spinne::N,аалз,hämähouk
214,Ameise::N,шоргоолж,murahaine
215,Laus::N,бөөс,täi
216,Mücke::N,шумуул,säs'k
217,Fliege::N,ялаа,kärbhaine
218,Schmetterling::N,эрвээхэй,lipkaine
219,Beere::N,жимсгэнэ,marj
220,Apfel::N,алим,jablok
221,Pilz::N,мөөг,sen'
222,Pilz::N,мөөг,babuk
223,Zwiebel::N,сонгино,lauk
224,Saat::N,тариа,semned
225,Korn::N,үр,jüvä
226,Korn::N,үр,vill'
227,Korn::N,мөхлөг,jüvä
228,Korn::N,мөхлөг,vill'
229,Heu::N,өвс,hein
230,Schale::N,хальс,kor'
231,Grube::N,алам,kop
232,Grube::N,нүх,kop
233,Falle::N,хавх,rida
234,Falle::N,занга,rida
235,Schlinge::N,урхи,rihm
236,Spur::N,мөр,jäl'g
237,Asche::N,үнс,tuhk
238,Dreck::N,хир,redu
239,Dreck::N,хир,pačak
240,Eisen::N,төмөр,raud
241,Gold::N,алт,kuld
242,Silber::N,мөнгө,hobed
243,Kohle::N,нүүрс,hil'
244,Glas::N,шил,stökol
245,Lehm::N,шавар,savi
246,Sand::N,элс,lete
247,Mensch::N,хүн,mez'
248,Mensch::N,хүн,ristit
249,Mann::N,эр,mez'
250,Mann::N,эрэгтэй,mez'
251,Frau::N,эмэгтэй,naine
252,Frau::N,хатагтай,naine
253,Kind::N,хүүхэд,laps'
254,Junge::N,хүү,poig
255,Junge::N,хүү,prihaine
256,Mädchen::N,охин,neičukaine
257,Mädchen::N,бүсгүй,neičukaine
258,Familie::N,айл,kanz
259,Familie::N,айл,pereh
260,Großvater::N,өвгөн аав,ded
261,Großmutter::N,эмэг эх,bab
262,Großmutter::N,эмгээ,bab
263,Eltern::N,эцэг эх,vanhembad
264,Eltern::N,эцэг эх,kazvatajad
265,Vater::N,аав,tat
266,Vater::N,эцэг,tat
267,Mutter::N,эх,mam
268,Mutter::N,ээж,mam
269,Sohn::N,хүү,poig
270,Tochter::N,охин,tütär
271,Bruder::N,ах,veik
272,Bruder::N,ах,vell'
273,Bruder::N,дүү,veik
274,Bruder::N,дүү,vell'
275,Schwester::N,эгч,čiža
276,Schwester::N,эгч,sizar
277,Schwester::N,охин дүү,čiža
278,Schwester::N,охин дүү,sizar
279,Onkel::N,авга ах,däd'
280,Onkel::N,нагац ах,däd'
