,Concept_ID,pl,ku
0,Auge::N,oko,çav
1,Ohr::N,ucho,guh
2,Nase::N,nos,bêvil
3,Mund::N,usta,dev
4,Zahn::N,ząb,didan
5,Zunge::N,język,ziman
6,Lippe::N,warga,lêv
7,Wange::N,policzek,dêm
8,Wange::N,policzek,hinarik
9,Gesicht::N,twarz,rû
10,Stirn::N,czoło,enî
11,Haar::N,włos,por
12,Haar::N,włosy,por
13,Schnurrbart::N,wąsy,simbêl
14,Bart::N,broda,rih
15,Kinn::N,podbródek,zenî
16,Kiefer[Anatomie]::N,czeluść,arguşk
17,Kehle::N,gardło,qirik
18,Hals::N,szyja,stû
19,Hals::N,szyja,qirik
20,Genick::N,kark,stû
21,Kopf::N,głowa,serî
22,Rücken::N,plecy,pişt
23,Rücken::N,grzbiet,pişt
24,Bauch::N,brzuch,ûr
25,Bauch::N,brzuch,zik
26,Nabel::N,pępek,navik
27,Busen::N,biust,sîng
28,Brust::N,pierś,sîng
29,Schulter::N,bark,mil
30,Schulter::N,ramię,mil
31,Arm::N,ręka,çepil
32,Arm::N,ramię,çepil
33,Ellenbogen::N,łokieć,enîşk
34,Hand::N,dłoń,dest
35,Handfläche::N,dłoń,kefadest
36,Finger::N,palec,tilî
37,Fingernagel::N,paznokieć,neynuk
38,Nagel[Anatomie]::N,paznokieć,bizmar
39,Zeh::N,palec,tilî linga
40,Fuß::N,stopa,ling
41,Ferse::N,pięta,pahnî
42,Knie::N,kolano,kabok
43,Oberschenkel::N,udo,rahn
44,Bein::N,noga,çip
45,Körper::N,ciało,laş
46,Körper::N,ciało,gowde
47,Haut::N,skóra,çerm
48,Blut::N,krew,xwîn
49,Ader::N,żyła,reh
50,Sehne::N,ścięgno,reh
51,Knochen::N,kość,hestî
52,Gehirn::N,mózg,mêjî
53,Herz::N,serce,dil
54,Magen::N,żołądek,navêş
55,Leber::N,wątroba,kezeb
56,Atem::N,dech,hilm
57,Atem::N,oddech,hilm
58,Hunger::N,głód,birçîtî
59,Träne::N,łza,hêstir
60,Geschmack::N,smak,tam
61,Geruch::N,woń,bêhn
62,Geruch::N,zapach,bêhn
63,Schlaf::N,sen,xew
64,Traum::N,sen,xewn
65,Himmel::N,niebo,ezman
66,Sonne::N,słońce,roj
67,Mond::N,księżyc,heyv
68,Stern::N,gwiazda,stêrk
69,Luft::N,powietrze,ba
70,Wind::N,wiatr,ba
71,Welle::N,fala,şewl
72,Wasser::N,woda,av
73,Stein::N,kamień,kevir
74,Boden::N,grunt,herd
75,Erde::N,ziemia,ax
76,Staub::N,pył,toz
77,Staub::N,kurz,toz
78,Rauch::N,dym,dû
79,Funke::N,iskra,çirûşk
80,Feuer::N,ogień,agir
81,Licht::N,światło,ronahî
82,Schatten::N,cień,sî
83,Wetter::N,pogoda,hewa
84,Nebel::N,mgła,mij
85,Wolke::N,obłok,ewr
86,Wolke::N,chmura,ewr
87,Regen::N,deszcz,baran
88,Schnee::N,śnieg,berf
89,Eis::N,lód,qeşa
90,Frost::N,mróz,xûsik
91,Kälte::N,chłód,serma
92,Hitze::N,gorąco,germayî
93,Raureif::N,szron,şext
94,Regenbogen::N,tęcza,heftreng
95,Donner::N,grzmot,gire-gir
96,Strömung::N,nurt,şewl
97,Tropfen::N,kropla,dilop
98,Schaum::N,piana,kef
99,Schmutz::N,brud,gemar
100,See::N,jezioro,gol
101,Sumpf::N,bagno,hezek
102,Moor::N,bagno,mafêl
103,Wiese::N,łąka,sûrik
104,Wald::N,las,çiya
105,Wald::N,las,daristan
106,Hügel::N,pagórek,gir
107,Anhöhe::N,wzgórze,sere gir
108,Berg::N,góra,kaş
109,Gipfel::N,szczyt,sere gir
110,Gipfel::N,wierzchołek,sere gir
111,Höhle::N,pieczara,şikeft
112,Abhang::N,stok,kaş
113,Abhang::N,zbocze,kaş
114,Quelle::N,zdrój,kanî
115,Quelle::N,źródło,kanî
116,Bach::N,potok,çem
117,Bach::N,strumień,çem
118,Fluss::N,rzeka,çem
119,Fluss::N,rzeka,rûbar
120,Ufer::N,brzeg,kevî
121,Küste::N,wybrzeże,berav
122,Festland::N,ląd,bejahî
123,Meer::N,morze,behr
124,Bucht::N,zatoka,derav
125,Insel::N,wyspa,girav
126,Blume::N,kwiat,kulînk
127,Gras::N,trawa,giha
128,Wurzel::N,korzeń,reh
129,Baum::N,drzewo,dar
130,Stamm::N,pień,bavik
131,Rinde::N,kora,qaqil
132,Ast::N,gałąź,gulî
133,Zweig::N,gałąź,şax
134,Blatt::N,liść,pel
135,Birke::N,brzoza,dara sipî
136,Kiefer[Baum]::N,sosna,dara bî
137,Weide[Baum]::N,wierzba,dara belalûk
138,Tanne::N,jodła,merx
139,Horn::N,róg,strô
140,Feder::N,pióro,pîrtîk
141,Fell::N,futro,heyar
142,Flügel::N,skrzydło,per
143,Klaue::N,szpon,napîk
144,Kralle::N,pazur,dinik
145,Kralle::N,pazur,dirnax
146,Schwanz::N,ogon,dûv
147,Ei::N,jajko,hêk
148,Nest::N,gniazdo,hêlîn
149,Bau::N,nora,avahî
150,Tier::N,zwierzę,heywan
151,Herde::N,stado,hoz
152,Herde::N,trzoda,hoz
153,Kuh::N,krowa,çêlek
154,Bulle::N,byk,ga
155,Pferd::N,koń,hesp
156,Schaf::N,owca,mîh
157,Schwein::N,świnia,beraz
158,Hund::N,pies,seh
