,Concept_ID,kn,ru
0,Auge::N,ಕಣ್ಣು,глаз
1,Ohr::N,ಕಿವಿ,ухо
2,Nase::N,ಮೂಗು,нос
3,Mund::N,ಬಾಯಿ,рот
4,Zahn::N,ಹಲ್ಲು,зуб
5,Zunge::N,ನಾಲಿಗೆ,язык
6,Lippe::N,ತುಟಿ,губа
7,Wange::N,ಗಲ್ಲ,щека
8,Gesicht::N,ಮುಖ,лицо
9,Stirn::N,ಹಣೆ,лоб
10,Haar::N,ಕೂದಲು,волос
11,Haar::N,ಕೂದಲು,волосы
12,Schnurrbart::N,ಮೀಸೆ,ус
13,Schnurrbart::N,ಮೀಸೆ,усы
14,Bart::N,ಗಡ್ಡ,борода
15,Kinn::N,ಗದ್ದ,подбородок
16,Kiefer[Anatomie]::N,ದವಡೆ,челюсть
17,Kehle::N,ಗಂಟಲು,горло
18,Hals::N,ಕೊರಳು,шея
19,Genick::N,ಹಿಂಗತ್ತು,затылок
20,Kopf::N,ತಲೆ,голова
21,Rücken::N,ಬೆನ್ನು,спина
22,Bauch::N,ಹೊಟ್ಟೆ,живот
23,Nabel::N,ಹೊಕ್ಕುಳು,пупок
24,Busen::N,ಸ್ತನ,женская грудь
25,Brust::N,ಎದೆ,грудь
26,Schulter::N,ಭುಜ,плечо
27,Arm::N,ತೋಳು,рука
28,Ellenbogen::N,ಮೊಣಕೈ,локоть
29,Hand::N,ಕೈ,кисть
30,Handfläche::N,ಅಂಗೈ,ладонь
31,Finger::N,ಕೈಬೆರಳು,палец
32,Fingernagel::N,ಉಗುರು,ноготь
33,Nagel[Anatomie]::N,ಉಗುರು,ноготь
34,Zeh::N,ಕಾಲ್ಬೆರಳು,палец
35,Fuß::N,ಪಾದ,ступня
36,Ferse::N,ಹಿಮ್ಮಡಿ,пята
37,Ferse::N,ಹಿಮ್ಮಡಿ,пятка
38,Knie::N,ಮಂಡಿ,колено
39,Oberschenkel::N,ತೊಡೆ,бедро
40,Bein::N,ಕಾಲು,нога
41,Körper::N,ದೇಹ,тело
42,Haut::N,ಚರ್ಮ,кожа
43,Blut::N,ರಕ್ತ,кровь
44,Ader::N,ನರ,вена
45,Ader::N,ನರ,сосуд
46,Sehne::N,ನರ,жила
47,Sehne::N,ನರ,тетива
48,Sehne::N,ನರ,сухожилие
49,Knochen::N,ಮೂಳೆ,кость
50,Gehirn::N,ಮಿದುಳು,мозг
51,Herz::N,ಹೃದಯ,сердце
52,Magen::N,ಉದರ,желудок
53,Leber::N,ಯಕೃತ್ತು,печень
54,Atem::N,ಉಸಿರು,дух
55,Atem::N,ಉಸಿರು,дыхание
56,Hunger::N,ಹಸಿವು,голод
57,Träne::N,ಕಣ್ಣೀರು,слеза
58,Geschmack::N,ರುಚಿ,вкус
59,Geruch::N,ವಾಸನೆ,запах
60,Schlaf::N,ನಿದ್ರೆ,сон
61,Traum::N,ಕನಸು,сновидение
62,Himmel::N,ಬಾನು,небо
63,Sonne::N,ಸೂರ್ಯ,солнце
64,Mond::N,ಚಂದ್ರ,луна
65,Stern::N,ಚುಕ್ಕಿ,звезда
66,Luft::N,ವಾಯು,воздух
67,Wind::N,ಗಾಳಿ,ветер
68,Welle::N,ಅಲೆ,волна
69,Wasser::N,ನೀರು,вода
70,Stein::N,ಕಲ್ಲು,камень
71,Boden::N,ನೆಲ,почва
72,Erde::N,ಭೂಮಿ,земля
73,Staub::N,ದೂಳು,пыль
74,Rauch::N,ಹೊಗೆ,дым
75,Funke::N,ಕಿಡಿ,искра
76,Feuer::N,ಬೆಂಕಿ,огонь
77,Licht::N,ಬೆಳಕು,свет
78,Schatten::N,ನೆರಳು,тень
79,Wetter::N,ಹವ,погода
80,Nebel::N,ಮಂಜು,туман
81,Wolke::N,ಮೋಡ,облако
82,Regen::N,ಮಳೆ,дождь
83,Schnee::N,ಹಿಮ,снег
84,Eis::N,ಮಂಜುಗಡ್ಡೆ,лед
85,Frost::N,ಮಂಜು,мороз
86,Kälte::N,ಹಿಮ,холод
87,Hitze::N,ಉಷ್ಣ,жара
88,Raureif::N,ಇಬ್ಬನಿ,иней
89,Regenbogen::N,ಇಂದ್ರಚಾಪ,радуга
90,Donner::N,ಗುಡುಗು,гром
91,Strömung::N,ಪ್ರವಾಹ,течение
92,Tropfen::N,ತೊಟ್ಟು,капля
93,Schaum::N,ನೊರೆ,пена
94,Schmutz::N,ಕಸ,грязь
95,See::N,ಸರೋವರ,озеро
96,Sumpf::N,ಜೌಗುಸ್ಥಳ,топь
97,Moor::N,ಬಂಜರು ಭೂಮಿ,болото
98,Wiese::N,ಹುಲ್ಲುಗಾವಲು,луг
99,Wald::N,ಕಾಡು,лес
100,Hügel::N,ಗುಡ್ಡೆ,холм
101,Anhöhe::N,ದಿಬ್ಬ,возвышенность
102,Berg::N,ಮಲೆ,гора
103,Berg::N,ಪರ್ವತ,гора
104,Gipfel::N,ಶೃಂಗ,вершина
105,Höhle::N,ಗುಹೆ,пещера
106,Abhang::N,ಇಳಿಜಾರು,склон
107,Quelle::N,ಮೂಲ,источник
108,Bach::N,ತೊರೆ,ручей
109,Fluss::N,ನದಿ,река
110,Ufer::N,ತೀರ,берег
111,Küste::N,ದಂಡೆ,побережье
112,Festland::N,ಭೂಮಿ,суша
113,Meer::N,ಕಡಲು,море
114,Bucht::N,ಖಾರಿ,бухта
115,Insel::N,ದ್ವೀಪ,остров
116,Blume::N,ಸುಮ,цветок
117,Gras::N,ಹುಲ್ಲು,трава
118,Wurzel::N,ಬೇರು,корень
119,Baum::N,ಮರ,дерево
120,Stamm::N,ಕಾಂಡ,ствол
121,Rinde::N,ತೂಗಟಿ,кора
122,Ast::N,ಶಾಖೆ,сук
123,Zweig::N,ರೆಂಬೆ,ветвь
124,Blatt::N,ಎಲೆ,лист
125,Birke::N,ಬರ್ಚ್ ಮರ,береза
126,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,сосна
127,Weide[Baum]::N,ವಿಲೋಮರ,ива
128,Tanne::N,ಭದ್ರದಾರು,ель
129,Horn::N,ಕೊಂಬು,рог
130,Feder::N,ಪುಕ್ಕ,перо
131,Fell::N,ರೋಮ,шкура
132,Flügel::N,ರೆಕ್ಕೆ,крыло
133,Klaue::N,ಪಂಜ,коготь
134,Kralle::N,ಉಗುರು,лапа
135,Schwanz::N,ಬಾಲ,хвост
136,Ei::N,ಮೊಟ್ಟೆ,яйцо
137,Nest::N,ಗೂಡು,гнездо
138,Bau::N,ಅಡಗುದಾಣ,нора
139,Tier::N,ಪ್ರಾಣಿ,животное
140,Herde::N,ಗುಂಪು,стадо
141,Kuh::N,ಹಸು,корова
142,Bulle::N,ಗೂಳಿ,бык
143,Pferd::N,ಕುದುರೆ,лошадь
144,Schaf::N,ಕುರಿ,овца
145,Schwein::N,ಹಂದಿ,свинья
146,Hund::N,ನಾಯಿ,собака
147,Katze::N,ಬೆಕ್ಕು,кошка
148,Bär::N,ಕರಡಿ,медведь
149,Eichhörnchen::N,ಉಡುತೆ,белка
150,Elch::N,ಕಡವೆ,лось
151,Fuchs::N,ನರಿ,лиса
152,Hase::N,ಮೊಲ,заяц
153,Maus::N,ಇಲಿ,мышь
154,Wolf::N,ತೋಳ,волк
155,Vogel::N,ಪಕ್ಷಿ,птица
156,Schwarm::N,ಗುಂಪು,стая
157,Huhn::N,ಚಿಕ್,курица
158,Hahn::N,ಹುಂಜ,петух
159,Gans::N,ವರಟೆ,гусь
160,Adler::N,ಗರುಡ,орел
161,Ente::N,ಬಾತು,утка
162,Eule::N,ಗೂಬೆ,сова
163,Kranich::N,ಕೊಕ್ಕರ,журавль
164,Krähe::N,ಕಾಗೆ,ворона
