,Concept_ID,ja,se
0,Auge::N,目,tjelmie
1,Auge::N,目,tjalmme
2,Auge::N,目,čalbmi
3,Auge::N,目,čalme
4,Auge::N,目,čâ´lmm
5,Auge::N,目,ча̄лльм
6,Ohr::N,耳,bieljie
7,Ohr::N,耳,biellje
8,Ohr::N,耳,beallji
9,Ohr::N,耳,pelji
10,Ohr::N,耳,pe´llj
11,Ohr::N,耳,пе̄лльй
12,Nase::N,鼻,njuenie
13,Nase::N,鼻,njunnje
14,Nase::N,鼻,njunni
15,Nase::N,鼻,njuṇe
16,Nase::N,鼻,njuu´nn
17,Nase::N,鼻,нюннҍ
18,Mund::N,口,njaelmie
19,Mund::N,口,njálmme
20,Mund::N,口,njálbmi
21,Mund::N,口,njälmi
22,Mund::N,口,njä´lmm
23,Mund::N,口,ня̄лльм
24,Zahn::N,歯,baenie
25,Zahn::N,歯,bádne
26,Zahn::N,歯,bátni
27,Zahn::N,歯,pääṇi
28,Zahn::N,歯,pää´nn
29,Zahn::N,歯,па̄ннҍ
30,Zunge::N,舌,njoektjeme
31,Zunge::N,舌,njuovtjav
32,Zunge::N,舌,njuovčča
33,Zunge::N,舌,njuovčâ
34,Zunge::N,舌,njuhččâm
35,Zunge::N,舌,нюхчем
36,Lippe::N,唇,bangseme
37,Lippe::N,唇,njálmmerabdda
38,Lippe::N,唇,bavssa
39,Lippe::N,唇,poovsâ
40,Lippe::N,唇,põõus
41,Lippe::N,唇,пэ̄кс
42,Wange::N,頬,skiehrie
43,Wange::N,頬,nierra
44,Wange::N,頬,muohtu
45,Wange::N,頬,nieṛâ
46,Wange::N,頬,njiõrr
47,Wange::N,頬,нӣрр
48,Gesicht::N,顔,ååredæjja
49,Gesicht::N,顔,muohto
50,Gesicht::N,顔,muođut
51,Gesicht::N,顔,ámadadju
52,Gesicht::N,顔,muáđuh
53,Gesicht::N,顔,muâđ
54,Gesicht::N,顔,ка̄ссв
55,Stirn::N,額,gaalloe
56,Stirn::N,額,gállo
57,Stirn::N,額,gállu
58,Stirn::N,額,kállu
59,Stirn::N,額,käll
60,Stirn::N,額,вуэххьц
61,Haar::N,髪,voepte
62,Haar::N,髪,vuoppta
63,Haar::N,髪,vuokta
64,Haar::N,髪,vuop'tâ
65,Haar::N,髪,vuõpt
66,Haar::N,髪,вӯппт
67,Schnurrbart::N,口髭,bijjie-skaavtjoe
68,Schnurrbart::N,口髭,njunjevuolskávttjá
69,Schnurrbart::N,口髭,seamu
70,Schnurrbart::N,口髭,siämu
71,Schnurrbart::N,口髭,ää´bben
72,Schnurrbart::N,口髭,о̄а̄бпан
