,Concept_ID,xal,kv
180,Laus::N,бөөсн,ляпа той
181,Mücke::N,бөкүн,ном
182,Fliege::N,батхн,гут
183,Schmetterling::N,эрвәкә,бабыв
184,Beere::N,бөөлҗрһн,ягӧд
185,Apfel::N,альмн,яблоко
186,Pilz::N,теңгрин ки,тшак
187,Zwiebel::N,мәңгрснә толһа,грез
188,Saat::N,буудян экн,кӧдзыс
189,Korn::N,экн,сю
190,Heu::N,өвсн,турун
191,Schale::N,хальсн,кыш
192,Schale::N,хальсн,киль
193,Grube::N,нүкн,яма
194,Falle::N,урх,нальк
195,Falle::N,урх,кляпча
196,Falle::N,хавх,нальк
197,Falle::N,хавх,кляпча
198,Schlinge::N,бүтү,лӧч
199,Spur::N,мөр,туй
200,Asche::N,үмсн,пӧим
201,Dreck::N,бальчг,нять
202,Eisen::N,төмр,кӧрт
203,Gold::N,алтн,зарни
204,Silber::N,мөңгн,язісь
205,Silber::N,цаһан мөңгн,язісь
206,Kohle::N,нүүрсн,шом
207,Kohle::N,нүүрсн,уголь
208,Glas::N,шил,стекло
209,Lehm::N,шавр,сёй
210,Sand::N,элсн,лыа
211,Mensch::N,күн,морт
212,Mensch::N,күмн,морт
213,Mann::N,эр,мужик
214,Frau::N,күүкд күн,инька
215,Kind::N,үрн,кага
216,Junge::N,көвүн,зонка
217,Mädchen::N,бичкн күүкн,нывкаок
218,Familie::N,бүл,семья
219,Großvater::N,өвк эцк,дед
220,Großvater::N,наһц эцк,дед
221,Großmutter::N,эмг эк,баб
222,Großmutter::N,наһц эк,баб
223,Eltern::N,эк эцк хойр,ай-мам
224,Vater::N,эцк,ай
225,Mutter::N,эк,мам
226,Sohn::N,көвүн,зон
227,Tochter::N,күүкн,ныв
228,Bruder::N,дү көвүн,вон
229,Schwester::N,эгч,сой
230,Schwester::N,дү күүкн,сой
231,Onkel::N,авһ,дядь
232,Onkel::N,наһцх,дядь
233,Tante::N,наһц эгч,айӧлӧн сой
234,Tante::N,наһц эгч,ичинь
235,Ehemann::N,залу,жӧник
236,Ehefrau::N,гергн,инь
237,Freude::N,байр,гаж
238,Freude::N,байр,радъялӧм
239,Gelächter::N,инәдн,сералӧм
240,Glück::N,җирһл,мичлун
241,Glück::N,сәәхн җирһл,мичлун
242,Kummer::N,зовлң,шог
243,Wunsch::N,дурн,мӧдӧм
244,Wunsch::N,дурн,охотитӧм
245,Lust::N,җилвтлһн,охота
246,Geist::N,зөрг,лов
247,Gedanke::N,ухан,дума
248,Gedächtnis::N,чееҗин тодлвр,тӧдвыв
249,Verstand::N,ухан,вежӧр
250,Sinn::N,учр-утх,ылӧс
251,Grund::N,учр,мог
252,Grund::N,шалтан,мог
253,Wahrheit::N,үнн,правда
254,Gespräch::N,күүндвүр,сёрни
255,Märchen::N,тууль,сказка
256,Erzählung::N,келвр,висьт
257,Nachricht::N,медүллһн,юӧр
258,Nachricht::N,медүллһн,висьталӧм
259,Neuigkeit::N,зәңг,новость
260,Name::N,нерн,ним
261,Rätsel::N,тәәлвртә тууль,загадка
262,Rede::N,келлһн,сёрни
263,Sprache::N,келн,кыв
264,Stimme::N,дун,голос
265,Wort::N,үг,кыв
266,Zeichen::N,темдг,пас
267,Ruf::N,дуудлһн,чуксӧм
268,Ruf::N,дуудлһн,чукӧстӧм
269,Lärm::N,шууган,шум
270,Laut::N,ә,шы
271,Ton::N,дун,гор
272,Lied::N,дун,сьыланкыв
273,Ruhe::N,амулң,спокой
274,Leute::N,әмтн,йӧз
275,Volk::N,улс,йӧз
276,Volk::N,улс,народ
277,Arbeit::N,көдлмш,удж
278,Gast::N,гиич,гӧсь
279,Geschenk::N,белг,гӧснеч
280,Geschenk::N,белг,подарок
281,Spiel::N,наадн,орсӧм
282,Gesellschaft::N,олн,компания
283,Hilfe::N,нөкд,отсӧт
284,Freund::N,иньг,модз
285,Freund::N,иньг,дружок
286,Kamerad::N,үр,тӧдса
287,Angelegenheit::N,керг,дело
288,Anzahl::N,то,лыд
289,Art::N,зүүл,пӧлӧс
290,Stück::N,хусг,тор
291,Teil::N,хүв,юкӧм
292,Hälfte::N,өрәл,джын
293,Kreis::N,төгрг,круг
294,Kreuz::N,кирс,перна
295,Linie::N,зурасн,визь
296,Strich::N,татасн,кырӧв
297,Abstand::N,зә,колас
298,Entfernung::N,һазр,ылына
299,Gegend::N,һазр,места
300,Platz::N,зә,места
301,Ort::N,бәәрн,места
302,Seite::N,тал,ладор
303,Seite::N,хаҗу,ладор
304,Seite::N,хәврһ,ладор
305,Mitte::N,дунд,шӧр
306,Gegenstand::N,юмн,тор
307,Sache::N,юмн,тор
308,Rand::N,зах,дор
309,Kante::N,ирмәг,ордлы
310,Ecke::N,өнцг,пельӧс
311,Spitze::N,үзүр,йыв
312,Ende::N,үзүр,йыв
313,Loch::N,хаһрха,осьта
314,Winkel::N,булң,пельӧс
315,Muster::N,намч,сер
316,Größe::N,кемҗән,ыжда
317,Länge::N,ут,кузя
318,Höhe::N,өндр,сувда
319,Höhe::N,өндр,вылына
320,Gewicht::N,күнд,сьӧкта
321,Gewicht::N,чиңнүр,сьӧкта
322,Menge::N,ик,
323,Haufen::N,ова,куча
324,Reihe::N,зерг,лёдз
325,Reihe::N,зерглән,лёдз
326,Boot::N,оңһц,пыж
327,Ruder::N,хәәв,пелыс
328,Schlitten::N,цан,додь
329,Ski::N,лыҗ,лямпа
330,Lagerfeuer::N,костёр,бипур
331,Last::N,күнд,тягота
332,Gang::N,йовлһн,мунӧм
333,Schritt::N,ишкм,вожмӧв
334,Norden::N,ар үзг,ой
335,Süden::N,өмн,лун
336,Süden::N,өмн үзг,лун
337,Westen::N,барун,рытвыв
338,Westen::N,барун үзг,рытвыв
339,Osten::N,зүн,асыв
340,Osten::N,зүн үзг,асыв
341,Holz::N,модн,пу
342,Brett::N,харһа,пӧв
343,Platte::N,хавтха чолун,плита
344,Stütze::N,тулг,пика
345,Stange::N,уньн,зор
346,Stange::N,уньн,потш
347,Stock::N,модн,бедь
348,Stab::N,шуург,шест
349,Rohr::N,турва,труба
350,Haus::N,гер,керку
351,Heim::N,гер-бул,керку
352,Ofen::N,беш,пӧжавны
353,Fußboden::N,девскр,джодж
354,Tisch::N,ширә,пызан
355,Stuhl::N,стул,стул
356,Wiege::N,өлгә,зыбка
357,Wiege::N,дүүҗң,зыбка
358,Bett::N,орн,кровать
359,Bett::N,орндг,кровать
360,Regal::N,таг,джадж
361,Regal::N,тәвц,джадж
362,Kiste::N,яршг,ящик
363,Fenster::N,терз,ӧшын
364,Tür::N,үүдн,ыбӧс
365,Tor::N,үүдн,ворота
366,Tor::N,өргн үүдн,ворота
367,Tor::N,хашан үүдн,ворота
368,Zaun::N,хаша,забор
369,Dach::N,деевр,крыша
370,Leiter::N,шат,лиснич
371,Leiter::N,давшур,лиснич
372,Besen::N,сәвүр,рос
373,Spaten::N,күрз,зыр
374,Schaufel::N,совг,зыр
375,Gabel::N,серә,вила
376,Löffel::N,ухр,пань
377,Messer::N,утх,пурт
378,Nagel::N,хадасн,кӧрттув
379,Netz::N,гөлм,кыйӧт
380,Haken::N,дегә,ем
381,Griff::N,иш,пу
382,Griff::N,бәрүл,пу
383,Schloss::N,оньс,замок
384,Bild::N,зург,картина
385,Figur::N,фигур,мыгӧр
386,Puppe::N,наадһа,акань
387,Beutel::N,мишг,мешӧк
388,Bündel::N,багла,нин
389,Bündel::N,боодһа,нин
390,Tasche::N,сумк,сумка
391,Eimer::N,суулһ,ведра
392,Deckel::N,бүркәсн,вевт
393,Geschirr::N,сав,доз
394,Geschirr::N,сав,бекӧрпань
395,Geschirr::N,сав-сарх,доз
396,Geschirr::N,сав-сарх,бекӧрпань
397,Sack::N,мишг,мешӧк
398,Tasse::N,ааһ,бекӧр
399,Topf::N,кастрюль,кастрюля
400,Kessel::N,хәәсн,пӧрт
401,Essen::N,зоогллһн,сёйӧм
402,Nahrung::N,теҗәл,вердан
403,Speise::N,хот,сёян
404,Fleisch::N,махн,яй
405,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,сю
406,Brei::N,хаш,каша
407,Brot::N,өдмг,нянь
408,Scheibe::N,зүсм,шӧрӧм
409,Fett::N,өөкн,гос
410,Butter::N,тосн,ви
411,Öl::N,тосн,ви
412,Salz::N,давсн,сов
413,Suppe::N,шөлн,шыд
414,Honig::N,бал,ма
415,Milch::N,үсн,йӧв
416,Tee::N,цә,чай
417,Leder::N,арсн,кучик
418,Wolle::N,утцн,гӧн
419,Wolle::N,эд,гӧн
420,Stoff::N,эд,дӧра
421,Nadel::N,зүн,ем
422,Faden::N,утцн,сунис
423,Knopf::N,товч,кизь
424,Knoten::N,зәңгдә,узӧв
425,Knoten::N,зәңгдә,гӧрӧд
426,Farbe::N,будг,краска
427,Kleidung::N,хувцн,паськӧм
428,Kleidung::N,хувц-хунр,паськӧм
429,Hemd::N,киилг,йӧрнӧс
430,Kragen::N,зах,воротник
431,Ärmel::N,ханцн,сос
432,Hose::N,шалвур,вешьян
433,Gürtel::N,бүс,йи
434,Mütze::N,махла,шапка
435,Schuh::N,башмгуд,ботинки
