,Concept_ID,lt,pl
0,Auge::N,akis,oko
1,Ohr::N,ausis,ucho
2,Nase::N,nosis,nos
3,Mund::N,burna,usta
4,Zahn::N,dantis,ząb
5,Zunge::N,liežuvis,język
6,Lippe::N,lūpa,warga
7,Wange::N,žandas,policzek
8,Wange::N,skruostas,policzek
9,Gesicht::N,veidas,twarz
10,Stirn::N,kakta,czoło
11,Haar::N,plaukai,włos
12,Haar::N,plaukai,włosy
13,Schnurrbart::N,ūsai,wąsy
14,Bart::N,barzda,broda
15,Kinn::N,smakras,podbródek
16,Kiefer[Anatomie]::N,žandikaulis,czeluść
17,Kehle::N,gerklė,gardło
18,Hals::N,kaklas,szyja
19,Genick::N,sprandas,kark
20,Kopf::N,galva,głowa
21,Rücken::N,nugara,plecy
22,Rücken::N,nugara,grzbiet
23,Bauch::N,pilvas,brzuch
24,Nabel::N,bamba,pępek
25,Busen::N,krūtinė,biust
26,Brust::N,krūtis,pierś
27,Schulter::N,petys,bark
28,Schulter::N,petys,ramię
29,Arm::N,ranka,ręka
30,Arm::N,ranka,ramię
31,Ellenbogen::N,alkūnė,łokieć
32,Hand::N,ranka,dłoń
33,Hand::N,plaštaka,dłoń
34,Handfläche::N,delnas,dłoń
35,Handfläche::N,plaštaka,dłoń
36,Finger::N,pirštas,palec
37,Fingernagel::N,nagas,paznokieć
38,Nagel[Anatomie]::N,nagas,paznokieć
39,Zeh::N,pirštas,palec
40,Fuß::N,pėda,stopa
41,Ferse::N,kulnas,pięta
42,Knie::N,kelis,kolano
43,Oberschenkel::N,kulšis,udo
44,Oberschenkel::N,šlaunis,udo
45,Bein::N,koja,noga
46,Körper::N,kūnas,ciało
47,Haut::N,oda,skóra
48,Blut::N,kraujas,krew
49,Ader::N,kraujagyslė,żyła
50,Sehne::N,sausgyslė,ścięgno
51,Knochen::N,kaulas,kość
52,Gehirn::N,smegenys,mózg
53,Herz::N,širdis,serce
54,Magen::N,skrandis,żołądek
55,Leber::N,kepenys,wątroba
56,Atem::N,kvapas,dech
57,Atem::N,kvapas,oddech
58,Hunger::N,badas,głód
59,Hunger::N,alkis,głód
60,Träne::N,ašara,łza
61,Geschmack::N,skonis,smak
62,Geruch::N,kvapas,woń
63,Geruch::N,kvapas,zapach
64,Schlaf::N,miegas,sen
65,Traum::N,sapnas,sen
66,Himmel::N,dangus,niebo
67,Sonne::N,saulė,słońce
68,Mond::N,mėnulis,księżyc
69,Stern::N,žvaigždė,gwiazda
70,Luft::N,oras,powietrze
71,Wind::N,vėjas,wiatr
72,Welle::N,banga,fala
73,Welle::N,vilnis,fala
74,Wasser::N,vanduo,woda
75,Stein::N,akmuo,kamień
76,Boden::N,žemė,grunt
77,Boden::N,dugnas,grunt
78,Erde::N,žemė,ziemia
79,Staub::N,dulkės,pył
80,Staub::N,dulkės,kurz
81,Rauch::N,dūmai,dym
82,Funke::N,kibirkštis,iskra
83,Feuer::N,ugnis,ogień
84,Licht::N,šviesa,światło
85,Schatten::N,paūksmė,cień
86,Wetter::N,oras,pogoda
87,Nebel::N,migla,mgła
