,Concept_ID,myv,ja
0,Auge::N,сельме,目
1,Ohr::N,пиле,耳
2,Nase::N,судо,鼻
3,Mund::N,курго,口
4,Zahn::N,пей,歯
5,Zunge::N,кель,舌
6,Lippe::N,турва,唇
7,Wange::N,чамабока,頬
8,Wange::N,чамаумарь,頬
9,Gesicht::N,чама,顔
10,Stirn::N,коня,額
11,Haar::N,черь,髪
12,Schnurrbart::N,ус,口髭
13,Schnurrbart::N,муюк,口髭
14,Bart::N,сакал,髭
15,Kinn::N,уло,顎
16,Kiefer[Anatomie]::N,пейпакар,顎
17,Kiefer[Anatomie]::N,пейловажа,顎
18,Kehle::N,кирьгапарь,喉
19,Hals::N,кирьга,首
20,Genick::N,човонь,首
21,Kopf::N,пря,頭
22,Rücken::N,копорь,背中
23,Bauch::N,пеке,腹
24,Bauch::N,пеке,お腹
25,Nabel::N,почо,へそ
26,Busen::N,поте,乳房
27,Brust::N,меште,胸
28,Schulter::N,лавтов,肩
29,Arm::N,кедь,腕
30,Ellenbogen::N,кенерепакарь,肘
31,Hand::N,кедь,手
32,Handfläche::N,кедькуншка,手のひら
33,Handfläche::N,кедьлапушка,手のひら
34,Finger::N,сур,指
35,Fingernagel::N,кенже,爪
36,Nagel[Anatomie]::N,кенже,爪
37,Zeh::N,пильге сур,足の指
38,Fuß::N,пильге,足
39,Ferse::N,кочкаря,かかと
40,Knie::N,эле,膝
41,Knie::N,эзне,膝
42,Knie::N,кумажа,膝
43,Oberschenkel::N,качо,上腿
44,Bein::N,пильге,足
45,Körper::N,рунго,体
46,Haut::N,киське,皮膚
47,Blut::N,верь,血
48,Ader::N,сан,血管
49,Sehne::N,коське сан,腱
50,Knochen::N,пакарь,骨
51,Gehirn::N,удем,脳
52,Herz::N,седей,心
53,Herz::N,седей,心臓
54,Magen::N,пеке,胃
55,Leber::N,максо,肝臓
56,Atem::N,лексема,息
57,Atem::N,лексема,呼吸
58,Atem::N,оймень таргсема,息
59,Atem::N,оймень таргсема,呼吸
60,Hunger::N,вачочи,空腹
61,Träne::N,селведь,涙
62,Geschmack::N,тансть,味
63,Geruch::N,чине,匂い
64,Schlaf::N,удома,睡眠
65,Traum::N,он,夢
66,Himmel::N,менель,空
67,Sonne::N,чи,太陽
68,Mond::N,ков,月
69,Stern::N,теште,星
70,Luft::N,кошт,空気
71,Wind::N,варма,風
72,Welle::N,толкун,波
73,Wasser::N,ведь,水
74,Stein::N,кев,石
75,Boden::N,мода,土地
76,Erde::N,мастор,土
77,Staub::N,пуль,埃
78,Rauch::N,качамо,煙
79,Funke::N,сятко,火花
80,Feuer::N,тол,火
81,Licht::N,валдо,光
82,Schatten::N,сулей,陰
83,Schatten::N,сулейкс,陰
84,Wetter::N,ушо,天気
85,Nebel::N,сув,霧
86,Wolke::N,пель,雲
87,Regen::N,пиземс,雨
88,Schnee::N,лов,雪
89,Eis::N,эй,氷
90,Frost::N,кельме,霜
91,Kälte::N,якшамо,寒さ
92,Hitze::N,пси,暑さ
93,Raureif::N,лекш,霧氷
94,Regenbogen::N,пурьгинечирьке,虹
95,Regenbogen::N,пурьгинеёнкс,虹
96,Donner::N,пурьгине,雷
97,Strömung::N,чудема,流れ
98,Strömung::N,чудевкс,流れ
99,Tropfen::N,петнявкс,滴
100,Schaum::N,чов,泡
101,Schmutz::N,рудаз,汚れ
102,See::N,эрьке,湖
103,Sumpf::N,чей,沼
104,Moor::N,чей,湿原
105,Wiese::N,луга,草原
106,Wald::N,вирь,森
107,Hügel::N,губорь,丘
108,Hügel::N,пандыне,丘
109,Anhöhe::N,губорь,高み
110,Anhöhe::N,пандыне,高み
111,Berg::N,пандо,山
112,Gipfel::N,пря,頂上
113,Höhle::N,пещера,洞窟
114,Abhang::N,пандочама,斜面
115,Quelle::N,ушодкс,泉
116,Bach::N,чудикерькс,小川
117,Fluss::N,лей,川
118,Ufer::N,чире,岸
119,Küste::N,лейчире,海岸
120,Festland::N,мода,陸
121,Meer::N,моря,海
122,Bucht::N,усия,湾
123,Insel::N,усия,島
124,Blume::N,цеця,花
125,Gras::N,тикше,草
126,Wurzel::N,юр,根
127,Wurzel::N,ундокс,根
128,Baum::N,чувто,木
129,Stamm::N,рунго,幹
130,Rinde::N,суд,皮層
131,Rinde::N,керь,皮層
132,Ast::N,морго,枝
133,Zweig::N,тарад,小枝
134,Blatt::N,лопа,葉
135,Birke::N,килей,樺
136,Kiefer[Baum]::N,пиче,松
137,Weide[Baum]::N,каль,柳
138,Tanne::N,куз,樅
139,Horn::N,сюро,角
140,Feder::N,толга,羽根
141,Fell::N,пона,毛皮
142,Flügel::N,сёлмо,羽
143,Klaue::N,кенже,鉤爪
144,Kralle::N,кенже,爪
145,Schwanz::N,пуло,尻尾
146,Ei::N,ал,卵
147,Nest::N,пизэ,巣
148,Bau::N,варя,穴
149,Bau::N,пизе,穴
150,Tier::N,ракша,動物
151,Herde::N,стада,群れ
152,Kuh::N,скал,牛
153,Bulle::N,бука,雄牛
154,Pferd::N,лишме,馬
155,Schaf::N,реве,羊
156,Schwein::N,туво,豚
157,Hund::N,пине,犬
158,Hund::N,киска,犬
159,Katze::N,псака,猫
160,Bär::N,овто,熊
161,Eichhörnchen::N,ур,栗鼠
162,Elch::N,сярдо,ヘラジカ
163,Fuchs::N,ривезь,狐
164,Hase::N,нумоло,兎
165,Maus::N,чеерь,鼠
166,Wolf::N,верьгиз,狼
167,Vogel::N,нармунь,鳥
168,Schwarm::N,полк,群れ
169,Schwarm::N,стада,群れ
170,Huhn::N,сараз,鶏
171,Hahn::N,атякш,雄鶏
172,Gans::N,гала,ガチョウ
173,Gans::N,мацей,ガチョウ
174,Adler::N,куцькан,鷲
175,Adler::N,тумоатякш,鷲
176,Ente::N,яксярго,鴨
177,Eule::N,корж,フクロウ
178,Kranich::N,карго,鶴
179,Krähe::N,варака,烏
180,Kuckuck::N,куко,郭公
181,Schwan::N,локсей,白鳥
182,Fisch::N,кал,魚
183,Barsch::N,окунь,鱸
184,Hecht::N,щука,川魳
185,Schlange[Tier]::N,гуй,蛇
186,Wurm::N,сукс,虫
187,Spinne::N,шанжав,蜘蛛
188,Ameise::N,коткудав,蟻
189,Laus::N,сий,虱
190,Mücke::N,сеське,蚊
191,Fliege::N,карво,蝿
192,Schmetterling::N,нимиляв,蝶
193,Beere::N,умарь,漿果
194,Apfel::N,умарь,林檎
195,Pilz::N,панго,茸
196,Zwiebel::N,чурька,玉葱
197,Saat::N,видьметь,種
198,Korn::N,сюро,粒
199,Heu::N,тикше,干し草
200,Schale::N,кедь,皮
201,Schale::N,ваткавкс,皮
202,Grube::N,латко,穴
203,Falle::N,тувор,わな
204,Falle::N,кундамка,わな
205,Schlinge::N,килькш,輪
206,Spur::N,челькс,跡
207,Spur::N,пильгеки,跡
208,Asche::N,кулов,灰
209,Dreck::N,рудаз,泥
210,Eisen::N,кшни,鉄
211,Gold::N,сырне,金
212,Silber::N,сия,銀
213,Kohle::N,сэдь,炭
214,Kohle::N,уголия,炭
215,Glas::N,сулика,ガラス
216,Lehm::N,сёвонь,ローム
217,Sand::N,човар,砂
218,Mensch::N,ломань,人
219,Mann::N,аля,男
220,Mann::N,аля,男性
221,Mann::N,цёраломань,男
222,Mann::N,цёраломань,男性
223,Frau::N,ава,女
224,Frau::N,ава,女性
225,Kind::N,эйкакш,子
226,Kind::N,эйкакш,子供
227,Junge::N,цёрыне,男の子
228,Mädchen::N,тейтерне,女の子
229,Familie::N,семия,家族
230,Großvater::N,покштя,祖父
231,Großvater::N,покштя,おじいさん
232,Großmutter::N,баба,祖母
233,Großmutter::N,баба,おばあさん
234,Eltern::N,тетят-ават,親
235,Eltern::N,тетят-ават,両親
236,Vater::N,тетя,父
237,Vater::N,тетя,お父さん
238,Mutter::N,ава,母
239,Mutter::N,ава,お母さん
240,Sohn::N,цёра,息子
241,Sohn::N,цёра,息子さん
242,Tochter::N,тейтерь,娘
243,Tochter::N,тейтерь,お嬢さん
244,Bruder::N,леля,弟
245,Bruder::N,ялакс,弟
246,Schwester::N,сазор,妹
247,Onkel::N,леля,伯父
248,Onkel::N,леля,伯父さん
249,Tante::N,патя,叔母
250,Tante::N,патя,叔母さん
251,Ehemann::N,мирде,夫
252,Ehemann::N,мирде,主人
253,Ehefrau::N,ни,妻
254,Ehefrau::N,ни,奥さん
255,Freude::N,кеняркс,喜び
256,Gelächter::N,ракамо,笑い
257,Gelächter::N,пейдема,笑い
258,Glück::N,уцяска,幸せ
259,Kummer::N,рискс,悩み
260,Kummer::N,мелявкс,悩み
261,Wunsch::N,мель,希望
262,Wunsch::N,бажамо,希望
263,Lust::N,бажамо,気
264,Geist::N,ойме,精神
265,Gedanke::N,мель,考え
266,Gedächtnis::N,мель,記憶
267,Verstand::N,прев,理解力
268,Sinn::N,толк,意味
269,Sinn::N,смысла,意味
270,Grund::N,тувтал,理由
271,Wahrheit::N,видечи,真実
272,Gespräch::N,кортнема,会話
273,Märchen::N,ёвкс,童話
274,Erzählung::N,ёвтнема,物語
275,Nachricht::N,куля,報告
276,Neuigkeit::N,куля,ニュース
277,Name::N,лем,名前
278,Rätsel::N,содамоёвкс,謎
279,Rede::N,кортамо,演説
280,Sprache::N,кель,言語
281,Stimme::N,ваигель,声
282,Wort::N,вал,言葉
283,Zeichen::N,теште,記号
284,Ruf::N,тердема,呼び声
285,Lärm::N,шалнома,騒音
286,Laut::N,вайгель,音
287,Ton::N,гайнема,音
288,Lied::N,моро,歌
289,Ruhe::N,оймамо,静けさ
290,Leute::N,ломанть,人々
291,Volk::N,народ,民族
292,Arbeit::N,тев,仕事
293,Gast::N,инже,客
294,Geschenk::N,казне,贈り物
295,Spiel::N,налксема,遊び
296,Gesellschaft::N,община,社会
297,Hilfe::N,лездамо,援助
298,Freund::N,оя,友達
299,Freund::N,ялга,友達
300,Kamerad::N,оя,同志
301,Kamerad::N,ялга,同志
302,Angelegenheit::N,тев,件
303,Anzahl::N,ламоксчи,数
304,Art::N,вид,種類
305,Stück::N,пакш,部分
306,Stück::N,пелькс,部分
307,Teil::N,часть,部分
308,Teil::N,пелькс,部分
309,Hälfte::N,пель,半分
310,Hälfte::N,пелькс,半分
311,Kreis::N,кирькс,円
312,Kreuz::N,крёст,十字
313,Linie::N,кикс,線
314,Strich::N,межа,線
315,Abstand::N,ютко,距離
316,Entfernung::N,ютко,距離
317,Gegend::N,тарка,辺
318,Gegend::N,тарка,地域
319,Gegend::N,пертьпелькс,辺
320,Gegend::N,пертьпелькс,地域
321,Platz::N,васолкс,ゆとり
322,Ort::N,тарка,所
323,Ort::N,тарка,場所
324,Seite::N,ён,横
325,Seite::N,чире,横
326,Mitte::N,куншка,真ん中
327,Gegenstand::N,предмет,物件
328,Sache::N,тев,物
329,Sache::N,веща,物
330,Rand::N,пе,端
331,Rand::N,чире,端
332,Kante::N,ирдез,縁
333,Ecke::N,ужо,角
334,Spitze::N,пряне,先頭
335,Spitze::N,пе,先頭
336,Ende::N,пе,端
337,Loch::N,варя,穴
338,Winkel::N,ужо,片隅
339,Muster::N,сёрма,模様
340,Größe::N,сэрь,大きさ
341,Größe::N,покшолма,大きさ
342,Länge::N,кувалмо,長さ
343,Höhe::N,сэрь,高さ
344,Höhe::N,пандо,高さ
345,Gewicht::N,сталмо,重さ
346,Menge::N,лововкс,量
347,Haufen::N,мар,堆積
348,Haufen::N,валявкс,堆積
349,Reihe::N,ряд,並び
350,Boot::N,венч,ボート
351,Ruder::N,милё,オール
352,Schlitten::N,нурдт,そり
353,Ski::N,сокс,スキー
354,Lagerfeuer::N,толбандя,篝火
355,Last::N,сталмо,荷物
356,Last::N,кандома,荷物
357,Gang::N,молема,歩み
358,Gang::N,якамо,歩み
359,Schritt::N,эскелькс,歩
360,Norden::N,якшамо ёнкс,北
361,Süden::N,лембе ёнкс,南
362,Westen::N,чивалгома,西
363,Osten::N,чилисема,東
364,Holz::N,чувто,木
365,Holz::N,чувто,木材
366,Brett::N,лаз,板
367,Platte::N,плита,盤
368,Stütze::N,неже,支柱
369,Stange::N,олга,棒
370,Stock::N,мандо,杖
371,Stab::N,олога,棒
372,Rohr::N,турба,管
373,Haus::N,кудо,家
374,Heim::N,кудо,家
375,Ofen::N,каштомо,ストーブ
376,Fußboden::N,киякс,床
377,Tisch::N,столь,机
378,Stuhl::N,стул,椅子
379,Wiege::N,лавсь,揺籃
380,Wiege::N,нурямот,揺籃
381,Bett::N,ацамо,ベッド
382,Regal::N,лався,棚
383,Regal::N,лавсяланго,棚
384,Kiste::N,горобия,箱
385,Kiste::N,сундук,箱
386,Fenster::N,вальма,窓
387,Tür::N,кенкш,戸
388,Tür::N,кенкш,ドア
389,Tor::N,ортат,門
390,Zaun::N,пирявт,垣根
391,Zaun::N,пирвякс,垣根
392,Dach::N,кудопря,屋根
393,Leiter::N,кузтема,梯子
394,Besen::N,тенсть,ほうき
395,Spaten::N,койме,スコップ
396,Schaufel::N,кече,シャベル
397,Schaufel::N,келей койме,シャベル
398,Gabel::N,сянгине,フォーク
399,Löffel::N,пенч,スプーン
400,Messer::N,пеель,ナイフ
401,Nagel::N,эске,釘
402,Netz::N,алтыма,網
403,Haken::N,кечказ,鉤
404,Haken::N,кечказ,フック
405,Griff::N,кедне,取っ手
406,Schloss::N,замок,錠
407,Schloss::N,панжома,錠
408,Bild::N,картина,絵
409,Figur::N,рунго,像
410,Puppe::N,няка,人形
411,Beutel::N,кескав,袋
412,Bündel::N,керькс,束
413,Bündel::N,керькс,包み
414,Tasche::N,юдма,かばん
415,Eimer::N,ведра,バケツ
416,Deckel::N,велькс,蓋
417,Geschirr::N,кедьге,食器
418,Sack::N,кескав,袋
419,Tasse::N,чакш,カップ
420,Topf::N,кастрюля,鍋
421,Kessel::N,котёл,釜
422,Essen::N,ярсамо,食事
423,Nahrung::N,ярсамопель,食物
424,Speise::N,ярсамопель,料理
425,Fleisch::N,сывель,肉
426,Getreide::N,сюро,麦
427,Getreide::N,сюро,穀物
428,Brei::N,каша,粥
429,Brot::N,кши,パン
430,Scheibe::N,кочом,枚
431,Scheibe::N,кочом,切れ
432,Scheibe::N,сускомо,枚
433,Scheibe::N,сускомо,切れ
434,Fett::N,куя,脂肪
435,Butter::N,ой,バター
436,Öl::N,ой,油
437,Salz::N,сал,塩
