,Concept_ID,lt,br
0,Auge::N,akis,lagad
1,Ohr::N,ausis,skouarn
2,Nase::N,nosis,fri
3,Mund::N,burna,genoù
4,Zahn::N,dantis,dant
5,Zunge::N,liežuvis,teod
6,Lippe::N,lūpa,muzell
7,Wange::N,žandas,chot
8,Wange::N,skruostas,chot
9,Gesicht::N,veidas,dremm
10,Stirn::N,kakta,tal
11,Haar::N,plaukai,blev
12,Schnurrbart::N,ūsai,mourenn
13,Bart::N,barzda,barv
14,Kinn::N,smakras,groñj
15,Kiefer[Anatomie]::N,žandikaulis,javed
16,Kehle::N,gerklė,gouzoug
17,Hals::N,kaklas,gouzoug
18,Genick::N,sprandas,choug
19,Kopf::N,galva,penn
20,Rücken::N,nugara,kein
21,Bauch::N,pilvas,kof
22,Nabel::N,bamba,begel
23,Busen::N,krūtinė,bronn
24,Brust::N,krūtis,bruched
25,Schulter::N,petys,skoaz
26,Arm::N,ranka,brec'h
27,Ellenbogen::N,alkūnė,ilin
28,Hand::N,ranka,dorn
29,Hand::N,plaštaka,dorn
30,Handfläche::N,delnas,palv
31,Handfläche::N,plaštaka,palv
32,Finger::N,pirštas,biz
33,Fingernagel::N,nagas,ivin
34,Nagel[Anatomie]::N,nagas,ivin
35,Zeh::N,pirštas,biz-troad
36,Fuß::N,pėda,troad
37,Ferse::N,kulnas,seul
38,Knie::N,kelis,glin
39,Oberschenkel::N,kulšis,morzhed
40,Oberschenkel::N,šlaunis,morzhed
41,Bein::N,koja,gar
42,Körper::N,kūnas,korf
43,Haut::N,oda,kroc'hen
44,Blut::N,kraujas,gwad
45,Ader::N,kraujagyslė,gwazhi
46,Sehne::N,sausgyslė,stir
47,Knochen::N,kaulas,askorn
48,Gehirn::N,smegenys,empenn
49,Herz::N,širdis,kalon
50,Magen::N,skrandis,stomog
51,Leber::N,kepenys,avu
52,Atem::N,kvapas,anal
53,Hunger::N,badas,naon
54,Hunger::N,alkis,naon
55,Träne::N,ašara,daer
56,Geschmack::N,skonis,blaz
57,Geruch::N,kvapas,c'hwezh
58,Schlaf::N,miegas,kousked
59,Traum::N,sapnas,hune
60,Himmel::N,dangus,oabl
61,Sonne::N,saulė,heol
62,Mond::N,mėnulis,loar
63,Stern::N,žvaigždė,steredenn
64,Luft::N,oras,aer
65,Wind::N,vėjas,avel
66,Welle::N,banga,houlenn
67,Welle::N,vilnis,houlenn
68,Wasser::N,vanduo,dour
69,Stein::N,akmuo,maen
70,Boden::N,žemė,tachenn
71,Boden::N,dugnas,tachenn
72,Erde::N,žemė,douar
73,Staub::N,dulkės,poultr
74,Rauch::N,dūmai,moged
75,Funke::N,kibirkštis,ful
76,Feuer::N,ugnis,tan
77,Licht::N,šviesa,gouloù
78,Schatten::N,paūksmė,disheol
79,Wetter::N,oras,amzer
80,Nebel::N,migla,brumenn
81,Nebel::N,rūkas,brumenn
82,Wolke::N,debesis,koumoulenn
83,Regen::N,lietus,glav
84,Schnee::N,sniegas,erc'h
85,Eis::N,ledas,skorn
86,Frost::N,šalna,rev
87,Kälte::N,šaltis,yen
88,Hitze::N,karštis,tommder
89,Raureif::N,šerkšnas,frim
90,Regenbogen::N,vaivorykštė,gwareg-ar-glav
91,Donner::N,perkūnas,kurun
92,Donner::N,griaustinis,kurun
93,Strömung::N,tėkmė,red
94,Tropfen::N,lašas,bannac'h
95,Tropfen::N,lašas,takenn
96,Schaum::N,putos,spoum
97,Schmutz::N,purvas,fank
98,See::N,ežeras,lenn
99,Sumpf::N,klampynė,gwern
100,Sumpf::N,liūnas,gwern
101,Moor::N,pelkė,taouarc'heg
102,Wiese::N,pieva,prad
103,Wald::N,miškas,koad
104,Hügel::N,kalva,torgenn
105,Anhöhe::N,kauburys,run
106,Berg::N,kalnas,menez
107,Gipfel::N,viršūnė,barr
108,Höhle::N,ola,kav
109,Abhang::N,šlaitas,naou
110,Abhang::N,nuokalnė,naou
111,Quelle::N,versmė,feunteun
112,Quelle::N,šaltinis,feunteun
113,Bach::N,upelis,gwazh
114,Fluss::N,upė,stêr
115,Ufer::N,krantas,ribl
116,Küste::N,pajūris,aod
117,Festland::N,sausuma,douar
118,Meer::N,jūra,mor
119,Bucht::N,įlanka,mor-bihan
120,Bucht::N,užutekis,mor-bihan
121,Insel::N,sala,enez
122,Blume::N,gėlė,bleunienn
123,Gras::N,žolė,geot
124,Wurzel::N,šaknis,gwrizienn
125,Baum::N,medis,gwezenn
126,Stamm::N,kamienas,kef
127,Rinde::N,žievė,rusk
128,Ast::N,šaka,barr
129,Zweig::N,šakelė,bod
130,Blatt::N,lapas,delienn
131,Birke::N,beržas,bezvenn
132,Kiefer[Baum]::N,pušis,pinenn
133,Weide[Baum]::N,karklas,halegenn
134,Tanne::N,eglė,sapenn
135,Tanne::N,kėnis,sapenn
136,Horn::N,ragas,korn
137,Feder::N,plunksna,pluñv
138,Fell::N,kailis,kreoñ
139,Flügel::N,sparnas,askell
140,Klaue::N,kanopa,skilf
141,Kralle::N,nagas,skilf
142,Schwanz::N,uodega,lost
143,Ei::N,kiaušinis,vi
144,Nest::N,gūžta,neizh
