,Concept_ID,mdf,ro
237,Gold::N,ока,aur
238,Gold::N,золота,aur
239,Silber::N,сия́,argint
240,Kohle::N,седь,cărbune
241,Kohle::N,седьвальмя,cărbune
242,Glas::N,кля́нцек,sticlă
243,Lehm::N,сёвонь,lut
244,Lehm::N,сёвонь,humă
245,Sand::N,шува́р,nisip
246,Mensch::N,ломань,om
247,Mensch::N,ломань,persoană
248,Mann::N,аля,om
249,Mann::N,аля,bărbat
250,Mann::N,цёраломань,om
251,Mann::N,цёраломань,bărbat
252,Frau::N,ава,femeie
253,Kind::N,идь,copil
254,Kind::N,шаба,copil
255,Junge::N,цёраня,băiat
256,Junge::N,цёраня,flăcău
257,Mädchen::N,стирня́,fată
258,Familie::N,тнал,familie
259,Familie::N,семья,familie
260,Großvater::N,атя,bunic
261,Großvater::N,атя,tată mare
262,Großvater::N,щя́тя,bunic
263,Großvater::N,щя́тя,tată mare
264,Großmutter::N,баба,bunică
265,Großmutter::N,баба,mamă mare
266,Eltern::N,тя́дят-а́лят,părinți
267,Vater::N,аля,tată
268,Vater::N,аля,părinte
269,Mutter::N,ава,mamă
270,Mutter::N,тядя,mamă
271,Sohn::N,цёра,fiu
272,Sohn::N,цёра,fecior
273,Tochter::N,стирь,fiică
274,Bruder::N,дуган,frate
275,Bruder::N,пяльне,frate
276,Schwester::N,ака,soră
277,Schwester::N,сазор,soră
278,Onkel::N,оця,unchi
279,Onkel::N,патя,unchi
280,Onkel::N,щеня́,unchi
281,Tante::N,ака,mătușă
282,Tante::N,щака,mătușă
283,Ehemann::N,мирде,soț
284,Ehemann::N,мирде,bărbat
285,Ehefrau::N,ърьвя́,soție
286,Freude::N,ке́нярдема,bucurie
287,Gelächter::N,рахсема,râset
288,Glück::N,паваз,fericire
289,Kummer::N,ризф,mâhnire
290,Kummer::N,пичефкс,mâhnire
291,Wunsch::N,мяль,dorință
292,Wunsch::N,мяль,deziderat
293,Wunsch::N,таколдома,dorință
294,Wunsch::N,таколдома,deziderat
295,Lust::N,таколдома,poftă
296,Lust::N,таколдома,înclinare
297,Geist::N,вайме,duh
298,Geist::N,вайме,minte
299,Geist::N,вайме,suflet
300,Gedanke::N,мяль,gând
301,Gedanke::N,мяль,cuget
302,Gedächtnis::N,прявий,memorie
303,Verstand::N,прявий,minte
304,Verstand::N,прявий,intelect
305,Sinn::N,ён,sens
306,Sinn::N,ён,înțeles
307,Grund::N,туфта́л,cauză
308,Grund::N,туфта́л,pricină
309,Wahrheit::N,ви́де,adevăr
310,Wahrheit::N,видеши́,adevăr
311,Gespräch::N,корхтама,convorbire
312,Gespräch::N,корхтама,conversație
313,Märchen::N,ёфкс,basm
314,Märchen::N,ёфкс,poveste
315,Erzählung::N,азкс,poveste
316,Nachricht::N,куля́,veste
317,Neuigkeit::N,куля́,noutate
318,Neuigkeit::N,куля́,actualitate
319,Name::N,лем,nume
320,Rätsel::N,со́дама ёфкс,ghicitoare
321,Rede::N,вал,discurs
322,Rede::N,корхтама,discurs
323,Sprache::N,кяль,limbă
324,Sprache::N,кяль,limbaj
325,Stimme::N,вайгяль,glas
326,Wort::N,вал,cuvânt
327,Zeichen::N,тя́ште,semn
328,Zeichen::N,тя́ште,semnal
329,Zeichen::N,тя́штькс,semn
330,Zeichen::N,тя́штькс,semnal
331,Ruf::N,тердема,chemare
332,Lärm::N,гайф,zgomot
333,Lärm::N,гайф,tărăboi
334,Lärm::N,жалакодома,zgomot
335,Lärm::N,жалакодома,tărăboi
336,Laut::N,вайгяль,sunet
337,Ton::N,вайгяль,ton
338,Lied::N,мора,cântec
339,Ruhe::N,сетьме,odihnă
340,Ruhe::N,сетьме,liniște
341,Leute::N,ломатть,lume
342,Leute::N,ломатть,oameni
343,Volk::N,наро́д,popor
344,Volk::N,наро́д,națiune
345,Arbeit::N,тев,lucru
346,Gast::N,и́нжи,musafir
347,Gast::N,ко́нак,musafir
348,Geschenk::N,казне,dar
349,Geschenk::N,казне,cadou
350,Spiel::N,налхкома,joc
351,Spiel::N,налхксема,joc
352,Gesellschaft::N,кружок,societate
353,Hilfe::N,лездома,ajutor
354,Freund::N,я́лга,amic
355,Freund::N,я́лга,prieten
356,Kamerad::N,я́лга,tovarăș
357,Angelegenheit::N,тев,afacere
358,Anzahl::N,лувкс,număr
359,Anzahl::N,лувкс,cantitate
360,Art::N,вид,fel
361,Art::N,вид,specie
362,Stück::N,пакш,bucată
363,Teil::N,часть,parte
364,Teil::N,часть,porție
365,Teil::N,пялькс,parte
366,Teil::N,пялькс,porție
367,Hälfte::N,пяле,jumătate
368,Kreis::N,шаркс,cerc
369,Kreuz::N,крёз,cruce
370,Linie::N,межа,linie
371,Linie::N,китькс,linie
372,Strich::N,межа,linie
373,Strich::N,межа,trăsătură
374,Abstand::N,ётка,distanță
375,Abstand::N,ётка,depărtare
376,Entfernung::N,ётка,distanță
377,Entfernung::N,ётка,depărtare
378,Gegend::N,ва́ста,regiune
379,Gegend::N,перьфпя́ль,regiune
380,Platz::N,ва́ста,loc
381,Ort::N,ва́ста,loc
382,Seite::N,пяле,latură
383,Mitte::N,кучка́,centru
384,Gegenstand::N,веща,obiect
385,Sache::N,тев,lucru
386,Sache::N,тев,chestie
387,Sache::N,веща,lucru
388,Sache::N,веща,chestie
389,Rand::N,пе,bordură
390,Kante::N,и́рдез,muchie
391,Kante::N,и́рдез,bordură
392,Ecke::N,ужа,colț
393,Spitze::N,пря,vârf
394,Spitze::N,пря,creștet
395,Ende::N,пе,capăt
