,Concept_ID,ml,vep
152,Kuh::N,പശു,lehm
153,Bulle::N,കാള,härg
154,Pferd::N,കുതിര,hebo
155,Schaf::N,ആട്,lambaz
156,Schwein::N,പന്നി,siga
157,Hund::N,നായ്,koir
158,Katze::N,പൂച്ച,kaži
159,Bär::N,കരടി,kondi
160,Eichhörnchen::N,അണ്ണാൻ,orav
161,Elch::N,കടമാന്,hirb'
162,Fuchs::N,കുറുക്കൻ,reboi
163,Hase::N,മുയൽ,jäniš
164,Maus::N,ചുണ്ടലി,hir'
165,Wolf::N,ചെന്നായ,händikaz
166,Vogel::N,പക്ഷി,lind
167,Schwarm::N,കൂട്ടം,parveh
168,Huhn::N,കോഴി,kana
169,Hahn::N,പൂവൻകോഴി,kukoi
170,Gans::N,അരയന്നം,hanh'
171,Adler::N,കഴുകൻ,orl
172,Ente::N,താറാവ്,sorz
173,Eule::N,മൂങ്ങ,hir'pulo
174,Kranich::N,കൊക്ക്,kurg
175,Krähe::N,കാക്ക,variš
176,Kuckuck::N,കുയിൽ,kägi
177,Schwan::N,അരയന്നം,joucen
178,Fisch::N,മത്സ്യം,kala
179,Barsch::N,ഒരിനം മത്സ്യം,ahven
180,Hecht::N,ഒരു മത്സ്യം,haug'
181,Schlange[Tier]::N,പാമ്പ്,kü
182,Schlange[Tier]::N,പാമ്പ്,mado
183,Wurm::N,വിര,mado
184,Spinne::N,ചിലന്തി,hämähouk
185,Ameise::N,ഉറുമ്പ്,murahaine
186,Laus::N,പേന്,täi
187,Mücke::N,മശകം,säs'k
188,Fliege::N,ഈച്ച,kärbhaine
189,Schmetterling::N,ചിത്രശലഭം,lipkaine
190,Beere::N,ബെറി,marj
191,Apfel::N,ആപ്പിൾ,jablok
192,Pilz::N,കൂൺ,sen'
193,Pilz::N,കൂൺ,babuk
194,Zwiebel::N,സവാള,lauk
195,Saat::N,വിത്ത്,semned
196,Korn::N,ധാന്യം,jüvä
197,Korn::N,ധാന്യം,vill'
198,Heu::N,വയ്ക്കോൽ,hein
199,Schale::N,തൊലി,kor'
200,Grube::N,കുഴി,kop
201,Falle::N,കെണി,rida
202,Schlinge::N,കുടുക്ക്,rihm
203,Spur::N,ചുവട്,jäl'g
204,Asche::N,ചാരം,tuhk
205,Dreck::N,അഴുക്ക്,redu
206,Dreck::N,അഴുക്ക്,pačak
207,Eisen::N,ഇരുമ്പ്,raud
208,Gold::N,സ്വർണ്ണം,kuld
209,Silber::N,വെള്ളി,hobed
210,Kohle::N,കൽക്കരി,hil'
211,Glas::N,ഗ്ലാസ്,stökol
212,Lehm::N,കളിമണ്ണ്,savi
213,Sand::N,മണൽ,lete
214,Mensch::N,മനുഷ്യർ,mez'
215,Mensch::N,മനുഷ്യർ,ristit
216,Mann::N,പുരുഷൻ,mez'
217,Frau::N,സ്ത്രീ,naine
218,Kind::N,കുഞ്ഞ്,laps'
219,Junge::N,ആൺകുട്ടി,poig
220,Junge::N,ആൺകുട്ടി,prihaine
221,Mädchen::N,പെൺകുട്ടി,neičukaine
222,Familie::N,കുടുംബം,kanz
223,Familie::N,കുടുംബം,pereh
224,Großvater::N,അപ്പൂപ്പൻ,ded
225,Großmutter::N,അമ്മുമ്മ,bab
226,Eltern::N,മാതാപിതാക്കള്,vanhembad
227,Eltern::N,മാതാപിതാക്കള്,kazvatajad
228,Vater::N,അച്ഛൻ,tat
229,Mutter::N,അമ്മ,mam
230,Sohn::N,മകൻ,poig
231,Tochter::N,മകൾ,tütär
232,Bruder::N,ചേട്ടൻ,veik
233,Bruder::N,ചേട്ടൻ,vell'
234,Bruder::N,അനിയൻ,veik
235,Bruder::N,അനിയൻ,vell'
236,Schwester::N,ചേച്ചി,čiža
237,Schwester::N,ചേച്ചി,sizar
238,Schwester::N,അനിയത്തി,čiža
239,Schwester::N,അനിയത്തി,sizar
240,Onkel::N,അമ്മാവൻ,däd'
241,Tante::N,മാമി,tädi
242,Ehemann::N,ഭർത്താവ്,mužik
243,Ehefrau::N,ഭാര്യ,ak
244,Freude::N,ആഹ്ലാദം,ilo
245,Freude::N,ആഹ്ലാദം,ihastuz
246,Gelächter::N,ചിരിയുടെ ശബ്ദം,nagr
247,Glück::N,സന്തോഷം,oza
248,Glück::N,സന്തുഷ്ടി,oza
249,Kummer::N,ശോകം,gor'a
250,Wunsch::N,ആഗ്രഹം,taht
251,Lust::N,ആഗ്രഹം,himo
252,Geist::N,ചുറുചുറുക്ക്,heng
253,Gedanke::N,ചിന്ത,meletuz
254,Gedächtnis::N,ഓർമ്മശക്തി,mušt
255,Verstand::N,മനസ്സ്,mel'
256,Sinn::N,അർത്ഥം,jüvä
257,Grund::N,കാരണം,sü
258,Wahrheit::N,സത്യം,tozi
259,Gespräch::N,സല്ലാപം,lodu
260,Gespräch::N,സല്ലാപം,pagin
261,Märchen::N,യക്ഷിക്കഥ,sarn
262,Erzählung::N,കഥ,sanutez
263,Nachricht::N,സന്ദേശം,tedotuz
264,Neuigkeit::N,വാർത്ത,uzištuz
265,Name::N,പേര്,nimi
266,Rätsel::N,പ്രഹേളിക,ozoitez
267,Rede::N,സംസാരം,pagin
268,Rede::N,സംസാരം,sanad
269,Sprache::N,ഭാഷ,kel'
270,Stimme::N,സ്വരം,än'
