,Concept_ID,ca,hu
0,Auge::N,ull,szem
1,Ohr::N,orella,fül
2,Nase::N,nas,orr
3,Mund::N,boca,száj
4,Zahn::N,dent,fog
5,Zunge::N,llēngua,nyelv
6,Lippe::N,llavi,ajak
7,Wange::N,galta,orca
8,Gesicht::N,cara,arc
9,Stirn::N,front,homlok
10,Haar::N,cabēll,haj
11,Schnurrbart::N,bigoti,bajusz
12,Bart::N,barba,szakáll
13,Kinn::N,mentó,áll
14,Kinn::N,barbeta,áll
15,Kiefer[Anatomie]::N,queix,állkapocs
16,Kiefer[Anatomie]::N,mandíbula,állkapocs
17,Kehle::N,gola,gége
18,Kehle::N,gola,torok
19,Kehle::N,gorja,gége
20,Kehle::N,gorja,torok
21,Hals::N,coll,nyak
22,Genick::N,nuca,tarkó
23,Kopf::N,cap,fő
24,Kopf::N,cap,fej
25,Rücken::N,esquena,hát
26,Bauch::N,panxa,has
27,Nabel::N,llombrígol,köldök
28,Busen::N,pit,mell
29,Busen::N,pit,kebel
30,Busen::N,mama,mell
31,Busen::N,mama,kebel
32,Brust::N,pit,mell
33,Schulter::N,espatlla,váll
34,Arm::N,braç,kar
35,Ellenbogen::N,colze,könyök
36,Hand::N,mà,kéz
37,Handfläche::N,palma,tenyér
38,Finger::N,dit,ujj
39,Fingernagel::N,ungla,köröm
40,Nagel[Anatomie]::N,ungla,köröm
41,Zeh::N,dit del peu,lábujj
42,Fuß::N,peu,láb
43,Ferse::N,taló,sarok
44,Knie::N,genoll,térd
45,Oberschenkel::N,cuixa,comb
46,Bein::N,cama,láb
47,Bein::N,cama,lábszár
48,Körper::N,cos,test
49,Haut::N,pell,bőr
50,Blut::N,sang,vér
51,Ader::N,vena,ér
52,Sehne::N,tendó,ín
53,Knochen::N,os,csont
54,Gehirn::N,cervell,agy
55,Gehirn::N,cervell,agyvelő
56,Herz::N,cor,szív
57,Magen::N,estómac,gyomor
58,Leber::N,fetge,máj
59,Atem::N,alè,lehelet
60,Atem::N,alè,lélegzet
