,Concept_ID,xal,el
0,Auge::N,нүдн,μάτι
1,Auge::N,нүдн,οφθαλμός
2,Ohr::N,чикн,αυτί
3,Nase::N,хамр,μύτη
4,Mund::N,амн,στόμα
5,Zahn::N,шүдн,δόντι
6,Zunge::N,келн,γλώσσα
7,Lippe::N,урл,χείλος
8,Wange::N,халх,παρειά
9,Wange::N,халх,μάγουλο
10,Gesicht::N,нүр,πρόσωπο
11,Stirn::N,маңна,μέτωπο
12,Haar::N,үсн,μαλλιά
13,Schnurrbart::N,сахл,μουστάκι
14,Bart::N,сахл,γένια
15,Bart::N,өргнә сахл,γένια
16,Kinn::N,өргн,πιγούνι
17,Kiefer[Anatomie]::N,өргн,σαγόνι
18,Kehle::N,хол,λαρύγγι
19,Hals::N,күзүн,λαιμός
20,Genick::N,гиҗг,σβέρκος
21,Kopf::N,толһа,κεφάλι
22,Rücken::N,нурһн,ράχη
23,Bauch::N,гесн,κοιλιά
24,Nabel::N,киисн,αφαλός
25,Busen::N,көкн,στήθος
26,Brust::N,чееҗ,στήθος
27,Schulter::N,ээм,ώμος
28,Arm::N,һар,χέρι
29,Arm::N,һар,μπράτςο
30,Ellenbogen::N,тоха,αγκώνας
31,Hand::N,баһлцг,χέρι
32,Handfläche::N,альхн,παλάμη
33,Finger::N,хурһн,δάχτυλο
34,Finger::N,һарин хурһн,δάχτυλο
35,Fingernagel::N,хумсн,νύχι
36,Nagel[Anatomie]::N,хумсн,νύχι
37,Zeh::N,хурһн,δάχτυλο του ποδιού
38,Zeh::N,көлин хурһн,δάχτυλο του ποδιού
39,Fuß::N,тавг,πόδι
40,Ferse::N,өскә,φτέρνα
41,Knie::N,өвдг,γόνατο
42,Oberschenkel::N,һуй,μηρός
43,Bein::N,көл,πόδι
44,Körper::N,махмуд,σώμα
45,Körper::N,махмуд,κορμί
46,Haut::N,арсн,πετσί
47,Blut::N,цусн,αίμα
48,Ader::N,судцн,φλέβα
49,Sehne::N,шүрүсн,νεύρο
50,Sehne::N,шүрүсн,τένοντας
51,Knochen::N,ясн,οστό
52,Knochen::N,ясн,κόκκαλο
53,Gehirn::N,экн,μυαλό
54,Gehirn::N,экн,εγκέφαλος
55,Herz::N,зүркн,καρδιά
56,Magen::N,гесн,στομάχι
57,Leber::N,элкн,ήπαρ
58,Leber::N,элкн,συκωτί
59,Atem::N,әмсхл,αναπνοή
60,Hunger::N,харһнлһн,πείνα
61,Träne::N,нульмсн,δάκρυ
62,Geschmack::N,амтн,γεύση
63,Geruch::N,үнр,οσμή
64,Geruch::N,үнр,μυρωδία
65,Schlaf::N,нөр,ύπνος
66,Traum::N,зүүдн,όνειρο
67,Himmel::N,теңгр,ουρανός
68,Sonne::N,нарн,ήλιος
69,Mond::N,сар,σελήνη
70,Mond::N,сар,φεγγάρι
71,Stern::N,одн,άστρο
72,Stern::N,одн,αστέρι
73,Luft::N,аһар,αέρας
74,Wind::N,салькн,αέρας
75,Wind::N,салькн,άνεμος
76,Welle::N,дольган,κύμα
77,Wasser::N,усн,νερό
78,Stein::N,чолун,πέτρα
79,Boden::N,Һазр,χώμα
80,Erde::N,Һазр,γη
81,Staub::N,тоосн,σκόνη
82,Rauch::N,утан,καπνός
83,Funke::N,очн,σπίθα
84,Funke::N,очн,σπινθήρας
85,Feuer::N,һал,φωτιά
86,Licht::N,герл,φως
87,Schatten::N,сүүдр,σκιά
88,Schatten::N,сүүдр,ίσκιος
89,Wetter::N,теңгр,καιρός
90,Nebel::N,будн,ομίχλη
91,Wolke::N,үүлн,σύννεφο
92,Regen::N,хур,βροχή
93,Schnee::N,цасн,χιόνι
94,Eis::N,мөсн,πάγος
95,Frost::N,киитн,παγωνία
96,Kälte::N,киитн,κρύο
97,Kälte::N,киитн,ψύχος
98,Hitze::N,халун,ζέστη
99,Raureif::N,цаң,πάχνη
100,Raureif::N,кирү,πάχνη
101,Regenbogen::N,солңһ,ουράνιο τόξο
102,Donner::N,оһтрһун дун,βροντή
103,Strömung::N,урсхл,ρεύμα
104,Tropfen::N,дусал,στάλα
105,Schaum::N,көөсн,αφρός
106,Schmutz::N,кир,βρωμιά
107,See::N,нур,λίμνη
108,Sumpf::N,унул,βάλτος
109,Moor::N,улм,έλος
110,Wiese::N,хадлһн,λιβάδι
111,Wald::N,ө-модн,δάσος
112,Hügel::N,толһа,λόφος
113,Anhöhe::N,хамр,ύψωμα
114,Berg::N,уул,όρος
115,Berg::N,уул,βουνό
116,Gipfel::N,ора,κορυφή
117,Höhle::N,хадин көндә,σπηλιά
118,Abhang::N,ташу,πλαγιά
119,Quelle::N,булг,πηγή
120,Quelle::N,булг,βρύση
121,Bach::N,һооҗур,ρυάκι
122,Fluss::N,һол,ποτάμι
123,Fluss::N,һол,ποταμός
124,Ufer::N,көвә,όχθη
125,Küste::N,көвә,ακτή
126,Küste::N,көвә,ακρογιαλιά
127,Küste::N,теңгсин көвә,ακτή
128,Küste::N,теңгсин көвә,ακρογιαλιά
129,Festland::N,хүүрә һазр,στεριά
130,Meer::N,теңгс,θάλασσα
131,Bucht::N,цекә,κόλπος
132,Bucht::N,теңгсин цекә,κόλπος
133,Insel::N,арл,νησί
134,Insel::N,арл,νήσος
135,Blume::N,цецг,άνθος
136,Blume::N,цецг,λουλούδι
137,Gras::N,ноһан,χόρτο
138,Gras::N,ноһан,χορτάρι
139,Wurzel::N,уңг,ρίζα
140,Baum::N,модн,δέντρο
141,Stamm::N,шилв,κορμός
142,Stamm::N,һол модн,κορμός
143,Rinde::N,көрсн,φλούδα
144,Ast::N,ац,κλαδί
145,Zweig::N,ац,κλαδί
146,Zweig::N,ац,κλάδος
147,Blatt::N,хамтхасн,φύλλο
148,Birke::N,хусм модн,σημύδα
149,Kiefer[Baum]::N,шар харһа,πεύκο
150,Weide[Baum]::N,удн,ιτιά
151,Tanne::N,җөөлн цаһан модн,έλατο
152,Horn::N,өвр,κέρας
153,Horn::N,өвр,κέρατο
154,Feder::N,өрвлг,φτερό
155,Fell::N,арсн,δέρμα
156,Fell::N,арсн,τομάρι
157,Flügel::N,җивр,πτερύγιο
158,Klaue::N,хумсн,κουλό
159,Kralle::N,тавг,νύχι
160,Schwanz::N,сүл,ουρά
161,Ei::N,өндгн,αβγό
162,Nest::N,үр,φωλιά
163,Bau::N,нүкн,φωλιά
164,Tier::N,мал,ζώο
165,Herde::N,сүрг мал,κοπάδι
166,Kuh::N,үкр,αγελάδα
167,Bulle::N,бух,ταύρος
168,Pferd::N,мөрн,άλογο
169,Schaf::N,хөн,πρόβατο
170,Schwein::N,һаха,γουρούνι
171,Hund::N,ноха,σκυλί
172,Hund::N,ноха,σκύλος
173,Katze::N,мис,γάτα
174,Bär::N,аю,άρκτος
175,Bär::N,аю,αρκούδα
176,Eichhörnchen::N,кермн,βερβερίτσα
177,Elch::N,хандһа,άλκη
178,Fuchs::N,арат,αλεπού
179,Hase::N,туула,λαγός
180,Maus::N,хулһн,ποντικός
181,Wolf::N,чон,λύκος
182,Vogel::N,шовун,πουλί
183,Schwarm::N,зел,σμήνος
184,Huhn::N,така,κότα
185,Huhn::N,така,όρνιθα
186,Hahn::N,эр така,πετεινός
187,Gans::N,һалун,χήνα
188,Adler::N,һәрд,αετός
189,Ente::N,нуһсн,πάπια
190,Eule::N,һурвлһ,κουκουβάγια
191,Kranich::N,тоһрун,γερανός
192,Krähe::N,шаазһа,καρακάξα
193,Kuckuck::N,эргин хуцдг,κούκος
194,Schwan::N,хун,κύκνος
195,Fisch::N,заһсн,ψάρι
196,Barsch::N,шүрг,πέρκα
197,Hecht::N,цурх,λούτσος
198,Schlange[Tier]::N,моһа,φίδι
199,Wurm::N,өтн,σκουλήκι
200,Spinne::N,аралҗн,αράχνη
201,Ameise::N,шорһлҗн,μυρμήγκι
202,Laus::N,бөөсн,ψείρα
203,Mücke::N,бөкүн,κουνούπι
204,Fliege::N,батхн,μύγα
205,Schmetterling::N,эрвәкә,πεταλούδα
206,Beere::N,бөөлҗрһн,ρόγα
207,Apfel::N,альмн,μήλο
208,Pilz::N,теңгрин ки,μανιτάρι
209,Zwiebel::N,мәңгрснә толһа,κρεμμύδι
210,Saat::N,буудян экн,σπόρος
211,Korn::N,экн,σπυρί
212,Heu::N,өвсн,σανός
213,Schale::N,хальсн,τσόφλι
214,Grube::N,нүкн,λάκκος
215,Falle::N,урх,παγίδα
216,Falle::N,хавх,παγίδα
217,Schlinge::N,бүтү,θηλειά
218,Spur::N,мөр,ίχνος
219,Asche::N,үмсн,στάχτη
220,Dreck::N,бальчг,βρωμιά
221,Eisen::N,төмр,σίδερο
222,Gold::N,алтн,μάλαμα
223,Gold::N,алтн,χρυσάφι
224,Silber::N,мөңгн,ασήμι
225,Silber::N,мөңгн,άργυρος
226,Silber::N,цаһан мөңгн,ασήμι
227,Silber::N,цаһан мөңгн,άργυρος
228,Kohle::N,нүүрсн,κάρβουνο
229,Glas::N,шил,γυαλί
230,Lehm::N,шавр,πηλός
231,Sand::N,элсн,άμμος
232,Mensch::N,күн,άνθρωπος
233,Mensch::N,күмн,άνθρωπος
234,Mann::N,эр,άνδρας
235,Frau::N,күүкд күн,γυναίκα
236,Kind::N,үрн,παιδί
237,Junge::N,көвүн,αγόρι
238,Mädchen::N,бичкн күүкн,κοπέλα
239,Mädchen::N,бичкн күүкн,κορίτσι
240,Familie::N,бүл,οικογένεια
241,Großvater::N,өвк эцк,παππούς
242,Großvater::N,наһц эцк,παππούς
243,Großmutter::N,эмг эк,γιαγιά
244,Großmutter::N,наһц эк,γιαγιά
245,Eltern::N,эк эцк хойр,γονείς
246,Vater::N,эцк,πατέρας
247,Mutter::N,эк,μητέρα
248,Sohn::N,көвүн,γιος
249,Tochter::N,күүкн,κόρη
250,Bruder::N,дү көвүн,αδελφός
251,Schwester::N,эгч,αδελφή
252,Schwester::N,дү күүкн,αδελφή
253,Onkel::N,авһ,θείος
254,Onkel::N,наһцх,θείος
255,Tante::N,наһц эгч,θεία
