,Concept_ID,te,ro
0,Auge::N,కన్ను,ochi
1,Ohr::N,చెవి,ureche
2,Nase::N,ముక్కు,nas
3,Mund::N,నోరు,gură
4,Zahn::N,పల్లు,dinte
5,Zunge::N,నాలుక,limbă
6,Lippe::N,పెదవి,buză
7,Wange::N,చెంప,bucă
8,Wange::N,చెంప,obraz
9,Gesicht::N,ముఖము,față
10,Gesicht::N,ముఖము,figură
11,Stirn::N,నుదురు,frunte
12,Haar::N,వెండ్రుక,păr
13,Schnurrbart::N,మీసము,mustață
14,Bart::N,గడ్డము,barbă
15,Kinn::N,గడ్డము,bărbie
16,Kiefer[Anatomie]::N,దౌడ,falcă
17,Kehle::N,గొంతు,beregată
18,Hals::N,మెడ,gât
19,Genick::N,మూపు,ceafă
20,Kopf::N,తల,cap
21,Rücken::N,వెన్ను,dos
22,Rücken::N,వెన్ను,spate
23,Rücken::N,వెన్ను,spinare
24,Bauch::N,కడుపు,burtă
25,Bauch::N,కడుపు,pântece
26,Nabel::N,బొడ్డు,buric
27,Busen::N,స్తనము,sân
28,Brust::N,ఱొమ్ము,piept
29,Schulter::N,భుజము,umăr
30,Schulter::N,భుజము,spate
31,Arm::N,చేయి,braț
32,Ellenbogen::N,మోచేయి,cot
33,Hand::N,చేయి,mână
34,Handfläche::N,అరచేయు,palmă
35,Finger::N,చేతిప్రేలు,deget
36,Fingernagel::N,గోరు,unghie
37,Nagel[Anatomie]::N,గోరు,unghie
38,Zeh::N,కాలిప్రేలు,deget de la picior
39,Fuß::N,అడుగు,picior
40,Ferse::N,మడమ,călcâi
41,Knie::N,మోకాలు,genunchi
42,Oberschenkel::N,తొడ,coapsă
43,Bein::N,కాలు,picior
44,Körper::N,కాయము,corp
45,Haut::N,చర్మము,piele
46,Blut::N,రక్తము,sânge
47,Ader::N,సిర,vână
48,Ader::N,సిర,arteră
49,Sehne::N,స్నాయువు,tendon
50,Knochen::N,ఎముక,os
51,Gehirn::N,మెదడు,creier
52,Herz::N,హృదయము,inimă
53,Magen::N,కడుపు,stomac
54,Leber::N,కాలేయము,ficat
55,Atem::N,ఉపిరి,răsuflare
56,Atem::N,ఉపిరి,respirație
57,Hunger::N,ఆకలి,foame
58,Träne::N,కన్నీటిచుక్క,lacrimă
59,Geschmack::N,రుచి,gust
60,Geruch::N,వాసన,miros
61,Schlaf::N,నిద్ర,somn
62,Traum::N,కల,vis
63,Himmel::N,ఆకాశము,cer
64,Sonne::N,సూర్యుడు,soare
65,Mond::N,చంద్రుడు,lună
66,Stern::N,నక్షత్రము,stea
67,Luft::N,గాలి,aer
68,Wind::N,వీచుచున్నగాలి,vânt
69,Welle::N,అల,val
70,Welle::N,అల,undă
71,Wasser::N,నీరు,apă
72,Stein::N,ఱాయి,piatră
73,Boden::N,నేల,sol
74,Boden::N,నేల,pământ
75,Erde::N,మన్ను,pământ
