,Concept_ID,es,lt
0,Auge::N,ojo,akis
1,Ohr::N,oreja,ausis
2,Nase::N,nariz,nosis
3,Mund::N,boca,burna
4,Zahn::N,diente,dantis
5,Zunge::N,lengua,liežuvis
6,Lippe::N,labio,lūpa
7,Wange::N,mejilla,žandas
8,Wange::N,mejilla,skruostas
9,Gesicht::N,cara,veidas
10,Stirn::N,frente,kakta
11,Haar::N,cabello,plaukai
12,Schnurrbart::N,bigote,ūsai
13,Bart::N,barba,barzda
14,Kinn::N,barbilla,smakras
15,Kiefer[Anatomie]::N,mandíbula,žandikaulis
16,Kehle::N,garganta,gerklė
17,Hals::N,cuello,kaklas
18,Genick::N,nuca,sprandas
19,Genick::N,cerviz,sprandas
20,Kopf::N,cabeza,galva
21,Rücken::N,espalda,nugara
22,Bauch::N,vientre,pilvas
23,Nabel::N,ombligo,bamba
24,Busen::N,pecho,krūtinė
25,Brust::N,pecho,krūtis
26,Schulter::N,hombro,petys
27,Arm::N,brazo,ranka
28,Ellenbogen::N,codo,alkūnė
29,Hand::N,mano,ranka
30,Hand::N,mano,plaštaka
31,Handfläche::N,palma,delnas
32,Handfläche::N,palma,plaštaka
33,Finger::N,dedo,pirštas
34,Fingernagel::N,uña,nagas
35,Nagel[Anatomie]::N,uña,nagas
36,Zeh::N,dedo del pie,pirštas
37,Fuß::N,pie,pėda
38,Ferse::N,talón,kulnas
39,Knie::N,rodilla,kelis
40,Oberschenkel::N,muslo,kulšis
41,Oberschenkel::N,muslo,šlaunis
42,Bein::N,pierna,koja
43,Körper::N,cuerpo,kūnas
44,Haut::N,piel,oda
45,Blut::N,sangre,kraujas
46,Ader::N,vena,kraujagyslė
47,Sehne::N,tendón,sausgyslė
48,Knochen::N,hueso,kaulas
49,Gehirn::N,cerebro,smegenys
50,Gehirn::N,encéfalo,smegenys
51,Herz::N,corazón,širdis
52,Magen::N,estómago,skrandis
53,Leber::N,hígado,kepenys
54,Atem::N,aliento,kvapas
55,Hunger::N,hambre,badas
56,Hunger::N,hambre,alkis
57,Träne::N,lágrima,ašara
58,Geschmack::N,gusto,skonis
59,Geruch::N,olor,kvapas
60,Schlaf::N,sueño,miegas
61,Traum::N,sueño,sapnas
62,Traum::N,ensueño,sapnas
63,Himmel::N,cielo,dangus
64,Sonne::N,sol,saulė
65,Mond::N,luna,mėnulis
66,Stern::N,estrella,žvaigždė
67,Luft::N,aire,oras
68,Wind::N,viento,vėjas
69,Welle::N,ola,banga
70,Welle::N,ola,vilnis
71,Welle::N,onda,banga
72,Welle::N,onda,vilnis
73,Wasser::N,agua,vanduo
74,Stein::N,piedra,akmuo
75,Boden::N,suelo,žemė
76,Boden::N,suelo,dugnas
77,Erde::N,tierra,žemė
78,Staub::N,polvo,dulkės
79,Rauch::N,humo,dūmai
80,Funke::N,chispa,kibirkštis
81,Feuer::N,fuego,ugnis
82,Licht::N,luz,šviesa
83,Schatten::N,sombra,paūksmė
84,Wetter::N,tiempo,oras
85,Nebel::N,niebla,migla
86,Nebel::N,niebla,rūkas
87,Wolke::N,nube,debesis
88,Regen::N,lluvia,lietus
89,Schnee::N,nieve,sniegas
90,Eis::N,hielo,ledas
91,Frost::N,helada,šalna
92,Kälte::N,frío,šaltis
93,Hitze::N,calor,karštis
94,Raureif::N,escarcha,šerkšnas
95,Regenbogen::N,arco iris,vaivorykštė
96,Donner::N,trueno,perkūnas
97,Donner::N,trueno,griaustinis
98,Strömung::N,corriente,tėkmė
99,Tropfen::N,gota,lašas
100,Schaum::N,espuma,putos
101,Schmutz::N,suciedad,purvas
102,See::N,lago,ežeras
103,Sumpf::N,pantano,klampynė
104,Sumpf::N,pantano,liūnas
105,Moor::N,turbera,pelkė
106,Wiese::N,prado,pieva
107,Wiese::N,pradera,pieva
108,Wald::N,bosque,miškas
109,Hügel::N,colina,kalva
110,Anhöhe::N,cerro,kauburys
111,Berg::N,monte,kalnas
112,Berg::N,montaña,kalnas
113,Gipfel::N,cima,viršūnė
114,Gipfel::N,cumbre,viršūnė
115,Höhle::N,cueva,ola
116,Höhle::N,caverna,ola
117,Abhang::N,cuesta,šlaitas
118,Abhang::N,cuesta,nuokalnė
119,Abhang::N,declive,šlaitas
120,Abhang::N,declive,nuokalnė
121,Quelle::N,fuente,versmė
122,Quelle::N,fuente,šaltinis
123,Quelle::N,manantial,versmė
124,Quelle::N,manantial,šaltinis
125,Bach::N,arroyo,upelis
126,Fluss::N,río,upė
127,Ufer::N,orilla,krantas
128,Küste::N,costa,pajūris
129,Festland::N,tierra firme,sausuma
130,Meer::N,mar,jūra
131,Bucht::N,cala,įlanka
132,Bucht::N,cala,užutekis
133,Bucht::N,bahía,įlanka
134,Bucht::N,bahía,užutekis
135,Insel::N,isla,sala
136,Blume::N,flor,gėlė
137,Gras::N,hierba,žolė
138,Wurzel::N,raíz,šaknis
139,Baum::N,árbol,medis
140,Stamm::N,tronco,kamienas
141,Rinde::N,corteza,žievė
142,Ast::N,rama,šaka
143,Zweig::N,ramo,šakelė
144,Blatt::N,hoja,lapas
145,Birke::N,abedul,beržas
146,Kiefer[Baum]::N,pino,pušis
147,Weide[Baum]::N,sauce,karklas
148,Tanne::N,abeto,eglė
149,Tanne::N,abeto,kėnis
150,Horn::N,asta,ragas
151,Horn::N,cuerno,ragas
152,Feder::N,pluma,plunksna
153,Fell::N,piel,kailis
154,Flügel::N,ala,sparnas
155,Klaue::N,garra,kanopa
