,Concept_ID,kk,sk
0,Auge::N,көз,oko
1,Ohr::N,құлақ,ucho
2,Nase::N,мұрын,nos
3,Mund::N,ауыз,ústa
4,Zahn::N,тіс,zub
5,Zunge::N,тіл,jazyk
6,Lippe::N,ерін,pera
7,Wange::N,ұрт,líce
8,Gesicht::N,бет-аузы,tvár
9,Gesicht::N,бет-аузы,obličaj
10,Stirn::N,маңдай,čelo
11,Haar::N,қыл,vlas
12,Schnurrbart::N,мұрт,fúzy
13,Bart::N,сақал,brada
14,Kinn::N,иек,brada
15,Kiefer[Anatomie]::N,жақ,čeľusť
16,Kehle::N,алқым,hrdlo
17,Hals::N,мойын,krk
18,Genick::N,желке,väzy
19,Kopf::N,кәллә,hlava
20,Rücken::N,арқа,chrbát
21,Bauch::N,қарын,brucho
22,Nabel::N,кіндік,pupok
23,Busen::N,омырау,prsia
24,Brust::N,кеуде,hruď
25,Schulter::N,иық,plece
26,Arm::N,қол,rameno
27,Ellenbogen::N,шынтақ,lakeť
28,Hand::N,қол,ruka
29,Handfläche::N,алақан,dlaň
30,Finger::N,саусақ,prst
31,Fingernagel::N,тырнақ,necht
32,Nagel[Anatomie]::N,тырнақ,necht
33,Zeh::N,тырнақ,prst na nohe
34,Zeh::N,тұяқ,prst na nohe
35,Fuß::N,аяқ-басы,noha
36,Ferse::N,өкше,päta
37,Ferse::N,өкшелік,päta
38,Knie::N,тізе,koleno
39,Oberschenkel::N,жамбас,stehno
40,Bein::N,аяқ,noha
41,Körper::N,дене,telo
42,Haut::N,тері,koža
43,Blut::N,қан,krv
44,Ader::N,көктамыр,žila
45,Ader::N,күретамыр,žila
46,Sehne::N,сіңір,šľacha
47,Knochen::N,жілік,kosť
48,Gehirn::N,ми,mozog
49,Herz::N,жүрек,srdce
50,Magen::N,асқазан,žalúdok
51,Leber::N,бауыр,pečeň
52,Atem::N,леп,dych
53,Hunger::N,ашаршылық,hlad
54,Träne::N,жас,slza
55,Geschmack::N,дәм,chuť
56,Geschmack::N,татым,chuť
57,Geschmack::N,талғам,chuť
58,Geruch::N,иіс,pach
59,Schlaf::N,ұйқы,spánok
60,Schlaf::N,ұйықтау,spánok
61,Traum::N,түс,sen
62,Himmel::N,аспан,nebo
63,Himmel::N,көқ,nebo
64,Himmel::N,таңдай,nebo
65,Sonne::N,күн,slnko
66,Mond::N,ай,mesiac
67,Stern::N,жұлдыз,hviezda
68,Luft::N,әуе,vzduch
69,Wind::N,жел,vietor
70,Welle::N,толқын,vlna
71,Wasser::N,су,voda
72,Stein::N,тас,kameň
73,Boden::N,қыртыс,zem
74,Boden::N,қыртыс,pôda
75,Erde::N,топырақ,zem
76,Staub::N,шаң,prach
77,Rauch::N,түтін,dym
78,Funke::N,ұшқын,iskra
79,Feuer::N,алау,oheň
80,Licht::N,шұғыла,svetlo
81,Schatten::N,көлеңке,tieň
82,Wetter::N,ауа райы,počasie
83,Nebel::N,тұман,hmla
84,Wolke::N,бұлт,oblak
85,Wolke::N,бұлт,mračno
86,Regen::N,жаңбыр,dážď
87,Schnee::N,қар,sneh
88,Eis::N,мұз,ľad
89,Frost::N,суық,mráz
90,Kälte::N,ызғар,zima
91,Kälte::N,ызғар,chlad
92,Kälte::N,суықтық,zima
93,Kälte::N,суықтық,chlad
94,Hitze::N,аптап,horúčava
95,Raureif::N,қырау,srieň
96,Raureif::N,қырау,inovať
97,Regenbogen::N,кемпірқосақ,dúha
98,Donner::N,күн күркіреу,hrom
99,Strömung::N,ағын,prúdenie
100,Tropfen::N,тамшы,kvapka
101,Schaum::N,көбік,pena
102,Schmutz::N,кір,špina
