,Concept_ID,te,hr
0,Auge::N,కన్ను,oko
1,Ohr::N,చెవి,uho
2,Nase::N,ముక్కు,nos
3,Mund::N,నోరు,usta
4,Zahn::N,పల్లు,zub
5,Zunge::N,నాలుక,jezik
6,Lippe::N,పెదవి,usna
7,Wange::N,చెంప,obraz
8,Gesicht::N,ముఖము,lice
9,Stirn::N,నుదురు,čelo
10,Haar::N,వెండ్రుక,kosa
11,Schnurrbart::N,మీసము,brkovi
12,Bart::N,గడ్డము,brada
13,Kinn::N,గడ్డము,brada
14,Kinn::N,గడ్డము,podbradak
15,Kiefer[Anatomie]::N,దౌడ,čeljust
16,Kehle::N,గొంతు,grlo
17,Hals::N,మెడ,vrat
18,Genick::N,మూపు,zatiljak
19,Kopf::N,తల,glava
20,Rücken::N,వెన్ను,leđa
21,Rücken::N,వెన్ను,hrbat
22,Bauch::N,కడుపు,trbuh
23,Nabel::N,బొడ్డు,pupak
24,Busen::N,స్తనము,sisa
25,Busen::N,స్తనము,njedra
26,Brust::N,ఱొమ్ము,prsa
27,Schulter::N,భుజము,rame
28,Schulter::N,భుజము,pleći
29,Arm::N,చేయి,ruka
30,Ellenbogen::N,మోచేయి,lakat
31,Hand::N,చేయి,ruka
32,Handfläche::N,అరచేయు,dlan
33,Finger::N,చేతిప్రేలు,prst
34,Fingernagel::N,గోరు,nokat
35,Nagel[Anatomie]::N,గోరు,nokat
36,Zeh::N,కాలిప్రేలు,nozni prst
37,Fuß::N,అడుగు,noga
38,Fuß::N,అడుగు,stopalo
39,Ferse::N,మడమ,peta
40,Knie::N,మోకాలు,koljeno
41,Oberschenkel::N,తొడ,bedro
42,Bein::N,కాలు,noga
43,Körper::N,కాయము,tijelo
44,Haut::N,చర్మము,put
45,Haut::N,చర్మము,koža
46,Blut::N,రక్తము,krv
47,Ader::N,సిర,žila
48,Sehne::N,స్నాయువు,tetiva
49,Knochen::N,ఎముక,kost
50,Gehirn::N,మెదడు,
51,Herz::N,హృదయము,srce
52,Magen::N,కడుపు,stomak
53,Magen::N,కడుపు,želudac
54,Leber::N,కాలేయము,jetra
55,Atem::N,ఉపిరి,dah
56,Hunger::N,ఆకలి,glad
57,Träne::N,కన్నీటిచుక్క,suza
58,Geschmack::N,రుచి,ukus
59,Geruch::N,వాసన,njuh
60,Geruch::N,వాసన,miris
61,Schlaf::N,నిద్ర,san
62,Traum::N,కల,san
63,Himmel::N,ఆకాశము,nebo
64,Sonne::N,సూర్యుడు,sunce
65,Mond::N,చంద్రుడు,mjesec
66,Stern::N,నక్షత్రము,zvijezda
67,Luft::N,గాలి,zrak
68,Wind::N,వీచుచున్నగాలి,vjetar
69,Welle::N,అల,val
70,Welle::N,అల,talas
71,Wasser::N,నీరు,voda
72,Stein::N,ఱాయి,kamen
73,Boden::N,నేల,tlo
74,Boden::N,నేల,zemlja
75,Erde::N,మన్ను,zemlja
76,Staub::N,దుమ్ము,prah
77,Staub::N,దుమ్ము,prašina
78,Rauch::N,పొగ,dim
79,Funke::N,అగ్నికణము,iskra
80,Funke::N,అగ్నికణము,varnica
81,Feuer::N,అగ్ని,vatra
82,Licht::N,కాంతి,svjetlo
83,Schatten::N,నీడ,hlad
84,Schatten::N,నీడ,sjena
85,Wetter::N,వాతావరణ స్థితి,vrijeme
86,Nebel::N,పొగమంచు,magla
87,Wolke::N,మేఘము,oblak
88,Regen::N,వాన,kiša
89,Schnee::N,హిమము,snijeg
90,Eis::N,మంచుగడ్డ,led
91,Frost::N,పేరిన మంచు,mraz
92,Kälte::N,చలి,studen
93,Kälte::N,చలి,hladnoća
94,Hitze::N,వేడిమి,vrućina
95,Raureif::N,మంచు,inje
96,Regenbogen::N,ఇంద్రధనుస్సు,duga
97,Donner::N,ఉరుము,grom
98,Donner::N,ఉరుము,grmljavina
99,Strömung::N,ప్రవాహము,struja
100,Strömung::N,ప్రవాహము,strujanje
101,Tropfen::N,చుక్క,kap
102,Tropfen::N,చుక్క,kaplja
103,Schaum::N,నురుగు,pjena
104,Schmutz::N,మైల,nečistoća
105,Schmutz::N,మైల,prljavština
106,See::N,సరస్సు,jezero
107,Sumpf::N,చిత్తడినేల,bara
108,Moor::N,చిత్తడినేల,močvara
109,Wiese::N,పచ్చిక బయలు,livada
110,Wald::N,అడవి,šuma
111,Hügel::N,చివ్నకొండ,brijeg
112,Hügel::N,చివ్నకొండ,brežuljak
113,Anhöhe::N,కొండ,uzvišica
114,Berg::N,పర్వతము,brdo
115,Gipfel::N,శిఖరము,vrh
116,Höhle::N,గుహ,pećina
117,Höhle::N,గుహ,spilja
118,Abhang::N,ఏటవాలు,obronak
119,Abhang::N,ఏటవాలు,nizbrdica
120,Quelle::N,మూలము,izvor
121,Quelle::N,మూలము,vrelo
122,Bach::N,కాలువ,potok
123,Fluss::N,నది,rijeka
124,Ufer::N,తీరము,obala
125,Küste::N,తీరము,obala
126,Küste::N,తీరము,morska obala
127,Festland::N,భూమి,kopno
128,Meer::N,సముద్రము,more
129,Bucht::N,మరుగు,zaliv
130,Insel::N,దీవి,ada
131,Insel::N,దీవి,otok
132,Blume::N,పుష్పము,cvijet
