,Concept_ID,xal,av
0,Auge::N,нүдн,
1,Ohr::N,чикн,гӏин
2,Nase::N,хамр,мегӏер
3,Mund::N,амн,кӏал
4,Zahn::N,шүдн,гӏус
5,Zunge::N,келн,мацӏ
6,Lippe::N,урл,кӏветӏ
7,Wange::N,халх,гӏоно
8,Gesicht::N,нүр,гьумер
9,Stirn::N,маңна,нодо
10,Haar::N,үсн,рас
11,Schnurrbart::N,сахл,михъ
12,Bart::N,сахл,мегеж
13,Bart::N,өргнә сахл,мегеж
14,Kinn::N,өргн,нилъу
15,Kiefer[Anatomie]::N,өргн,чанагъ
16,Kehle::N,хол,щекъер
17,Hals::N,күзүн,габур
18,Genick::N,гиҗг,гъванща
19,Kopf::N,толһа,бетӏер
20,Rücken::N,нурһн,мугъ
21,Bauch::N,гесн,чехь
22,Nabel::N,киисн,цӏину
23,Busen::N,көкн,керен
24,Brust::N,чееҗ,керен
25,Schulter::N,ээм,гъажазубетӏер
26,Arm::N,һар,гъеж
27,Ellenbogen::N,тоха,гӏункӏрукь
28,Hand::N,баһлцг,квер
29,Handfläche::N,альхн,огъохъат
30,Handfläche::N,альхн,жанисахъат
31,Finger::N,хурһн,килищ
32,Finger::N,һарин хурһн,килищ
33,Fingernagel::N,хумсн,малъ
34,Nagel[Anatomie]::N,хумсн,малъ
35,Zeh::N,хурһн,килищ
36,Zeh::N,көлин хурһн,килищ
37,Fuß::N,тавг,хӏетӏ
38,Fuß::N,тавг,хӏетӏе
39,Ferse::N,өскә,эгъе
40,Knie::N,өвдг,наку
41,Oberschenkel::N,һуй,мачӏ
42,Bein::N,көл,бох
43,Körper::N,махмуд,къаркъала
44,Haut::N,арсн,тӏом
45,Blut::N,цусн,би
46,Ader::N,судцн,бидурихь
47,Sehne::N,шүрүсн,
48,Knochen::N,ясн,ракьа
49,Gehirn::N,экн,гӏадалнах
50,Herz::N,зүркн,ракӏ
51,Magen::N,гесн,кванирукъ
52,Leber::N,элкн,тӏул
53,Atem::N,әмсхл,хӏухь
54,Hunger::N,харһнлһн,ракъи
55,Träne::N,нульмсн,магӏу
56,Geschmack::N,амтн,тату
57,Geruch::N,үнр,махӏ
58,Schlaf::N,нөр,макьу
59,Traum::N,зүүдн,макьу
60,Himmel::N,теңгр,зоб
61,Sonne::N,нарн,бакъ
62,Mond::N,сар,моцӏ
63,Stern::N,одн,цӏва
64,Luft::N,аһар,гьава
65,Wind::N,салькн,гьури
66,Welle::N,дольган,карачел
67,Wasser::N,усн,лъим
68,Stein::N,чолун,гьецӏо
69,Boden::N,Һазр,ракь
70,Erde::N,Һазр,ракь
71,Erde::N,Һазр,дуниял
72,Staub::N,тоосн,хӏур
73,Rauch::N,утан,кӏкӏуй
74,Funke::N,очн,
75,Feuer::N,һал,цӏа
76,Licht::N,герл,канлъи
77,Schatten::N,сүүдр,рагӏад
78,Wetter::N,теңгр,гьава-бакъ
79,Nebel::N,будн,гӏодобнакӏкӏ
80,Wolke::N,үүлн,накӏкӏ
81,Regen::N,хур,цӏад
82,Schnee::N,цасн,гӏазу
83,Eis::N,мөсн,цӏер
84,Frost::N,киитн,замгьари
85,Kälte::N,киитн,квач
86,Hitze::N,халун,багӏари
87,Raureif::N,цаң,мартӏ
88,Raureif::N,кирү,мартӏ
89,Regenbogen::N,солңһ,нур
90,Regenbogen::N,солңһ,чамбара
91,Donner::N,оһтрһун дун,гъугъай
92,Donner::N,оһтрһун дун,гъугъади
93,Strömung::N,урсхл,чвахи
94,Tropfen::N,дусал,резел
95,Tropfen::N,дусал,тӏинкӏ
96,Tropfen::N,дусал,къатӏра
97,Tropfen::N,дусал,тӏенкӏел
98,Schaum::N,көөсн,полоп
99,Schmutz::N,кир,чороклъи
100,See::N,нур,хӏор
101,Sumpf::N,унул,хьуцӏ
102,Moor::N,улм,
103,Wiese::N,хадлһн,мегъ
104,Wiese::N,хадлһн,гӏурдаллъи
105,Wald::N,ө-модн,рохь
106,Hügel::N,толһа,гохӏ
107,Anhöhe::N,хамр,сийитма
108,Berg::N,уул,мегӏер
109,Gipfel::N,ора,тӏогь
110,Höhle::N,хадин көндә,нохъо
111,Abhang::N,ташу,лабаллъи
112,Quelle::N,булг,ицц
113,Bach::N,һооҗур,лъар
114,Fluss::N,һол,гӏор
115,Ufer::N,көвә,рагӏал
116,Küste::N,көвә,рагӏал
117,Küste::N,теңгсин көвә,рагӏал
118,Festland::N,хүүрә һазр,ракь
119,Festland::N,хүүрә һазр,ракъдаллъи
120,Meer::N,теңгс,ралъад
121,Bucht::N,цекә,кӏветӏ
122,Bucht::N,теңгсин цекә,кӏветӏ
123,Insel::N,арл,чӏинкӏиллъи
124,Blume::N,цецг,тӏегь
125,Gras::N,ноһан,хер
126,Wurzel::N,уңг,кьибил
127,Baum::N,модн,гъветӏ
128,Stamm::N,шилв,рохти
129,Stamm::N,һол модн,рохти
130,Rinde::N,көрсн,макъар
131,Ast::N,ац,ноцӏ
132,Zweig::N,ац,гӏаркьел
133,Blatt::N,хамтхасн,тӏамах
134,Birke::N,хусм модн,мах
135,Birke::N,хусм модн,махигъветӏ
136,Kiefer[Baum]::N,шар харһа,накӏкӏигъветӏ
137,Weide[Baum]::N,удн,рицӏцӏ
138,Weide[Baum]::N,удн,рицӏцӏигъветӏ
139,Tanne::N,җөөлн цаһан модн,ёлка
140,Horn::N,өвр,лълъар
141,Feder::N,өрвлг,хӏули
142,Fell::N,арсн,тӏом
143,Fell::N,арсн,цӏоко
144,Flügel::N,җивр,кваркьи
145,Klaue::N,хумсн,галъ
146,Kralle::N,тавг,квачӏ
147,Kralle::N,тавг,катиквачӏ
148,Schwanz::N,сүл,рачӏ
149,Ei::N,өндгн,хоно
150,Nest::N,үр,бусен
151,Bau::N,нүкн,каратӏ
152,Tier::N,мал,хӏайван
153,Herde::N,сүрг мал,рехъен
154,Herde::N,сүрг мал,рехъед
155,Kuh::N,үкр,гӏака
156,Bulle::N,бух,оц
157,Pferd::N,мөрн,чу
158,Schaf::N,хөн,чахъу
159,Schwein::N,һаха,болъон
160,Hund::N,ноха,гьой
161,Katze::N,мис,кету
162,Bär::N,аю,ци
163,Eichhörnchen::N,кермн,гвангва
164,Elch::N,хандһа,
165,Fuchs::N,арат,цер
166,Hase::N,туула,гӏанкӏ
167,Maus::N,хулһн,гӏункӏкӏ
168,Wolf::N,чон,бацӏ
169,Vogel::N,шовун,хӏинчӏ
170,Schwarm::N,зел,тӏел
171,Huhn::N,така,гӏанкӏу
172,Hahn::N,эр така,хӏелеко
173,Gans::N,һалун,хъаз
174,Adler::N,һәрд,цӏум
175,Ente::N,нуһсн,ордек
176,Eule::N,һурвлһ,беццаруз
177,Kranich::N,тоһрун,къункъра
178,Krähe::N,шаазһа,гъеду
179,Kuckuck::N,эргин хуцдг,гагу
180,Schwan::N,хун,хӏанкъва
181,Fisch::N,заһсн,ччугӏа
182,Barsch::N,шүрг,окунь
183,Hecht::N,цурх,щука
184,Schlange[Tier]::N,моһа,борохь
185,Wurm::N,өтн,хӏапара
186,Spinne::N,аралҗн,хъанхъра
187,Ameise::N,шорһлҗн,цӏунцӏра
188,Laus::N,бөөсн,нацӏ
189,Mücke::N,бөкүн,кӏкӏара
190,Fliege::N,батхн,тӏутӏ
191,Schmetterling::N,эрвәкә,кӏалкӏучӏ
192,Beere::N,бөөлҗрһн,
193,Apfel::N,альмн,гӏеч
194,Pilz::N,теңгрин ки,гӏурдахӏан
195,Zwiebel::N,мәңгрснә толһа,кӏочӏопер
196,Saat::N,буудян экн,хьон
197,Korn::N,экн,мугь
198,Heu::N,өвсн,хер
199,Schale::N,хальсн,хъал
200,Grube::N,нүкн,гвенд
201,Falle::N,урх,къор
202,Falle::N,урх,къотен
203,Falle::N,хавх,къор
204,Falle::N,хавх,къотен
205,Schlinge::N,бүтү,кӏичӏ
206,Spur::N,мөр,лъалкӏ
207,Asche::N,үмсн,рахъу
208,Dreck::N,бальчг,гъиз
209,Dreck::N,бальчг,хӏарщ
210,Eisen::N,төмр,махх
211,Gold::N,алтн,месед
212,Silber::N,мөңгн,гӏарац
213,Silber::N,цаһан мөңгн,гӏарац
214,Kohle::N,нүүрсн,тӏурччи
215,Glas::N,шил,цӏер
216,Lehm::N,шавр,хӏатӏ
217,Sand::N,элсн,сали
218,Mensch::N,күн,чи
219,Mensch::N,күмн,чи
220,Mann::N,эр,бихьинчи
221,Frau::N,күүкд күн,гӏадан
222,Kind::N,үрн,лъимер
223,Junge::N,көвүн,вас
224,Mädchen::N,бичкн күүкн,яс
225,Familie::N,бүл,хъизан
226,Großvater::N,өвк эцк,кӏудада
227,Großvater::N,наһц эцк,кӏудада
228,Großmutter::N,эмг эк,кӏодо
229,Großmutter::N,наһц эк,кӏодо
230,Eltern::N,эк эцк хойр,эбел-эмен
231,Vater::N,эцк,эмен
232,Mutter::N,эк,эбел
233,Sohn::N,көвүн,вас
234,Tochter::N,күүкн,яс
235,Bruder::N,дү көвүн,вац
236,Schwester::N,эгч,яц
237,Schwester::N,дү күүкн,яц
238,Onkel::N,авһ,даци
239,Onkel::N,наһцх,даци
240,Tante::N,наһц эгч,ада
241,Ehemann::N,залу,рос
242,Ehefrau::N,гергн,чӏужу
243,Freude::N,байр,ракӏбохи
244,Gelächter::N,инәдн,релъи
245,Glück::N,җирһл,талихӏ
246,Glück::N,җирһл,талихӏ-рохел
247,Glück::N,сәәхн җирһл,талихӏ
248,Glück::N,сәәхн җирһл,талихӏ-рохел
249,Kummer::N,зовлң,хӏалкъай
250,Wunsch::N,дурн,къасд
251,Lust::N,җилвтлһн,гъира
252,Geist::N,зөрг,чӏанкӏ
253,Geist::N,зөрг,рухӏ-жан
254,Gedanke::N,ухан,пикру
255,Gedächtnis::N,чееҗин тодлвр,
256,Verstand::N,ухан,лумалъи
257,Verstand::N,ухан,цӏодорлъи
258,Sinn::N,учр-утх,магӏна
259,Grund::N,учр,багьана
260,Grund::N,шалтан,багьана
261,Wahrheit::N,үнн,ритӏухълъи
262,Gespräch::N,күүндвүр,накъит
263,Märchen::N,тууль,маргьа
264,Erzählung::N,келвр,къиса
265,Nachricht::N,медүллһн,хабар
266,Neuigkeit::N,зәңг,хабар-гӏазаб
267,Name::N,нерн,цӏар
268,Rätsel::N,тәәлвртә тууль,бицанкӏо
269,Rede::N,келлһн,речь
270,Rede::N,келлһн,калам
271,Sprache::N,келн,мацӏ
272,Stimme::N,дун,гьаракь
273,Wort::N,үг,рагӏи
274,Zeichen::N,темдг,ишара
275,Zeichen::N,темдг,гӏаламат
276,Ruf::N,дуудлһн,ахӏи
277,Lärm::N,шууган,хъуй
278,Lärm::N,шууган,хъуди
279,Laut::N,ә,гьаракь
280,Laut::N,ә,сас
281,Ton::N,дун,
282,Lied::N,дун,кечӏ
283,Ruhe::N,амулң,рахӏат
284,Leute::N,әмтн,гӏадамал
285,Volk::N,улс,халкъ
286,Arbeit::N,көдлмш,хӏалтӏи
287,Gast::N,гиич,гьобол
288,Geschenk::N,белг,сайигъат
289,Spiel::N,наадн,хӏай
290,Spiel::N,наадн,расанди
291,Gesellschaft::N,олн,жамагӏат
292,Hilfe::N,нөкд,кумек
293,Freund::N,иньг,гьудул
294,Kamerad::N,үр,гьалмагъ
295,Angelegenheit::N,керг,къваригӏел
296,Anzahl::N,то,рикӏкӏен
297,Art::N,зүүл,жинс
298,Stück::N,хусг,кесек
299,Teil::N,хүв,пай
300,Hälfte::N,өрәл,бащдаб
301,Kreis::N,төгрг,гор
302,Kreuz::N,кирс,хъанч
303,Linie::N,зурасн,мухъ
304,Strich::N,татасн,хӏучч
305,Abstand::N,зә,манзил
306,Entfernung::N,һазр,манзил
307,Gegend::N,һазр,рахъ
308,Platz::N,зә,бакӏ
309,Ort::N,бәәрн,бакӏ
310,Seite::N,тал,рахъ
311,Seite::N,хаҗу,рахъ
312,Seite::N,хәврһ,рахъ
313,Mitte::N,дунд,бакьулъбакӏ
314,Gegenstand::N,юмн,жо
315,Sache::N,юмн,жо
316,Rand::N,зах,мицӏир
317,Kante::N,ирмәг,рагӏал
318,Kante::N,ирмәг,рагӏа-ракьан
319,Ecke::N,өнцг,цили
320,Spitze::N,үзүр,тӏогь
321,Ende::N,үзүр,кӏал
322,Loch::N,хаһрха,каратӏ
323,Winkel::N,булң,
324,Muster::N,намч,накъиш
325,Größe::N,кемҗән,кӏодо́лъи
326,Länge::N,ут,халалъи
327,Höhe::N,өндр,борхалъи
328,Gewicht::N,күнд,бакӏлъи
329,Gewicht::N,чиңнүр,бакӏлъи
330,Menge::N,ик,
331,Haufen::N,ова,гъуни
332,Reihe::N,зерг,ирга́
333,Reihe::N,зерглән,ирга́
334,Boot::N,оңһц,раса
335,Ruder::N,хәәв,раххан
336,Schlitten::N,цан,чанагъ
337,Ski::N,лыҗ,лыжаби
338,Lagerfeuer::N,костёр,цӏа
339,Last::N,күнд,бакӏлъи
340,Gang::N,йовлһн,хьвади
341,Gang::N,йовлһн,хьвада-чӏвади
342,Schritt::N,ишкм,гали
343,Norden::N,ар үзг,шимал
344,Süden::N,өмн,юг
345,Süden::N,өмн,къибла
346,Süden::N,өмн үзг,юг
347,Süden::N,өмн үзг,къибла
348,Westen::N,барун,гъарб
349,Westen::N,барун,магъриб
350,Westen::N,барун үзг,гъарб
