,Concept_ID,lbe,hi
0,Auge::N,я,आँख
1,Auge::N,я,चक्षु
2,Ohr::N,вичӏи,कान
3,Ohr::N,вичӏи,कर्ण
4,Nase::N,май,नाक
5,Nase::N,май,नासा
6,Mund::N,кьацӏ,मुख
7,Mund::N,кьацӏ,मुँह
8,Zahn::N,ккарччи,दंत
9,Zahn::N,ккарччи,दाँत
10,Zunge::N,маз,जीभ
11,Zunge::N,маз,ज़बान
12,Zunge::N,маз,जिह्वा
13,Lippe::N,мурччи,ओंठ
14,Lippe::N,мурччи,होंठ
15,Wange::N,чӏав,गाल
16,Wange::N,чӏав,कपोल
17,Gesicht::N,лажин,मुँह
18,Gesicht::N,лажин,चेहरा
19,Stirn::N,ненттабакӏ,माथा
20,Stirn::N,ненттабакӏ,मस्तक
21,Haar::N,чӏара,बाल
22,Schnurrbart::N,ссирссилтту,मूँछें
23,Bart::N,чӏири,दाढ़ी
24,Kinn::N,лунттубакӏ,चिबुक
25,Kiefer[Anatomie]::N,ххинчулул,जबड़ा
26,Kehle::N,кьакьари,गला
27,Hals::N,ссурссу,गला
28,Hals::N,ссурссу,गरदन
29,Genick::N,махъабакӏ,गरदन
30,Genick::N,махъабакӏ,ग्रीवा
31,Kopf::N,бакӏ,सिर
32,Kopf::N,бакӏ,शीर्ष
33,Rücken::N,ттиликӏ,पीठ
34,Bauch::N,лякьа,उदर
35,Nabel::N,цӏумуккутӏ,नाभि
36,Nabel::N,цӏумуккутӏ,ढोंढी
37,Busen::N,ккукку,कुच
38,Busen::N,ккукку,स्तन
39,Brust::N,хъазам,वक्ष
40,Schulter::N,хъачӏ,कंधा
41,Schulter::N,хъачӏ,स्कंध
42,Arm::N,ка,बाँह
43,Arm::N,ка,बाज़ू
44,Ellenbogen::N,ссюрхъ,कुहनी
45,Hand::N,бартка,हाथ
46,Hand::N,бартка,हस्त
47,Handfläche::N,хъат,हथेली
48,Handfläche::N,битӏянхъ,हथेली
49,Finger::N,кӏисса,उँगली
50,Finger::N,кӏисса,अँगुली
51,Fingernagel::N,михь,नख
52,Fingernagel::N,михь,नाख़ून
53,Nagel[Anatomie]::N,михь,नख
54,Nagel[Anatomie]::N,михь,नाख़ून
55,Zeh::N,кӏисса,उँगली
56,Zeh::N,кӏисса,पाँव की उँगली
57,Fuß::N,чӏанччан,चरण
58,Fuß::N,чӏанччан,पाँव
59,Ferse::N,никъа,एड़ी
60,Knie::N,ник,जानु
61,Knie::N,ник,घुटना
62,Oberschenkel::N,жира,उरु
63,Bein::N,ччан,टाँग
64,Körper::N,чурх,तन
65,Körper::N,чурх,देह
66,Körper::N,чурх,शरीर
67,Haut::N,бурчу,चर्म
68,Haut::N,бурчу,त्वचा
69,Blut::N,оь,लहू
70,Blut::N,оь,ख़ून
71,Ader::N,тунну,रग
72,Ader::N,тунну,शिरा
