,Concept_ID,cs,uk
0,Auge::N,oko,око
1,Ohr::N,ucho,вухо
2,Nase::N,nos,ніс
3,Mund::N,pusa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язик
6,Lippe::N,ret,губа
7,Wange::N,tvář,щока
8,Gesicht::N,obličej,обличчя
9,Stirn::N,čelo,лоб
10,Haar::N,vlas,волосся
11,Haar::N,vlasy,волосся
12,Schnurrbart::N,kníry,вуса
13,Bart::N,vousy,борода
14,Kinn::N,brada,підборіддя
15,Kiefer[Anatomie]::N,čelist,щелепа
16,Kehle::N,hrdlo,горло
17,Hals::N,krk,шия
18,Genick::N,týl,потилиця
19,Kopf::N,hlava,голова
20,Rücken::N,záda,спина
21,Rücken::N,hřbet,спина
22,Bauch::N,břicho,живіт
23,Nabel::N,pupek,пупок
24,Busen::N,ňadra,груди
25,Brust::N,prsa,груди
26,Schulter::N,plece,плече
27,Schulter::N,rameno,плече
28,Arm::N,ruka,рука
29,Ellenbogen::N,loket,лікоть
30,Hand::N,ruka,рука
31,Handfläche::N,dlaň,долоня
32,Finger::N,prst,палець
33,Fingernagel::N,nehet,ніготь
34,Nagel[Anatomie]::N,nehet,ніготь
35,Zeh::N,prst u nohy,палець на нозі
36,Fuß::N,noha,нога
37,Ferse::N,pata,п’ятка
38,Knie::N,koleno,коліно
39,Oberschenkel::N,stehno,стегно
40,Bein::N,noha,нога
41,Körper::N,tělo,тіло
42,Haut::N,kůže,шкіра
43,Blut::N,krev,кров
44,Ader::N,céva,вена
45,Sehne::N,šlacha,сухожилля
46,Knochen::N,kost,кістка
47,Gehirn::N,mozek,мозок
48,Herz::N,srdce,серце
49,Magen::N,žaludek,шлунок
50,Leber::N,játra,печінка
51,Atem::N,dech,дихання
52,Hunger::N,hlad,голод
53,Träne::N,slza,сльоза
54,Geschmack::N,vkus,смак
55,Geruch::N,vůně,запах
56,Geruch::N,zápach,запах
57,Schlaf::N,spánek,сон
58,Schlaf::N,spánek,сплячка
59,Traum::N,sen,сон
60,Himmel::N,nebe,небо
61,Sonne::N,slunce,сонце
62,Mond::N,měsíc,місяць
63,Stern::N,hvězda,зірка
64,Luft::N,vzduch,повітря
65,Wind::N,vítr,вітер
66,Welle::N,vlna,хвиля
67,Wasser::N,voda,вода
68,Stein::N,kámen,камінь
69,Boden::N,půda,ґрунт
70,Erde::N,země,земля
71,Staub::N,prach,пил
72,Rauch::N,dým,дим
