,Concept_ID,pl,cs
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,pusa
4,Zahn::N,ząb,zub
5,Zunge::N,język,jazyk
6,Lippe::N,warga,ret
7,Wange::N,policzek,tvář
8,Gesicht::N,twarz,obličej
9,Stirn::N,czoło,čelo
10,Haar::N,włos,vlas
11,Haar::N,włos,vlasy
12,Haar::N,włosy,vlas
13,Haar::N,włosy,vlasy
14,Schnurrbart::N,wąsy,kníry
15,Bart::N,broda,vousy
16,Kinn::N,podbródek,brada
17,Kiefer[Anatomie]::N,czeluść,čelist
18,Kehle::N,gardło,hrdlo
19,Hals::N,szyja,krk
20,Genick::N,kark,týl
21,Kopf::N,głowa,hlava
22,Rücken::N,plecy,záda
23,Rücken::N,plecy,hřbet
24,Rücken::N,grzbiet,záda
25,Rücken::N,grzbiet,hřbet
26,Bauch::N,brzuch,břicho
27,Nabel::N,pępek,pupek
28,Busen::N,biust,ňadra
29,Brust::N,pierś,prsa
30,Schulter::N,bark,plece
31,Schulter::N,bark,rameno
32,Schulter::N,ramię,plece
33,Schulter::N,ramię,rameno
34,Arm::N,ręka,ruka
35,Arm::N,ramię,ruka
36,Ellenbogen::N,łokieć,loket
37,Hand::N,dłoń,ruka
38,Handfläche::N,dłoń,dlaň
39,Finger::N,palec,prst
40,Fingernagel::N,paznokieć,nehet
41,Nagel[Anatomie]::N,paznokieć,nehet
42,Zeh::N,palec,prst u nohy
43,Fuß::N,stopa,noha
44,Ferse::N,pięta,pata
45,Knie::N,kolano,koleno
46,Oberschenkel::N,udo,stehno
47,Bein::N,noga,noha
48,Körper::N,ciało,tělo
49,Haut::N,skóra,kůže
50,Blut::N,krew,krev
51,Ader::N,żyła,céva
52,Sehne::N,ścięgno,šlacha
53,Knochen::N,kość,kost
54,Gehirn::N,mózg,mozek
55,Herz::N,serce,srdce
56,Magen::N,żołądek,žaludek
57,Leber::N,wątroba,játra
58,Atem::N,dech,dech
59,Atem::N,oddech,dech
60,Hunger::N,głód,hlad
61,Träne::N,łza,slza
62,Geschmack::N,smak,vkus
63,Geruch::N,woń,vůně
64,Geruch::N,woń,zápach
65,Geruch::N,zapach,vůně
66,Geruch::N,zapach,zápach
67,Schlaf::N,sen,spánek
68,Traum::N,sen,sen
69,Himmel::N,niebo,nebe
70,Sonne::N,słońce,slunce
71,Mond::N,księżyc,měsíc
72,Stern::N,gwiazda,hvězda
73,Luft::N,powietrze,vzduch
74,Wind::N,wiatr,vítr
75,Welle::N,fala,vlna
76,Wasser::N,woda,voda
77,Stein::N,kamień,kámen
78,Boden::N,grunt,půda
79,Erde::N,ziemia,země
80,Staub::N,pył,prach
81,Staub::N,kurz,prach
82,Rauch::N,dym,dým
83,Rauch::N,dym,kouř
84,Funke::N,iskra,jiskra
85,Feuer::N,ogień,oheň
86,Licht::N,światło,světlo
87,Schatten::N,cień,stín
88,Wetter::N,pogoda,počasí
89,Nebel::N,mgła,mlha
90,Wolke::N,obłok,mrak
91,Wolke::N,obłok,oblak
92,Wolke::N,chmura,mrak
93,Wolke::N,chmura,oblak
94,Regen::N,deszcz,déšť
95,Schnee::N,śnieg,sníh
96,Eis::N,lód,led
97,Frost::N,mróz,mráz
98,Kälte::N,chłód,chlad
99,Hitze::N,gorąco,horko
100,Raureif::N,szron,jinovatka
101,Regenbogen::N,tęcza,duha
102,Donner::N,grzmot,hrom
103,Strömung::N,nurt,proudění
104,Tropfen::N,kropla,kapka
105,Schaum::N,piana,pěna
106,Schmutz::N,brud,špína
107,See::N,jezioro,jezero
108,Sumpf::N,bagno,močál
109,Sumpf::N,bagno,bažina
110,Moor::N,bagno,bažina
111,Moor::N,bagno,slatina
112,Wiese::N,łąka,louka
113,Wald::N,las,les
114,Hügel::N,pagórek,kopec
115,Anhöhe::N,wzgórze,pahorek
116,Berg::N,góra,hora
117,Gipfel::N,szczyt,vrchol
118,Gipfel::N,wierzchołek,vrchol
119,Höhle::N,pieczara,jeskyně
120,Abhang::N,stok,svah
121,Abhang::N,stok,stráň
122,Abhang::N,zbocze,svah
123,Abhang::N,zbocze,stráň
124,Quelle::N,zdrój,pramen
125,Quelle::N,źródło,pramen
126,Bach::N,potok,potok
127,Bach::N,strumień,potok
128,Fluss::N,rzeka,řeka
129,Ufer::N,brzeg,břeh
130,Küste::N,wybrzeże,pobřeží
131,Festland::N,ląd,souš
132,Festland::N,ląd,pevnina
133,Meer::N,morze,moře
134,Bucht::N,zatoka,záliv
135,Bucht::N,zatoka,zátoka
136,Insel::N,wyspa,ostrov
137,Blume::N,kwiat,květina
138,Gras::N,trawa,tráva
139,Wurzel::N,korzeń,kořen
140,Baum::N,drzewo,strom
141,Stamm::N,pień,kmen
142,Rinde::N,kora,kůra
143,Ast::N,gałąź,větev
144,Zweig::N,gałąź,větev
145,Blatt::N,liść,lupen
146,Birke::N,brzoza,bříza
147,Kiefer[Baum]::N,sosna,sosna
148,Kiefer[Baum]::N,sosna,borovice
149,Weide[Baum]::N,wierzba,vrba
150,Tanne::N,jodła,jedle
151,Horn::N,róg,roh
152,Feder::N,pióro,pero
153,Fell::N,futro,srst
154,Flügel::N,skrzydło,křídlo
155,Klaue::N,szpon,dráp
156,Klaue::N,szpon,pazneht
157,Kralle::N,pazur,dráp
158,Schwanz::N,ogon,ocas
159,Ei::N,jajko,vejce
160,Nest::N,gniazdo,hnízdo
161,Bau::N,nora,nora
162,Tier::N,zwierzę,zvíře
163,Herde::N,stado,stádo
164,Herde::N,trzoda,stádo
165,Kuh::N,krowa,kráva
166,Bulle::N,byk,býk
167,Pferd::N,koń,kůň
168,Schaf::N,owca,ovce
169,Schwein::N,świnia,vepř
170,Schwein::N,świnia,prase
171,Hund::N,pies,pes
172,Katze::N,kot,kočka
173,Katze::N,kotka,kočka
174,Bär::N,niedźwiedż,medvěd
175,Eichhörnchen::N,wiewiórka,veverka
176,Elch::N,łóś,los
177,Fuchs::N,lis,liška
178,Hase::N,zając,zajíc
179,Maus::N,mysz,myš
180,Wolf::N,wilk,vlk
181,Vogel::N,ptak,pták
182,Schwarm::N,stado,roj
183,Schwarm::N,stado,hejno
184,Huhn::N,kura,kuře
185,Huhn::N,kura,slepice
186,Hahn::N,kogut,kohout
187,Gans::N,gęś,husa
188,Adler::N,orzeł,orel
189,Ente::N,kaczka,kachna
190,Eule::N,sowa,sova
191,Kranich::N,żuraw,jeřáb
192,Krähe::N,wrona,vrána
193,Kuckuck::N,kukułka,kukačka
194,Schwan::N,łabędż,labuť
195,Fisch::N,ryba,ryba
196,Barsch::N,okoń,okoun
197,Hecht::N,szczupak,štika
198,Schlange[Tier]::N,wąż,had
