,Concept_ID,nl,is
0,Auge::N,oog,auga
1,Ohr::N,oor,eyra
2,Nase::N,neus,nef
3,Mund::N,mond,munnur
4,Zahn::N,tand,tönn
5,Zunge::N,tong,tunga
6,Lippe::N,lip,vör
7,Wange::N,wang,kinn
8,Wange::N,wang,vangi
9,Gesicht::N,gelaat,andlit
10,Gesicht::N,gezicht,andlit
11,Stirn::N,voorhoofd,enni
12,Haar::N,haar,hár
13,Schnurrbart::N,snor,yfirskegg
14,Bart::N,baard,skegg
15,Kinn::N,kin,haka
16,Kiefer[Anatomie]::N,kaak,kjálki
17,Kiefer[Anatomie]::N,kaak,skoltur
18,Kehle::N,keel,kverk
19,Kehle::N,strot,kverk
20,Hals::N,hals,háls
21,Genick::N,nek,hnakki
22,Kopf::N,hoofd,höfuð
23,Rücken::N,rug,hryggur
24,Bauch::N,buik,kviður
25,Nabel::N,navel,nafli
26,Busen::N,boezem,barmur
27,Brust::N,borst,brjóst
28,Schulter::N,schouder,öxl
29,Arm::N,arm,armur
30,Ellenbogen::N,elleboog,olnbogi
31,Hand::N,hand,hönd
32,Handfläche::N,handpalm,lófi
33,Finger::N,vinger,fingur
34,Fingernagel::N,nagel,fingurnögl
35,Nagel[Anatomie]::N,nagel,nögl
36,Zeh::N,teen,tá
37,Fuß::N,voet,fótur
38,Ferse::N,hak,hæll
39,Ferse::N,hiel,hæll
40,Knie::N,knie,kné
41,Oberschenkel::N,dij,læri
42,Bein::N,been,fótleggur
43,Körper::N,lichaam,búkur
44,Körper::N,lichaam,líkami
45,Haut::N,huid,húð
46,Haut::N,huid,skinn
47,Blut::N,bloed,blóð
48,Ader::N,ader,æð
49,Sehne::N,pees,sin
50,Knochen::N,bot,bein
51,Knochen::N,been,bein
52,Knochen::N,knook,bein
53,Gehirn::N,hersenen,heili
54,Herz::N,hart,hjarta
55,Magen::N,maag,magi
56,Leber::N,lever,lifur
57,Atem::N,adem,andi
58,Atem::N,adem,andardráttur
59,Hunger::N,honger,hungur
60,Träne::N,traan,tár
61,Geschmack::N,smaak,smekkur
62,Geruch::N,geur,lykt
63,Schlaf::N,slaap,svefn
64,Traum::N,droom,draumur
65,Himmel::N,hemel,himinn
66,Sonne::N,zon,sól
67,Mond::N,maan,tungl
68,Stern::N,ster,stjarna
69,Luft::N,lucht,loft
70,Wind::N,wind,vindur
71,Welle::N,golf,alda
72,Welle::N,golf,bylgja
73,Wasser::N,water,vatn
74,Stein::N,steen,steinn
75,Boden::N,grond,botn
76,Erde::N,aarde,jörð
77,Staub::N,stof,ryk
78,Staub::N,stof,duft
79,Rauch::N,rook,reykur
80,Funke::N,vonk,neisti
81,Feuer::N,vuur,eldur
82,Licht::N,licht,ljós
83,Schatten::N,schaduw,skuggi
84,Wetter::N,weer,veður
85,Nebel::N,mist,þoka
86,Nebel::N,nevel,þoka
87,Wolke::N,wolk,ský
88,Regen::N,regen,regn
89,Schnee::N,sneeuw,snjór
90,Eis::N,ijs,ís
91,Frost::N,vorst,frost
92,Kälte::N,kou,kuldi
93,Kälte::N,koude,kuldi
94,Hitze::N,hitte,hiti
95,Raureif::N,rijp,hrím
96,Regenbogen::N,regenboog,regnbogi
97,Donner::N,donder,þruma
98,Strömung::N,stroming,straumur
99,Tropfen::N,druppel,dropi
100,Schaum::N,schuim,froða
101,Schmutz::N,vuil,óhreinindi
102,See::N,meer,stöðuvatn
103,Sumpf::N,moeras,fen
104,Moor::N,veen,mýri
105,Wiese::N,wei,engi
106,Wiese::N,weide,engi
107,Wald::N,bos,skógur
108,Hügel::N,heuvel,hæð
109,Hügel::N,heuvel,hóll
110,Anhöhe::N,hoogte,hæð
111,Anhöhe::N,hoogte,hóll
112,Berg::N,berg,fell
113,Berg::N,berg,fjall
114,Gipfel::N,top,tindur
115,Höhle::N,hol,hellir
116,Abhang::N,helling,hlíð
117,Abhang::N,helling,brekka
118,Quelle::N,bron,lind
119,Quelle::N,bron,uppspretta
120,Bach::N,beek,lækur
121,Fluss::N,stroom,á
122,Fluss::N,stroom,fljót
123,Ufer::N,wal,árbakki
124,Ufer::N,wal,sjávarbakki
125,Ufer::N,oever,árbakki
126,Ufer::N,oever,sjávarbakki
127,Küste::N,kust,strönd
128,Festland::N,vasteland,meginland
129,Meer::N,zee,haf
130,Meer::N,zee,sjór
131,Bucht::N,baai,vík
132,Bucht::N,inham,vík
133,Insel::N,eiland,eyja
134,Blume::N,bloem,blóm
135,Gras::N,gras,gras
136,Wurzel::N,wortel,rót
137,Baum::N,boom,tré
138,Stamm::N,stam,stofn
139,Rinde::N,schors,börkur
140,Ast::N,tak,grein
141,Zweig::N,twijg,angi
142,Zweig::N,twijg,kvistur
143,Blatt::N,blad,blað
144,Birke::N,berk,birki
145,Kiefer[Baum]::N,den,fura
146,Weide[Baum]::N,wilg,víðir
147,Tanne::N,spar,greni
148,Horn::N,hoorn,horn
149,Feder::N,veer,fjöður
150,Feder::N,pluim,fjöður
151,Fell::N,vel,skinn
152,Flügel::N,vleugel,vængur
153,Klaue::N,klauw,kló
154,Kralle::N,klauw,kló
155,Schwanz::N,staart,rófa
156,Schwanz::N,staart,skott
157,Ei::N,ei,egg
158,Nest::N,nest,hreiður
159,Bau::N,hol,greni
160,Bau::N,hol,bæli
161,Tier::N,dier,dýr
162,Herde::N,kudde,hjörð
163,Kuh::N,koe,kýr
164,Bulle::N,stier,boli
165,Pferd::N,paard,hestur
166,Schaf::N,schaap,kind
167,Schwein::N,varken,svín
168,Hund::N,hond,hundur
169,Katze::N,kat,köttur
170,Bär::N,beer,björn
171,Eichhörnchen::N,eekhoorntje,íkorni
172,Elch::N,eland,elgur
173,Fuchs::N,vos,refur
174,Hase::N,haas,héri
175,Maus::N,muis,mús
