,Concept_ID,mhr,is
0,Auge::N,шинча́,auga
1,Ohr::N,пы́лыш,eyra
2,Nase::N,нер,nef
3,Mund::N,умша́,munnur
4,Zahn::N,пӱй,tönn
5,Zunge::N,йы́лме,tunga
6,Lippe::N,тӱ́рвӧ,vör
7,Wange::N,шӱ́ргӧ,kinn
8,Wange::N,шӱ́ргӧ,vangi
9,Gesicht::N,чури́й,andlit
10,Stirn::N,саҥга́,enni
11,Haar::N,ӱп,hár
12,Schnurrbart::N,ӧ́рыш,yfirskegg
13,Bart::N,понда́ш,skegg
14,Kinn::N,оҥыла́ш,haka
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,kjálki
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,skoltur
17,Kiefer[Anatomie]::N,пӱйората́,kjálki
18,Kiefer[Anatomie]::N,пӱйората́,skoltur
19,Kehle::N,лога́р,kverk
20,Hals::N,шӱй,háls
21,Genick::N,шӱйло́дыш,hnakki
22,Kopf::N,вуй,höfuð
23,Rücken::N,туп,hryggur
24,Bauch::N,мӱ́шкыр,kviður
25,Nabel::N,кы́лымде,nafli
26,Busen::N,чы́зе,barmur
27,Brust::N,оҥ,brjóst
28,Schulter::N,ва́че,öxl
29,Arm::N,кид,armur
30,Ellenbogen::N,кынерву́й,olnbogi
31,Hand::N,кид,hönd
32,Hand::N,копа́,hönd
33,Handfläche::N,со́во,lófi
34,Finger::N,парня́,fingur
35,Fingernagel::N,кидкӱ́ч,fingurnögl
36,Fingernagel::N,парнягӱ́ч,fingurnögl
37,Nagel[Anatomie]::N,кӱч,nögl
38,Zeh::N,йолварня́,tá
39,Fuß::N,йол,fótur
40,Fuß::N,йолкопа́,fótur
41,Ferse::N,тага́н,hæll
42,Knie::N,пулву́й,kné
43,Oberschenkel::N,э́рде,læri
44,Bein::N,йол,fótleggur
45,Körper::N,кап,búkur
46,Körper::N,кап,líkami
47,Haut::N,кова́ште,húð
48,Haut::N,кова́ште,skinn
49,Blut::N,вӱр,blóð
50,Ader::N,шӧн,æð
51,Sehne::N,шӧн,sin
52,Sehne::N,кӱсе́н,sin
53,Knochen::N,лу,bein
54,Gehirn::N,вем,heili
55,Gehirn::N,вуйве́м,heili
56,Herz::N,шӱм,hjarta
57,Magen::N,пага́р,magi
58,Leber::N,мокш,lifur
59,Atem::N,шӱ́лыш,andi
60,Atem::N,шӱ́лыш,andardráttur
61,Hunger::N,шужыма́ш,hungur
62,Träne::N,шинчавӱ́д,tár
63,Geschmack::N,там,smekkur
64,Geruch::N,пуш,lykt
65,Schlaf::N,о́мо,svefn
66,Traum::N,йӱдо́мо,draumur
67,Himmel::N,кава́,himinn
68,Sonne::N,ке́че,sól
69,Mond::N,ты́лзе,tungl
70,Stern::N,шӱ́дыр,stjarna
71,Luft::N,юж,loft
72,Wind::N,марде́ж,vindur
73,Welle::N,то́лкын,alda
74,Welle::N,то́лкын,bylgja
75,Wasser::N,вӱд,vatn
76,Stein::N,кӱ,steinn
77,Boden::N,рок,botn
78,Erde::N,мла́нде,jörð
79,Staub::N,пура́к,ryk
80,Staub::N,пура́к,duft
81,Rauch::N,шикш,reykur
82,Funke::N,сеске́м,neisti
83,Funke::N,тулйы́п,neisti
84,Feuer::N,тул,eldur
85,Licht::N,со́то,ljós
86,Schatten::N,ӱ́мыл,skuggi
87,Wetter::N,иге́че,veður
88,Nebel::N,тӱтыра́,þoka
89,Wolke::N,пыл,ský
90,Regen::N,йӱр,regn
91,Schnee::N,лум,snjór
92,Eis::N,ий,ís
93,Frost::N,чатлама́,frost
94,Kälte::N,йӱ́штӧ,kuldi
95,Hitze::N,шо́кшо,hiti
96,Raureif::N,пӧрш,hrím
97,Raureif::N,по́кшым,hrím
98,Regenbogen::N,шонанпы́л,regnbogi
99,Donner::N,кӱ́дырчӧ,þruma
100,Strömung::N,йо́гын,straumur
101,Tropfen::N,чӱча́лтыш,dropi
102,Schaum::N,шоҥ,froða
103,Schmutz::N,лавыра́,óhreinindi
104,See::N,ер,stöðuvatn
105,Sumpf::N,лӱ́кӧ,fen
106,Moor::N,куп,mýri
107,Wiese::N,о́лык,engi
108,Wald::N,чодыра́,skógur
109,Hügel::N,арка́,hæð
110,Hügel::N,арка́,hóll
111,Anhöhe::N,тӧва́,hæð
112,Anhöhe::N,тӧва́,hóll
113,Anhöhe::N,кӱкшака́,hæð
114,Anhöhe::N,кӱкшака́,hóll
115,Berg::N,ку́рык,fell
116,Berg::N,ку́рык,fjall
117,Gipfel::N,чаҥга́,tindur
118,Gipfel::N,курыкву́й,tindur
119,Höhle::N,пеще́р,hellir
120,Höhle::N,курыкпо́мыш,hellir
121,Abhang::N,та́йыл,hlíð
122,Abhang::N,та́йыл,brekka
123,Quelle::N,важ,lind
124,Quelle::N,важ,uppspretta
125,Quelle::N,вӱдшинча́,lind
126,Quelle::N,вӱдшинча́,uppspretta
127,Bach::N,изэҥе́р,lækur
128,Fluss::N,эҥе́р,á
129,Fluss::N,эҥе́р,fljót
130,Ufer::N,сер,árbakki
131,Ufer::N,сер,sjávarbakki
132,Küste::N,вӱдтӱ́р,strönd
133,Festland::N,мла́нде,meginland
134,Meer::N,те́ҥыз,haf
135,Meer::N,те́ҥыз,sjór
136,Bucht::N,икса́,vík
137,Insel::N,отро́,eyja
138,Blume::N,пеле́дыш,blóm
139,Gras::N,шу́до,gras
140,Wurzel::N,вож,rót
141,Baum::N,пуше́ҥге,tré
142,Stamm::N,йы́тыр,stofn
143,Rinde::N,шӱм,börkur
144,Ast::N,укш,grein
145,Zweig::N,торма́к,angi
146,Zweig::N,торма́к,kvistur
147,Blatt::N,лышта́ш,blað
148,Birke::N,куэ́,birki
149,Kiefer[Baum]::N,пӱ́нчӧ,fura
150,Weide[Baum]::N,уа́,víðir
151,Tanne::N,кож,greni
152,Horn::N,шур,horn
153,Feder::N,пы́стыл,fjöður
154,Fell::N,кова́ште,skinn
155,Flügel::N,шу́лдыр,vængur
156,Klaue::N,кӱч,kló
157,Kralle::N,ла́па,kló
158,Kralle::N,копа́,kló
159,Schwanz::N,поч,rófa
160,Schwanz::N,поч,skott
161,Ei::N,му́но,egg
162,Nest::N,пыжа́ш,hreiður
163,Bau::N,пыжа́ш,greni
164,Bau::N,пыжа́ш,bæli
165,Tier::N,я́нлык,dýr
166,Tier::N,живо́тный,dýr
167,Herde::N,кӱ́тӱ,hjörð
168,Herde::N,тӱшка́,hjörð
169,Kuh::N,ушка́л,kýr
170,Bulle::N,ӱ́шкыж,boli
171,Pferd::N,и́мне,hestur
172,Schaf::N,шо́рык,kind
173,Schwein::N,сӧсна́,svín
174,Hund::N,пий,hundur
175,Katze::N,пы́рыс,köttur
176,Bär::N,маска́,björn
177,Eichhörnchen::N,ур,íkorni
178,Elch::N,шо́рдо,elgur
179,Fuchs::N,ры́выж,refur
180,Hase::N,мера́ҥ,héri
181,Maus::N,коля́,mús
182,Wolf::N,пи́ре,úlfur
183,Vogel::N,ка́йык,fugl
184,Schwarm::N,каша́к,sægur
185,Huhn::N,чы́ве,hæna
186,Hahn::N,агыта́н,hani
187,Gans::N,ко́мбо,gæs
188,Adler::N,карагу́ш,örn
189,Ente::N,лу́до,önd
190,Eule::N,тумна́,uggla
191,Kranich::N,турня́,trana
192,Krähe::N,кора́к,kráka
193,Kuckuck::N,куку́,gaukur
194,Schwan::N,йӱ́ксӧ,svanur
195,Fisch::N,кол,fiskur
196,Barsch::N,ола́ҥге,aborri
197,Hecht::N,нуж,gedda
198,Hecht::N,чорта́н,gedda
199,Schlange[Tier]::N,ки́шке,naðra
200,Wurm::N,шукш,ormur
201,Spinne::N,эҥыре́мыш,kónguló
202,Ameise::N,ку́тко,maur
203,Laus::N,тий,lús
204,Mücke::N,шыҥа́,mý
205,Mücke::N,шыҥа́,mýfluga
206,Fliege::N,ка́рме,fluga
207,Schmetterling::N,лы́ве,fiðrildi
208,Beere::N,мӧр,ber
209,Apfel::N,олма́,epli
210,Pilz::N,по́ҥго,sveppur
211,Zwiebel::N,шога́н,laukur
212,Saat::N,нӧ́шмӧ,fræ
213,Saat::N,нӧ́шмӧ,útsæði
214,Saat::N,туш,fræ
215,Saat::N,туш,útsæði
216,Korn::N,шу́рно,korn
217,Heu::N,шу́до,hey
218,Schale::N,шӱм,hýði
219,Grube::N,выне́м,gryfja
220,Falle::N,лӧ́дӧ,gildra
221,Schlinge::N,о́птыш,snara
222,Schlinge::N,шӧрга́лтыш,snara
223,Spur::N,кыша́,spor
224,Asche::N,ло́мыж,aska
225,Dreck::N,лавыра́,óþverri
226,Eisen::N,кӱ́ртньӧ,járn
227,Gold::N,шӧ́ртньӧ,gull
228,Silber::N,ший,silfur
229,Kohle::N,мландышӱ́й,kol
230,Glas::N,янда́,gler
231,Lehm::N,шун,leir
232,Sand::N,ошма́,sandur
233,Mensch::N,еҥ,maður
234,Mensch::N,еҥ,manneskja
235,Mensch::N,айде́ме,maður
236,Mensch::N,айде́ме,manneskja
237,Mann::N,пӧръе́ҥ,maður
238,Mann::N,пӧръе́ҥ,karlmaður
