,Concept_ID,hu,ko
0,Auge::N,szem,눈
1,Ohr::N,fül,귀
2,Nase::N,orr,코
3,Mund::N,száj,입
4,Zahn::N,fog,이
5,Zunge::N,nyelv,혀
6,Lippe::N,ajak,입술
7,Wange::N,orca,뺨
8,Gesicht::N,arc,얼굴
9,Stirn::N,homlok,이마
10,Haar::N,haj,털
11,Schnurrbart::N,bajusz,윗수몀
12,Schnurrbart::N,bajusz,코밑수염
13,Bart::N,szakáll,수엄
14,Kinn::N,áll,아래턱
15,Kiefer[Anatomie]::N,állkapocs,턱
16,Kehle::N,gége,인후
17,Kehle::N,torok,인후
18,Hals::N,nyak,목
19,Genick::N,tarkó,먹덜이
20,Kopf::N,fő,머리
21,Kopf::N,fej,머리
22,Rücken::N,hát,든
23,Bauch::N,has,배
24,Nabel::N,köldök,배꼽
25,Busen::N,mell,가슴속
26,Busen::N,kebel,가슴속
27,Brust::N,mell,가슴
28,Schulter::N,váll,어깨
29,Arm::N,kar,팔
30,Ellenbogen::N,könyök,팔쿰치
31,Hand::N,kéz,손
32,Handfläche::N,tenyér,손바닥
33,Finger::N,ujj,속가락
34,Fingernagel::N,köröm,손톱
35,Nagel[Anatomie]::N,köröm,손톱
36,Zeh::N,lábujj,발가락
37,Fuß::N,láb,발
38,Ferse::N,sarok,발꿈치
39,Knie::N,térd,무릎
40,Oberschenkel::N,comb,허벅다리
41,Bein::N,láb,다리
42,Bein::N,lábszár,다리
43,Körper::N,test,구간
44,Haut::N,bőr,살갗
45,Blut::N,vér,피
46,Ader::N,ér,정맥
47,Sehne::N,ín,현
48,Knochen::N,csont,뼈
49,Gehirn::N,agy,뇌
50,Gehirn::N,agy,뇌수
51,Gehirn::N,agyvelő,뇌
52,Gehirn::N,agyvelő,뇌수
53,Herz::N,szív,염통
54,Magen::N,gyomor,위
55,Leber::N,máj,간
56,Atem::N,lehelet,기식
57,Atem::N,lélegzet,기식
58,Hunger::N,éhség,공복
59,Träne::N,könny,눈물
60,Geschmack::N,íz,기호
61,Geruch::N,szag,냄새
62,Schlaf::N,álom,수면
63,Schlaf::N,alvás,수면
64,Traum::N,álom,쿰
65,Himmel::N,ég,하늘
66,Himmel::N,menny,하늘
67,Sonne::N,nap,해
68,Mond::N,hold,달
69,Stern::N,csillag,별
70,Luft::N,levegő,동준
71,Luft::N,levegő,가스채
72,Wind::N,szél,바람
73,Welle::N,hullám,물결
74,Wasser::N,víz,물
75,Stein::N,kő,돌
76,Boden::N,föld,바닥
77,Boden::N,talaj,바닥
78,Erde::N,föld,흙
79,Staub::N,por,먼지
80,Rauch::N,füst,연기
81,Funke::N,szikra,불티
82,Feuer::N,tűz,불
83,Licht::N,fény,불
