,Concept_ID,ja,et
0,Auge::N,目,silm
1,Ohr::N,耳,kõrv
2,Nase::N,鼻,nina
3,Mund::N,口,suu
4,Zahn::N,歯,hammas
5,Zunge::N,舌,keel
6,Lippe::N,唇,huul
7,Wange::N,頬,põsk
8,Gesicht::N,顔,nägu
9,Stirn::N,額,otsmik
10,Haar::N,髪,juus
11,Schnurrbart::N,口髭,vurrud
12,Schnurrbart::N,口髭,vuntsid
13,Bart::N,髭,habe
14,Kinn::N,顎,lõug
15,Kiefer[Anatomie]::N,顎,lõualuu
16,Kehle::N,喉,kõri
17,Hals::N,首,kael
18,Genick::N,首,kukal
19,Kopf::N,頭,pea
20,Rücken::N,背中,selg
21,Bauch::N,腹,kõht
22,Bauch::N,お腹,kõht
23,Nabel::N,へそ,naba
24,Busen::N,乳房,rind
25,Brust::N,胸,rind
26,Schulter::N,肩,õlg
27,Arm::N,腕,käsivars
28,Ellenbogen::N,肘,küünarnukk
29,Hand::N,手,käsi
30,Handfläche::N,手のひら,pihk
31,Finger::N,指,sõrm
32,Fingernagel::N,爪,küüs
33,Nagel[Anatomie]::N,爪,küüs
34,Zeh::N,足の指,varvas
35,Fuß::N,足,jalg
36,Ferse::N,かかと,kand
37,Knie::N,膝,põlv
38,Oberschenkel::N,上腿,reis
39,Bein::N,足,jalg
40,Körper::N,体,ihu
41,Körper::N,体,keha
42,Haut::N,皮膚,nahk
43,Blut::N,血,veri
44,Ader::N,血管,veen
45,Sehne::N,腱,kõõlus
46,Knochen::N,骨,luu
47,Gehirn::N,脳,aju
48,Herz::N,心,süda
49,Herz::N,心臓,süda
50,Magen::N,胃,magu
51,Leber::N,肝臓,maks
52,Atem::N,息,hingeõhk
53,Atem::N,息,hingamine
54,Atem::N,呼吸,hingeõhk
55,Atem::N,呼吸,hingamine
56,Hunger::N,空腹,nälg
57,Träne::N,涙,pisar
58,Geschmack::N,味,maitse
59,Geruch::N,匂い,lõhn
60,Schlaf::N,睡眠,uni
61,Traum::N,夢,unenägu
62,Himmel::N,空,taevas
63,Sonne::N,太陽,päike
64,Mond::N,月,kuu
65,Stern::N,星,täht
66,Luft::N,空気,õhk
67,Wind::N,風,tuul
68,Welle::N,波,laine
69,Wasser::N,水,vesi
70,Stein::N,石,kivi
71,Boden::N,土地,maa
72,Boden::N,土地,pinnas
73,Erde::N,土,maa
74,Staub::N,埃,põrm
75,Rauch::N,煙,suits
76,Funke::N,火花,säde
77,Feuer::N,火,tuli
78,Licht::N,光,valgus
79,Schatten::N,陰,vari
80,Wetter::N,天気,ilm
81,Nebel::N,霧,udu
82,Wolke::N,雲,pilv
83,Regen::N,雨,sadu
84,Schnee::N,雪,lumi
85,Eis::N,氷,jää
86,Frost::N,霜,pakane
87,Kälte::N,寒さ,külm
88,Kälte::N,寒さ,külmus
89,Hitze::N,暑さ,kuumus
90,Hitze::N,暑さ,palavus
91,Raureif::N,霧氷,härmatis
92,Regenbogen::N,虹,vikerkaar
93,Donner::N,雷,kõu
94,Donner::N,雷,müristamine
95,Strömung::N,流れ,voolus
96,Strömung::N,流れ,jõevool
97,Tropfen::N,滴,tilk
98,Schaum::N,泡,vaht
99,Schmutz::N,汚れ,pori
100,Schmutz::N,汚れ,mustus
101,See::N,湖,järv
102,Sumpf::N,沼,soo
103,Moor::N,湿原,raba
104,Wiese::N,草原,aas
105,Wiese::N,草原,nurm
106,Wald::N,森,mets
107,Hügel::N,丘,küngas
108,Anhöhe::N,高み,küngas
109,Berg::N,山,mägi
110,Gipfel::N,頂上,mäetipp
111,Höhle::N,洞窟,koobas
112,Abhang::N,斜面,nõlvak
113,Quelle::N,泉,allikas
114,Bach::N,小川,oja
115,Fluss::N,川,jõgi
116,Ufer::N,岸,kallas
117,Küste::N,海岸,rannik
118,Festland::N,陸,mander
119,Festland::N,陸,maismaa
120,Meer::N,海,meri
121,Bucht::N,湾,laht
122,Insel::N,島,saar
123,Blume::N,花,lill
124,Gras::N,草,rohi
