,Concept_ID,te,be
0,Auge::N,కన్ను,вока
1,Ohr::N,చెవి,вуха
2,Nase::N,ముక్కు,нос
3,Mund::N,నోరు,рот
4,Zahn::N,పల్లు,зуб
5,Zunge::N,నాలుక,язык
6,Lippe::N,పెదవి,губа
7,Wange::N,చెంప,шчака
8,Gesicht::N,ముఖము,твар
9,Stirn::N,నుదురు,лоб
10,Haar::N,వెండ్రుక,волас
11,Haar::N,వెండ్రుక,валасы
12,Schnurrbart::N,మీసము,вус
13,Schnurrbart::N,మీసము,вусы
14,Bart::N,గడ్డము,барада
15,Kinn::N,గడ్డము,падбародак
16,Kiefer[Anatomie]::N,దౌడ,сківіца
17,Kehle::N,గొంతు,горла
18,Hals::N,మెడ,шыя
19,Genick::N,మూపు,патыліца
20,Kopf::N,తల,галава
21,Rücken::N,వెన్ను,спіна
22,Bauch::N,కడుపు,жывот
23,Nabel::N,బొడ్డు,пупок
24,Busen::N,స్తనము,грудзі
25,Brust::N,ఱొమ్ము,грудзі
26,Schulter::N,భుజము,плячо
27,Arm::N,చేయి,рука
28,Ellenbogen::N,మోచేయి,локаць
29,Hand::N,చేయి,кісць
30,Handfläche::N,అరచేయు,далонь
31,Finger::N,చేతిప్రేలు,палец
32,Fingernagel::N,గోరు,ногаць
33,Nagel[Anatomie]::N,గోరు,ногаць
34,Zeh::N,కాలిప్రేలు,палец
35,Fuß::N,అడుగు,нага
36,Ferse::N,మడమ,пята
37,Ferse::N,మడమ,пятка
38,Knie::N,మోకాలు,калена
39,Oberschenkel::N,తొడ,бядро
40,Oberschenkel::N,తొడ,сцягно
41,Bein::N,కాలు,нага
42,Körper::N,కాయము,цела
43,Haut::N,చర్మము,скура
44,Blut::N,రక్తము,кроў
45,Ader::N,సిర,вена
46,Ader::N,సిర,сасуд
47,Sehne::N,స్నాయువు,жыла
48,Sehne::N,స్నాయువు,цеціва
49,Sehne::N,స్నాయువు,сухажылле
50,Knochen::N,ఎముక,косць
51,Gehirn::N,మెదడు,мозг
52,Herz::N,హృదయము,сэрца
53,Magen::N,కడుపు,страўнік
54,Leber::N,కాలేయము,печань
55,Atem::N,ఉపిరి,дыханне
56,Hunger::N,ఆకలి,голад
57,Träne::N,కన్నీటిచుక్క,сляза
58,Geschmack::N,రుచి,смак
59,Geruch::N,వాసన,пах
60,Schlaf::N,నిద్ర,сон
61,Traum::N,కల,сон
62,Himmel::N,ఆకాశము,неба
63,Sonne::N,సూర్యుడు,сонца
64,Mond::N,చంద్రుడు,месяц
65,Stern::N,నక్షత్రము,зорка
66,Luft::N,గాలి,паветра
67,Wind::N,వీచుచున్నగాలి,вецер
68,Welle::N,అల,хваля
69,Wasser::N,నీరు,вада
70,Stein::N,ఱాయి,камень
71,Boden::N,నేల,глеба
72,Erde::N,మన్ను,зямля
73,Staub::N,దుమ్ము,пыл
74,Rauch::N,పొగ,дым
75,Funke::N,అగ్నికణము,іскра
76,Feuer::N,అగ్ని,агонь
77,Licht::N,కాంతి,святло
78,Schatten::N,నీడ,цень
79,Wetter::N,వాతావరణ స్థితి,пагода
80,Wetter::N,వాతావరణ స్థితి,надворʼе
81,Nebel::N,పొగమంచు,туман
82,Wolke::N,మేఘము,воблака
83,Regen::N,వాన,дождж
84,Schnee::N,హిమము,снег
85,Eis::N,మంచుగడ్డ,лёд
86,Frost::N,పేరిన మంచు,мароз
87,Kälte::N,చలి,холад
88,Hitze::N,వేడిమి,спёка
89,Raureif::N,మంచు,іней
90,Regenbogen::N,ఇంద్రధనుస్సు,вясёлка
91,Donner::N,ఉరుము,гром
92,Strömung::N,ప్రవాహము,цячэнне
93,Tropfen::N,చుక్క,кропля
94,Schaum::N,నురుగు,пена
95,Schmutz::N,మైల,гразь
96,See::N,సరస్సు,возера
97,Sumpf::N,చిత్తడినేల,багна
98,Moor::N,చిత్తడినేల,балота
99,Wiese::N,పచ్చిక బయలు,луг
100,Wald::N,అడవి,лес
101,Hügel::N,చివ్నకొండ,узгорак
102,Anhöhe::N,కొండ,узвышша
103,Berg::N,పర్వతము,гара
104,Gipfel::N,శిఖరము,вяршыня
105,Höhle::N,గుహ,пячора
106,Abhang::N,ఏటవాలు,схіл
107,Quelle::N,మూలము,крыніца
108,Bach::N,కాలువ,ручай
109,Fluss::N,నది,рака
110,Ufer::N,తీరము,бераг
111,Küste::N,తీరము,узбярэжжа
112,Festland::N,భూమి,суша
113,Meer::N,సముద్రము,мора
114,Bucht::N,మరుగు,бухта
115,Insel::N,దీవి,востраў
116,Blume::N,పుష్పము,кветка
117,Gras::N,పచ్చగడ్డి,трава
118,Wurzel::N,వేరు,корань
119,Baum::N,చెట్టు,дрэва
120,Stamm::N,చెట్టుబోదె,ствол
121,Rinde::N,చెట్టుపట్ట,кара
122,Ast::N,కొమ్మ,сук
123,Zweig::N,చివుకు,галіна
124,Blatt::N,ఆకు,ліст
125,Birke::N,తరహా చెట్టు,бяроза
126,Kiefer[Baum]::N,దేవదారు చెట్టు,хвоя
127,Kiefer[Baum]::N,దేవదారు చెట్టు,сасна
128,Weide[Baum]::N,జాతిచెట్టు,вярба
129,Tanne::N,దేవదారుచెట్టు,яліна
130,Horn::N,కొమ్ము,рог
131,Feder::N,ఈక,пяро
132,Fell::N,తోలు,шкура
133,Flügel::N,ఱెక్క,крыло
134,Klaue::N,వంకరగోరు,кіпцюр
135,Kralle::N,వంకరగోరు,лапа
136,Schwanz::N,తోక,хвост
137,Ei::N,గ్రుడ్డు,яйка
138,Nest::N,పక్షిగూడు,гняздо
139,Bau::N,గుహ,нара
140,Tier::N,జంతువు,жывёла
141,Herde::N,మంద,статак
142,Kuh::N,ఆవు,карова
143,Bulle::N,గిత్త,бык
144,Pferd::N,గుఱ్ఱము,конь
145,Schaf::N,గొఱ్ఱె,авечка
146,Schwein::N,పంది,свіння
147,Hund::N,కుక్క,сабака
148,Katze::N,పిల్లి,кошка
149,Bär::N,ఎలుగుబంటి,мядзведзь
150,Eichhörnchen::N,ఉడుత,вавёрка
151,Elch::N,కణంజు,лось
152,Fuchs::N,గుంటనక్క,ліса
153,Hase::N,కుందేలు,заяц
154,Maus::N,చిట్టెలుక,мыш
155,Wolf::N,తోడేలు,воўк
156,Vogel::N,పక్షి,птах
157,Vogel::N,పక్షి,птушка
158,Schwarm::N,గుంపు,чарада
159,Huhn::N,కోడిపిల్ల,курыца
160,Hahn::N,కోడివుంజు,певень
161,Gans::N,ఆడుబాతు,гусь
162,Adler::N,గ్రద్ద,арол
163,Ente::N,పాట్టిబాతు,качка
164,Eule::N,గ్రుడ్లగూబ,сава
