,Concept_ID,uz,bg
0,Auge::N,ko'z,око
1,Ohr::N,quloq,ухо
2,Nase::N,burun,нос
3,Mund::N,og'iz,уста
4,Zahn::N,tish,зъб
5,Zunge::N,til,език
6,Lippe::N,dudoq,устна
7,Wange::N,bet,буза
8,Gesicht::N,yuz,лице
9,Gesicht::N,yuz,образ
10,Stirn::N,manglay,чело
11,Haar::N,soch,коса
12,Haar::N,soch,косъм
13,Schnurrbart::N,mo'ylov,мустаци
14,Bart::N,soqol,брада
15,Kinn::N,ängak,брада
16,Kinn::N,ängak,брадичка
17,Kiefer[Anatomie]::N,iyak,челюст
18,Kehle::N,bo'g'iz,гърло
19,Hals::N,bo'yin,врат
20,Genick::N,gardan,тил
21,Kopf::N,bosh,глава
22,Rücken::N,orqa,гръб
23,Bauch::N,qorin,корем
24,Nabel::N,kindik,пъп
25,Busen::N,ämchak,бозка
26,Brust::N,ko'krak,гръд
27,Schulter::N,elka,рамо
28,Schulter::N,elka,плещи
29,Arm::N,bilak,ръка
30,Ellenbogen::N,tirsak,лакът
31,Hand::N,qo'l,ръка
32,Hand::N,qo'l,китка
33,Handfläche::N,kaft,длан
34,Finger::N,barmoq,пръст
35,Fingernagel::N,tirnoq,нокът
36,Nagel[Anatomie]::N,tirnoq,нокът
37,Zeh::N,oyoq barmog'i,пръст на крак
38,Fuß::N,oyoq,крак
39,Fuß::N,oyoq,нога
40,Ferse::N,tovon,пета
41,Knie::N,tiz,коляно
42,Oberschenkel::N,son,бедро
43,Bein::N,oyoq,крак
44,Bein::N,oyoq,нога
45,Körper::N,badna,тяло
46,Haut::N,teri,кожа
47,Blut::N,qon,кръв
48,Ader::N,qon tomir,вена
49,Ader::N,qon tomir,артерия
50,Sehne::N,tomir,жила
51,Sehne::N,tomir,сухожилие
52,Knochen::N,suyak,кост
53,Gehirn::N,miya,мозък
54,Herz::N,qalb,сърце
55,Magen::N,oshqozon,стомах
56,Leber::N,bag'ir,черен дроб
57,Atem::N,dam,дишане
58,Hunger::N,ochlik,глад
59,Träne::N,yosh,сълза
60,Geschmack::N,tam,вкус
61,Geruch::N,jid,миризма
62,Schlaf::N,uyqu,сън
63,Traum::N,tush,сън
64,Himmel::N,osmon,небе
65,Sonne::N,quyosh,слънце
66,Mond::N,oy,луна
67,Mond::N,oy,месец
68,Stern::N,yulduz,звезда
69,Luft::N,havo,въздух
70,Wind::N,el,вятър
71,Welle::N,to'lqin,вълна
72,Wasser::N,suv,вода
73,Stein::N,tosh,камък
74,Boden::N,tuproq,земя
75,Boden::N,tuproq,почва
76,Erde::N,er,земя
77,Erde::N,er,почва
78,Staub::N,chang,прах
79,Rauch::N,tutun,дим
80,Rauch::N,tutun,пушек
81,Funke::N,yalt,искра
82,Feuer::N,o't,огън
83,Licht::N,yorug',светлина
84,Schatten::N,soya,сянка
85,Wetter::N,havo,време
86,Nebel::N,tuman,мъгла
87,Wolke::N,bulut,облак
88,Regen::N,yomg'ir,дъжд
89,Schnee::N,qor,сняг
90,Eis::N,muz,лед
91,Frost::N,ajoz,мраз
92,Kälte::N,ajoz,студ
93,Hitze::N,issiq,жега
94,Hitze::N,issiq,горещина
95,Raureif::N,qirov,скреж
96,Raureif::N,qirov,слана
97,Regenbogen::N,kamalak,дъга
98,Donner::N,guldur,гръм
99,Strömung::N,oqim,течение
100,Tropfen::N,tomchi,капка
101,Schaum::N,ko'pik,пяна
102,Schmutz::N,gard,кал
103,Schmutz::N,gard,мръсотия
104,See::N,ko'l,езеро
105,Sumpf::N,botqoq,блато
106,Moor::N,qir-adir,мочурище
107,Wiese::N,o'tzor,ливада
108,Wald::N,o'rmon,гора
109,Hügel::N,tepa,рид
110,Hügel::N,tepa,хълм
111,Anhöhe::N,adir,могила
112,Anhöhe::N,adir,възвишение
113,Berg::N,tog',планина
114,Gipfel::N,cho'qqi,връх
115,Höhle::N,kavak,пещера
116,Abhang::N,to'sh,склон
117,Abhang::N,to'sh,стръмнина
118,Quelle::N,buloq,извор
119,Bach::N,o'zan,поток
120,Fluss::N,daryo,река
121,Ufer::N,sohil,бряг
122,Küste::N,qirg'oq,бряг
123,Küste::N,qirg'oq,крайбрежие
124,Festland::N,materik,суша
125,Meer::N,dengiz,море
126,Bucht::N,qo'ltiq,залив
127,Insel::N,orol,остров
128,Blume::N,gul,цвете
129,Gras::N,sabza,трева
130,Wurzel::N,tub,корен
131,Wurzel::N,tomir,корен
132,Baum::N,daraxt,дърво
133,Stamm::N,o'simta,стъбло
134,Rinde::N,qobiq,кора
135,Ast::N,shox,клон
136,Zweig::N,butoq,клон
137,Blatt::N,barg,лист
138,Birke::N,qayin,бреза
139,Kiefer[Baum]::N,qarag'ay,бор
140,Weide[Baum]::N,shum,върба
141,Tanne::N,archa,ела
142,Horn::N,mugiz,рог
143,Feder::N,par,перо
144,Fell::N,mo'yna,кожа
145,Flügel::N,qanot,крило
146,Klaue::N,tirnoq,нокът
147,Kralle::N,tirnoq,нокът
148,Schwanz::N,quyruq,опашка
149,Ei::N,tuxum,яйце
150,Nest::N,oshyon,гнездо
151,Bau::N,o'pqon,дупка
152,Tier::N,hayvon,животно
153,Herde::N,gala,стадо
154,Kuh::N,inak,крава
155,Bulle::N,ho'kiz,бик
156,Pferd::N,ot,кон
157,Schaf::N,qo'y,овца
158,Schwein::N,cho'chqa,свиня
159,Hund::N,it,куче
160,Katze::N,mushuk,котка
161,Bär::N,ayiq,мечка
162,Eichhörnchen::N,tiyin,катерица
163,Elch::N,los,лос
164,Fuchs::N,tulki,лисица
165,Hase::N,kuyon,заек
166,Maus::N,sichqon,мишка
167,Wolf::N,bo'ri,вълк
168,Vogel::N,qush,птица
169,Schwarm::N,to'da,рой
170,Schwarm::N,to'da,рояк
171,Huhn::N,tovuq,кокошка
172,Hahn::N,xo'roz,петел
173,Gans::N,g'oz,гъска
174,Adler::N,burgut,орел
175,Ente::N,o'rdak,патица
176,Eule::N,boyo'g'li,сова
177,Kranich::N,turna,жерав
178,Krähe::N,qarg'a,врана
179,Kuckuck::N,kakku,кукувица
180,Schwan::N,oqkush,лебед
181,Fisch::N,baliq,риба
182,Barsch::N,olabug'a,костур
183,Hecht::N,cho'rtan,щука
184,Schlange[Tier]::N,ilon,змия
185,Wurm::N,qurt,червей
186,Spinne::N,o'rgimchak,паяк
187,Ameise::N,chumoli,мравка
188,Laus::N,bit,въшка
189,Mücke::N,chivin,комар
190,Fliege::N,pashsha,муха
191,Schmetterling::N,kapalak,пеперуда
192,Beere::N,meva,плод
193,Apfel::N,olma,ябълка
194,Pilz::N,qo'ziqorin,гъба
195,Zwiebel::N,piyoz,лук
196,Zwiebel::N,piyoz,кромид
197,Saat::N,äkin,семе
198,Korn::N,zarra,зърно
199,Heu::N,xashak,сено
200,Schale::N,po'choq,кора
201,Grube::N,co'ra,яма
202,Grube::N,co'ra,дупка
203,Falle::N,qopqon,примка
204,Schlinge::N,sirtmoq,клуп
205,Spur::N,iz,диря
206,Spur::N,iz,следа
207,Asche::N,kul,пепел
208,Dreck::N,kir,кал
209,Eisen::N,temir,желязо
210,Gold::N,tilla,злато
211,Silber::N,kumush,сребро
212,Kohle::N,ko'mir,въглища
213,Glas::N,oyna,стъкло
214,Lehm::N,loy,глина
215,Sand::N,qum,пясък
216,Mensch::N,odam,човек
217,Mann::N,ärkak,мъж
218,Frau::N,ayol,жена
219,Kind::N,bola,дете
220,Kind::N,kichkintoy,дете
221,Junge::N,bola,момче
222,Mädchen::N,qiz,момиче
223,Familie::N,oila,фамилия
224,Familie::N,oila,семейство
225,Großvater::N,buva,дядо
226,Großvater::N,katta ota,дядо
227,Großmutter::N,buvi,баба
228,Großmutter::N,katta oyi,баба
229,Eltern::N,ota-ona,родители
230,Vater::N,ota,баща
231,Mutter::N,ona,майка
232,Sohn::N,o'g'il,син
233,Tochter::N,qiz,дъщеря
234,Bruder::N,og'a,брат
235,Bruder::N,uka,брат
236,Schwester::N,opa,сестра
237,Schwester::N,singil,сестра
238,Onkel::N,amaki,чичо
239,Onkel::N,amaki,вуйчо
240,Tante::N,amma,леля
241,Tante::N,xola,леля
242,Ehemann::N,är,съпруг
243,Ehefrau::N,rafiqa,съпруга
244,Freude::N,ayish,радост
245,Gelächter::N,kulgi,смях
246,Glück::N,saodat,щастие
247,Kummer::N,g'am,тъга
248,Wunsch::N,orzu,желание
249,Lust::N,rag'bat,желание
