,Concept_ID,az,ab
0,Auge::N,göz,ала
1,Ohr::N,qulaq,алымҳа
2,Nase::N,burun,аҧынҵа
3,Mund::N,ağız,аҧышə
4,Zahn::N,diş,ахаҧыц
5,Zunge::N,dil,абз
6,Lippe::N,dodaq,ақьышə
7,Wange::N,yanaq,аӡамҩа
8,Gesicht::N,üz,аҿы
9,Stirn::N,alın,алахь
10,Haar::N,saç,ахəыц
11,Schnurrbart::N,bığ,аҧаҵа
12,Bart::N,saqqal,ажакьа
13,Kinn::N,çənə,ацламкəыгə
14,Kiefer[Anatomie]::N,çənə,ацламҳəа
15,Kehle::N,boğaz,ахəда
16,Hals::N,boyun,ахəда
17,Genick::N,ənsə,ахəдаџьал
18,Kopf::N,baş,ахы
19,Rücken::N,bel,азқəа
20,Bauch::N,qarın,амгəа
21,Nabel::N,göbək,аҷапан
22,Busen::N,məmə,агəыҧҳəы
23,Brust::N,döş,агəышҧы
24,Schulter::N,çiyin,ажəҩахыр
25,Arm::N,qol,амахəар
26,Ellenbogen::N,dirsək,амашьхəылҵ
27,Hand::N,əl,анапы
28,Handfläche::N,ovuc,анапсаргəыҵа
29,Finger::N,barmaq,анацəа
30,Fingernagel::N,barmaq dırnağı,анапхыц
31,Nagel[Anatomie]::N,dırnak,ашьапхыц
32,Zeh::N,ayaq barmağı,ашьацəа
33,Fuß::N,ayaq,ашьапсыргəыҵа
34,Ferse::N,daban,ашьхəа
35,Knie::N,diz,ашьамхы
36,Oberschenkel::N,bud,ауаҭəа
37,Bein::N,qıç,ашьапы
38,Körper::N,əndam,ацəеижь
39,Haut::N,dəri,ацəа
40,Blut::N,qan,ашьа
41,Ader::N,damar,ада
42,Sehne::N,vətər,адаш
43,Knochen::N,sümük,абаҩ
44,Gehirn::N,beyin,ахшлыбаҩ
45,Gehirn::N,beyin,ахшыбаҩ
46,Herz::N,ürək,агəы
47,Magen::N,mədə,аца
48,Magen::N,mədə,ацар
49,Leber::N,qara ciyər,агəаҵəа
50,Atem::N,nəfəs,аҧсыҧлагаҩгара
51,Hunger::N,aclıq,амла
52,Träne::N,göz yaşı,алабжыш
53,Geschmack::N,tam,агьама
54,Geschmack::N,ləzzət,агьама
55,Geruch::N,qoxu,афҩы
56,Schlaf::N,yuxu,ацəа
57,Traum::N,röya,аҧхыӡ
58,Himmel::N,göy,ажəҩан
59,Himmel::N,səma,ажəҩан
60,Sonne::N,günəş,амра
61,Mond::N,ay,амза
62,Stern::N,ulduz,аеҵəа
63,Luft::N,hava,аҳаир
64,Wind::N,yel,аҧша
65,Wind::N,külək,аҧша
66,Welle::N,dalğa,ацəқəырҧа
67,Wasser::N,su,аӡы
68,Stein::N,daş,ахаҳə
69,Boden::N,yer,адгьыл
70,Boden::N,zəmin,адгьыл
71,Erde::N,yer torpaq,адгьыл
72,Staub::N,toz,асаба
73,Rauch::N,tüstü,алҩа
74,Funke::N,qığılcım,акəиц
75,Funke::N,qığılcım,ацҧхь
76,Feuer::N,od,амца
77,Licht::N,işıq,алашара
78,Schatten::N,kölgə,ашəшьыра
79,Wetter::N,hava,амш
