,Concept_ID,cy,ko
0,Auge::N,llygad,눈
1,Ohr::N,clust,귀
2,Nase::N,trwyn,코
3,Mund::N,ceg,입
4,Zahn::N,dant,이
5,Zunge::N,tafod,혀
6,Lippe::N,gwefus,입술
7,Wange::N,boch,뺨
8,Gesicht::N,wyneb,얼굴
9,Stirn::N,talcen,이마
10,Haar::N,blew,털
11,Schnurrbart::N,mwstas,윗수몀
12,Schnurrbart::N,mwstas,코밑수염
13,Bart::N,barf,수엄
14,Kinn::N,gên,아래턱
15,Kiefer[Anatomie]::N,gên,턱
16,Kehle::N,gwddf,인후
17,Hals::N,gwddf,목
18,Genick::N,gwar,먹덜이
19,Genick::N,gwegil,먹덜이
20,Kopf::N,pen,머리
21,Rücken::N,cefn,든
22,Bauch::N,bol,배
23,Nabel::N,bogail,배꼽
24,Busen::N,bron,가슴속
25,Brust::N,brest,가슴
26,Schulter::N,ysgwydd,어깨
27,Arm::N,braich,팔
28,Ellenbogen::N,penelin,팔쿰치
29,Hand::N,llaw,손
30,Handfläche::N,palf,손바닥
31,Finger::N,bys,속가락
32,Fingernagel::N,ewin,손톱
33,Nagel[Anatomie]::N,ewin,손톱
34,Zeh::N,bys troed,발가락
35,Fuß::N,troed,발
36,Ferse::N,sawdl,발꿈치
37,Knie::N,glin,무릎
38,Oberschenkel::N,clun,허벅다리
39,Bein::N,coes,다리
40,Körper::N,corff,구간
41,Haut::N,croen,살갗
42,Blut::N,gwaed,피
43,Ader::N,gwythïen,정맥
44,Sehne::N,gewyn,현
45,Knochen::N,asgwrn,뼈
46,Gehirn::N,ymennydd,뇌
47,Gehirn::N,ymennydd,뇌수
48,Herz::N,calon,염통
49,Magen::N,cylla,위
50,Magen::N,stumog,위
51,Leber::N,iau,간
52,Atem::N,anadl,기식
53,Hunger::N,newyn,공복
54,Träne::N,deigryn,눈물
55,Geschmack::N,cyflas,기호
56,Geruch::N,aroglau,냄새
57,Schlaf::N,cwsg,수면
58,Traum::N,breuddwyd,쿰
59,Himmel::N,awyr,하늘
60,Sonne::N,haul,해
61,Mond::N,lleuad,달
62,Stern::N,seren,별
63,Luft::N,awyr,동준
64,Luft::N,awyr,가스채
65,Wind::N,gwynt,바람
66,Welle::N,ton,물결
67,Wasser::N,dŵr,물
68,Stein::N,carreg,돌
69,Boden::N,llawr,바닥
70,Erde::N,pridd,흙
71,Staub::N,llwch,먼지
72,Rauch::N,mwg,연기
73,Funke::N,gwreichioni,불티
74,Feuer::N,tân,불
75,Licht::N,golau,불
76,Schatten::N,cysgod,어스레함
77,Wetter::N,tywydd,기상
78,Nebel::N,niwl,안개
79,Wolke::N,cwmwl,구름
80,Regen::N,glaw,비
81,Schnee::N,ôd,눈
82,Schnee::N,eira,눈
83,Eis::N,iâ,얼음
84,Frost::N,rhew,혹한
85,Kälte::N,oerni,추위
86,Kälte::N,oerni,차가움
87,Kälte::N,annwyd,추위
88,Kälte::N,annwyd,차가움
89,Hitze::N,gwres,고온
90,Hitze::N,gwres,더위
91,Raureif::N,barrug,
92,Regenbogen::N,enfys,무지개
93,Donner::N,tyrfau,뇌명
94,Strömung::N,cerrynt,유동
95,Tropfen::N,dafn,물방울
96,Tropfen::N,diferyn,물방울
97,Schaum::N,ewyn,포말
98,Schmutz::N,baw,때
99,Schmutz::N,budreddi,때
100,See::N,llyn,호수
101,Sumpf::N,cors,습지
102,Moor::N,rhos,저습지
103,Wiese::N,dôl,목초지
104,Wald::N,coedwig,숲
105,Hügel::N,bryn,언덕
106,Anhöhe::N,bryn,언덕
107,Berg::N,mynydd,산
108,Gipfel::N,copa,졀졍
109,Höhle::N,ogof,공동
110,Abhang::N,llethr,몰매
111,Quelle::N,tarddiad,근원
112,Quelle::N,ffynhonnell,근원
113,Bach::N,nant,내
114,Bach::N,afonig,내
115,Bach::N,cornant,내
116,Fluss::N,afon,강
117,Ufer::N,glan,강변
118,Ufer::N,glan,바닷가
119,Küste::N,traeth,해변
120,Küste::N,traeth,해변가
121,Küste::N,arfordir,해변
122,Küste::N,arfordir,해변가
123,Festland::N,tir,본토
124,Meer::N,môr,바다
125,Bucht::N,bae,협만
126,Insel::N,ynys,섬
127,Blume::N,blodyn,꽃
128,Gras::N,glaswellt,풀
129,Wurzel::N,gwreiddyn,뿌리
130,Baum::N,coeden,나무
131,Stamm::N,colfen,대
132,Stamm::N,boncyff,대
133,Rinde::N,rhisgl,나무껍질
134,Ast::N,cangen,가지
135,Zweig::N,cainc,가지
136,Zweig::N,cangen,가지
137,Blatt::N,deilen,잎
138,Birke::N,bedwen,자작나무
139,Kiefer[Baum]::N,pinwydden,소나무
140,Weide[Baum]::N,helygen,쉬양버들
141,Tanne::N,ffynidwydden,전나무
142,Horn::N,corn,뿔
143,Feder::N,plufyn,깃털
144,Fell::N,ffwr,피혁모피
145,Flügel::N,adain,날개
146,Klaue::N,crafanc,갈고리 발톺
147,Kralle::N,ewin,발툭
148,Schwanz::N,cwt,꼬리
149,Schwanz::N,cynffon,꼬리
150,Ei::N,wy,알
151,Nest::N,nyth,보금자리
152,Bau::N,ffau,굴
153,Tier::N,anifail,짐승
154,Herde::N,praidd,가축의떼
155,Herde::N,diadell,가축의떼
156,Kuh::N,buwch,암소
157,Bulle::N,tarw,황소
158,Pferd::N,ceffyl,말
159,Schaf::N,dafad,양
160,Schwein::N,mochyn,돼지
161,Hund::N,ci,개
162,Katze::N,cath,고양이
163,Bär::N,arth,콤
164,Eichhörnchen::N,gwiwer,다람쥐
165,Elch::N,elc,고라니
166,Fuchs::N,cadno,여우
167,Hase::N,ysgyfarnog,토끼
168,Maus::N,llygoden,쥐
169,Wolf::N,blaidd,늑대
170,Vogel::N,aderyn,새
171,Schwarm::N,haid,뗴
172,Huhn::N,cyw,암탉
173,Hahn::N,ceiliog,수탉
174,Gans::N,gŵydd,거위
175,Adler::N,eryr,수리
176,Ente::N,hwyad,오리
177,Eule::N,tylluan,부엉이
178,Kranich::N,garan,두루미
179,Kranich::N,crychydd,두루미
180,Krähe::N,brân,까마귀
181,Kuckuck::N,cog,뻐꾸기
182,Kuckuck::N,cwcw,뻐꾸기
183,Schwan::N,alarch,배조
184,Fisch::N,pysgod,물고기
185,Barsch::N,draenog,농어
186,Hecht::N,penhwyad,에속스
187,Schlange[Tier]::N,neidr,뱀
188,Wurm::N,abwydyn,벌레
189,Wurm::N,pryf genwair,벌레
190,Spinne::N,cor,거미
191,Spinne::N,pryf copyn,거미
192,Ameise::N,morgrugyn,개미
193,Laus::N,lleuen,이
194,Mücke::N,gwybedyn,모기
195,Fliege::N,cleren,날기
196,Schmetterling::N,glöyn byw,나비
197,Schmetterling::N,iâr fach yr haf,나비
198,Beere::N,aeronen,장과
199,Apfel::N,afal,사과
200,Pilz::N,madarch,고방이
201,Zwiebel::N,nionyn,양파
202,Zwiebel::N,winwnsyn,양파
203,Saat::N,had,씨
204,Korn::N,grawn,알맹이
205,Heu::N,gwair,건초
206,Schale::N,croen,피상
207,Schale::N,plisgyn,피상
208,Grube::N,pwll,
209,Grube::N,pydew,
210,Falle::N,magl,함정
211,Schlinge::N,cwlwm rhedeg,올가미
212,Schlinge::N,cwlwm rhedeg,멜빵붕대
213,Spur::N,ôl,발지국
214,Asche::N,lludw,재
215,Dreck::N,baw,똥
216,Dreck::N,baw,오물
217,Dreck::N,budreddi,똥
218,Dreck::N,budreddi,오물
219,Eisen::N,haearn,쇠
220,Eisen::N,haearn,철
221,Gold::N,aur,항금
222,Silber::N,arian,은
223,Kohle::N,glo,슻
224,Glas::N,gwydr,유리
225,Lehm::N,clai,찰흙
226,Sand::N,tywod,모래
227,Mensch::N,dyn,사람
228,Mann::N,dyn,남자
229,Frau::N,merch,여자
230,Frau::N,gwraig,여자
231,Kind::N,plentyn,아이
232,Junge::N,hogyn,소녁
233,Junge::N,bachgen,소녁
234,Mädchen::N,merch,소녀
235,Mädchen::N,geneth,소녀
236,Familie::N,teulu,가족
237,Familie::N,tylwyth,가족
238,Großvater::N,taid,할아버지
239,Großvater::N,tad-cu,할아버지
240,Großmutter::N,nain,할머니
241,Großmutter::N,mam-gu,할머니
242,Eltern::N,rhieni,어버오
243,Vater::N,tad,아버지
244,Mutter::N,mam,어머니
245,Sohn::N,mab,아들
246,Tochter::N,merch,딸기
247,Bruder::N,brawd,형제
248,Schwester::N,chwaer,누이
249,Onkel::N,ewythr,백부
250,Tante::N,modryb,아주머니
251,Ehemann::N,gŵr,남편
252,Ehefrau::N,gwraig,아내
253,Freude::N,gorfoledd,기쁨
254,Gelächter::N,chwerthin,웃음
255,Glück::N,hapusrwydd,즐거움
256,Kummer::N,galar,슬픔
257,Wunsch::N,dymuniad,소망
258,Lust::N,chwant,
259,Geist::N,ysbryd,할기
260,Gedanke::N,meddwl,상념
261,Gedächtnis::N,cof,기억
262,Verstand::N,meddwl,분별
263,Verstand::N,meddwl,지능
264,Sinn::N,ystyr,센스
265,Grund::N,achos,까닭
266,Grund::N,rheswm,까닭
267,Wahrheit::N,gwir,참
268,Wahrheit::N,gwir,진실
269,Wahrheit::N,gwirionedd,참
270,Wahrheit::N,gwirionedd,진실
271,Gespräch::N,sgwrs,대화
272,Märchen::N,chwedl werin,동화
273,Erzählung::N,stori,이야기
274,Nachricht::N,neges,
275,Neuigkeit::N,newydd,뉴스
276,Name::N,enw,이름
277,Rätsel::N,pos,수수께끼
278,Rede::N,araith,연설
279,Sprache::N,iaith,말
280,Stimme::N,llais,목소리
281,Wort::N,gair,낱말
282,Zeichen::N,arwydd,신호
283,Ruf::N,galwad,부름
284,Lärm::N,trwst,소동
285,Laut::N,sain,음성
286,Ton::N,tôn,목소리
287,Lied::N,cân,노래
288,Ruhe::N,tawelwch,쉼
289,Leute::N,pobl,사람들
290,Volk::N,pobl,국중
291,Arbeit::N,gwaith,근로
292,Arbeit::N,gwaith,너무
293,Gast::N,gwestai,손님
294,Geschenk::N,rhodd,행하
295,Geschenk::N,anrheg,행하
296,Spiel::N,chwarae,무리
297,Gesellschaft::N,cwmni,교제
298,Hilfe::N,cymorth,거들음
299,Hilfe::N,cymorth,보좌
300,Freund::N,cyfaill,친구
301,Kamerad::N,cydymaith,동실자
302,Angelegenheit::N,pwnc,용무
303,Anzahl::N,cyfrif,어떤
304,Anzahl::N,cyfrif,수
305,Art::N,bath,정류
306,Stück::N,darn,일부분
307,Teil::N,rhan,몱
308,Teil::N,rhan,구훠
309,Hälfte::N,hanner,2분의
310,Kreis::N,cylch,고리
311,Kreuz::N,croes,열십자
312,Linie::N,llinell,선
313,Strich::N,strôc,스침
314,Strich::N,trawiad,스침
315,Abstand::N,bwlch,거리
316,Abstand::N,pellter,거리
317,Entfernung::N,pellter,거리
318,Gegend::N,cylch,곳
319,Gegend::N,cylch,부금
320,Platz::N,lle,장소
321,Ort::N,lle,장소
322,Seite::N,ochr,옆면
323,Mitte::N,canol,궁간
324,Gegenstand::N,eitem,항목
325,Sache::N,peth,뭉에
326,Rand::N,cwr,가
327,Rand::N,ymyl,가
328,Kante::N,min,귀퉁
329,Kante::N,ymyl,귀퉁
330,Ecke::N,cornel,구석
331,Spitze::N,blaen,끝
332,Spitze::N,blaen,참단
333,Ende::N,pen,말당
334,Loch::N,twll,빙옷
335,Winkel::N,congl,각도
336,Muster::N,patrwm,본
337,Muster::N,patrwm,견복
338,Größe::N,maint,신장
339,Größe::N,maintioli,신장
340,Länge::N,hyd,길이긺
341,Höhe::N,uchder,높이
342,Gewicht::N,pwysau,추
343,Menge::N,swm,수양
344,Menge::N,maint,수양
345,Haufen::N,pentwr,퇴적
346,Reihe::N,rhes,열
347,Boot::N,cwch,보트
348,Ruder::N,rhwyf,노
349,Schlitten::N,sled,썰매
350,Schlitten::N,car llusg,썰매
351,Ski::N,sgi,스키
352,Lagerfeuer::N,coelcerth,캠프의 모닥불
353,Last::N,llwyth,무거운짐
354,Gang::N,tro,걸음
355,Schritt::N,cam,보조
356,Norden::N,gogledd,북쪽 
357,Süden::N,de,남쪽
358,Westen::N,gorllewin,서쪽
359,Osten::N,dwyrain,동쪽
360,Holz::N,pren,목재
361,Brett::N,bwrdd,마루널
362,Brett::N,astell,마루널
363,Platte::N,llech,탤
364,Platte::N,llech,금속판
365,Stütze::N,ateg,버팀목
366,Stütze::N,cynhalydd,버팀목
367,Stange::N,polyn,장대
368,Stock::N,ffon,막대기
369,Stock::N,brigyn,막대기
370,Stab::N,ffon,작대기
371,Rohr::N,pibell,갈대
372,Haus::N,tŷ,집
373,Heim::N,cartref,집
374,Ofen::N,stof,아궁이
375,Fußboden::N,llawr,마루
376,Tisch::N,bwrdd,탁자
377,Stuhl::N,cadair,의자
378,Wiege::N,crud,발상지
379,Bett::N,gwely,침대
380,Regal::N,silff,서가
381,Kiste::N,bocs,짐궤
382,Kiste::N,blwch,짐궤
383,Fenster::N,ffenestr,눔
384,Tür::N,drws,문
385,Tor::N,porth,대문
386,Zaun::N,ffens,담장
387,Dach::N,to,지붕
