,Concept_ID,lez,sq
0,Auge::N,вил,sy
1,Ohr::N,яб,vesh
2,Nase::N,нер,hundë
3,Mund::N,сив,gojë
4,Zahn::N,сас,dhëmb
5,Zahn::N,свах,dhëmb
6,Zunge::N,мез,gjuhë
7,Lippe::N,пӏуз,buzë
8,Wange::N,хъвехъ,faqe
9,Wange::N,хъвехъ,mollëz
10,Gesicht::N,ччин,fytyrë
11,Stirn::N,пел,ballë
12,Haar::N,чӏар,flokë
13,Schnurrbart::N,спел,mustaqe
14,Schnurrbart::N,спелар,mustaqe
15,Bart::N,ччуру,mjekër
16,Kinn::N,чене,mjekër
17,Kiefer[Anatomie]::N,чене,nofull
18,Kehle::N,туьд,fyt
19,Kehle::N,туьд,grykë
20,Hals::N,гардан,qafë
21,Genick::N,кьам,arrëz
22,Kopf::N,кьил,kokë
23,Rücken::N,далу,kurriz
24,Bauch::N,руфун,bark
25,Nabel::N,пицӏ,kërthizë
26,Busen::N,мам,gji
27,Brust::N,хур,gjoks
28,Brust::N,хур,kraharor
29,Schulter::N,къуьн,sup
30,Schulter::N,къуьн,krah
31,Arm::N,гъил,krah
32,Ellenbogen::N,кьуьнт,bërryl
33,Hand::N,капаш,dorë
34,Handfläche::N,капан юкь,pëllëmbë
35,Finger::N,тӏуб,gisht
36,Fingernagel::N,кек,thua
37,Nagel[Anatomie]::N,кек,thua
38,Zeh::N,кул,gisht i këmbës
39,Fuß::N,кӏвач,këmbë
40,Ferse::N,дабан,thembër
41,Knie::N,мет,gju
42,Bein::N,кӏвач,këmbë
43,Körper::N,беден,trup
44,Haut::N,хам,lëkurë
45,Blut::N,иви,gjak
46,Ader::N,дамар,venë
47,Sehne::N,кьуру дамар,dell
48,Knochen::N,кӏараб,asht
49,Knochen::N,кӏараб,kockë
50,Gehirn::N,мефт,tru
51,Herz::N,рикӏ,zemër
52,Magen::N,хук,stomak
53,Leber::N,лекь,mëlçi
54,Atem::N,ял,frymë
55,Atem::N,нефес,frymë
56,Hunger::N,каш,uri
57,Träne::N,вилин нагъв,lot
58,Geschmack::N,дад,shije
59,Geschmack::N,тӏям,shije
60,Geruch::N,ни,erë
61,Schlaf::N,ахвар,gjumë
62,Traum::N,ахвар,ëndërr
63,Himmel::N,цав,qiell
64,Sonne::N,рагъ,diell
65,Mond::N,варз,hënë
66,Stern::N,гъед,yll
67,Luft::N,гьава,ajër
68,Wind::N,гар,erë
69,Welle::N,лепе,valë
70,Welle::N,лепе,dallgë
71,Wasser::N,яд,ujë
72,Stein::N,къван,gur
73,Boden::N,накьв,tokë
74,Boden::N,накьв,truall
75,Erde::N,ччил,dhe
76,Erde::N,ччил,baltë
77,Staub::N,руг,pluhur
78,Rauch::N,гум,tym
79,Funke::N,цӏелхем,xixë
80,Funke::N,цӏелхем,shkëndijë
81,Feuer::N,цӏай,zjarr
82,Licht::N,экв,dritë
83,Schatten::N,серин,hije
84,Wetter::N,гьава,mot
85,Nebel::N,ччилин циф,mjegull
86,Wolke::N,циф,re
87,Regen::N,марф,shi
88,Schnee::N,жив,borë
89,Eis::N,мурк,akull
90,Frost::N,аяз,ngricë
91,Kälte::N,мекь,të ftohtë
92,Kälte::N,мекьивал,të ftohtë
93,Hitze::N,зегьем,vapë
94,Hitze::N,зегьем,nxehtësi
95,Raureif::N,къирав,cikmë
96,Regenbogen::N,яргъируш,ylber
97,Donner::N,цавун ван,gjëmim
98,Donner::N,цавун ван,bubullimë
99,Tropfen::N,стӏал,pikë
100,Schaum::N,каф,shkumë
101,Schmutz::N,чирк,baltë
102,Schmutz::N,кьуруш,baltë
103,See::N,вир,liqen
104,Sumpf::N,уьлен,batak
105,Wiese::N,векь,livadh
106,Wald::N,там,pyll
107,Hügel::N,кӏунтӏ,kodër
108,Anhöhe::N,тепе,bregore
109,Anhöhe::N,гьуьндуьрвал,bregore
110,Berg::N,дагъ,mal
111,Gipfel::N,кӏукӏ,kulm
112,Höhle::N,кьветӏ,shpellë
113,Höhle::N,кьветӏ,zgafelle
114,Abhang::N,гуьне,shpat
115,Abhang::N,гуьне,tatëpjetë
116,Quelle::N,чешме,krua
117,Quelle::N,чешме,burim
118,Bach::N,булах,virua
119,Fluss::N,вацӏ,lumë
120,Ufer::N,къерех,breg
121,Küste::N,къерех,anëdet
122,Küste::N,къерех,bregdet
123,Festland::N,кьурамат,kontinent
124,Meer::N,гьуьл,det
125,Bucht::N,бухта,gji deti
126,Insel::N,остров,ishull
127,Insel::N,остров,ujdhesë
128,Blume::N,цуьк,lule
129,Gras::N,хъач,bar
130,Wurzel::N,дувул,rrënjë
131,Baum::N,ттар,pemë
132,Stamm::N,тан,trung
133,Rinde::N,чкал,lëvore
134,Ast::N,тӏур,degë
135,Zweig::N,хел,bisk
136,Blatt::N,пеш,fletë
137,Blatt::N,пеш,gjethe
138,Birke::N,верх,mështekën
139,Kiefer[Baum]::N,шамагъаж,pishë
140,Weide[Baum]::N,цӏвелин ттар,shelg
141,Tanne::N,ель,bredh
142,Horn::N,карч,bri
143,Feder::N,цӏакул,pupël
144,Fell::N,хам,lëkurë
145,Flügel::N,лув,krah
146,Flügel::N,лув,fletë
147,Klaue::N,къармах,kthetër
148,Kralle::N,пац,thua
149,Kralle::N,пац,kthetër
150,Kralle::N,тапас,thua
151,Kralle::N,тапас,kthetër
152,Schwanz::N,ттум,bisht
153,Ei::N,кака,vezë
154,Nest::N,муг,fole
155,Bau::N,тӏеквен,strofkë
156,Tier::N,гьайван,kafshë
157,Herde::N,суьруь,kope
158,Herde::N,суьруь,grigjë
159,Kuh::N,ккал,lopë
160,Bulle::N,яц,dem
161,Bulle::N,бугъа,dem
162,Pferd::N,балкӏан,kalë
163,Schaf::N,хеб,dele
164,Schwein::N,вак,derr
165,Hund::N,кицӏ,qen
166,Katze::N,кац,mace
167,Bär::N,сев,ari
168,Eichhörnchen::N,белка,ketër
169,Elch::N,лось,dre brilopatë
170,Fuchs::N,сикӏ,dhelpër
171,Hase::N,къуьр,lepur
172,Maus::N,кьиф,mi
173,Wolf::N,жанавур,ujk
174,Vogel::N,луван ничхир,zog
175,Vogel::N,луван ничхир,shpend
176,Schwarm::N,луж,luzmë
177,Huhn::N,верч,pulë
178,Hahn::N,кӏек,gjel
179,Hahn::N,кӏек,këndes
180,Gans::N,къаз,patë
181,Adler::N,лекь,shqiponjë
182,Ente::N,пӏатӏ,rosë
183,Eule::N,тӏиб,buf
184,Kranich::N,дурна,lejlek
185,Kranich::N,дурна,kurrillë
186,Krähe::N,къаргъа,sorrë
187,Kuckuck::N,кукупӏ,qyqe
188,Schwan::N,къугь,mjellmë
189,Fisch::N,гъед,peshk
190,Barsch::N,окунь,purtekë
191,Hecht::N,щука,mlysh
192,Schlange[Tier]::N,илан,gjarpër
193,Schlange[Tier]::N,гъуьлягъ,gjarpër
194,Wurm::N,квак,krimb
195,Spinne::N,хуьшрекан,marimangë
196,Ameise::N,цегв,thnegël
197,Ameise::N,цегв,milingonë
198,Laus::N,нет,morr
199,Mücke::N,ветӏ,kunup
200,Mücke::N,ветӏ,mushkonjë
201,Fliege::N,тӏветӏ,mizë
202,Schmetterling::N,чепелукь,flutur
203,Beere::N,куьлуь емиш,frutë
204,Beere::N,куьлуь емиш,manaferrë
205,Apfel::N,ич,mollë
206,Pilz::N,къарникъуз,kërpudhë
207,Zwiebel::N,чичӏек,qepë
208,Saat::N,тумар,farë
209,Korn::N,твар,grurë
210,Korn::N,твар,kokërr
211,Heu::N,векь,sanë
212,Heu::N,векьер,sanë
213,Schale::N,пириш,lëkurë
214,Schale::N,хъуьруьш,lëkurë
215,Grube::N,фур,gropë
216,Falle::N,ракьар,kurth
217,Falle::N,ракьар,grackë
218,Schlinge::N,гьалкъа,nyjë
219,Spur::N,гел,gjurmë
220,Asche::N,руьхъ,hi
221,Dreck::N,чирк,baltë
222,Dreck::N,кьуруш,baltë
223,Eisen::N,ракь,hekur
224,Gold::N,алтун,ar
225,Gold::N,алтун,flori
226,Silber::N,гимиш,argjend
227,Kohle::N,цӏивин,qymyr
228,Glas::N,шуьше,qelq
229,Lehm::N,ччеб,argjilë
230,Sand::N,къум,rërë
231,Mensch::N,инсан,njeri
232,Mann::N,итим,burrë
233,Mann::N,итим,mashkull
234,Frau::N,паб,grua
235,Frau::N,паб,femër
236,Frau::N,дишегьли,grua
237,Frau::N,дишегьли,femër
238,Kind::N,аял,kalama
239,Junge::N,гада,djalë
240,Mädchen::N,руш,gocë
241,Mädchen::N,руш,vajzë
242,Familie::N,хзан,familje
243,Familie::N,килфет,familje
244,Großvater::N,чӏехи буба,gjysh
245,Großmutter::N,чӏехи диде,gjyshe
246,Eltern::N,диде-буба,prindër
247,Vater::N,буба,atë
248,Mutter::N,диде,nënë
249,Sohn::N,хва,bir
250,Tochter::N,руш,bijë
251,Bruder::N,стха,vëlla
252,Schwester::N,вах,motër
253,Onkel::N,ими,dajë
254,Onkel::N,ими,xhaxha
255,Onkel::N,халу,dajë
256,Onkel::N,халу,xhaxha
257,Tante::N,эме,teze
258,Tante::N,эме,hallë
259,Tante::N,хала,teze
260,Tante::N,хала,hallë
261,Ehemann::N,гъуьл,burrë
262,Ehemann::N,гъуьл,bashkëshort
263,Ehefrau::N,паб,grua
264,Ehefrau::N,паб,bashkëshorte
265,Freude::N,шадвал,gaz
266,Freude::N,шадвал,gëzim
267,Gelächter::N,хъвер,qeshje
268,Glück::N,бахт,lumturi
269,Kummer::N,дерт,brengë
270,Kummer::N,дерт,pikëllim
271,Kummer::N,хажалат,brengë
272,Kummer::N,хажалат,pikëllim
273,Wunsch::N,мурад,dëshirë
274,Lust::N,гьевес,epsh
275,Lust::N,гьевес,dashuri
276,Geist::N,руьгь,frymë
277,Geist::N,руьгь,shpirt
278,Gedanke::N,фикир,ide
279,Gedanke::N,фикир,mendim
280,Verstand::N,акьул,mend
281,Sinn::N,мана,kuptim
282,Grund::N,себеб,arsye
283,Wahrheit::N,керчек,vërtetë
284,Wahrheit::N,гьакъикъат,vërtetë
285,Gespräch::N,ихтилат,bisedim
286,Märchen::N,мах,përrallë
287,Erzählung::N,кьиса,tregim
288,Nachricht::N,хабар,lajm
289,Neuigkeit::N,цӏийи хабар,risi
