,Concept_ID,fi,lbe
0,Auge::N,silmä,я
1,Ohr::N,korva,вичӏи
2,Nase::N,nenä,май
3,Mund::N,suu,кьацӏ
4,Zahn::N,hammas,ккарччи
5,Zunge::N,kieli,маз
6,Lippe::N,huuli,мурччи
7,Wange::N,poski,чӏав
8,Gesicht::N,naama,лажин
9,Gesicht::N,kasvot,лажин
10,Stirn::N,otsa,ненттабакӏ
11,Haar::N,hius,чӏара
12,Haar::N,tukka,чӏара
13,Schnurrbart::N,viikset,ссирссилтту
14,Bart::N,parta,чӏири
15,Kinn::N,leuka,лунттубакӏ
16,Kiefer[Anatomie]::N,leukaluu,ххинчулул
17,Kehle::N,kurkku,кьакьари
18,Hals::N,kaula,ссурссу
19,Genick::N,niska,махъабакӏ
20,Kopf::N,pää,бакӏ
21,Rücken::N,selkä,ттиликӏ
22,Bauch::N,maha,лякьа
23,Bauch::N,vatsa,лякьа
24,Nabel::N,napa,цӏумуккутӏ
25,Busen::N,rinta,ккукку
26,Brust::N,rinta,хъазам
27,Schulter::N,olka,хъачӏ
28,Schulter::N,hartia,хъачӏ
29,Schulter::N,olkapää,хъачӏ
30,Arm::N,käsivarsi,ка
31,Ellenbogen::N,kyynärpää,ссюрхъ
32,Hand::N,käsi,бартка
33,Handfläche::N,kämmen,хъат
34,Handfläche::N,kämmen,битӏянхъ
35,Finger::N,sormi,кӏисса
36,Fingernagel::N,kynsi,михь
37,Nagel[Anatomie]::N,kynsi,михь
38,Zeh::N,varvas,кӏисса
39,Fuß::N,jalka,чӏанччан
40,Ferse::N,kantapää,никъа
41,Knie::N,polvi,ник
42,Oberschenkel::N,reisi,жира
43,Bein::N,jalka,ччан
44,Körper::N,keho,чурх
45,Körper::N,ruumis,чурх
46,Haut::N,iho,бурчу
47,Blut::N,veri,оь
48,Ader::N,suoni,тунну
49,Sehne::N,jänne,хьхьа
50,Knochen::N,luu,ттаркӏ
51,Gehirn::N,aivot,ня
52,Herz::N,sydän,дакӏ
53,Herz::N,sydän,къюкӏ
54,Magen::N,maha,лякьа
55,Magen::N,vatsa,лякьа
56,Leber::N,maksa,
57,Atem::N,henki,ссихӏ ласаву
58,Atem::N,henki,ссихӏ бигьаву
59,Atem::N,hengitys,ссихӏ ласаву
60,Atem::N,hengitys,ссихӏ бигьаву
61,Hunger::N,nälkä,ккаши
62,Träne::N,kyynel,макь
63,Geschmack::N,maku,тӏин
64,Geschmack::N,maku,тӏааьн
65,Geruch::N,haju,кьанкь
66,Schlaf::N,uni,шану
67,Traum::N,uni,макӏру
68,Himmel::N,taivas,ссав
69,Sonne::N,aurinko,баргъ
70,Mond::N,kuu,барз
71,Stern::N,tähti,цӏуку
72,Luft::N,ilma,гьава
73,Wind::N,tuuli,марч
74,Welle::N,aalto,щатӏи
75,Wasser::N,vesi,щин
76,Stein::N,kivi,чару
77,Boden::N,maa,аьрщи
78,Boden::N,maaperä,аьрщи
79,Erde::N,maa,аьрщи
80,Staub::N,pöly,ххит
81,Rauch::N,savu,пуркӏу
82,Funke::N,kipinä,пиягь
83,Feuer::N,tuli,цӏу
84,Licht::N,valo,чани
85,Schatten::N,varjo,ххют
86,Wetter::N,sää,гьава
87,Nebel::N,sumu,шархь ттурлу
88,Wolke::N,pilvi,ттурлу
89,Regen::N,sade,гъарал
90,Schnee::N,lumi,марххала
91,Eis::N,jää,микӏ
92,Frost::N,halla,дяркъу
93,Frost::N,halla,замгьар
94,Frost::N,pakkanen,дяркъу
95,Frost::N,pakkanen,замгьар
96,Kälte::N,vilu,дяркъу
97,Kälte::N,kylmyys,дяркъу
98,Hitze::N,helle,кӏиришиву
99,Hitze::N,kuumuus,кӏиришиву
100,Raureif::N,huurre,сил
101,Raureif::N,huurre,бурса
102,Regenbogen::N,sateenkaari,ссурул ккуртта
103,Donner::N,jyrinä,къув
104,Strömung::N,virtaus,экьинанаву
105,Tropfen::N,tippa,кӏунтӏ
106,Tropfen::N,pisara,кӏунтӏ
107,Schaum::N,vaahto,хьама
108,Schmutz::N,loka,кьяркьи
109,See::N,järvi,бяр
110,Sumpf::N,suo,кунцӏа
111,Moor::N,räme,
112,Wiese::N,niitty,кьан
113,Wald::N,metsä,вацӏа
114,Hügel::N,mäki,бакӏу
115,Hügel::N,kumpu,бакӏу
116,Hügel::N,kukkula,бакӏу
117,Anhöhe::N,mäki,
118,Anhöhe::N,kumpare,
119,Berg::N,mäki,зунтту
120,Berg::N,vuori,зунтту
121,Gipfel::N,laki,мицӏ
122,Gipfel::N,huippu,мицӏ
123,Höhle::N,luola,нух
124,Abhang::N,rinne,сун
125,Quelle::N,lähde,дайдихьу
126,Quelle::N,lähde,бакӏ
127,Bach::N,puro,чӏрир нех
128,Fluss::N,joki,нех
129,Ufer::N,ranta,зума
130,Küste::N,rannikko,зумаинхалу
131,Küste::N,rannikko,зуманицӏалу
132,Festland::N,manner,кьири
133,Meer::N,meri,хьхьири
134,Bucht::N,lahti,
135,Insel::N,saari,жазира
136,Blume::N,kukka,тӏутӏи
137,Gras::N,ruoho,уртту
138,Wurzel::N,juuri,мархха
139,Baum::N,puu,мурхь
140,Stamm::N,runko,ттарцӏ
141,Rinde::N,kuori,ккамара
142,Rinde::N,parkki,ккамара
143,Ast::N,oksa,матӏи
144,Zweig::N,haara,къяртта
145,Blatt::N,lehti,чӏапӏи
146,Birke::N,koivu,кӏялахӏи
147,Birke::N,koivu,кӏялахӏилул мурхь
148,Kiefer[Baum]::N,mänty,ттар
149,Kiefer[Baum]::N,mänty,ттарлил мурхь
150,Kiefer[Baum]::N,petäjä,ттар
151,Kiefer[Baum]::N,petäjä,ттарлил мурхь
152,Weide[Baum]::N,paju,щавщи
153,Tanne::N,kuusi,ттарлил мурхь
154,Horn::N,sarvi,хъи
155,Feder::N,sulka,лелуххул тӏиму
156,Feder::N,höyhen,лелуххул тӏиму
157,Fell::N,talja,бурчу
158,Flügel::N,siipi,хъа
159,Flügel::N,siipi,ххурупӏайрал тӏиму
160,Klaue::N,kynsi,михь
161,Kralle::N,kynsi,ххяппа
162,Schwanz::N,häntä,магъ
163,Schwanz::N,pyrstö,магъ
164,Ei::N,muna,ккунук
165,Nest::N,pesä,кюру
166,Bau::N,pesä,цукъуккутӏ
167,Tier::N,eläin,хӏайван
168,Herde::N,lauma,газу
169,Kuh::N,lehmä,оьл
170,Bulle::N,sonni,ниц
171,Pferd::N,hevonen,чу
172,Schaf::N,lammas,тта
173,Schwein::N,sika,дунгъуз
174,Hund::N,koira,ккаччи
175,Katze::N,kissa,ччиту
176,Bär::N,karhu,цуша
177,Eichhörnchen::N,orava,бюрхттукку
178,Elch::N,hirvi,ниц-бюрин
179,Fuchs::N,kettu,цулчӏа
180,Fuchs::N,kettu,куча цулчӏа
181,Hase::N,jänis,бюрх
182,Maus::N,hiiri,кӏулу
183,Wolf::N,susi,барцӏ
184,Vogel::N,lintu,лелуххи
185,Schwarm::N,parvi,гьухъала
186,Huhn::N,kana,аьнакӏи
187,Hahn::N,kukko,ажари
188,Gans::N,hanhi,къаз
189,Adler::N,kotka,барзу
190,Ente::N,ankka,урдак
191,Eule::N,pöllö,ису
192,Eule::N,pöllö,ччиккумяв
193,Kranich::N,kurki,кьурукь
194,Krähe::N,varis,хъатӏу
195,Kuckuck::N,käki,ччикку
196,Schwan::N,joutsen,урттил къаз
197,Fisch::N,kala,чавахъ
198,Barsch::N,ahven,
199,Hecht::N,hauki,
200,Schlange[Tier]::N,käärme,шатта
201,Wurm::N,mato,кьюнукьай шатта
202,Spinne::N,hämähäkki,ххялцу
203,Ameise::N,muurahainen,митӏикьукьу
204,Laus::N,täi,
205,Mücke::N,sääski,мичӏак
206,Mücke::N,hyttynen,мичӏак
207,Fliege::N,kärpänen,зимиз
208,Schmetterling::N,perhonen,чӏимучӏали
209,Beere::N,marja,хӏаллил ахъулсса
210,Apfel::N,omena,гьивч
