,Concept_ID,ta,ga
0,Auge::N,கண்,súil
1,Ohr::N,காது,cluas
2,Nase::N,மூக்கு,soc
3,Mund::N,வாய்,béal
4,Zahn::N,பல்,fiacail
5,Zunge::N,நாக்கு,teanga
6,Lippe::N,உதடு,liopa
7,Wange::N,கன்னம்,grua
8,Wange::N,கன்னம்,leiceann
9,Gesicht::N,முகம்,éadan
10,Gesicht::N,முகம்,aghaidh
11,Stirn::N,முன்னெற்றி,baithis
12,Stirn::N,முன்னெற்றி,clár éadain
13,Haar::N,முடி,gruaig
14,Schnurrbart::N,மீசை,croiméal
15,Bart::N,தாடி,féasóg
16,Kinn::N,கீழதாடை,smig
17,Kiefer[Anatomie]::N,தாடை,giall
18,Kehle::N,தொண்டை,scornach
19,Hals::N,கழுத்து,muinéal
20,Genick::N,கழுத்து,baic
21,Kopf::N,தலை,ceann
22,Rücken::N,முதுகு,droim
23,Bauch::N,வயிறு,bolg
24,Nabel::N,தொப்புள்,imleacán
25,Busen::N,மார்பகம்,cíoch
26,Brust::N, மார்பு,brollach
27,Schulter::N,தோள்பட்டை,gualainn
28,Arm::N,கரம்,lámh
29,Ellenbogen::N,முழங்கை,uillinn
30,Hand::N,கை,lámh
31,Handfläche::N,உள்ளங்கை,bos
32,Finger::N,விரல்,méar
33,Fingernagel::N,விரல் நகம்,ionga
34,Nagel[Anatomie]::N,நகம்,ionga
35,Zeh::N,கால்விரல்,ladhar
36,Fuß::N,கால்,cos
37,Fuß::N,கால்,troigh
38,Ferse::N,குதிகால்,sáil
39,Knie::N,முழங்கால்,glúin
40,Oberschenkel::N,தொடை,ceathrú
41,Bein::N,கால்,cos
42,Körper::N,உடல்,corp
43,Körper::N,உடல்,colainn
44,Haut::N,சருமம்,cneas
45,Haut::N,சருமம்,craiceann
46,Blut::N,இரத்தம்,fuil
47,Ader::N,நாளம்,
48,Sehne::N,தசைநார்,teannán
49,Sehne::N,தசைநார்,féitheog
50,Knochen::N,எலுமபு,cnámh
51,Gehirn::N,மூனை,inchinn
52,Herz::N,இதயம,croí
53,Magen::N,வயிறு,bolg
54,Magen::N,வயிறு,goile
55,Leber::N,கல்லீரல்,ae
56,Atem::N,மூச்சு,anáil
57,Hunger::N,பசி,ocras
58,Träne::N,கண்ணீர்,deoir
59,Geschmack::N,நறுமணம்,blas
60,Geruch::N,துர்நாற்றம்,boladh
61,Schlaf::N,தூக்கம்,suan
62,Schlaf::N,தூக்கம்,codladh
63,Traum::N,கனவு,taibhreamh
64,Himmel::N,வானம்,spéir
65,Sonne::N,சூரியன்,grian
66,Mond::N,சந்திரன்,ré
67,Mond::N,சந்திரன்,gealach
68,Stern::N,நட்சத்திரம்,rinn
69,Stern::N,நட்சத்திரம்,réalta
70,Luft::N,காறறு,aer
71,Wind::N,காற்று,gaoth
72,Welle::N,அலை,tonn
73,Wasser::N,நீர்,uisce
74,Stein::N,கல்,cloch
75,Boden::N,தரை,talamh
76,Erde::N,மண்,cré
77,Erde::N,மண்,ithir
78,Staub::N,தூசி,dusta
79,Staub::N,தூசி,deannach
80,Rauch::N,புகை,toit
81,Rauch::N,புகை,deatach
82,Funke::N,தீப்பொறி,drithle
83,Feuer::N,தீ,tine
84,Licht::N,வெளிச்சம்,solas
85,Schatten::N,நிழல்,scáth
86,Wetter::N,வானிலை,aimsir
87,Nebel::N,பனிமூட்டம்,ceo
88,Wolke::N,மேகம்,néal
89,Wolke::N,மேகம்,scamall
90,Regen::N,மழை,báisteach
91,Regen::N,மழை,fearthainn
92,Schnee::N,உறைபனி,sneachta
93,Eis::N,பனிக்கட்டி,oighear
94,Frost::N,உறைபனி,sioc
95,Kälte::N,குளிர்ந்த,fuacht
96,Hitze::N,சூடு,teas
97,Hitze::N,சூடு,teocht
98,Raureif::N,உறைபனி வெண்திரை,sioc bán
99,Regenbogen::N,வானவில்,stua ceatha
100,Regenbogen::N,வானவில்,bogha báistí
101,Donner::N,இடி,toirneach
102,Strömung::N,நீரோட்டம்,sruth
103,Tropfen::N,துளி,deoir
104,Schaum::N,நுரை,cúr
105,Schmutz::N,அழுக்கு,salachar
106,See::N,ஏரி,loch
107,Sumpf::N,சதுப்பு நிலம்,portach
108,Moor::N,முட்புதற்காடு,caorán
109,Moor::N,முட்புதற்காடு,móinteán
110,Wiese::N,பசும் புல்தரை,cluain
111,Wiese::N,பசும் புல்தரை,móinéar
112,Wald::N,காடு,coill
113,Wald::N,காடு,foraois
114,Hügel::N,குன்று,ard
115,Anhöhe::N,பதுக்கை,ard
116,Anhöhe::N,பதுக்கை,ardán
117,Berg::N,மலை,sliabh
118,Gipfel::N,உச்சி மாநாடு,barr
119,Gipfel::N,உச்சி மாநாடு,mullach
120,Höhle::N,குகை,uaimh
121,Höhle::N,குகை,pluais
122,Abhang::N,சரிவு,fána
123,Quelle::N,மூலம்,foinse
124,Bach::N,ஓடை,sruthán
125,Fluss::N,ஆறு,abhainn
126,Ufer::N,நீர்க்கரை,bruach
127,Küste::N,கடற்கரை,cósta
128,Küste::N,கடற்கரை,cladach
129,Festland::N,நிலம்,míntír
130,Meer::N,கடல்,muir
131,Meer::N,கடல்,farraige
132,Bucht::N,சிறுகுடா,bá
133,Bucht::N,சிறுகுடா,cuan
134,Insel::N,தீவு,inis
135,Insel::N,தீவு,oileán
136,Blume::N,பூ,bláth
137,Gras::N,புல்தரை,féar
