,Concept_ID,hr,el
0,Auge::N,oko,μάτι
1,Auge::N,oko,οφθαλμός
2,Ohr::N,uho,αυτί
3,Nase::N,nos,μύτη
4,Mund::N,usta,στόμα
5,Zahn::N,zub,δόντι
6,Zunge::N,jezik,γλώσσα
7,Lippe::N,usna,χείλος
8,Wange::N,obraz,παρειά
9,Wange::N,obraz,μάγουλο
10,Gesicht::N,lice,πρόσωπο
11,Stirn::N,čelo,μέτωπο
12,Haar::N,kosa,μαλλιά
13,Schnurrbart::N,brkovi,μουστάκι
14,Bart::N,brada,γένια
15,Kinn::N,brada,πιγούνι
16,Kinn::N,podbradak,πιγούνι
17,Kiefer[Anatomie]::N,čeljust,σαγόνι
18,Kehle::N,grlo,λαρύγγι
19,Hals::N,vrat,λαιμός
20,Genick::N,zatiljak,σβέρκος
21,Kopf::N,glava,κεφάλι
22,Rücken::N,leđa,ράχη
23,Rücken::N,hrbat,ράχη
24,Bauch::N,trbuh,κοιλιά
25,Nabel::N,pupak,αφαλός
26,Busen::N,sisa,στήθος
27,Busen::N,njedra,στήθος
28,Brust::N,prsa,στήθος
29,Schulter::N,rame,ώμος
30,Schulter::N,pleći,ώμος
31,Arm::N,ruka,χέρι
32,Arm::N,ruka,μπράτςο
33,Ellenbogen::N,lakat,αγκώνας
34,Hand::N,ruka,χέρι
35,Handfläche::N,dlan,παλάμη
36,Finger::N,prst,δάχτυλο
37,Fingernagel::N,nokat,νύχι
38,Nagel[Anatomie]::N,nokat,νύχι
39,Zeh::N,nozni prst,δάχτυλο του ποδιού
40,Fuß::N,noga,πόδι
41,Fuß::N,stopalo,πόδι
42,Ferse::N,peta,φτέρνα
43,Knie::N,koljeno,γόνατο
44,Oberschenkel::N,bedro,μηρός
45,Bein::N,noga,πόδι
46,Körper::N,tijelo,σώμα
47,Körper::N,tijelo,κορμί
48,Haut::N,put,πετσί
49,Haut::N,koža,πετσί
50,Blut::N,krv,αίμα
51,Ader::N,žila,φλέβα
52,Sehne::N,tetiva,νεύρο
53,Sehne::N,tetiva,τένοντας
54,Knochen::N,kost,οστό
55,Knochen::N,kost,κόκκαλο
56,Herz::N,srce,καρδιά
57,Magen::N,stomak,στομάχι
58,Magen::N,želudac,στομάχι
59,Leber::N,jetra,ήπαρ
60,Leber::N,jetra,συκωτί
61,Atem::N,dah,αναπνοή
62,Hunger::N,glad,πείνα
63,Träne::N,suza,δάκρυ
64,Geschmack::N,ukus,γεύση
65,Geruch::N,njuh,οσμή
66,Geruch::N,njuh,μυρωδία
67,Geruch::N,miris,οσμή
68,Geruch::N,miris,μυρωδία
69,Schlaf::N,san,ύπνος
70,Traum::N,san,όνειρο
71,Himmel::N,nebo,ουρανός
72,Sonne::N,sunce,ήλιος
73,Mond::N,mjesec,σελήνη
74,Mond::N,mjesec,φεγγάρι
75,Stern::N,zvijezda,άστρο
76,Stern::N,zvijezda,αστέρι
77,Luft::N,zrak,αέρας
78,Wind::N,vjetar,αέρας
79,Wind::N,vjetar,άνεμος
80,Welle::N,val,κύμα
81,Welle::N,talas,κύμα
82,Wasser::N,voda,νερό
83,Stein::N,kamen,πέτρα
84,Boden::N,tlo,χώμα
85,Boden::N,zemlja,χώμα
86,Erde::N,zemlja,γη
87,Staub::N,prah,σκόνη
88,Staub::N,prašina,σκόνη
89,Rauch::N,dim,καπνός
90,Funke::N,iskra,σπίθα
91,Funke::N,iskra,σπινθήρας
92,Funke::N,varnica,σπίθα
93,Funke::N,varnica,σπινθήρας
94,Feuer::N,vatra,φωτιά
95,Licht::N,svjetlo,φως
96,Schatten::N,hlad,σκιά
97,Schatten::N,hlad,ίσκιος
98,Schatten::N,sjena,σκιά
99,Schatten::N,sjena,ίσκιος
100,Wetter::N,vrijeme,καιρός
101,Nebel::N,magla,ομίχλη
102,Wolke::N,oblak,σύννεφο
103,Regen::N,kiša,βροχή
104,Schnee::N,snijeg,χιόνι
105,Eis::N,led,πάγος
106,Frost::N,mraz,παγωνία
107,Kälte::N,studen,κρύο
108,Kälte::N,studen,ψύχος
109,Kälte::N,hladnoća,κρύο
110,Kälte::N,hladnoća,ψύχος
111,Hitze::N,vrućina,ζέστη
112,Raureif::N,inje,πάχνη
113,Regenbogen::N,duga,ουράνιο τόξο
114,Donner::N,grom,βροντή
115,Donner::N,grmljavina,βροντή
116,Strömung::N,struja,ρεύμα
117,Strömung::N,strujanje,ρεύμα
118,Tropfen::N,kap,στάλα
119,Tropfen::N,kaplja,στάλα
120,Schaum::N,pjena,αφρός
121,Schmutz::N,nečistoća,βρωμιά
122,Schmutz::N,prljavština,βρωμιά
123,See::N,jezero,λίμνη
124,Sumpf::N,bara,βάλτος
125,Moor::N,močvara,έλος
126,Wiese::N,livada,λιβάδι
127,Wald::N,šuma,δάσος
128,Hügel::N,brijeg,λόφος
129,Hügel::N,brežuljak,λόφος
130,Anhöhe::N,uzvišica,ύψωμα
131,Berg::N,brdo,όρος
132,Berg::N,brdo,βουνό
133,Gipfel::N,vrh,κορυφή
134,Höhle::N,pećina,σπηλιά
135,Höhle::N,spilja,σπηλιά
136,Abhang::N,obronak,πλαγιά
137,Abhang::N,nizbrdica,πλαγιά
138,Quelle::N,izvor,πηγή
139,Quelle::N,izvor,βρύση
140,Quelle::N,vrelo,πηγή
141,Quelle::N,vrelo,βρύση
142,Bach::N,potok,ρυάκι
143,Fluss::N,rijeka,ποτάμι
144,Fluss::N,rijeka,ποταμός
145,Ufer::N,obala,όχθη
146,Küste::N,obala,ακτή
147,Küste::N,obala,ακρογιαλιά
148,Küste::N,morska obala,ακτή
149,Küste::N,morska obala,ακρογιαλιά
150,Festland::N,kopno,στεριά
151,Meer::N,more,θάλασσα
152,Bucht::N,zaliv,κόλπος
153,Insel::N,ada,νησί
154,Insel::N,ada,νήσος
155,Insel::N,otok,νησί
156,Insel::N,otok,νήσος
157,Blume::N,cvijet,άνθος
158,Blume::N,cvijet,λουλούδι
159,Gras::N,trava,χόρτο
160,Gras::N,trava,χορτάρι
161,Wurzel::N,korijen,ρίζα
162,Baum::N,drvo,δέντρο
163,Baum::N,stablo,δέντρο
